DateTime,Entries,UniqueIPs
1528341166,8500,8500
1528343171,8494,8494
1528344997,8488,8488
1528346900,8492,8492
1528348812,8493,8493
1528350758,8464,8464
1528352965,8448,8448
1528354835,8440,8440
1528356741,8445,8445
1528358664,8462,8462
1528360570,8433,8433
1528362496,8373,8373
1528364418,8374,8374
1528366334,8370,8370
1528368255,8308,8308
1528370176,8326,8326
1528372090,8324,8324
1528374022,8303,8303
1528375957,8302,8302
1528377849,8281,8281
1528379772,8247,8247
1528381632,8211,8211
1528384574,7605,7605
1528386501,7068,7068
1528388425,7080,7080
1528390333,7003,7003
1528392262,7004,7004
1528394184,6952,6952
1528396095,6953,6953
1528398038,6938,6938
1528399936,6950,6950
1528401860,6903,6903
1528403794,6892,6892
1528405703,7020,7020
1528407618,7180,7180
1528409556,7376,7376
1528411644,7583,7583
1528413607,7723,7723
1528415559,7983,7983
1528417472,8176,8176
1528419379,8344,8344
1528421296,8552,8552
1528423240,8708,8708
1528425134,8716,8716
1528427068,8710,8710
1528428968,8703,8703
1528430915,8670,8670
1528432822,8654,8654
1528434736,8616,8616
1528436812,8608,8608
1528438807,8598,8598
1528440959,8600,8600
1528442888,8575,8575
1528444842,8550,8550
1528446997,8526,8526
1528448915,8496,8496
1528451064,8486,8486
1528452977,8491,8491
1528454899,8483,8483
1528456805,8516,8516
1528458733,8553,8553
1528460659,9076,9076
1528462566,9167,9167
1528464495,9211,9211
1528466443,9212,9212
1528469269,9219,9219
1528471206,9216,9216
1528473145,9616,9616
1528475048,9661,9661
1528476966,9709,9709
1528478884,9704,9704
1528480841,10070,10070
1528482738,10084,10084
1528484652,10075,10075
1528486872,10091,10091
1528488744,10336,10336
1528490654,11568,11568
1528492593,11416,11416
1528494498,11264,11264
1528496431,11014,11014
1528498498,10769,10769
1528500505,10593,10593
1528502438,10380,10380
1528504355,10213,10213
1528506265,10026,10026
1528508186,9813,9813
1528510147,9702,9702
1528512016,9703,9703
1528513940,9716,9716
1528515886,9778,9778
1528517782,9776,9776
1528519700,9807,9807
1528521634,9850,9850
1528523538,9864,9864
1528525470,9869,9869
1528527394,9888,9888
1528529294,9906,9906
1528532179,9871,9871
1528534097,9867,9867
1528536020,12293,12293
1528537962,14599,14599
1528539915,15274,15274
1528541794,15291,15291
1528543741,15273,15273
1528545661,15240,15240
1528547585,15158,15158
1528549486,15052,15052
1528551404,14985,14985
1528553302,15018,15018
1528555250,15010,15010
1528557145,14936,14936
1528559122,14501,14501
1528560976,14499,14499
1528562931,14500,14500
1528564825,14467,14467
1528566683,14447,14447
1528568659,15822,15822
1528570577,16035,16035
1528572498,16023,16023
1528574440,15998,15998
1528576343,14555,14555
1528578256,14257,14257
1528580185,13678,13678
1528582089,13675,13675
1528584092,13677,13677
1528586017,13661,13661
1528587869,13621,13621
1528589807,13612,13612
1528591702,13675,13675
1528593650,13759,13759
1528595554,15097,15097
1528597487,15109,15109
1528599386,15174,15174
1528601314,15281,15281
1528603248,15305,15305
1528605175,15483,15483
1528607068,15454,15454
1528609031,15463,15463
1528610927,15487,15487
1528612871,15098,15098
1528614754,15060,15060
1528616689,15078,15078
1528618574,15121,15121
1528620523,15092,15092
1528622450,14775,14775
1528624357,14758,14758
1528626260,14799,14799
1528628206,14790,14790
1528630090,14770,14770
1528632092,14843,14843
1528633947,14959,14959
1528635880,14972,14972
1528637778,14999,14999
1528639984,15120,15120
1528641862,15253,15253
1528643883,15407,15407
1528645713,15521,15521
1528647639,15492,15492
1528649552,15427,15427
1528651471,15433,15433
1528653386,15430,15430
1528655310,13876,13876
1528657251,13941,13941
1528659163,13939,13939
1528661064,14044,14044
1528663119,14079,14079
1528666368,14171,14171
1528668661,14187,14187
1528670566,14239,14239
1528672474,14307,14307
1528674402,14342,14342
1528676328,14307,14307
1528678222,14207,14207
1528680159,14101,14101
1528682075,12826,12826
1528683991,12809,12809
1528686291,12731,12731
1528688193,12623,12623
1528690108,12601,12601
1528692031,12779,12779
1528693946,12786,12786
1528695889,12766,12766
1528697784,12722,12722
1528699701,12619,12619
