DateTime,AddedIPs,RemovedIPs
1528007356,1,1
1528009252,1,0
1528011135,0,1
1528013055,0,2
1528016894,0,1
1528018837,3,3
1528020738,1,0
1528022651,1,0
1528024479,1,0
1528026486,0,1
1528030337,1,4
1528032254,1,2
1528036096,0,11
1528038049,1,8
1528039938,0,3
1528041866,0,1
1528043767,0,1
1528045694,1,0
1528049539,1,1
1528051496,0,2
1528053388,0,1
1528055329,0,1
1528059182,0,1
1528061058,16,1
1528067775,0,1
1528071618,29,0
1528073534,27,0
1528075450,9,2
1528079299,1,0
1528082228,2,2
1528087938,0,1
1528089892,4,0
1528091766,3,0
1528093719,0,1
1528095662,1,2
1528097569,0,2
1528099458,20,0
1528101437,4,0
1528103291,0,1
1528105257,1,3
1528107143,0,3
1528109086,0,2
1528110975,0,2
1528114827,1,0
1528118670,0,1
1528124491,3,1
1528128323,1,0
1528130180,0,1
1528135947,0,1
1528141704,1,0
1528143625,3,0
1528147470,1,16
1528156107,0,1
1528158009,0,27
1528159927,0,25
1528161869,0,10
1528163765,0,1
1528165689,0,1
1528168580,2,1
1528170532,1,1
1528172424,1,0
1528176274,0,3
1528178176,2,0
1528180398,3,0
1528182261,1,0
1528184173,3,0
1528186098,0,23
1528188013,2,1
1528189937,2,0
1528191862,0,1
1528193774,3,0
1528199538,0,1
1528207251,1,0
1528209141,0,1
1528211070,0,3
1528213491,1,0
1528215396,2,2
1528217305,12,0
1528219210,7,1
1528221155,2,0
1528223054,1,0
1528224996,0,2
1528226886,2,0
1528229006,1,2
1528234810,0,1
1528236742,0,4
1528238652,1,0
1528240570,2,0
1528246331,2,0
1528248264,1,0
1528250179,3,0
1528252088,2,1
1528254064,2,1
1528256027,0,2
1528257859,0,1
1528259783,0,1
1528265556,2,1
1528267768,0,1
1528269617,1,1
1528273461,1,1
1528277302,0,2
1528279260,0,2
1528281151,0,3
1528283072,2,0
1528292677,0,1
1528296499,0,2
1528300335,1,1
1528302271,1,2
1528304173,2,7
1528306269,1,6
1528308288,0,2
1528311700,1,1
1528313581,0,1
1528320488,4,0
1528324412,0,0
1528326771,1,0
1528331794,3,3
1528335429,3,2
1528337303,1,2
1528339226,1,1
1528341166,0,2
1528343171,2,0
1528344997,0,1
1528346900,3,0
1528350758,1,0
1528352965,1,1
1528358664,0,1
1528362496,1,2
1528366334,1,2
1528368256,1,0
1528370176,0,1
1528374022,0,2
1528375957,2,1
1528379772,0,1
1528384574,2,2
1528386501,0,1
1528388425,0,1
1528390334,0,1
1528392262,1,2
1528398048,0,1
1528399937,0,2
1528401860,0,1
1528403795,2,1
1528405704,2,2
1528407618,2,0
1528409556,1,0
1528411644,1,1
1528415559,1,1
1528417472,0,1
1528419379,0,1
1528421296,1,3
1528423253,2,1
1528425135,0,2
1528427069,1,1
1528428968,1,3
1528434736,1,1
1528436812,2,0
1528438807,2,0
1528440959,0,1
1528442889,1,2
1528446997,0,1
1528448915,0,1
1528451065,1,0
1528452977,0,1
1528456805,0,1
1528460660,2,0
1528462566,1,0
1528464495,0,1
1528466465,0,1
1528469269,0,3
1528471207,1,1
1528473146,0,1
1528478884,2,1
1528481764,6,0
1528485611,0,2
1528489724,0,1
1528491795,0,1
1528493767,1,1
1528495704,0,1
1528497519,0,1
1528505295,1,1
1528509152,2,0
1528511061,3,2
1528512989,1,0
1528514903,1,1
1528518753,2,0
1528522578,1,1
1528524521,1,3
1528526416,1,0
1528528344,1,0
1528530289,0,2
1528532179,1,0
1528534097,1,0
1528536020,26,1
1528537963,14,0
1528539916,2,1
1528543742,1,1
1528545681,2,0
1528547585,3,3
1528549486,2,1
1528551404,0,1
1528555250,2,1
1528557146,2,1
1528559123,2,0
1528566683,0,1
1528568660,2,0
1528570577,2,1
1528577302,1,0
1528581150,0,7
1528586017,1,1
1528587870,1,0
1528589807,1,0
1528591702,0,1
1528597488,0,3
1528601314,0,1
1528603266,1,1
1528605175,1,1
1528609032,0,1
1528610928,1,0
1528614754,1,0
1528618574,0,2
1528620523,1,1
1528622450,2,9
1528626260,1,0
1528628206,1,0
1528630090,0,1
1528632095,0,2
1528633947,0,1
1528635881,0,2
1528637779,0,1
1528639984,5,0
1528641863,4,1
1528643883,3,1
1528645714,1,2
1528651472,1,1
1528653387,0,1
1528655311,1,4
1528658178,0,1
1528662115,2,0
1528666369,14,0
1528668661,0,1
1528670566,0,1
1528674402,0,1
1528678223,0,1
1528680159,3,0
1528683991,1,1
1528686292,0,1
1528688193,0,1
1528690108,1,1
1528692031,2,0
1528693947,0,1
1528697784,0,1
1528699701,2,0
1528701673,0,2
1528703574,0,17
1528705489,12,14
1528707373,9,1
1528709309,0,1
1528711270,1,0
1528713142,0,1
1528715073,3,0
1528716973,1,0
1528720813,2,1
1528722737,1,1
1528724674,4,0
1528726585,0,5
1528728491,1,3
1528730610,0,3
1528733961,0,1
1528740989,1,2
1528742892,0,1
1528744808,2,0
1528746780,2,0
1528749042,0,2
1528751061,3,0
1528754910,0,1
1528757124,3,0
1528758984,2,1
1528760894,1,0
1528762819,1,0
1528764759,0,2
1528766653,1,2
1528770490,0,1
1528772436,1,0
1528776306,2,0
1528778168,0,1
1528780112,0,1
1528782013,2,0
1528783937,1,0
1528785869,0,1
1528795452,2,0
1528797384,0,1
1528799290,2,0
1528801237,2,1
1528803148,1,0
1528805053,0,14
1528806971,0,2
1528808917,19,2
1528810810,1,3
1528815118,1,1
1528817050,0,11
1528818999,1,13
1528822873,2,0
1528826674,1,0
1528830523,0,1
1528834351,1,2
1528836521,1,1
1528840355,1,0
1528842264,0,1
1528844177,0,2
1528846116,7,0
1528848039,2,0
1528849963,0,1
1528851867,1,1
1528853782,0,1
1528859547,1,1
1528861486,1,2
1528867465,0,1
1528869402,0,1
1528873244,1,0
1528875158,1,0
1528877060,1,1
1528878975,1,0
1528880918,0,1
1528882825,0,1
1528884747,2,0
1528886682,1,2
1528888588,0,3
1528890499,2,1
1528892443,1,1
1528894338,1,19
1528898191,1,3
1528900098,3,1
1528903106,1,2
1528904911,1,0
1528908743,1,1
1528910677,1,1
1528916440,2,0
1528918907,0,1
1528920745,1,0
1528922654,2,0
1528924585,1,0
1528926492,2,0
1528928428,1,3
1528931664,1,3
1528933466,1,6
1528939225,2,2
1528941135,1,1
1528947383,0,2
1528949306,0,1
1528951278,1,0
1528955099,2,0
1528960860,0,1
1528962792,0,1
1528964693,2,1
1528966612,1,1
1528968532,1,0
1528970490,6,2
1528972335,4,0
1528974299,5,0
1528976187,2,2
1528978111,2,1
1528980016,1,0
1528981935,1,1
1528983879,3,0
1528985790,0,2
1528987695,1,0
1528989769,3,4
1528991781,1,1
1528996566,1,1
1528998491,1,0
1529004251,0,1
1529006181,0,1
1529010025,1,1
1529011852,0,1
1529014108,2,3
1529016825,1,2
1529020568,0,2
1529022503,0,1
1529027303,0,1
1529029214,1,0
1529032096,1,0
1529037854,3,0
