DateTime,Entries,UniqueIPs
1527942639,10,10
1527942639,10,10
1527944963,11,11
1527944963,11,11
1527947203,11,11
1527947203,11,11
1527949061,11,11
1527949061,11,11
1527951387,11,11
1527951387,11,11
1527953714,11,11
1527953714,11,11
1527956402,12,12
1527956402,12,12
1527958691,11,11
1527961191,12,12
1527961191,12,12
1527963554,11,11
1527963554,11,11
1527965961,11,11
1527965961,11,11
1527968416,11,11
1527968416,11,11
1527970734,11,11
1527970734,11,11
1527972875,12,12
1527972875,12,12
1527974851,12,12
1527974851,12,12
1527977282,12,12
1527977282,12,12
1527979837,13,13
1527979837,13,13
1527981993,15,15
1527984233,15,15
1527984233,15,15
1527986637,16,16
1527991396,16,16
1527991396,16,16
1527993817,15,15
1527993817,15,15
1527996217,15,15
1527996217,15,15
1527998607,15,15
1527998607,15,15
1528001073,15,15
1528001073,15,15
1528003374,13,13
1528007356,14,14
1528011136,15,15
1528013056,14,14
1528018837,14,14
1528026487,14,14
1528030338,13,13
1528038093,14,14
1528041867,13,13
1528047696,12,12
1528053389,13,13
1528055330,14,14
1528059183,13,13
1528067776,11,11
1528069693,12,12
1528071619,11,11
1528077378,12,12
1528093720,12,12
1528095695,11,11
1528097571,10,10
1528105258,9,9
1528112915,8,8
1528124494,7,7
1528139800,6,6
1528141705,5,5
1528153303,5,5
1528155138,4,4
1528164744,4,4
1528180399,3,3
1528186099,4,4
1528201450,6,6
1528215396,7,7
1528219210,8,8
1528229007,9,9
1528238653,8,8
1528252089,7,7
1528256027,8,8
1528271554,9,9
1528273462,8,8
1528275385,9,9
1528290754,8,8
1528298424,9,9
1528302271,8,8
1528306270,7,7
1528311702,10,10
1528320490,9,9
1528324413,9,9
1528326773,9,9
1528331797,9,9
1528335430,11,11
1528339228,12,12
1528343172,11,11
1528346901,12,12
1528359619,11,11
1528361537,11,11
1528367295,12,12
1528369247,13,13
1528373070,15,15
1528384575,14,14
1528386502,15,15
1528390335,14,14
1528396096,15,15
1528398092,14,14
1528405704,15,15
1528411645,16,16
1528415560,17,17
1528417473,16,16
1528425136,17,17
1528427070,18,18
1528432823,17,17
1528446998,16,16
1528448916,15,15
1528452978,14,14
1528460660,12,12
1528469270,14,14
1528473146,13,13
1528480880,13,13
1528482738,12,12
1528484653,11,11
1528492594,10,10
1528494499,11,11
1528496431,10,10
1528498499,10,10
1528500506,12,12
1528502462,11,11
1528506266,10,10
1528510188,8,8
1528512017,7,7
1528513940,8,8
1528517783,9,9
1528525471,10,10
1528550419,11,11
1528554275,9,9
1528558097,10,10
1528560056,11,11
1528563872,13,13
1528565796,12,12
1528567702,13,13
1528581150,12,12
1528586018,10,10
1528587871,11,11
1528589808,12,12
