DateTime,AddedIPs,RemovedIPs
1526904101,0,3
1526907879,0,1
1526911861,0,1
1526915770,1,0
1526919904,0,2
1526927577,1,0
1526936694,1,0
1526938823,0,1
1526945092,2,0
1526948929,1,0
1526950910,1,2
1526964546,1,0
1526966704,0,1
1526972501,3,0
1526974621,0,2
1526984225,1,2
1526992407,2,0
1526996719,2,0
1526998597,1,0
1527002430,0,1
1527010125,1,0
1527014219,0,1
1527024188,0,1
1527031969,0,2
1527033895,1,0
1527036023,0,2
1527049482,0,1
1527059089,0,2
1527062937,1,0
1527068694,1,0
1527076888,0,1
1527080682,1,0
1527082605,2,0
1527084798,0,2
1527090506,0,1
1527092426,1,0
1527104198,2,0
1527109961,1,0
1527111903,1,0
1527113789,1,0
1527139762,0,4
1527148137,1,0
1527150033,0,1
1527152017,1,0
1527153862,1,0
1527155800,0,1
1527161734,1,0
1527167779,1,1
1527169938,0,2
1527171874,1,0
1527177964,1,0
1527179813,0,1
1527183859,1,0
1527190111,0,1
1527192983,0,1
1527196820,0,1
1527198753,0,1
1527206671,0,1
1527222029,1,0
1527225877,1,0
1527227804,1,0
1527234498,0,1
1527236657,1,0
1527239809,0,1
1527241726,0,2
1527247478,0,1
1527251322,1,0
1527253161,0,1
1527258972,0,1
1527262840,1,0
1527265074,1,1
1527268926,2,1
1527270760,2,0
1527272800,1,0
1527282491,3,0
1527284678,1,0
1527291348,0,0
1527293544,2,0
1527295597,0,0
1527298154,0,0
1527300895,1,0
1527303217,1,0
1527305653,0,0
1527311238,0,2
1527314158,1,1
1527316665,0,0
1527320946,2,0
1527322890,0,0
1527325309,1,0
1527327528,0,0
1527332278,0,0
1527336887,1,0
1527339155,0,1
1527341642,0,0
1527343538,0,0
1527346504,1,0
1527350711,0,2
1527352733,0,0
1527355500,0,3
1527358177,0,2
1527361547,1,0
1527364302,0,0
1527366743,0,0
1527369500,0,3
1527372647,0,1
1527375534,1,0
1527378875,14,0
1527381320,0,2
1527383937,0,0
1527389285,0,2
1527391904,0,0
1527393918,0,0
1527396084,0,0
1527398006,0,0
1527400173,0,1
1527402019,0,1
1527405861,0,1
1527407793,1,1
1527411686,0,1
1527421219,0,1
1527426993,1,0
1527432766,0,1
1527436596,1,0
1527442359,1,0
1527448123,0,1
1527453888,1,0
1527460589,1,0
1527462513,0,1
1527477880,1,0
1527489370,1,0
1527493208,0,1
1527495132,1,0
1527512477,0,1
1527522014,0,1
1527527792,2,0
1527535451,1,0
1527541284,1,1
1527545093,0,1
1527564309,0,1
1527575804,0,1
1527581536,1,1
1527593056,1,0
1527600739,1,0
1527604572,2,0
1527608425,1,0
1527613147,2,2
