DateTime,AddedIPs,RemovedIPs
1528107145,1,1
1528109088,1,1
1528110978,1,3
1528112917,0,2
1528114829,1,0
1528116780,0,1
1528118672,0,2
1528120538,1,3
1528122499,1,6
1528124496,2,0
1528126335,1,1
1528134043,1,2
1528135949,4,0
1528137865,1,0
1528139802,1,1
1528141706,3,1
1528143628,7,2
1528145561,1,0
1528147473,0,3
1528149382,2,3
1528151323,2,6
1528153308,1,1
1528155140,1,1
1528157060,1,2
1528158994,0,1
1528160903,5,1
1528162816,2,0
1528164746,3,1
1528166666,1,1
1528168582,2,1
1528170534,0,1
1528172427,1,1
1528174341,0,1
1528180400,3,0
1528182264,0,1
1528184175,2,1
1528188015,2,1
1528189939,0,3
1528191864,0,1
1528195693,3,2
1528201452,1,1
1528203377,0,1
1528205300,1,0
1528207298,2,1
1528209143,1,2
1528211072,1,1
1528213493,1,0
1528215398,0,1
1528219212,0,1
1528221157,1,3
1528223056,2,2
1528226888,1,1
1528229008,1,4
1528230970,1,4
1528232904,2,2
1528234812,2,2
1528236744,3,1
1528238654,1,1
1528240571,2,1
1528242497,0,1
1528244421,2,1
1528246333,0,2
1528248266,3,2
1528250181,1,1
1528252090,1,0
1528254105,1,1
1528257861,3,2
1528259785,2,0
1528261690,1,1
1528265557,1,0
1528267769,2,1
1528269619,2,0
1528271556,0,1
1528273463,0,1
1528275387,1,2
1528279292,1,1
1528281152,0,1
1528283073,0,3
1528284993,1,1
1528286917,0,1
1528290755,2,1
1528292678,1,2
1528294578,2,2
1528296501,0,1
1528298425,0,2
1528302272,0,1
1528304175,2,0
1528306271,0,1
1528308290,2,4
1528311704,1,2
1528313583,0,0
1528320492,1,2
1528324415,0,6
1528326775,1,1
1528331803,3,2
1528335432,1,0
1528337306,0,2
1528339230,2,1
1528341169,0,2
1528343175,3,0
1528345000,2,3
1528346902,4,3
1528348814,1,0
1528350760,1,3
1528352968,1,0
1528354879,1,1
1528356742,1,1
1528358665,1,0
1528362497,0,2
1528364419,0,1
1528372092,1,1
1528374024,1,0
1528375959,2,0
1528377851,1,1
1528379773,1,2
1528384576,3,1
1528390336,0,1
1528392265,1,0
1528394186,0,3
1528396098,0,4
1528398096,1,3
1528401862,3,0
1528403797,4,1
1528405706,3,1
1528407620,2,0
1528409558,3,0
1528411646,2,1
1528413609,1,4
1528415561,1,3
1528419381,3,1
1528423302,2,0
1528425137,2,0
1528427071,0,1
1528428970,0,1
1528430918,1,2
1528432825,1,3
1528434738,1,0
