DateTime,Entries,UniqueIPs
1528331803,1777,1777
1528335433,1783,1783
1528337306,1782,1782
1528339231,1785,1785
1528341170,1785,1785
1528343175,1784,1784
1528345000,1791,1791
1528346902,1794,1794
1528348815,1799,1799
1528350760,1799,1799
1528352968,1751,1751
1528354892,1754,1754
1528356742,1756,1756
1528358665,1756,1756
1528360572,1773,1773
1528362497,1768,1768
1528364420,1770,1770
1528366335,1768,1768
1528368257,1770,1770
1528370178,1768,1768
1528372092,1770,1770
1528374024,1772,1772
1528375959,1775,1775
1528377852,1777,1777
1528379774,1779,1779
1528381634,1785,1785
1528384577,1110,1110
1528386503,536,536
1528388427,557,557
1528390336,559,559
1528392266,559,559
1528394186,556,556
1528396098,555,555
1528398096,552,552
1528399939,555,555
1528401862,609,609
1528403797,608,608
1528405706,598,598
1528407620,603,603
1528409558,604,604
1528411646,602,602
1528413610,594,594
1528415561,591,591
1528417474,588,588
1528419381,582,582
1528421298,580,580
1528423302,576,576
1528425137,574,574
1528427071,575,575
1528428970,575,575
1528430918,572,572
1528432825,567,567
1528434739,560,560
1528436814,558,558
1528438810,559,559
1528440961,558,558
1528442891,554,554
1528444894,552,552
1528447000,552,552
1528448917,550,550
1528451067,544,544
1528452979,544,544
1528454901,543,543
1528458736,544,544
1528460662,1160,1160
1528462569,1158,1158
1528464498,1161,1161
1528466500,1157,1157
1528469271,1149,1149
1528471209,1148,1148
1528473148,1616,1616
1528475050,1618,1618
1528476968,1620,1620
1528478886,1616,1616
1528480898,1613,1613
1528482740,1611,1611
1528484654,1605,1605
1528486874,1600,1600
1528488746,1988,1988
1528490657,3736,3736
1528492595,3735,3735
1528494500,3733,3733
1528496433,3709,3709
1528498501,3727,3727
1528500508,3769,3769
1528502511,3773,3773
1528504358,3773,3773
1528506267,3774,3774
1528508189,3777,3777
1528510191,3776,3776
1528512018,3776,3776
1528513942,3776,3776
1528515888,3859,3859
1528517784,3861,3861
1528519701,3860,3860
1528521636,3863,3863
1528523540,3863,3863
1528525472,3867,3867
1528527396,3895,3895
1528529297,3895,3895
1528531292,3897,3897
1528533164,3897,3897
1528535068,4088,4088
1528537002,4089,4089
1528538904,4089,4089
1528540824,4091,4091
1528542755,4090,4090
1528544683,4088,4088
1528546594,4086,4086
1528548505,4086,4086
1528550421,4083,4083
1528552376,4084,4084
1528554277,4083,4083
1528556194,4084,4084
1528558099,3607,3607
1528560099,3605,3605
1528561959,3604,3604
1528563874,3603,3603
1528565799,3604,3604
1528567704,3608,3608
1528569613,3607,3607
1528571536,3605,3605
1528573455,3605,3605
1528575374,2880,2880
1528577305,1400,1400
1528579214,1400,1400
1528581152,1443,1443
1528583074,1442,1442
1528586020,1417,1417
1528587873,1370,1370
1528589810,1366,1366
1528591704,1365,1365
1528593653,1413,1413
1528595558,2974,2974
1528597491,2975,2975
1528599389,2975,2975
1528601317,2975,2975
1528603302,2975,2975
1528605178,3197,3197
1528607072,3197,3197
1528609034,3201,3201
1528610931,3202,3202
1528612875,2787,2787
1528614758,2803,2803
1528616692,2802,2802
1528618578,2862,2862
1528620527,2862,2862
1528622453,2670,2670
1528624361,2669,2669
1528626264,2667,2667
1528628209,2669,2669
1528630094,2670,2670
1528632101,2745,2745
1528633951,2876,2876
1528635884,2873,2873
1528637782,2917,2917
1528639987,2917,2917
1528641866,2917,2917
1528643886,2926,2926
1528645717,2926,2926
1528647642,2951,2951
1528649556,2952,2952
1528651478,2952,2952
1528653390,2949,2949
1528656263,2954,2954
1528658179,2956,2956
1528660115,2954,2954
1528662116,2953,2953
1528663962,2953,2953
1528666372,2961,2961
1528668665,2963,2963
1528670570,2955,2955
1528672478,2974,2974
1528674406,2974,2974
1528676332,2974,2974
1528678225,2975,2975
1528680163,2938,2938
1528682078,1430,1430
1528683995,1430,1430
1528686295,1430,1430
1528688196,1427,1427
1528690111,1424,1424
1528692034,1337,1337
1528693950,1332,1332
1528695892,1321,1321
1528697789,1318,1318
1528699704,1121,1121
1528701675,1076,1076
1528703577,2639,2639
1528705492,2582,2582
1528709312,2584,2584
1528711319,2584,2584
1528713145,2607,2607
1528715077,2608,2608
1528716976,2533,2533
1528718905,4680,4680
1528720816,4743,4743
1528722740,4740,4740
1528724676,4697,4697
1528726588,4696,4696
1528728494,4681,4681
1528730613,4683,4683
1528733964,4682,4682
1528736246,5090,5090
1528738213,5088,5088
1528740092,5090,5090
1528741963,5091,5091
1528743880,5096,5096
1528745776,5093,5093
1528747695,5121,5121
1528749545,5122,5122
1528751531,5122,5122
1528753557,5135,5135
1528755375,5141,5141
1528757547,5141,5141
1528759454,5119,5119
1528761377,5119,5119
1528763302,5122,5122
1528765311,5122,5122
1528767152,5510,5510
1528769325,5512,5512
1528771213,5525,5525
1528773137,5527,5527
1528775070,5530,5530
1528776974,5532,5532
1528779134,5412,5412
1528781053,5414,5414
1528782985,5413,5413
1528784896,5411,5411
1528786902,5417,5417
1528788749,5492,5492
1528790656,4444,4444
1528792569,4445,4445
1528794510,4451,4451
1528796412,4452,4452
1528798335,4452,4452
1528800270,4425,4425
1528802169,4396,4396
1528804095,3734,3734
1528806052,2576,2576
1528807931,2594,2594
1528809851,2599,2599
1528811784,2590,2590
1528813693,2597,2597
1528815709,2599,2599
1528817557,2601,2601
1528819888,2606,2606
1528821868,1759,1759
1528823772,1763,1763
1528825702,1766,1766
1528827623,1766,1766
1528829529,1760,1760
1528831453,1764,1764
1528833384,1769,1769
1528835288,1771,1771
1528837105,1775,1775
1528838907,1763,1763
1528840932,1740,1740
1528842733,1737,1737
1528844674,1734,1734
1528846571,1740,1740
1528848534,1739,1739
1528850414,1746,1746
1528852336,1036,1036
1528854272,870,870
1528856171,877,877
1528858093,843,843
1528860024,845,845
1528861933,842,842
1528863855,842,842
1528865869,968,968
1528867690,982,982
1528869865,989,989
1528871771,1594,1594
1528873718,1506,1506
1528875615,1507,1507
1528877536,1458,1458
1528879466,1458,1458
1528881380,1460,1460
1528883291,1458,1458
1528885225,1456,1456
1528887139,1456,1456
1528889052,1456,1456
1528890986,1454,1454
1528892894,1453,1453
1528894895,1485,1485
1528896753,1481,1481
