DateTime,AddedIPs,RemovedIPs
1528339232,4,3
1528341170,2,3
1528343176,4,6
1528345001,11,6
1528346903,8,8
1528348815,10,4
1528350761,5,7
1528352969,3,52
1528354900,6,3
1528356743,8,6
1528358666,5,5
1528360572,20,5
1528362498,3,11
1528364420,10,9
1528366335,4,4
1528368257,9,3
1528370178,0,3
1528372092,9,1
1528374025,5,5
1528375959,7,4
1528377852,11,4
1528379774,5,4
1528381634,7,2
1528383685,5,324
1528385556,6,766
1528387464,25,173
1528389385,4,4
1528391317,4,4
1528393222,4,4
1528395153,2,9
1528397070,9,7
1528398977,6,9
1528400917,7,7
1528402820,61,6
1528404738,5,12
1528406680,8,10
1528408581,9,5
1528411109,8,6
1528413135,0,9
1528415081,4,9
1528416990,4,3
1528418893,2,9
1528420826,2,12
1528422754,5,7
1528424663,2,4
1528426864,7,5
1528428741,2,3
1528430668,5,8
1528432587,6,11
1528434509,1,9
1528436437,4,9
1528438367,2,2
1528440364,3,3
1528442282,1,8
1528444103,2,6
1528446021,2,5
1528447932,2,5
1528449868,5,8
1528451821,4,4
1528453700,0,5
1528456581,2,6
1528458504,5,6
1528460426,622,7
1528462374,6,8
1528464256,6,8
1528466186,2,5
1528469272,4,13
1528471209,4,6
1528473148,488,21
1528475051,4,5
1528476969,4,3
1528478887,1,6
1528480899,2,4
1528482740,3,4
1528484655,2,13
1528486875,1,7
1528488746,434,49
1528490657,1747,3
1528492596,8,4
1528494501,1,5
1528496433,4,27
1528498501,35,16
1528500509,44,3
1528502523,7,1
1528504358,0,5
1528506268,1,2
1528508189,7,4
1528510191,0,2
1528512019,1,2
1528513942,2,2
1528515888,86,3
1528517785,7,2
1528519702,9,4
1528521637,5,0
1528523541,5,4
1528525473,5,2
1528527397,27,0
1528529297,1,1
1528531293,4,0
1528533164,4,1
1528535068,193,4
1528537003,3,0
1528538904,3,3
1528540825,6,1
1528542756,1,1
1528544684,0,4
1528546594,7,7
1528548506,3,4
1528550422,3,4
1528552376,4,3
1528554278,4,3
1528556195,1,0
1528558099,4,481
1528560100,15,4
1528561959,3,3
1528563875,2,5
1528565799,3,3
1528567705,4,2
1528569614,1,2
1528571536,0,3
1528573456,2,2
1528575374,1,726
1528577305,0,1480
1528579215,4,8
1528581153,47,3
1528583075,4,4
1528586021,9,35
1528587873,3,50
1528589811,5,7
1528591705,0,1
1528593654,50,5
1528595559,1562,2
1528597492,2,2
1528599390,3,2
1528601318,2,1
1528603302,11,5
1528605179,232,10
1528607072,1,6
1528609035,12,7
1528610932,5,3
1528612876,140,553
1528614758,43,28
1528616693,2,2
1528618578,63,5
1528620527,4,3
1528622454,2,192
1528624361,2,4
1528626264,6,6
1528628210,4,4
1528630094,1,0
1528632102,77,3
1528633951,135,5
1528635884,0,3
1528637782,47,5
1528639988,2,4
1528641866,1,2
1528643887,13,5
1528645717,2,1
1528647643,26,17
1528649556,1,0
1528651478,4,4
1528653390,1,4
1528656264,6,1
1528658179,3,0
1528660115,0,2
1528662117,0,1
1528663962,2,1
1528666373,11,2
1528668665,4,6
1528670570,4,8
1528672478,22,2
1528674406,1,1
1528676333,1,4
1528678226,1,0
1528680164,1,38
1528682079,1,1508
1528683995,2,2
1528686295,2,3
1528688197,2,6
1528690112,2,13
1528692035,42,128
1528693950,9,6
1528695893,2,14
1528697789,2,6
1528699705,8,206
1528701676,36,81
1528703578,1563,2
1528705493,3,62
1528707379,3,2
1528709313,3,3
1528711319,1,7
1528713145,26,4
1528715077,6,3
1528716977,4,78
1528718906,2152,5
1528720817,62,1
1528722741,0,3
1528724677,5,48
1528726588,1,2
1528728494,0,15
1528730613,3,1
1528733964,1,3
1528736247,434,26
1528738214,1,3
1528740093,3,0
1528741963,3,2
1528743880,6,2
1528745777,2,2
1528747696,28,0
1528749545,2,2
1528751531,1,2
1528753557,28,12
1528755375,9,0
1528757547,3,7
1528759455,6,24
1528761378,2,1
1528763303,6,1
1528765312,5,2
1528767153,389,1
1528769326,3,1
1528771214,14,1
1528773138,3,1
1528775071,6,2
1528776975,3,1
1528779134,2,124
1528781053,3,7
1528782986,2,2
1528784897,2,4
1528786902,8,0
1528788750,77,1
1528790657,3,1050
1528792570,3,1
1528794511,8,3
1528796413,2,1
1528798336,1,1
1528800270,0,30
1528802170,7,31
1528804095,7,669
1528806053,2,1155
1528807931,19,0
1528809851,7,1
1528811785,5,14
1528813693,7,0
1528815709,5,2
1528817557,4,1
1528819889,7,1
1528821868,8,851
1528823773,5,0
1528825704,6,2
1528827623,2,3
1528829530,1,7
1528831453,7,0
1528833384,6,3
1528835288,4,1
1528837105,4,0
1528838907,12,18
1528840943,28,54
1528842966,1,5
1528844894,1,8
1528846827,11,2
1528848729,3,4
1528850662,8,4
1528852566,6,880
1528854487,5,9
1528856421,9,3
1528858344,2,35
1528860249,7,6
1528862181,2,9
1528864088,55,4
1528866049,74,2
1528867950,17,3
1528869866,9,2
1528871772,611,5
1528873719,2,90
1528875615,3,3
1528877536,0,52
1528879467,3,3
1528881380,9,5
1528883292,1,2
1528885226,1,3
1528887140,2,1
1528889052,4,7
1528890986,11,9
1528892894,1,3
1528894896,55,22
1528896753,3,8
1528898660,7,6
1528900571,4,2
1528902500,3,7
1528904416,4,3
1528906350,2,7
1528908259,1556,5
1528910177,4,8
1528912108,26,5
1528914011,4,1
1528915953,2,3
1528918909,6,5
1528920747,3,3
1528922656,5,0
1528924587,6,4
1528926494,34,43
1528928430,12,2
1528931667,30,6
1528933469,5,6
1528935393,8,4
1528937425,5,10
1528939229,2,2
1528941138,0,17
1528943056,148,3
1528945487,3,1
1528947386,4,4
1528949309,3,3
1528951281,1,3
1528953191,2,2
1528955102,556,4
1528957043,70,4
1528958940,3,3
1528960863,0,1
1528962796,2,2
1528964696,2,1
1528966615,5,4
1528968535,3,7
1528970495,2,0
1528972339,3,1
1528974303,9,4
1528976191,2,2
1528978114,6,11
1528980020,8,433
1528981938,5,1
1528983882,3,50
1528985793,435,8
1528987698,5,2
1528989773,8,2
1528991784,4,4
1528993688,7,2
1528995701,5,4
1528997546,3,28
1528999459,5,2
1529001369,7,2
1529003305,5,3
1529005210,4,3
1529007134,5,2
1529009068,7,6
1529011237,2,7
1529013142,23,11
1529015070,5,36
1529017302,16,3
1529019144,5,5
