DateTime,Entries,UniqueIPs
1528339232,1880,1880
1528341170,1879,1879
1528343176,1877,1877
1528345001,1882,1882
1528346903,1882,1882
1528348815,1888,1888
1528350761,1886,1886
1528352969,1837,1837
1528354900,1840,1840
1528356743,1842,1842
1528358666,1842,1842
1528360572,1857,1857
1528362498,1849,1849
1528364420,1850,1850
1528366335,1850,1850
1528368257,1856,1856
1528370178,1853,1853
1528372092,1861,1861
1528374025,1861,1861
1528375959,1864,1864
1528377852,1871,1871
1528379774,1872,1872
1528381634,1877,1877
1528383685,1558,1558
1528385556,798,798
1528387464,650,650
1528389385,650,650
1528391317,650,650
1528393222,650,650
1528395153,643,643
1528397070,645,645
1528398977,642,642
1528400917,642,642
1528402820,697,697
1528404738,690,690
1528406680,688,688
1528408581,692,692
1528411109,694,694
1528413135,685,685
1528415081,680,680
1528416990,681,681
1528418893,674,674
1528420826,664,664
1528422754,662,662
1528424663,660,660
1528426864,662,662
1528428741,661,661
1528430668,658,658
1528432587,653,653
1528434509,645,645
1528436437,640,640
1528438367,640,640
1528440364,640,640
1528442282,633,633
1528444103,629,629
1528446021,626,626
1528447932,623,623
1528449868,620,620
1528451821,620,620
1528453700,615,615
1528456581,611,611
1528458504,610,610
1528460426,1225,1225
1528462374,1223,1223
1528464256,1221,1221
1528466186,1218,1218
1528469272,1209,1209
1528471209,1207,1207
1528473148,1674,1674
1528475051,1673,1673
1528476969,1674,1674
1528478887,1669,1669
1528480899,1667,1667
1528482740,1666,1666
1528484655,1655,1655
1528486875,1649,1649
1528488746,2034,2034
1528490657,3778,3778
1528492596,3782,3782
1528494501,3778,3778
1528496433,3755,3755
1528498501,3774,3774
1528500509,3815,3815
1528502523,3821,3821
1528504358,3816,3816
1528506268,3815,3815
1528508189,3818,3818
1528510191,3816,3816
1528512019,3815,3815
1528513942,3815,3815
1528515888,3898,3898
1528517785,3903,3903
1528519702,3908,3908
1528521637,3913,3913
1528523541,3914,3914
1528525473,3917,3917
1528527397,3944,3944
1528529297,3944,3944
1528531293,3948,3948
1528533164,3951,3951
1528535068,4140,4140
1528537003,4143,4143
1528538904,4143,4143
1528540825,4148,4148
1528542756,4148,4148
1528544684,4144,4144
1528546594,4144,4144
