DateTime,AddedIPs,RemovedIPs
1528335435,17,2
1528337309,8,1
1528339234,6,0
1528341172,13,4
1528343178,9,3
1528345003,8,3
1528346904,5,3
1528348817,7,4
1528350762,8,1
1528352971,8,5
1528354901,3,1
1528356745,7,1
1528358668,6,3
1528360574,5,2
1528362499,9,8
1528364422,5,1
1528366337,7,1
1528368258,3,4
1528370181,8,1
1528372093,6,5
1528374027,8,0
1528375961,6,1
1528377853,6,0
1528379775,6,4
1528381635,3,4
1528383695,7,3
1528385558,27,6
1528387464,19,1
1528389386,5,1
1528391318,3,3
1528393223,4,6
1528395154,2,5
1528397071,3,5
1528398978,3,5
1528400918,4,13
1528402821,8,6
1528404740,6,8
1528406681,4,8
1528408582,7,10
1528411110,5,8
1528413135,3,9
1528415081,2,7
1528416991,3,11
1528418895,8,4
1528420827,4,5
1528422755,8,9
1528424665,3,7
1528426896,3,8
1528428741,3,7
1528430669,2,8
1528432588,1,8
1528434510,7,3
1528436438,0,7
1528438368,1,5
1528440365,3,4
1528442283,1,5
1528444104,5,7
1528446023,4,6
1528447933,2,5
1528449869,0,11
1528451822,1,4
1528453701,2,7
1528455684,3,10
1528457538,5,6
1528459471,5,4
1528461398,2,8
1528463309,2,9
1528465157,2,5
1528467058,2,6
1528469273,5,6
1528471211,1,9
1528473150,2,29
1528475052,0,19
1528476970,0,6
1528478888,5,4
1528480900,0,4
1528482742,4,4
1528484656,3,4
1528486876,3,1
1528488747,6,9
1528490658,2,7
1528492597,1,4
1528494502,1,9
1528496435,1,6
1528498502,1,3
1528500510,5,10
1528502529,9,7
1528504359,3,7
1528506269,0,4
1528508190,3,10
1528510192,2,6
1528512020,3,3
1528513943,4,3
1528515889,4,2
1528517787,3,2
1528519704,1,1
1528521638,4,7
1528523543,7,0
1528525474,5,1
1528527398,3,4
1528529298,3,2
1528531294,2,6
1528533166,3,2
1528535070,1,1
1528537005,3,1
1528538906,1,1
1528540826,1,4
1528542757,0,3
1528544685,7,7
1528546596,4,1
1528548507,0,4
1528552377,2,3
1528554279,3,2
1528556196,6,3
1528558100,2,1
1528560101,2,2
1528561960,2,0
1528563876,3,1
1528565801,3,5
1528567706,5,2
1528569615,5,4
1528571537,3,1
1528573457,4,4
1528575376,0,6
1528577306,4,2
1528579216,3,2
1528581154,2,1
1528583076,2,2
1528586022,2,3
1528587874,0,4
1528589812,4,9
1528591706,5,1
1528593655,1,2
1528595560,4,2
1528597493,1,3
1528599391,0,3
1528601319,4,3
1528603304,1,3
1528605180,1,4
1528607073,2,2
1528609036,0,8
1528610933,4,3
1528612877,0,3
1528614760,1,3
1528616694,0,3
1528618579,2,1
1528620529,1,5
1528622455,8,1
1528624362,2,3
1528626265,3,1
1528628210,1,0
1528630095,1,1
1528632103,0,7
1528633953,15,3
1528635885,30,0
1528637784,4,1
1528639989,1,4
1528641868,2,4
