DateTime,Entries,UniqueIPs
1528070688,82,82
1528072571,80,80
1528074535,79,79
1528076418,80,80
1528078389,82,82
1528080257,81,81
1528082233,77,77
1528084109,76,76
1528086049,75,75
1528089897,72,72
1528091770,71,71
1528093723,70,70
1528095701,70,70
1528097577,69,69
1528099463,71,71
1528101442,72,72
1528103296,71,71
1528105262,70,70
1528107148,69,69
1528109091,71,71
1528110980,70,70
1528112919,70,70
1528114832,70,70
1528116782,72,72
1528118674,71,71
1528120540,66,66
1528122502,63,63
1528124499,64,64
1528126338,66,66
1528128329,69,69
1528130186,72,72
1528132133,74,74
1528135951,74,74
1528137867,74,74
1528139804,74,74
1528141708,72,72
1528143631,72,72
1528147476,71,71
1528149385,72,72
1528151326,70,70
1528153311,72,72
1528155143,75,75
1528157063,75,75
1528158997,76,76
1528160906,78,78
1528162818,79,79
1528164748,78,78
1528166668,79,79
1528168584,80,80
1528174344,81,81
1528176279,84,84
1528178181,83,83
1528180404,82,82
1528182267,83,83
1528184178,82,82
1528186103,80,80
1528188018,80,80
1528189941,80,80
1528191866,78,78
1528193778,80,80
1528195696,79,79
1528197626,80,80
1528199543,81,81
1528201455,81,81
1528203379,81,81
1528205302,83,83
1528207301,86,86
1528209146,85,85
1528211074,89,89
1528213496,86,86
1528215400,85,85
1528217309,85,85
1528219214,85,85
1528221159,84,84
1528223059,83,83
1528225000,81,81
1528226891,80,80
1528229011,78,78
1528232908,77,77
1528234815,76,76
1528240574,72,72
1528242499,69,69
1528246335,67,67
1528248268,70,70
1528250183,69,69
1528252092,67,67
1528254107,67,67
1528256031,71,71
1528257864,72,72
1528259787,75,75
1528261693,75,75
1528263617,74,74
1528265560,77,77
1528267772,77,77
1528269621,77,77
1528271558,80,80
1528273466,81,81
1528275389,82,82
1528277306,81,81
1528279294,80,80
1528283076,78,78
1528284996,77,77
1528286920,77,77
1528288822,77,77
1528290758,74,74
1528292681,71,71
1528294580,70,70
1528296502,71,71
1528298427,67,67
1528302274,62,62
1528304177,64,64
1528306274,63,63
1528308292,64,64
1528311709,67,67
1528313587,69,69
1528320496,69,69
1528324419,70,70
1528326780,69,69
1528331812,70,70
1528335436,66,66
1528337310,64,64
1528339234,63,63
1528341173,56,56
1528343179,53,53
1528345003,61,61
1528346905,57,57
1528348818,58,58
1528350763,59,59
1528352972,57,57
1528354902,56,56
1528356745,55,55
1528358668,52,52
1528360574,51,51
1528362500,50,50
1528366337,49,49
1528368259,48,48
1528372094,47,47
1528374027,46,46
1528375961,45,45
1528379776,45,45
1528381636,46,46
1528383695,45,45
1528389386,46,46
1528391318,44,44
1528393223,45,45
1528395155,48,48
1528397071,46,46
1528398978,46,46
1528402822,47,47
1528404740,48,48
1528406681,53,53
1528408582,55,55
1528411110,57,57
1528413136,58,58
1528415082,57,57
1528416991,58,58
1528418895,59,59
1528422756,57,57
1528426908,58,58
1528434511,56,56
1528438368,54,54
1528442284,52,52
1528446024,51,51
1528447934,52,52
1528449869,54,54
1528455690,55,55
1528461399,56,56
1528463310,55,55
1528465157,55,55
