DateTime,AddedIPs,RemovedIPs
1528335439,10,8
1528337313,4,5
1528339237,1,10
1528341175,10,5
1528343183,6,4
1528345005,11,3
1528346906,5,3
1528348819,4,3
1528350764,1,4
1528352973,2,4
1528354903,5,2
1528356746,5,5
1528358670,3,10
1528360576,5,5
1528362501,3,5
1528364424,4,4
1528366339,5,3
1528368260,7,4
1528370183,2,4
1528372096,4,3
1528374028,4,2
1528375962,5,3
1528377855,2,0
1528379777,4,3
1528381637,1,5
1528383696,8,1
1528385559,19,1
1528387466,0,5
1528389387,3,2
1528391320,1,2
1528393225,3,3
1528395156,5,3
1528397073,3,2
1528398980,5,0
1528400921,3,2
1528402823,7,1
1528404741,3,22
1528406682,1,3
1528408583,5,5
1528411111,5,1
1528413137,2,5
1528415083,4,4
1528416993,6,1
1528418897,0,4
1528420829,2,6
1528422757,3,4
1528424666,4,4
1528426632,4,7
1528428505,3,7
1528430463,3,10
1528432342,3,9
1528434259,0,4
1528436071,1,3
1528438095,3,2
1528440020,5,1
1528441957,8,4
1528443857,4,6
1528445773,4,5
1528447707,6,2
1528449617,4,2
1528451452,4,4
1528453460,3,6
1528455367,3,6
1528457296,15,3
1528460187,6,7
1528462101,1,4
1528464019,6,5
1528465935,2,3
1528467855,2,1
1528470091,3,11
1528471936,0,45
1528473885,3,0
1528475773,23,3
1528477721,22,1
1528479898,11,6
1528481767,3,4
1528483702,2,4
1528485613,3,7
1528487687,1,5
1528489727,3,5
1528491798,1,3
1528493770,3,2
1528495708,0,2
1528497523,1,5
1528499562,4,2
1528501488,2,5
1528503377,2,5
1528505299,3,0
1528507232,3,1
1528509155,4,3
1528511064,7,4
1528512992,2,4
1528514905,6,1
1528516911,4,3
1528518757,2,5
1528520676,3,0
1528522581,3,1
1528524523,6,3
1528526418,4,5
1528528346,4,8
1528530291,3,3
1528532181,3,4
1528534099,3,7
1528536024,9,4
1528537967,1,3
1528539920,4,2
1528541798,2,4
1528543746,11,11
1528545707,6,4
1528547589,2,2
1528549489,2,4
1528551407,5,7
1528553305,0,4
1528555252,3,1
1528557149,2,1
1528559126,4,1
1528560981,4,2
1528562935,10,18
1528564830,3,27
1528566688,2,4
1528568664,251,0
1528570581,3,3
1528572500,1,1
1528574475,4,3
1528576344,1,2
1528578258,2,1
1528580188,2,3
1528582092,3,0
1528584095,1,0
1528586025,18,4
1528587877,11,4
1528589814,6,2
1528591709,1,3
1528593657,2,2
1528595562,2,3
1528597495,3,7
1528599393,0,2
1528601322,5,5
1528603306,6,3
1528605186,3,2
1528607076,1,1
1528609039,10,4
1528610936,4,5
1528612880,3,3
1528614762,3,4
1528616697,2,5
1528618582,4,3
1528620531,5,3
1528622457,3,9
1528624364,5,1
1528626268,3,4
1528628213,2,4
1528630098,1,2
1528632106,6,1
1528633955,4,2
1528635888,1,2
1528637787,2,7
1528639992,3,0
1528641871,1,4
1528643891,3,3
1528645721,5,5
1528647645,1,6
1528649559,2,14
1528651481,16,6
1528653393,18,2
1528655347,7,246
1528657303,2,2
1528659171,1,1
1528661071,6,5
1528663127,4,3
1528666378,2,5
1528668671,5,4
1528670576,0,1
1528672483,2,9
1528674411,2,6
1528676338,0,6
1528678231,4,0
1528680168,5,2
1528682083,2,2
1528684000,3,4
1528685882,4,1
1528687843,0,3
1528689695,3,6
1528691645,102,5
1528693461,2,1
1528695285,0,8
1528697329,4,5
1528699217,1,4
1528701142,2,3
1528703074,3,2
1528704973,4,4
1528707160,2,7
1528709061,1,1
1528710972,1,5
1528712910,6,3
1528714891,2,3
1528716745,4,3
1528718682,1,5
1528720575,22,3
1528722521,2,4
1528724413,2,1
1528726345,0,2
1528728265,2,1
1528730190,3,3
1528732203,0,6
1528734465,3,1
1528736588,4,2
1528738611,2,9
1528740612,2,16
1528742705,1,2
1528744595,4,1
1528746426,3,3
1528748415,0,2
1528750332,3,0
1528752261,1,1
1528754188,2,3
1528756098,0,3
1528760052,1,5
1528761870,1,0
1528763774,1,1
1528765709,2,5
1528767623,2,4
1528769538,5,1
1528771468,2,4
1528773370,6,3
1528775293,3,1
1528777231,3,5
1528779138,2,3
1528781057,3,1
1528782990,2,3
1528784899,5,2
1528786904,3,3
1528788752,3,2
1528790659,3,2
1528792573,2,4
1528794517,5,3
1528796417,4,2
1528798340,2,4
1528800274,3,2
1528802174,3,1
1528804099,3,3
1528806057,6,12
1528807934,73,37
1528809855,1,1
1528811788,1,1
1528813697,2,4
1528815715,3,3
1528817561,3,2
1528819892,1,2
1528821872,27,2
1528823776,140,3
1528825708,2,4
1528827629,2,1
1528829533,0,7
1528831456,3,3
1528833387,0,3
1528835291,4,1
1528837108,5,4
1528838911,1,1
1528840946,2,3
1528842969,3,3
1528844896,3,1
1528846830,3,3
1528848732,3,1
1528850665,0,1
1528852568,6,1
1528854490,2,6
1528856423,2,1
1528858346,1,3
1528860252,2,3
1528862183,3,5
1528864091,1,3
1528866105,3,0
1528867953,3,3
1528869869,2,5
1528871775,5,5
1528873723,12,2
1528875619,3,3
1528877540,3,4
1528879470,1,2
1528881384,4,4
1528883296,6,6
1528885231,20,0
1528887143,7,3
1528889056,2,3
1528890990,2,3
1528892899,1,7
1528894902,0,73
1528896757,1,0
1528898665,1,0
1528900575,1,2
1528902505,2,3
1528904420,3,3
1528906354,1,1
1528908263,0,19
1528910181,0,227
1528912112,1,2
1528914014,1,2
1528915956,5,0
1528918912,1,4
1528920750,1,0
1528922659,0,5
1528924590,2,3
1528926497,2,1
1528928435,0,4
1528931671,6,3
1528933473,7,2
1528935396,3,1
1528937428,5,5
1528939232,2,3
1528941142,2,2
1528943060,2,3
1528946183,3,3
1528948088,5,2
1528950008,2,2
1528951944,0,1
1528953852,4,4
1528955768,4,2
1528957707,3,2
1528959749,0,13
1528961772,8,3
1528963700,2,4
1528965632,6,3
1528967532,3,3
1528969468,10,8
1528971373,8,40
1528973307,6,6
1528975215,4,2
1528977132,3,2
1528979060,19,1
1528980979,3,2
1528982913,3,1
1528984894,4,1
1528986753,2,2
1528988662,3,2
1528990575,1,3
1528992536,4,2
1528994416,2,1
1528996341,1,0
1528998271,3,1
1529000183,5,1
1529002096,2,3
1529004027,0,1
1529005939,2,0
1529007854,0,1
1529009786,3,1
1529011856,8,4
1529013738,3,0
1529016828,0,4
1529018669,4,3
1529020572,3,6
1529022507,2,5
1529024498,1,5
1529026336,5,0
1529028280,3,3
1529030176,4,3
1529032099,2,2
1529034028,3,3
1529035943,4,3
1529037857,5,1
1529039791,5,2
1529041702,4,2
1529043632,2,1
1529045552,1,3
1529047468,3,5
1529049389,5,5
1529051302,0,3
1529053300,4,4
1529055154,2,9
1529057067,1,4
1529058977,2,8
1529060918,1,6
1529062816,1,4
1529065893,4,20
1529067856,1,3
1529069782,2,5
1529071711,1,3
1529073617,5,4
1529075548,3,3
1529077468,5,1
1529079376,3,4
1529081305,4,3
1529083231,1,1
1529085132,3,2
1529087077,64,4
1529088980,3,3
1529091779,1,2
1529093882,1,0
1529096013,2,1
1529097842,4,9
1529099862,0,3
1529101738,2,1
1529103758,2,0
1529105577,1,3
1529107458,2,2
1529109395,0,3
1529111320,2,2
1529113242,1,5
1529115148,1,3
1529117098,3,6
1529118985,0,2
1529120932,2,2
1529122832,0,5
1529124777,2,5
1529126657,2,4
1529128609,3,3
1529130755,3,2
1529132660,3,2
1529134585,6,3
1529136544,18,2
1529138419,0,1
1529140374,2,3
1529142290,1,3
1529144196,0,2
1529146098,0,3
1529148051,2,1
1529149941,2,0
1529151877,3,3
1529153795,4,2
1529155713,5,0
1529157695,1,4
1529159580,1,4
1529161463,1,2
1529163392,2,7
1529165335,2,2
1529167256,2,0
1529169139,2,6
1529173223,3,66
1529175131,252,3
1529177053,33,0
1529178983,12,3
1529180893,1,1
1529182901,3,3
1529184748,0,3
1529189074,3,0
1529190981,0,3
1529192902,1,2
1529194841,2,0
1529196732,3,1
1529198655,1,1
1529200609,4,2
1529202505,0,2
1529204499,1,1
1529206358,4,2
1529208265,4,0
1529210178,2,1
1529212117,4,1
1529214037,4,2
1529215941,6,5
1529217878,4,2
1529219781,5,6
1529221701,0,14
1529223635,4,5
1529225540,1,0
1529227469,9,2
1529229392,3,0
1529231302,10,2
1529233299,4,1
1529235156,4,3
1529237072,3,4
1529238980,2,2
1529240916,4,4
1529242819,6,5
1529244746,1,2
1529246680,2,1
