DateTime,AddedIPs,RemovedIPs
1528343184,9,17
1528345006,19,42
1528346907,9,17
1528348819,19,23
1528350764,8,14
1528352973,31,33
1528354903,18,32
1528356747,14,8
1528358670,33,31
1528360576,17,11
1528362501,25,24
1528364424,13,17
1528366339,21,18
1528368261,4,15
1528370183,27,25
1528372096,6,21
1528374029,17,24
1528375963,5,22
1528377855,16,36
1528379777,8,23
1528381637,28,30
1528383697,9,23
1528385560,21,22
1528387466,20,50
1528389387,3,10
1528391320,27,27
1528393226,9,14
1528395157,21,19
1528397073,7,9
1528398980,26,31
1528400921,6,10
1528402823,27,35
1528404741,19,8
1528406682,32,24
1528408584,16,5
1528411111,27,16
1528413137,27,35
1528415083,33,7
1528416993,50,19
1528418897,6,5
1528420829,41,10
1528422758,17,7
1528424666,32,10
1528426633,23,3
1528428505,19,16
1528430494,10,9
1528432343,16,21
1528434259,16,18
1528436071,13,9
1528438095,33,36
1528440021,28,10
1528441957,23,20
1528443857,17,14
1528445773,31,28
1528447708,15,17
1528449617,30,19
1528451453,9,9
1528453460,27,26
1528455368,7,6
1528457296,32,27
1528460188,81,20
1528462101,11,3
1528464019,27,19
1528465935,13,7
1528467855,24,26
1528470092,11,5
1528471936,30,25
1528473885,61,23
1528475773,21,3
1528477721,36,27
1528479899,14,10
1528481767,52,23
1528483702,7,6
1528485613,22,22
1528487687,16,8
1528489727,30,29
1528491798,13,30
1528493770,16,22
1528495708,26,22
1528497523,10,10
1528499562,29,25
1528501488,12,23
1528503377,30,42
1528505299,18,7
1528507232,32,41
1528509155,15,13
1528511064,40,24
1528512992,20,14
1528514905,31,21
1528516912,16,13
1528518757,26,9
1528520676,30,16
1528522581,11,11
1528524524,35,28
1528526418,28,25
1528528346,49,19
1528530291,12,12
1528532181,16,25
1528534099,20,20
1528536025,35,35
1528537967,8,13
1528539921,21,27
1528541798,8,9
1528543747,24,25
1528545707,29,49
1528547590,18,29
1528549490,28,25
1528551407,8,15
1528553305,29,19
1528555253,9,9
1528557149,16,25
1528559126,10,15
1528560981,21,63
1528562935,27,19
1528564830,31,25
1528566688,25,19
1528568665,30,42
1528570582,20,12
1528572501,20,24
1528574487,7,10
1528576345,19,36
1528578259,30,15
1528580188,9,15
1528582093,16,23
1528584096,7,12
1528586025,18,26
1528587878,13,10
1528589815,24,31
1528591709,5,19
1528593658,19,32
1528595563,7,11
1528597496,30,47
1528599394,4,19
1528601323,21,34
1528603307,21,12
1528605187,8,24
1528607077,23,35
1528609040,10,14
1528610936,27,35
1528612880,11,31
1528614763,19,59
1528616697,10,9
1528618582,17,23
1528620531,8,28
1528622457,30,32
1528624364,14,13
1528626269,29,18
1528628214,20,9
1528630098,24,34
1528632106,31,29
1528633956,9,23
1528635889,21,31
1528637787,6,17
1528639992,18,24
1528641871,12,8
1528643891,38,20
1528645722,14,11
1528647645,23,26
1528649560,10,26
1528651481,28,39
1528653394,14,33
1528655347,31,28
1528657303,37,20
1528659171,18,23
1528661072,30,18
1528663128,8,13
1528666379,33,32
1528668671,49,21
1528670576,33,5
1528672483,56,18
1528674411,44,13
1528676338,28,22
1528678231,16,8
1528680169,27,18
1528682084,19,4
1528684000,36,26
1528685882,23,5
1528687843,24,19
1528689696,12,15
1528691646,9,17
1528693461,21,24
1528695285,3,4
1528697329,31,25
1528699217,10,12
1528701142,23,19
1528703075,5,10
1528704973,29,14
1528707160,15,12
1528709062,22,30
1528710972,11,13
1528712910,28,34
1528714891,8,17
1528716745,30,26
1528718682,24,33
1528720575,12,16
1528722521,28,16
1528724414,6,10
1528726346,20,18
1528728265,4,14
1528730190,34,35
1528732203,9,17
1528734465,17,28
1528736589,33,21
1528738611,14,19
1528740613,48,27
1528742705,11,28
1528744595,32,27
1528746427,29,23
1528748415,17,26
1528750332,13,8
1528752261,30,26
1528754188,10,18
1528756099,23,49
1528758113,20,35
1528760052,8,78
1528761871,24,40
1528763774,15,19
1528765710,32,22
1528767623,26,20
1528769538,29,39
1528771468,5,26
1528773370,23,25
1528775294,17,8
1528777231,30,15
1528779139,8,8
1528781057,34,18
1528782990,9,15
1528784900,26,26
1528786905,24,21
1528788753,15,6
1528790659,28,24
1528792574,11,13
1528794518,27,27
1528796417,9,8
