DateTime,Entries,UniqueIPs
1528343184,995,995
1528345006,972,972
1528346907,964,964
1528348819,960,960
1528350764,954,954
1528352973,952,952
1528354903,938,938
1528356747,944,944
1528358670,946,946
1528360576,952,952
1528362501,953,953
1528364424,949,949
1528366339,952,952
1528368261,941,941
1528370183,943,943
1528372096,928,928
1528374029,921,921
1528375963,904,904
1528377855,884,884
1528379777,869,869
1528381637,867,867
1528383697,853,853
1528385560,852,852
1528387466,822,822
1528389387,815,815
1528391320,815,815
1528393226,810,810
1528395157,812,812
1528397073,810,810
1528398980,805,805
1528400921,801,801
1528402823,793,793
1528404741,804,804
1528406682,812,812
1528408584,823,823
1528411111,834,834
1528413137,826,826
1528415083,852,852
1528416993,883,883
1528418897,884,884
1528420829,915,915
1528422758,925,925
1528424666,947,947
1528426633,967,967
1528428505,970,970
1528430494,971,971
1528432343,966,966
1528434259,964,964
1528436071,968,968
1528438095,965,965
1528440021,983,983
1528441957,986,986
1528443857,989,989
1528445773,992,992
1528447708,990,990
1528449617,1001,1001
1528451453,1001,1001
1528453460,1002,1002
1528455368,1003,1003
1528457296,1008,1008
1528460188,1069,1069
1528462101,1077,1077
1528464019,1085,1085
1528465935,1091,1091
1528467855,1089,1089
1528470092,1095,1095
1528471936,1100,1100
1528473885,1138,1138
1528475773,1156,1156
1528477721,1165,1165
1528479899,1169,1169
1528481767,1198,1198
1528483702,1199,1199
1528485613,1199,1199
1528487687,1207,1207
1528489727,1208,1208
1528491798,1191,1191
1528493770,1185,1185
1528495708,1189,1189
1528497523,1189,1189
1528499562,1193,1193
1528501488,1182,1182
1528503377,1170,1170
1528505299,1181,1181
1528507232,1172,1172
1528509155,1174,1174
1528511064,1190,1190
1528512992,1196,1196
1528514905,1206,1206
1528516912,1209,1209
1528518757,1226,1226
1528520676,1240,1240
1528522581,1240,1240
1528524524,1247,1247
1528526418,1250,1250
1528528346,1280,1280
1528530291,1280,1280
1528532181,1271,1271
1528534099,1271,1271
1528536025,1271,1271
1528537967,1266,1266
1528539921,1260,1260
1528541798,1259,1259
1528543747,1258,1258
1528545707,1238,1238
1528547590,1227,1227
1528549490,1230,1230
1528551407,1223,1223
1528553305,1233,1233
1528555253,1233,1233
1528557149,1224,1224
1528559126,1219,1219
1528560981,1177,1177
1528562935,1185,1185
1528564830,1191,1191
1528566688,1197,1197
1528568665,1185,1185
1528570582,1193,1193
1528572501,1189,1189
1528574487,1186,1186
1528576345,1169,1169
1528578259,1184,1184
1528580188,1178,1178
1528582093,1171,1171
1528584096,1166,1166
1528586025,1158,1158
1528587878,1161,1161
1528589815,1154,1154
1528591709,1140,1140
1528593658,1127,1127
1528595563,1123,1123
1528597496,1106,1106
1528599394,1091,1091
1528601323,1078,1078
1528603307,1087,1087
1528605187,1071,1071
1528607077,1059,1059
1528609040,1055,1055
1528610936,1047,1047
1528612880,1027,1027
1528614763,987,987
1528616697,988,988
1528618582,982,982
1528620531,962,962
1528622457,960,960
1528624364,961,961
1528626269,972,972
1528628214,983,983
1528630098,973,973
1528632106,975,975
1528633956,961,961
1528635889,951,951
1528637787,940,940
1528639992,934,934
1528641871,938,938
1528643891,956,956
1528645722,959,959
1528647645,956,956
1528649560,940,940
1528651481,929,929
1528653394,910,910
1528655347,913,913
1528657303,930,930
1528659171,925,925
1528661072,937,937
1528663128,932,932
1528666379,933,933
1528668671,961,961
1528670576,989,989
1528672483,1027,1027
1528674411,1058,1058
1528676338,1064,1064
1528678231,1072,1072
1528680169,1081,1081
1528682084,1096,1096
1528684000,1106,1106
1528685882,1124,1124
1528687843,1129,1129
1528689696,1126,1126
1528691646,1118,1118
1528693461,1115,1115
1528695285,1114,1114
1528697329,1120,1120
1528699217,1118,1118
1528701142,1122,1122
1528703075,1117,1117
1528704973,1132,1132
1528707160,1135,1135
1528709062,1127,1127
1528710972,1125,1125
1528712910,1119,1119
1528714891,1110,1110
1528716745,1114,1114
1528718682,1105,1105
1528720575,1101,1101
1528722521,1113,1113
1528724414,1109,1109
1528726346,1111,1111
1528728265,1101,1101
1528730190,1100,1100
1528732203,1092,1092
1528734465,1081,1081
1528736589,1093,1093
1528738611,1088,1088
1528740613,1109,1109
1528742705,1092,1092
1528744595,1097,1097
1528746427,1103,1103
1528748415,1094,1094
1528750332,1099,1099
1528752261,1103,1103
1528754188,1095,1095
1528756099,1069,1069
1528758113,1054,1054
1528760052,984,984
1528761871,968,968
1528763774,964,964
1528765710,974,974
1528767623,980,980
1528769538,970,970
1528771468,949,949
1528773370,947,947
1528775294,956,956
1528777231,971,971
1528779139,971,971
1528781057,987,987
1528782990,981,981
1528784900,981,981
1528786905,984,984
1528788753,993,993
1528790659,997,997
1528792574,995,995
1528794518,995,995
1528796417,996,996
1528798341,994,994
1528800275,1000,1000
1528802174,990,990
1528804100,990,990
1528806057,997,997
1528807935,993,993
1528809855,987,987
1528811789,1000,1000
1528813697,1006,1006
1528815716,1002,1002
1528817561,1008,1008
1528819892,1011,1011
1528821872,1014,1014
1528823776,1008,1008
1528825709,1085,1085
1528827629,1077,1077
1528829533,1082,1082
1528831457,1068,1068
1528833388,1055,1055
1528835291,1054,1054
