DateTime,Entries,UniqueIPs
1528343185,1801,1801
1528345006,1817,1817
1528346907,1819,1819
1528348820,1832,1832
1528350765,1829,1829
1528352974,1838,1838
1528354904,1834,1834
1528356747,1822,1822
1528358671,1834,1834
1528360577,1857,1857
1528362502,1850,1850
1528364424,1851,1851
1528366340,1848,1848
1528368261,1839,1839
1528370184,1848,1848
1528372096,1861,1861
1528374029,1875,1875
1528375963,1890,1890
1528377855,1880,1880
1528379778,1866,1866
1528381638,1854,1854
1528383697,1873,1873
1528385560,1882,1882
1528387467,1894,1894
1528389388,1886,1886
1528391321,1844,1844
1528393226,1831,1831
1528395157,1817,1817
1528397074,1804,1804
1528398981,1798,1798
1528400922,1768,1768
1528402824,1718,1718
1528404742,1858,1858
1528406683,1971,1971
1528408585,2144,2144
1528411112,2387,2387
1528413138,2623,2623
1528415084,2842,2842
1528416993,3017,3017
1528418897,3202,3202
1528420830,3386,3386
1528422758,3600,3600
1528424667,3577,3577
1528426634,3558,3558
1528428506,3553,3553
1528430510,3550,3550
1528432343,3549,3549
1528434259,3543,3543
1528436072,3543,3543
1528438096,3544,3544
1528440021,3554,3554
1528441958,3558,3558
1528443858,3559,3559
1528445773,3558,3558
1528447708,3564,3564
1528449618,3559,3559
1528451453,3553,3553
1528453460,3568,3568
1528455368,3567,3567
1528457297,3561,3561
1528459288,3564,3564
1528461140,3536,3536
1528463061,3540,3540
1528465159,3558,3558
1528467060,3584,3584
1528469275,3583,3583
1528471213,3615,3615
1528473152,3614,3614
1528475054,3640,3640
1528476972,3660,3660
1528478890,3673,3673
1528480902,3685,3685
1528482744,3684,3684
1528484658,3688,3688
1528486878,3699,3699
1528488749,3700,3700
1528490660,3569,3569
1528492599,3428,3428
1528494504,3289,3289
1528496439,3065,3065
1528498506,2796,2796
1528500513,2591,2591
1528502531,2393,2393
1528504362,2219,2219
1528506271,2025,2025
1528508192,1800,1800
1528510195,1684,1684
1528512022,1676,1676
1528513945,1690,1690
1528515891,1686,1686
1528517789,1683,1683
1528519706,1694,1694
1528521640,1696,1696
1528523545,1686,1686
1528525476,1689,1689
1528527400,1683,1683
1528529300,1675,1675
1528531296,1659,1659
1528533171,1648,1648
1528535072,1653,1653
1528537008,1639,1639
1528538909,1622,1622
1528540830,1621,1621
1528542761,1637,1637
1528544689,1625,1625
1528546599,1610,1610
1528548510,1600,1600
1528550425,1570,1570
1528552380,1575,1575
1528554281,1555,1555
1528556198,1526,1526
1528558103,1482,1482
1528560104,1505,1505
1528561964,1508,1508
1528563879,1496,1496
1528565804,1460,1460
1528567710,1437,1437
1528569619,2890,2890
1528571539,2889,2889
1528573459,2864,2864
1528575378,2851,2851
1528577309,2847,2847
1528579219,2840,2840
1528581157,2840,2840
1528583079,2831,2831
1528586026,2832,2832
1528587878,2821,2821
1528589815,2814,2814
1528591710,2903,2903
1528593658,2983,2983
1528595563,3121,3121
1528597496,3165,3165
1528599394,3235,3235
1528601323,3373,3373
1528603308,3373,3373
1528605187,3357,3357
1528607078,3355,3355
1528609040,3347,3347
1528610937,3348,3348
1528612881,3342,3342
1528614763,3334,3334
1528616698,3340,3340
1528618583,3334,3334
1528620532,3322,3322
1528622458,3322,3322
1528624365,3332,3332
1528626269,3354,3354
1528628215,3338,3338
1528630099,3329,3329
1528632107,3339,3339
1528633956,3345,3345
1528635889,3368,3368
1528637788,3378,3378
1528639993,3366,3366
1528641872,3362,3362
1528643892,3362,3362
1528645723,3382,3382
1528647646,3362,3362
1528649560,3306,3306
1528651482,3310,3310
1528653395,3325,3325
1528655348,1872,1872
1528657304,1912,1912
1528659171,1908,1908
1528661072,1953,1953
1528663128,1984,1984
1528666379,2023,2023
1528668672,2031,2031
1528670577,2066,2066
1528672485,2067,2067
1528674412,2093,2093
1528676339,2067,2067
1528678231,1950,1950
1528680169,1871,1871
1528682084,1720,1720
1528684001,1688,1688
1528685883,1624,1624
1528687844,1485,1485
1528689696,1492,1492
1528691646,1611,1611
1528693462,1657,1657
1528695286,1654,1654
1528697330,1652,1652
1528699218,1646,1646
1528701143,1655,1655
1528703075,1652,1652
1528704974,1646,1646
1528707161,1658,1658
1528709062,1669,1669
1528710973,1663,1663
1528712911,1642,1642
1528714892,1663,1663
1528716746,1682,1682
1528718683,1680,1680
1528720576,1666,1666
1528722522,1694,1694
1528724414,2097,2097
1528726346,2234,2234
1528728266,2241,2241
1528730191,2248,2248
1528732203,2236,2236
1528734466,2227,2227
1528736589,2236,2236
1528738612,2237,2237
1528740613,2239,2239
1528742705,2244,2244
1528744596,2209,2209
1528746427,2209,2209
1528748416,2167,2167
1528750333,2164,2164
1528752261,2187,2187
1528754189,2207,2207
1528756099,2218,2218
1528758114,2240,2240
1528760053,2237,2237
1528761871,2230,2230
1528763774,2259,2259
1528765710,2265,2265
1528767624,2277,2277
1528769539,2300,2300
1528771469,2303,2303
1528773371,2311,2311
1528775294,2319,2319
1528777232,2346,2346
1528779139,2348,2348
1528781058,2360,2360
1528782991,2372,2372
1528784900,2399,2399
1528786905,2447,2447
1528788753,2541,2541
1528790660,2554,2554
1528792574,2566,2566
1528794519,2550,2550
1528796418,2573,2573
1528798341,2564,2564
1528800275,2591,2591
1528802175,2577,2577
1528804100,2584,2584
1528806058,2599,2599
1528807935,2797,2797
1528809855,2750,2750
1528811789,2282,2282
1528813697,2266,2266
1528815716,2292,2292
1528817561,2303,2303
1528819893,2506,2506
1528821873,2612,2612
1528823777,2998,2998
1528825709,3011,3011
1528827630,3039,3039
1528829534,3044,3044
1528831457,3063,3063
1528833388,3105,3105
1528835292,3210,3210
1528837109,3338,3338
1528838912,3481,3481
1528840947,3500,3500
1528842970,3486,3486
1528844897,3489,3489
1528846831,6212,6212
1528848733,6190,6190
1528850666,6181,6181
1528852569,6187,6187
1528854491,6179,6179
1528856424,6176,6176
1528858347,6174,6174
1528860253,6180,6180
1528862184,6181,6181
1528864092,6163,6163
1528866106,6156,6156
1528867954,6132,6132
1528869870,6122,6122
1528871776,6113,6113
1528873724,6035,6035
1528875620,5996,5996
1528877541,5999,5999
1528879471,6002,6002
1528881385,6008,6008
1528883297,6036,6036
1528885232,6056,6056
1528887144,6041,6041
1528889057,6042,6042
1528890991,6033,6033
1528892900,6011,6011
1528894903,5919,5919
1528896758,5919,5919
1528898666,5935,5935
1528900576,5965,5965
1528902506,5996,5996
1528904421,6023,6023
1528906355,6046,6046
1528908264,6062,6062
1528910182,5680,5680
1528912113,5756,5756
1528914015,5821,5821
1528915957,6023,6023
1528918913,6271,6271
1528920752,6396,6396
1528922660,6489,6489
1528924591,6583,6583
1528926498,6564,6564
1528928436,6556,6556
1528931672,5912,5912
1528933474,3573,3573
1528935397,3598,3598
1528937429,3612,3612
1528939233,3615,3615
1528941143,3633,3633
1528943061,3632,3632
1528946184,3647,3647
1528948089,3670,3670
1528950009,3672,3672
1528951945,3472,3472
1528953853,3493,3493
1528955769,3506,3506
1528957708,3535,3535
1528959750,3537,3537
1528961773,3548,3548
1528963701,3560,3560
1528965632,3556,3556
1528967533,3530,3530
1528969469,3491,3491
1528971374,3437,3437
1528973308,3434,3434
1528975216,3417,3417
1528977133,3406,3406
1528979061,3427,3427
1528980980,3414,3414
1528982914,3420,3420
1528984895,3406,3406
1528986753,3371,3371
1528988663,3288,3288
1528990576,3259,3259
1528992537,3213,3213
1528994417,3173,3173
1528996342,3123,3123
1528998272,3040,3040
1529000184,2931,2931
1529002097,2743,2743
1529004028,2525,2525
1529005940,2304,2304
1529007854,2072,2072
1529009787,1848,1848
1529011856,1689,1689
1529013741,1681,1681
1529016829,1635,1635
1529018670,1619,1619
1529020573,1609,1609
1529022508,1570,1570
1529024500,1545,1545
1529026337,1507,1507
1529028281,1486,1486
1529030177,1528,1528
1529032100,1565,1565
1529034029,1542,1542
1529035944,1509,1509
1529037858,1493,1493
1529039791,1466,1466
1529041703,1463,1463
1529043633,1443,1443
1529045552,1419,1419
1529047468,1411,1411
1529049389,1335,1335
1529051303,1307,1307
1529053301,1286,1286
1529055155,1287,1287
1529057067,1286,1286
1529058978,1273,1273
1529060919,1309,1309
1529062817,1312,1312
1529065894,1299,1299
1529067857,1256,1256
1529069782,1263,1263
1529071711,1282,1282
1529073618,1290,1290
1529075549,1291,1291
1529077469,1280,1280
1529079377,1281,1281
1529081306,1276,1276
1529083232,1271,1271
1529085133,1343,1343
1529087078,1386,1386
1529088980,1393,1393
1529091781,1404,1404
1529093882,1534,1534
1529096013,1641,1641
1529097843,1762,1762
1529099863,1897,1897
1529101738,1926,1926
1529103759,1930,1930
1529105578,1957,1957
1529107458,1987,1987
1529109396,2021,2021
1529111321,2045,2045
1529113243,2068,2068
1529115148,2097,2097
1529117099,2033,2033
1529118986,2010,2010
1529120933,2039,2039
1529122832,2057,2057
1529124778,2058,2058
1529126657,2074,2074
1529128610,2066,2066
1529130756,2081,2081
1529132661,2123,2123
1529134586,2130,2130
1529136545,2153,2153
1529138420,2202,2202
1529140375,2216,2216
1529142291,2246,2246
1529144197,2275,2275
1529146099,2313,2313
1529148052,2303,2303
1529149942,2317,2317
1529151878,2345,2345
1529153796,2373,2373
1529155713,2384,2384
1529157697,2406,2406
1529159581,2406,2406
1529161464,2409,2409
1529163393,2453,2453
1529165336,2481,2481
1529167256,2514,2514
1529169140,2551,2551
1529171243,2519,2519
1529173224,2485,2485
1529175132,4000,4000
1529177054,4037,4037
1529178984,4045,4045
1529180894,4098,4098
1529182902,4710,4710
1529184749,4690,4690
1529186673,4615,4615
1529189075,4597,4597
1529190982,4604,4604
1529192903,4592,4592
1529194842,4575,4575
1529196733,4596,4596
1529198656,4604,4604
1529200610,4593,4593
1529202506,4585,4585
1529204500,4603,4603
1529206359,4599,4599
1529208266,4582,4582
1529210179,4595,4595
1529212118,4621,4621
1529214038,4634,4634
1529215942,4645,4645
1529217879,4664,4664
1529219782,4824,4824
1529221702,4819,4819
1529223637,4814,4814
1529225541,4791,4791
1529227470,4822,4822
1529229393,4797,4797
1529231303,4814,4814
1529233300,4806,4806
1529235157,4844,4844
1529237073,4829,4829
1529238981,4816,4816
1529240917,4848,4848
1529242820,4847,4847
1529244747,4851,4851
1529246681,4860,4860
1529248583,4873,4873
1529250500,4821,4821
1529252439,4825,4825
1529254345,4838,4838
1529256265,4793,4793
1529258202,4806,4806
1529260100,4656,4656
1529262094,3288,3288
1529263959,3254,3254
1529265877,3184,3184
1529267778,3057,3057
1529269717,2271,2271
1529271627,2209,2209
1529273702,2201,2201
1529275714,2178,2178
1529277609,2160,2160
1529279530,2154,2154
1529281467,2136,2136
1529283370,2087,2087
1529285291,2069,2069
1529287275,2046,2046
1529289137,2036,2036
1529291054,2013,2013
1529292983,1999,1999
1529294893,1986,1986
1529296810,1966,1966
1529298753,1934,1934
1529300653,1900,1900
1529302568,1870,1870
1529304504,1834,1834
1529306410,1631,1631
1529308327,1627,1627
1529310267,1597,1597
1529312168,1581,1581
1529314090,1627,1627
1529316079,1601,1601
