DateTime,Entries,UniqueIPs
1527900308,9,9
1527904148,10,10
1527907994,8,8
1527911825,10,10
1527916446,14,14
1527918686,15,15
1527921142,15,15
1527923332,15,15
1527926033,15,15
1527926033,15,15
1527928525,15,15
1527928525,15,15
1527930868,15,15
1527930868,15,15
1527933080,15,15
1527933080,15,15
1527935222,17,17
1527935222,17,17
1527937879,17,17
1527937879,17,17
1527940240,17,17
1527940240,17,17
1527942651,17,17
1527942651,17,17
1527944975,17,17
1527944975,17,17
1527947217,17,17
1527949075,17,17
1527949075,17,17
1527951399,17,17
1527951399,17,17
1527953728,17,17
1527953728,17,17
1527956414,16,16
1527956414,16,16
1527961203,14,14
1527961203,14,14
1527965972,13,13
1527965972,13,13
1527968427,14,14
1527968427,14,14
1527970747,16,16
1527970747,16,16
1527972888,16,16
1527972888,16,16
1527974865,16,16
1527984244,16,16
1527984244,16,16
1527986649,15,15
1527986649,15,15
1527991408,15,15
1527991408,15,15
1527993829,15,15
1527993829,15,15
1527996229,15,15
1527996229,15,15
1528005412,9,9
1528009330,10,10
1528011144,9,9
1528016903,10,10
1528020747,8,8
1528043775,11,11
1528053397,12,12
1528055338,11,11
1528057225,10,10
1528061067,11,11
1528064919,10,10
1528072575,11,11
1528074539,10,10
1528087946,9,9
1528095705,8,8
1528101447,9,9
1528103301,8,8
1528107152,9,9
1528114836,10,10
1528130190,7,7
1528132137,8,8
1528139808,7,7
1528143636,6,6
1528147480,5,5
1528157068,6,6
1528159001,5,5
1528160910,6,6
1528170541,7,7
1528172435,8,8
1528182271,9,9
1528184183,12,12
1528186106,13,13
1528188022,16,16
1528189944,17,17
1528191870,19,19
1528193782,21,21
1528195700,22,22
1528197630,26,26
1528199547,29,29
1528201459,31,31
1528203384,33,33
1528207305,35,35
1528211079,36,36
1528219219,35,35
1528225004,36,36
1528236750,37,37
1528242503,36,36
1528246339,35,35
1528257868,33,33
1528267776,32,32
1528269626,32,32
1528271563,29,29
1528273470,28,28
1528275394,26,26
1528277310,26,26
1528279299,23,23
1528281160,21,21
1528283081,20,20
1528285001,15,15
1528286925,12,12
1528288827,8,8
1528292686,8,8
1528294584,10,10
1528298431,9,9
1528302279,10,10
1528304181,12,12
1528306278,13,13
1528308295,16,16
1528311718,28,28
1528313593,32,32
1528320506,49,49
1528324427,50,50
1528326787,53,53
1528331828,58,58
1528335443,73,73
1528337316,75,75
1528339241,79,79
1528341180,84,84
1528343189,86,86
1528345009,89,89
1528346909,91,91
1528348822,92,92
1528352976,95,95
1528354906,98,98
1528356749,98,98
1528358673,99,99
1528360579,100,100
1528362504,99,99
1528364426,101,101
1528366342,102,102
1528375965,104,104
1528379780,100,100
1528383699,101,101
1528387469,102,102
1528389390,100,100
1528391322,98,98
1528393228,97,97
1528395159,96,96
1528397076,86,86
1528398983,81,81
1528400924,76,76
1528402826,69,69
1528404744,65,65
1528406685,63,63
1528408588,62,62
1528411114,61,61
1528413140,58,58
1528416995,54,54
1528418899,51,51
1528420832,40,40
1528422760,37,37
1528424669,36,36
1528426635,30,30
1528428508,25,25
1528430514,24,24
1528432345,22,22
1528434261,19,19
1528438097,19,19
1528440023,15,15
1528441960,13,13
1528443860,12,12
1528445775,11,11
1528449619,10,10
1528451455,10,10
1528453462,11,11
1528461142,10,10
1528463063,9,9
1528469277,10,10
1528471215,9,9
1528473154,8,8
1528480904,7,7
1528488751,8,8
1528492601,7,7
1528498508,8,8
1528523547,7,7
1528529302,8,8
1528531298,9,9
1528533176,12,12
1528537012,11,11
1528538912,9,9
1528540833,8,8
1528552383,11,11
1528556201,11,11
1528575380,10,10
1528586029,9,9
1528607080,10,10
1528609043,11,11
1528616701,9,9
1528618585,9,9
1528620534,7,7
1528622460,8,8
1528626272,9,9
1528633959,10,10
1528635892,13,13
1528639996,10,10
1528643894,10,10
1528645725,12,12
1528647648,14,14
1528651485,16,16
1528653397,17,17
1528655360,18,18
1528657306,20,20
1528663130,21,21
1528666382,25,25
1528668675,26,26
1528672488,29,29
1528678234,30,30
1528682087,31,31
1528691649,35,35
1528693465,34,34
1528695288,36,36
1528701145,39,39
1528703078,40,40
1528704976,39,39
1528709065,40,40
1528710975,42,42
1528712913,42,42
1528716749,43,43
1528718685,49,49
1528720579,48,48
1528722524,45,45
1528724416,47,47
1528726348,49,49
1528730193,48,48
1528732206,47,47
1528734468,45,45
1528736592,46,46
1528738614,49,49
1528740616,48,48
1528742707,48,48
1528744598,47,47
1528746429,49,49
1528748418,50,50
1528750335,48,48
1528752264,47,47
1528754191,47,47
1528756102,48,48
1528760055,46,46
1528763777,45,45
1528765712,49,49
1528767626,50,50
1528769541,50,50
1528773373,51,51
1528775296,52,52
1528777234,49,49
1528782993,48,48
1528786907,47,47
1528788756,48,48
1528790662,48,48
1528792576,52,52
1528794524,50,50
1528798343,47,47
1528802177,47,47
1528804103,41,41
1528809858,42,42
1528811792,38,38
1528817563,38,38
1528823779,38,38
1528825711,33,33
1528827632,35,35
1528829536,33,33
1528831459,32,32
1528833390,32,32
1528835294,30,30
1528838914,29,29
1528840949,28,28
1528842972,27,27
1528844899,26,26
1528852571,22,22
1528854493,21,21
1528856427,21,21
1528858349,20,20
1528862186,19,19
1528864094,18,18
1528869872,17,17
1528873726,15,15
1528875622,14,14
1528877543,10,10
1528879474,10,10
1528881387,11,11
1528887146,10,10
1528889059,11,11
1528894905,11,11
1528896760,12,12
1528900578,17,17
1528902508,26,26
1528904424,30,30
1528906357,38,38
1528908267,48,48
1528910184,57,57
1528912116,64,64
1528914017,73,73
1528915959,79,79
1528918915,94,94
1528920754,95,95
1528922662,99,99
1528924593,103,103
1528926500,110,110
1528928439,115,115
1528931674,127,127
1528933476,129,129
1528935399,131,131
1528937431,138,138
1528939235,146,146
1528941145,153,153
1528943063,155,155
1528946186,162,162
1528948091,169,169
1528950012,178,178
1528951947,180,180
1528953855,184,184
1528955771,193,193
1528957710,197,197
1528959752,205,205
1528961775,212,212
1528963703,217,217
1528965634,222,222
1528967535,223,223
1528969471,222,222
1528977135,222,222
1528980982,222,222
1528982916,221,221
1528986756,219,219
1528988665,209,209
1528990578,207,207
1528992538,201,201
1528994419,193,193
1528996344,183,183
1528998274,174,174
1529000186,166,166
1529002099,160,160
1529004030,148,148
1529005942,142,142
1529007856,137,137
1529009789,136,136
1529011859,130,130
1529013744,127,127
1529016831,116,116
1529018672,112,112
1529020575,110,110
1529022510,106,106
1529024503,101,101
1529026339,91,91
1529028282,87,87
1529030179,84,84
1529032102,80,80
1529034031,72,72
1529035946,63,63
1529037860,60,60
1529039793,56,56
1529041705,49,49
1529043635,44,44
1529045554,37,37
1529047470,31,31
1529049391,27,27
1529051305,19,19
1529053303,19,19
1529057069,20,20
1529058980,22,22
1529060921,23,23
1529062819,24,24
1529067858,24,24
1529069785,27,27
1529071713,29,29
1529073620,30,30
1529075551,30,30
1529077471,27,27
1529079378,25,25
1529081308,26,26
1529083234,28,28
1529087080,30,30
1529088982,35,35
1529091784,37,37
1529093884,39,39
1529096015,40,40
1529097844,39,39
1529099865,39,39
1529101740,39,39
1529103761,40,40
1529105579,43,43
1529107460,44,44
1529109398,44,44
1529111323,48,48
1529115150,49,49
1529117100,51,51
1529118988,53,53
1529122834,57,57
1529124780,58,58
1529128612,59,59
1529130758,60,60
1529132662,61,61
1529134587,61,61
1529136547,63,63
1529138422,62,62
1529142293,64,64
1529144199,63,63
1529146100,68,68
1529148054,69,69
1529149944,70,70
1529151880,72,72
1529153798,75,75
1529155715,74,74
1529157700,73,73
1529159583,75,75
1529161466,74,74
1529165338,77,77
1529167258,78,78
1529169142,80,80
1529171245,82,82
1529173226,83,83
1529175134,79,79
