DateTime,AddedIPs,RemovedIPs
1528341180,2,2
1528343189,3,3
1528345010,2,2
1528346909,0,2
1528348823,6,3
1528350767,0,3
1528352976,4,3
1528354906,3,2
1528356750,13,5
1528358673,9,1
1528360579,6,2
1528362504,4,2
1528364427,9,2
1528366342,4,1
1528368264,2,2
1528370186,2,4
1528372099,3,2
1528374031,1,2
1528375965,1,3
1528377858,5,7
1528379780,1,6
1528381640,2,0
1528383700,2,1
1528385563,4,1
1528387469,6,3
1528389390,3,6
1528391323,4,2
1528393229,2,4
1528395160,4,0
1528397076,3,2
1528398983,4,4
1528400925,4,6
1528402826,5,2
1528404744,4,2
1528406685,2,2
1528408588,5,0
1528411114,2,1
1528413140,2,3
1528415086,7,6
1528416996,1,5
1528418900,5,3
1528420832,3,2
1528422760,2,2
1528424669,1,4
1528426636,3,2
1528428508,3,1
1528430514,2,3
1528432346,8,1
1528434262,9,4
1528436074,3,3
1528438098,2,3
1528440023,4,0
1528441960,2,7
1528443860,9,11
1528445776,8,9
1528447710,4,5
1528449620,1,7
1528451455,4,7
1528453463,4,3
1528455371,4,0
1528457299,10,6
1528459302,14,3
1528461142,5,0
1528463063,10,3
1528465161,3,2
1528467062,5,2
1528469277,2,2
1528471216,5,1
1528473155,5,4
1528475056,5,6
1528476974,4,3
1528478892,5,3
1528480904,5,2
1528482746,2,1
1528484661,5,3
1528486880,13,12
1528488752,4,5
1528490663,0,6
1528492602,4,3
1528494507,4,2
1528496443,4,2
1528498508,1,3
1528500515,2,6
1528502534,5,4
1528504364,5,0
1528506274,11,3
1528508194,2,1
1528510197,5,6
1528512025,1,3
1528513947,4,4
1528515893,9,1
1528517791,1,7
1528519708,3,6
1528521643,5,8
1528523547,4,5
1528525478,12,4
1528527402,4,2
1528529302,2,6
1528531298,3,6
1528533176,3,8
1528535075,0,2
1528537012,3,5
1528538912,4,3
1528540833,2,2
1528542764,3,8
1528544692,5,5
1528546603,3,8
1528548513,1,6
1528550428,2,4
1528552383,4,4
1528554284,3,3
1528556202,3,6
1528558106,0,7
1528560107,2,4
1528561967,3,4
1528563882,3,4
1528565807,2,3
1528567713,2,5
1528569622,3,6
1528571542,8,3
1528573462,2,12
1528575381,3,4
1528577311,8,2
1528579222,3,1
1528581159,3,3
1528583082,1,3
1528586029,22,3
1528587881,4,4
1528589818,3,5
1528591712,1,12
1528593661,0,2
1528595566,2,5
1528597499,4,2
1528599397,0,1
1528601326,2,10
1528603311,4,2
1528605190,1,3
1528607081,5,4
1528609044,2,8
1528610940,13,3
1528612884,3,12
1528614766,3,0
1528616702,3,3
1528618586,1,1
1528620535,4,1
1528622461,2,3
1528624368,3,4
1528626273,6,2
1528628219,1,2
1528630102,0,7
1528632110,3,3
1528633960,3,3
1528635892,1,3
1528637791,8,2
1528639996,6,4
1528641875,2,3
1528643895,1,1
1528645726,14,2
1528647649,3,0
1528649563,1,4
1528651485,2,4
1528653398,2,1
1528655361,6,4
1528657307,2,6
1528659174,1,4
1528661075,10,2
1528663131,21,8
1528666383,6,3
1528668675,5,5
1528670580,1,2
1528672489,6,19
1528674415,5,2
1528676342,2,4
1528678234,1,1
1528680172,1,0
1528682087,3,3
1528684004,4,6
1528685935,3,1
1528687847,6,4
1528689699,2,5
1528691649,5,1
1528693465,3,5
1528695289,5,0
1528697333,0,13
1528699221,4,4
1528701145,3,5
1528703078,2,3
1528704977,2,1
1528707164,4,4
1528709066,2,2
1528710975,1,0
1528712914,1,6
1528714895,4,2
1528716749,4,0
1528718686,5,4
1528720579,8,2
1528722525,1,3
1528724417,4,7
1528726349,1,4
1528728268,7,2
1528730193,3,0
1528732206,4,13
1528734468,3,5
1528736592,3,3
1528738614,1,1
1528740616,4,9
1528742708,3,7
1528744599,10,1
1528746430,2,2
1528748419,8,29
1528750335,3,3
1528752264,6,4
1528754191,5,4
1528756102,6,2
1528758116,4,7
1528760056,5,2
1528761874,3,2
1528763777,3,1
1528765713,3,1
1528767626,8,3
1528769541,3,3
1528771471,1,4
1528773373,2,2
1528775297,1,3
1528777234,1,7
1528779142,1,4
1528781060,4,1
1528782993,5,2
1528784903,4,2
1528786908,10,4
1528788756,3,3
1528790663,0,4
1528792577,3,2
1528794525,5,4
1528796420,3,2
1528798344,1,3
1528800278,6,3
1528802178,8,2
1528804103,8,2
1528806061,5,9
1528807938,200,5
1528809858,2,1
1528811792,3,1
1528813700,5,2
1528815719,4,5
1528817564,5,3
1528819895,6,1
1528821875,4,2
1528823779,1,3
1528825712,2,1
1528827632,1,5
1528829536,5,4
1528831460,6,7
1528833391,2,3
1528835294,6,4
1528837111,5,2
1528838914,7,3
1528840950,1,4
1528842973,9,5
1528844900,9,1
1528846833,1,4
1528848736,3,4
1528850669,6,2
1528852572,5,3
1528854493,2,6
1528856427,10,2
1528858349,1,1
1528862187,4,1
1528864095,1,6
1528866109,7,2
1528867956,2,7
1528869872,5,4
1528871779,3,7
1528873726,3,11
1528875623,2,2
1528877544,5,1
1528879474,5,4
1528881387,9,2
1528883299,6,2
1528885234,3,5
1528887147,3,3
