DateTime,AddedIPs,RemovedIPs
1528343193,41,59
1528345012,37,43
1528346912,39,30
1528348825,37,51
1528350770,39,50
1528352979,60,36
1528354908,42,38
1528356752,48,32
1528358676,52,44
1528360581,35,96
1528362507,53,96
1528364429,42,38
1528366345,32,37
1528368266,31,73
1528370188,32,26
1528372101,39,40
1528374033,30,67
1528375967,40,45
1528377860,62,61
1528379782,48,53
1528381642,28,49
1528383702,50,50
1528385565,43,49
1528387471,51,65
1528389392,50,58
1528391325,66,48
1528393231,41,61
1528395162,44,52
1528397078,33,29
1528398985,57,40
1528400927,45,62
1528402828,70,111
1528404746,44,57
1528406687,47,63
1528408590,64,37
1528411116,48,81
1528413143,52,138
1528415088,74,44
1528416998,37,46
1528418902,30,54
1528420835,45,43
1528422763,36,49
1528424671,42,43
1528426638,37,45
1528428510,40,35
1528430516,41,43
1528432348,22,34
1528434264,21,51
1528436076,31,37
1528438100,26,37
1528440025,30,65
1528441963,26,51
1528443862,21,52
1528445778,26,42
1528447712,27,71
1528449622,40,52
1528451457,34,46
1528453464,46,44
1528455372,26,31
1528457300,60,29
1528459303,38,46
1528461143,100,47
1528463064,128,39
1528465162,76,74
1528467063,39,43
1528469279,45,54
1528471217,38,49
1528473156,28,74
1528475057,37,41
1528476975,49,56
1528478894,53,77
1528480905,393,41
1528482748,36,37
1528484662,35,52
1528486882,51,45
1528488753,28,70
1528490664,46,36
1528492603,43,44
1528494508,44,57
1528496445,37,44
1528498510,52,37
1528500518,43,60
1528502536,36,32
1528504366,39,31
1528506276,40,37
1528508197,33,48
1528510199,37,53
1528512026,25,36
1528513948,30,38
1528515895,29,53
1528517792,22,34
1528519709,32,28
1528521644,51,23
1528523548,33,22
1528525480,22,32
1528527404,29,34
1528529304,23,22
1528531300,20,18
1528533179,17,32
1528535077,1045,40
1528537014,2579,46
1528538915,2001,37
1528540836,26,32
1528542767,29,46
1528544695,43,42
1528546606,26,52
1528548515,35,116
1528550431,39,113
1528552385,40,27
1528554286,41,36
1528556204,37,34
1528558108,19,40
1528560109,30,34
1528561969,37,37
1528563885,47,48
1528565810,47,41
1528567716,37,33
1528569625,34,35
1528571545,26,20
1528573463,21,25
1528575383,20,36
1528577313,20,34
1528579224,27,121
1528581161,37,607
1528583084,59,44
1528586031,52,54
1528587883,32,35
1528589820,38,38
1528591714,26,31
1528593663,36,42
1528595569,29,36
1528597501,24,36
1528599399,34,30
1528601328,21,42
1528603312,37,17
1528605192,27,23
1528607083,38,49
1528609046,48,38
1528610942,55,24
1528612887,35,27
1528614769,33,34
1528616704,28,17
1528618588,34,23
1528620538,29,27
1528622463,30,184
1528624371,18,48
1528626275,52,41
1528628222,37,32
1528630105,35,35
1528632112,36,39
1528633962,25,19
1528635895,31,50
1528637794,46,39
1528639999,250,55
1528641877,215,35
1528643898,199,38
1528645728,153,32
1528647651,33,27
1528649566,47,43
1528651488,37,42
1528653400,46,45
1528655363,77,41
1528657309,42,30
1528659176,28,29
1528661077,72,25
1528663133,27,23
1528666385,94,50
1528668677,34,58
1528670582,38,46
1528672491,37,25
1528674417,25,42
1528676344,29,40
1528678236,33,25
1528680174,33,43
1528682089,31,31
1528684006,33,27
1528685937,28,40
1528687848,39,26
1528689701,27,37
1528691651,43,25
1528693467,26,21
1528695291,28,45
1528697338,36,72
1528699223,34,35
1528701148,27,38
1528703081,24,2256
1528704979,1462,2435
1528707166,4778,643
1528709068,21,31
1528710977,29,23
1528712916,42,60
1528714897,41,27
1528716751,35,34
1528718688,27,34
1528720581,46,27
1528722527,38,24
1528724419,27,53
1528726351,46,139
1528728270,31,156
1528730195,30,154
1528732208,30,118
1528734470,51,30
1528736594,52,60
1528738616,61,40
1528740618,37,54
1528742709,52,73
1528744600,77,37
1528746432,38,27
1528748421,29,64
1528750337,79,22
1528752266,89,66
1528754193,58,35
1528756104,40,33
1528758118,47,53
1528760058,38,28
1528761876,45,29
1528763779,38,28
1528765714,37,39
1528767628,24,33
1528769543,43,44
1528771473,34,22
1528773375,31,25
1528775298,29,45
1528777236,38,31
1528779143,20,34
1528781062,36,29
1528782995,24,26
1528784905,26,40
1528786909,53,31
1528788758,34,21
1528790664,32,18
1528792578,30,32
1528794527,23,35
1528796422,27,29
1528798345,24,43
1528800279,29,25
1528802179,34,50
1528804105,39,44
1528806062,36,27
1528807939,45,57
1528809860,33,32
1528811794,28,36
1528813702,40,40
1528815720,45,32
1528817565,99,4048
1528819897,817,2297
1528821877,48,31
1528823781,37,34
1528825714,34,37
1528827635,34,40
1528829538,53,67
1528831462,46,48
1528833393,42,32
1528835295,29,30
1528837113,28,35
1528838915,21,30
1528840951,150,41
1528842974,143,42
1528844901,38,45
1528846834,46,33
1528848737,42,42
1528850670,29,40
1528852573,27,41
1528854495,31,36
1528856429,20,45
1528858351,33,55
1528860257,36,32
1528862188,31,27
1528864096,38,40
1528866110,31,33
1528867958,21,33
1528869874,21,32
1528871780,22,41
1528873728,35,55
1528875624,40,41
1528877545,37,26
1528879476,21,35
1528881389,51,23
1528883301,34,35
1528885237,19,31
1528887149,36,44
1528889062,28,34
1528890995,29,62
1528892905,33,63
1528894907,33,39
