DateTime,Entries,UniqueIPs
1528343193,3818,3818
1528345012,3812,3812
1528346912,3821,3821
1528348825,3807,3807
1528350770,3796,3796
1528352979,3820,3820
1528354908,3824,3824
1528356752,3840,3840
1528358676,3848,3848
1528360581,3787,3787
1528362507,3744,3744
1528364429,3748,3748
1528366345,3743,3743
1528368266,3701,3701
1528370188,3707,3707
1528372101,3706,3706
1528374033,3669,3669
1528375967,3664,3664
1528377860,3665,3665
1528379782,3660,3660
1528381642,3639,3639
1528383702,3639,3639
1528385565,3633,3633
1528387471,3619,3619
1528389392,3611,3611
1528391325,3629,3629
1528393231,3609,3609
1528395162,3601,3601
1528397078,3605,3605
1528398985,3622,3622
1528400927,3605,3605
1528402828,3564,3564
1528404746,3551,3551
1528406687,3535,3535
1528408590,3562,3562
1528411116,3529,3529
1528413143,3443,3443
1528415088,3473,3473
1528416998,3464,3464
1528418902,3440,3440
1528420835,3442,3442
1528422763,3429,3429
1528424671,3428,3428
1528426638,3420,3420
1528428510,3425,3425
1528430516,3423,3423
1528432348,3411,3411
1528434264,3381,3381
1528436076,3375,3375
1528438100,3364,3364
1528440025,3329,3329
1528441963,3304,3304
1528443862,3273,3273
1528445778,3257,3257
1528447712,3213,3213
1528449622,3201,3201
1528451457,3189,3189
1528453464,3191,3191
1528455372,3186,3186
1528457300,3217,3217
1528459303,3209,3209
1528461143,3262,3262
1528463064,3351,3351
1528465162,3353,3353
1528467063,3349,3349
1528469279,3340,3340
1528471217,3329,3329
1528473156,3283,3283
1528475057,3279,3279
1528476975,3272,3272
1528478894,3248,3248
1528480905,3600,3600
1528482748,3599,3599
1528484662,3582,3582
1528486882,3588,3588
1528488753,3546,3546
1528490664,3556,3556
1528492603,3555,3555
1528494508,3542,3542
1528496445,3535,3535
1528498510,3550,3550
1528500518,3533,3533
1528502536,3537,3537
1528504366,3545,3545
1528506276,3548,3548
1528508197,3533,3533
1528510199,3517,3517
1528512026,3506,3506
1528513948,3498,3498
1528515895,3474,3474
1528517792,3462,3462
1528519709,3466,3466
1528521644,3494,3494
1528523548,3505,3505
1528525480,3495,3495
1528527404,3490,3490
1528529304,3491,3491
1528531300,3493,3493
1528533179,3478,3478
1528535077,4483,4483
1528537014,7016,7016
1528538915,8980,8980
1528540836,8974,8974
1528542767,8957,8957
1528544695,8958,8958
1528546606,8932,8932
1528548515,8851,8851
1528550431,8777,8777
1528552385,8790,8790
1528554286,8795,8795
1528556204,8798,8798
1528558108,8777,8777
1528560109,8773,8773
1528561969,8773,8773
1528563885,8772,8772
1528565810,8778,8778
1528567716,8782,8782
1528569625,8781,8781
1528571545,8787,8787
1528573463,8783,8783
1528575383,8767,8767
1528577313,8753,8753
1528579224,8659,8659
1528581161,8089,8089
1528583084,8104,8104
1528586031,8102,8102
1528587883,8099,8099
1528589820,8099,8099
1528591714,8094,8094
1528593663,8088,8088
1528595569,8081,8081
1528597501,8069,8069
1528599399,8073,8073
1528601328,8052,8052
1528603312,8072,8072
1528605192,8076,8076
1528607083,8065,8065
1528609046,8075,8075
1528610942,8106,8106
1528612887,8114,8114
1528614769,8113,8113
1528616704,8124,8124
1528618588,8135,8135
1528620538,8137,8137
1528622463,7983,7983
1528624371,7953,7953
1528626275,7964,7964
1528628222,7969,7969
1528630105,7969,7969
1528632112,7966,7966
1528633962,7972,7972
1528635895,7953,7953
1528637794,7960,7960
1528639999,8155,8155
1528641877,8335,8335
1528643898,8496,8496
1528645728,8617,8617
1528647651,8623,8623
1528649566,8627,8627
1528651488,8622,8622
1528653400,8623,8623
1528655363,8659,8659
1528657309,8671,8671
1528659176,8670,8670
1528661077,8717,8717
1528663133,8721,8721
1528666385,8765,8765
1528668677,8741,8741
1528670582,8733,8733
1528672491,8745,8745
1528674417,8728,8728
1528676344,8717,8717
1528678236,8725,8725
1528680174,8715,8715
1528682089,8715,8715
1528684006,8721,8721
1528685937,8709,8709
1528687848,8722,8722
1528689701,8712,8712
1528691651,8730,8730
1528693467,8735,8735
1528695291,8718,8718
1528697338,8682,8682
1528699223,8681,8681
1528701148,8670,8670
1528703081,6438,6438
1528704979,5465,5465
1528707166,9600,9600
1528709068,9590,9590
1528710977,9596,9596
1528712916,9578,9578
1528714897,9592,9592
1528716751,9593,9593
1528718688,9586,9586
1528720581,9605,9605
1528722527,9619,9619
1528724419,9593,9593
1528726351,9500,9500
1528728270,9375,9375
1528730195,9251,9251
1528732208,9163,9163
1528734470,9184,9184
1528736594,9176,9176
1528738616,9197,9197
1528740618,9180,9180
1528742709,9159,9159
1528744600,9199,9199
1528746432,9210,9210
1528748421,9175,9175
1528750337,9232,9232
1528752266,9255,9255
1528754193,9278,9278
1528756104,9285,9285
1528758118,9279,9279
1528760058,9289,9289
1528761876,9305,9305
1528763779,9315,9315
1528765714,9313,9313
1528767628,9304,9304
1528769543,9303,9303
1528771473,9315,9315
1528773375,9321,9321
1528775298,9305,9305
1528777236,9312,9312
1528779143,9298,9298
1528781062,9305,9305
1528782995,9303,9303
1528784905,9289,9289
1528786909,9311,9311
1528788758,9324,9324
1528790664,9338,9338
1528792578,9336,9336
1528794527,9324,9324
1528796422,9322,9322
1528798345,9303,9303
1528800279,9307,9307
1528802179,9291,9291
1528804105,9286,9286
1528806062,9295,9295
1528807939,9283,9283
1528809860,9284,9284
1528811794,9276,9276
1528813702,9276,9276
1528815720,9289,9289
1528817565,5340,5340
1528819897,3860,3860
1528821877,3877,3877
1528823781,3880,3880
1528825714,3877,3877
1528827635,3871,3871
1528829538,3857,3857
1528831462,3855,3855
1528833393,3865,3865
1528835295,3864,3864
1528837113,3857,3857
1528838915,3848,3848
1528840951,3957,3957
1528842974,4058,4058
1528844901,4051,4051
1528846834,4064,4064
1528848737,4064,4064
1528850670,4053,4053
1528852573,4039,4039
1528854495,4034,4034
1528856429,4009,4009
1528858351,3987,3987
1528860257,3991,3991
1528862188,3995,3995
1528864096,3993,3993
1528866110,3991,3991
1528867958,3979,3979
1528869874,3968,3968
1528871780,3949,3949
1528873728,3929,3929
1528875624,3928,3928
1528877545,3939,3939
1528879476,3925,3925
1528881389,3953,3953
1528883301,3952,3952
1528885237,3940,3940
1528887149,3932,3932
1528889062,3926,3926
1528890995,3893,3893
1528892905,3863,3863
1528894907,3857,3857
1528896762,3818,3818
1528898670,3797,3797
1528900580,3778,3778
1528902510,3759,3759
1528904426,3768,3768
1528906359,3744,3744
1528908269,3727,3727
1528910187,3724,3724
1528912118,3754,3754
1528914020,3859,3859
1528915961,3945,3945
1528918918,3994,3994
1528920755,4053,4053
1528922664,4075,4075
1528924595,4079,4079
1528926502,4042,4042
1528928441,3901,3901
1528931676,3888,3888
1528933478,3884,3884
1528935401,3904,3904
1528937433,3932,3932
1528939237,3935,3935
1528941147,3937,3937
1528943065,3936,3936
1528946188,3936,3936
1528948093,3932,3932
1528950014,3945,3945
1528951948,3953,3953
1528953857,3986,3986
1528955773,3997,3997
1528957712,4007,4007
1528959754,4019,4019
1528961777,4000,4000
1528963705,4024,4024
1528965637,4040,4040
1528967538,4044,4044
1528969474,4233,4233
1528971379,4420,4420
1528973312,4543,4543
1528975221,4624,4624
1528977137,4706,4706
1528979066,4766,4766
1528980984,4805,4805
1528982919,4843,4843
1528984899,4872,4872
1528986758,4892,4892
1528988667,4839,4839
1528990580,4048,4048
1528992541,4072,4072
1528994422,4078,4078
1528996346,4082,4082
1528998277,4107,4107
1529000189,4104,4104
1529002102,4088,4088
1529004032,4047,4047
1529005944,4037,4037
1529007858,4017,4017
1529009791,4038,4038
1529011861,4035,4035
1529013746,4015,4015
1529016833,3947,3947
1529018674,3881,3881
1529020576,3777,3777
1529022512,3592,3592
1529024505,3602,3602
1529026341,3596,3596
1529028284,3602,3602
1529030180,3612,3612
1529032104,3601,3601
1529034033,3595,3595
1529035948,3603,3603
1529037862,3634,3634
1529039795,3725,3725
1529041707,3724,3724
1529043637,3726,3726
1529045556,3726,3726
1529047472,3709,3709
1529049393,3682,3682
1529051309,3675,3675
1529053305,3686,3686
1529055159,3677,3677
1529057072,3654,3654
1529058982,3638,3638
1529060923,3644,3644
1529062821,3591,3591
1529065898,3504,3504
1529067861,3489,3489
1529069787,3478,3478
1529071715,3465,3465
1529073622,3446,3446
1529075553,3431,3431
1529077473,3433,3433
1529079380,3412,3412
1529081309,3419,3419
1529083236,3407,3407
1529085137,3381,3381
1529087082,3329,3329
1529088984,3334,3334
1529091786,3324,3324
1529093886,3305,3305
1529096017,3297,3297
1529097846,3314,3314
1529099867,3307,3307
1529101742,3323,3323
1529103763,3320,3320
1529105581,3309,3309
1529107462,3279,3279
1529109400,3288,3288
1529111325,3270,3270
1529113246,3276,3276
1529115152,3284,3284
1529117103,3270,3270
1529118990,3308,3308
1529120937,3310,3310
1529122836,3281,3281
1529124782,3195,3195
1529126661,3128,3128
1529128613,3142,3142
1529130760,3132,3132
1529132664,3130,3130
1529134589,3105,3105
1529136549,3397,3397
1529138424,5039,5039
1529140379,5425,5425
1529142295,5420,5420
1529144201,5427,5427
1529146102,5417,5417
1529148056,5450,5450
1529149946,5510,5510
1529151882,5550,5550
1529153800,5575,5575
1529155717,5587,5587
1529157702,5598,5598
1529159585,5617,5617
1529161468,5618,5618
1529163397,5557,5557
1529165340,5555,5555
1529167260,5554,5554
1529169144,5566,5566
1529171247,5571,5571
1529173229,5568,5568
1529175136,5569,5569
1529177058,5575,5575
1529178988,5569,5569
1529180897,5562,5562
1529182905,5563,5563
1529184753,5695,5695
1529186677,5814,5814
1529189079,5834,5834
1529190985,5897,5897
1529192907,5901,5901
