DateTime,AddedIPs,RemovedIPs
1528343195,17,11
1528345013,17,21
1528346912,21,9
1528348825,15,10
1528350770,21,13
1528352980,28,8
1528354909,12,8
1528356753,10,11
1528358676,19,18
1528360582,18,22
1528362507,12,14
1528364430,11,12
1528366345,11,13
1528368267,13,10
1528370189,12,8
1528372102,12,9
1528374034,9,20
1528375968,17,16
1528377861,17,19
1528379783,17,13
1528381643,10,14
1528383702,17,13
1528385565,18,10
1528387472,10,12
1528389393,12,9
1528391326,17,10
1528393231,11,8
1528395163,15,21
1528397079,13,18
1528398986,18,11
1528400927,16,25
1528402829,16,69
1528404747,20,18
1528406688,24,24
1528408592,10,11
1528411117,13,50
1528413143,14,57
1528415089,16,13
1528416999,12,14
1528418903,13,14
1528420835,5,24
1528422763,15,14
1528424672,15,14
1528426639,11,18
1528428511,8,13
1528430517,4,14
1528432349,10,21
1528434264,13,21
1528436077,11,11
1528438101,9,15
1528440026,11,23
1528441963,11,11
1528443863,12,12
1528445778,19,13
1528447713,11,19
1528449623,8,14
1528451458,9,15
1528453465,9,16
1528455373,23,14
1528457301,13,14
1528459303,6,16
1528461144,13,15
1528463065,13,18
1528465163,8,27
1528467064,11,13
1528469280,8,25
1528471218,11,18
1528473157,10,16
1528475058,27,19
1528476976,17,18
1528478894,33,24
1528480906,9,16
1528482748,11,28
1528484663,9,19
1528486882,7,28
1528488754,10,22
1528490665,19,23
1528492604,6,26
1528494509,23,36
1528496446,17,25
1528498511,27,21
1528500518,28,21
1528502537,15,21
1528504367,7,16
1528506276,14,20
1528508197,12,7
1528510200,17,28
1528512027,12,11
1528513949,12,17
1528515895,7,11
1528517793,11,7
1528519710,10,18
1528521645,17,14
1528523549,8,12
1528525481,13,10
1528527404,6,15
1528529305,4,16
1528531301,12,15
1528533181,8,15
1528535077,1065,12
1528537015,2604,14
1528538916,2042,13
1528540837,9,13
1528542768,13,14
1528544696,11,11
1528546607,9,11
1528548516,10,8
1528550432,14,11
1528552386,10,9
1528554288,7,15
1528556205,12,6
1528558109,9,15
1528560110,10,7
1528561970,9,19
1528563886,24,35
