DateTime,Entries,UniqueIPs
1528343195,1227,1227
1528345013,1223,1223
1528346912,1235,1235
1528348825,1240,1240
1528350770,1248,1248
1528352980,1268,1268
1528354909,1272,1272
1528356753,1271,1271
1528358676,1272,1272
1528360582,1268,1268
1528362507,1266,1266
1528364430,1265,1265
1528366345,1263,1263
1528368267,1266,1266
1528370189,1270,1270
1528372102,1273,1273
1528374034,1262,1262
1528375968,1263,1263
1528377861,1261,1261
1528379783,1265,1265
1528381643,1261,1261
1528383702,1265,1265
1528385565,1273,1273
1528387472,1271,1271
1528389393,1274,1274
1528391326,1281,1281
1528393231,1284,1284
1528395163,1278,1278
1528397079,1273,1273
1528398986,1280,1280
1528400927,1271,1271
1528402829,1218,1218
1528404747,1220,1220
1528406688,1220,1220
1528408592,1219,1219
1528411117,1182,1182
1528413143,1139,1139
1528415089,1142,1142
1528416999,1140,1140
1528418903,1139,1139
1528420835,1120,1120
1528422763,1121,1121
1528424672,1122,1122
1528426639,1115,1115
1528428511,1110,1110
1528430517,1100,1100
1528432349,1089,1089
1528434264,1081,1081
1528436077,1081,1081
1528438101,1075,1075
1528440026,1063,1063
1528441963,1063,1063
1528443863,1063,1063
1528445778,1069,1069
1528447713,1061,1061
1528449623,1055,1055
1528451458,1049,1049
1528453465,1042,1042
1528455373,1051,1051
1528457301,1050,1050
1528459303,1040,1040
1528461144,1038,1038
1528463065,1033,1033
1528465163,1014,1014
1528467064,1012,1012
1528469280,995,995
1528471218,988,988
1528473157,982,982
1528475058,990,990
1528476976,989,989
1528478894,998,998
1528480906,991,991
1528482748,974,974
1528484663,964,964
1528486882,943,943
1528488754,931,931
1528490665,927,927
1528492604,907,907
1528494509,894,894
1528496446,886,886
1528498511,892,892
1528500518,899,899
1528502537,893,893
1528504367,884,884
1528506276,878,878
1528508197,883,883
1528510200,872,872
1528512027,873,873
1528513949,868,868
1528515895,864,864
1528517793,868,868
1528519710,860,860
1528521645,863,863
1528523549,859,859
1528525481,862,862
1528527404,853,853
1528529305,841,841
1528531301,838,838
1528533181,831,831
1528535077,1884,1884
1528537015,4474,4474
1528538916,6503,6503
1528540837,6499,6499
1528542768,6498,6498
1528544696,6498,6498
1528546607,6496,6496
1528548516,6498,6498
1528550432,6501,6501
1528552386,6502,6502
1528554288,6494,6494
1528556205,6500,6500
1528558109,6494,6494
1528560110,6497,6497
1528561970,6487,6487
1528563886,6476,6476
1528565811,6474,6474
1528567717,6475,6475
1528569626,6484,6484
1528571545,6492,6492
1528573465,6485,6485
1528575384,6479,6479
1528577314,6466,6466
1528579225,6469,6469
1528581162,6451,6451
1528583085,6454,6454
1528586032,6428,6428
1528587884,6426,6426
1528589821,6421,6421
1528591716,6422,6422
1528593664,6424,6424
1528595570,6423,6423
1528597502,6411,6411
1528599400,6407,6407
1528601329,6402,6402
1528603313,6402,6402
1528605194,6398,6398
1528607084,6392,6392
1528609047,6392,6392
1528610944,6402,6402
1528612888,6404,6404
1528614770,6404,6404
1528616705,6404,6404
1528618589,6400,6400
1528620539,6396,6396
1528622464,6242,6242
1528624372,6223,6223
1528626276,6220,6220
1528628223,6223,6223
1528630106,6212,6212
1528632113,6217,6217
1528633963,6214,6214
1528635896,6208,6208
1528637795,6217,6217
1528640000,6207,6207
1528641878,6202,6202
1528643899,6200,6200
1528645729,6194,6194
1528647652,6195,6195
1528649567,6177,6177
1528651489,6185,6185
1528653401,6176,6176
1528655363,6172,6172
1528657310,6164,6164
1528659177,6167,6167
1528661078,6171,6171
1528663134,6172,6172
1528666386,6163,6163
1528668678,6154,6154
1528670583,6164,6164
1528672492,6167,6167
1528674418,6158,6158
1528676345,6171,6171
1528678237,6161,6161
1528680175,6158,6158
1528682090,6159,6159
1528684007,6161,6161
1528685938,6152,6152
1528687849,6151,6151
1528689702,6148,6148
1528691652,6156,6156
1528693468,6159,6159
1528695292,6155,6155
1528697339,6149,6149
1528699225,6157,6157
1528701149,6160,6160
1528703082,3875,3875
1528704980,2948,2948
1528707167,7403,7403
1528709069,7400,7400
1528710978,7405,7405
1528712917,7396,7396
1528714898,7396,7396
1528716753,7400,7400
1528718689,7389,7389
1528720583,7408,7408
1528722528,7406,7406
1528724420,7393,7393
1528726352,7398,7398
1528728271,7392,7392
1528730196,7393,7393
1528732209,7399,7399
1528734471,7403,7403
1528736595,7407,7407
1528738617,7413,7413
1528740619,7415,7415
1528742710,7425,7425
1528744601,7433,7433
1528746433,7445,7445
1528748422,7445,7445
1528750338,7453,7453
1528752267,7470,7470
1528754194,7470,7470
1528756105,7481,7481
1528758119,7484,7484
1528760059,7514,7514
1528761877,7516,7516
1528763780,7521,7521
1528765715,7539,7539
1528767629,7546,7546
1528769544,7556,7556
1528771474,7567,7567
1528773376,7577,7577
1528775299,7570,7570
1528777237,7585,7585
1528779144,7588,7588
1528781063,7596,7596
1528782996,7597,7597
1528784906,7594,7594
1528786910,7601,7601
1528788759,7610,7610
1528790665,7610,7610
1528792579,7604,7604
1528794529,7600,7600
1528796423,7602,7602
1528798346,7596,7596
1528800280,7602,7602
1528802180,7595,7595
1528804106,7611,7611
1528806063,7618,7618
1528807940,7600,7600
1528809861,7603,7603
1528811795,7614,7614
1528813703,7618,7618
1528815721,7621,7621
1528817566,3564,3564
1528819898,2013,2013
1528821878,2034,2034
1528823782,2041,2041
1528825715,2043,2043
1528827636,2046,2046
1528829538,2049,2049
1528831462,2050,2050
1528833393,2048,2048
1528835296,2046,2046
1528837113,2046,2046
1528838916,2046,2046
1528840952,2048,2048
1528842975,2054,2054
1528844902,2045,2045
1528846835,2043,2043
1528848738,2048,2048
1528850671,2035,2035
1528852573,2033,2033
1528854495,2026,2026
1528856429,2010,2010
1528858351,2001,2001
1528860257,1997,1997
1528862189,1991,1991
1528864096,1969,1969
1528866111,1967,1967
1528867958,1954,1954
1528869874,1946,1946
1528871781,1934,1934
1528873728,1915,1915
1528875625,1916,1916
1528877546,1916,1916
1528879477,1910,1910
1528881390,1903,1903
1528883302,1900,1900
1528885238,1898,1898
1528887149,1889,1889
1528889063,1879,1879
1528890996,1872,1872
1528892906,1867,1867
1528894908,1858,1858
1528896763,1859,1859
1528898671,1843,1843
1528900581,1826,1826
1528902511,1816,1816
1528904427,1820,1820
1528906360,1807,1807
1528908270,1785,1785
1528910187,1778,1778
1528912119,1783,1783
1528914020,1800,1800
1528915962,1812,1812
1528918918,1844,1844
1528920756,1875,1875
1528922665,1890,1890
1528924596,1909,1909
1528926503,1919,1919
1528928441,1944,1944
1528931677,1960,1960
1528933478,1968,1968
1528935402,1972,1972
1528937434,1973,1973
1528939238,1969,1969
1528941147,1974,1974
1528943066,1970,1970
1528946189,1972,1972
1528948094,1976,1976
1528950015,1976,1976
1528951949,1966,1966
1528953858,1983,1983
1528955774,1987,1987
1528957712,1984,1984
1528959755,1981,1981
1528961778,1974,1974
1528963706,1971,1971
1528965638,1970,1970
1528967538,1981,1981
1528969475,2000,2000
1528971380,2027,2027
1528973313,2062,2062
1528975222,2076,2076
1528977138,2098,2098
1528979067,2130,2130
1528980985,2163,2163
1528982919,2184,2184
1528984900,2205,2205
1528986759,2227,2227
1528988668,2189,2189
1528990581,1347,1347
1528992542,1358,1358
1528994423,1367,1367
1528996347,1374,1374
1528998278,1389,1389
1529000189,1394,1394
1529002102,1394,1394
1529004033,1369,1369
1529005945,1348,1348
1529007859,1338,1338
1529009791,1320,1320
1529011861,1299,1299
1529013747,1275,1275
1529016833,1229,1229
1529018674,1208,1208
1529020577,1199,1199
1529022513,1169,1169
1529024506,1186,1186
1529026341,1188,1188
1529028285,1180,1180
1529030181,1185,1185
1529032105,1191,1191
1529034034,1191,1191
1529035949,1196,1196
1529037862,1192,1192
1529039796,1183,1183
1529041708,1186,1186
1529043637,1194,1194
1529045557,1207,1207
1529047473,1203,1203
1529049394,1209,1209
1529051309,1214,1214
1529053306,1229,1229
1529055160,1226,1226
1529057073,1210,1210
1529058983,1204,1204
1529060924,1197,1197
1529062822,1181,1181
1529065898,1146,1146
1529067861,1141,1141
1529069788,1136,1136
1529071715,1122,1122
1529073623,1118,1118
1529075553,1113,1113
1529077473,1096,1096
1529079381,1090,1090
1529081310,1087,1087
1529083237,1079,1079
1529085137,1069,1069
1529087082,1074,1074
1529088985,1062,1062
1529091787,1055,1055
1529093887,1047,1047
1529096018,1042,1042
1529097847,1040,1040
1529099867,1031,1031
1529101743,1025,1025
1529103763,1017,1017
1529105581,1014,1014
1529107462,997,997
1529109400,1000,1000
1529111326,989,989
1529113246,990,990
1529115153,989,989
1529117108,986,986
1529118991,978,978
1529120937,966,966
1529122837,964,964
1529124782,967,967
1529126662,958,958
1529128614,960,960
1529130760,960,960
1529132665,954,954
1529134590,953,953
1529136549,929,929
1529138424,918,918
1529140379,912,912
1529142295,912,912
1529144201,897,897
1529146103,894,894
1529148056,896,896
1529149946,903,903
1529151883,919,919
1529153800,930,930
1529155718,937,937
1529157702,954,954
1529159585,961,961
1529161469,960,960
1529163397,961,961
1529165341,969,969
1529167261,969,969
1529169145,976,976
1529171248,985,985
1529173230,977,977
1529175136,994,994
1529177059,984,984
1529178989,979,979
1529180898,975,975
1529182906,973,973
1529184753,974,974
1529186678,973,973
1529189080,994,994
1529190986,989,989
1529192908,987,987
1529194847,987,987
1529196737,1001,1001
1529198661,993,993
1529200615,1002,1002
1529202512,1005,1005
1529204504,1001,1001
1529206364,1009,1009
1529208271,1007,1007
1529210184,1011,1011
1529212123,1021,1021
1529214043,1018,1018
1529215947,999,999
1529217884,1005,1005
1529219786,1007,1007
1529221706,1009,1009
1529223643,1006,1006
1529225546,2824,2824
1529227474,4830,4830
1529229398,6568,6568
1529231308,6607,6607
1529233304,6630,6630
1529235162,6649,6649
1529237078,6669,6669
1529238986,6672,6672
1529240922,6683,6683
1529242825,6684,6684
1529244752,6711,6711
1529246686,6712,6712
1529248588,6731,6731
1529250505,6741,6741
1529252444,6742,6742
1529254350,6749,6749
1529256269,6756,6756
1529258207,6762,6762
1529260104,6753,6753
1529262098,6765,6765
1529263964,6769,6769
1529265881,6780,6780
1529267783,6783,6783
1529269723,6783,6783
1529271633,6782,6782
1529273714,6765,6765
1529275719,6769,6769
1529277614,6775,6775
1529279536,6773,6773
1529281472,6771,6771
1529283375,6763,6763
1529285296,6781,6781
1529287296,6772,6772
1529289142,6776,6776
1529291059,6772,6772
1529292988,6770,6770
1529294899,6773,6773
1529296815,6765,6765
1529298758,6761,6761
1529300658,6763,6763
1529302573,6763,6763
1529304508,6748,6748
1529306414,6738,6738
1529308333,6734,6734
1529310273,6738,6738
1529312172,4682,4682
1529314095,2795,2795
1529316099,1262,1262
