DateTime,AddedIPs,RemovedIPs
1527965980,3,2
1527968434,3,0
1527984250,17,4
1527991414,2,2
1527993835,1,1
1527996235,2,0
1527998627,1,0
1528005416,7,3
1528007372,3,0
1528011151,2,0
1528013069,2,0
1528015000,1,0
1528016907,2,1
1528018850,1,1
1528022664,0,3
1528024491,1,0
1528028316,1,0
1528032267,3,0
1528034187,1,0
1528036111,1,0
1528039951,0,1
1528041877,2,0
1528043779,0,1
1528045706,0,2
1528047708,0,1
1528049551,1,2
1528051511,1,0
1528053401,1,4
1528055345,1,0
1528057229,1,4
1528059195,0,2
1528063016,0,1
1528064924,0,2
1528066915,0,6
1528068756,1,0
1528070697,0,2
1528072580,1,2
1528078397,2,0
1528080265,0,1
1528082241,0,1
1528084117,1,2
1528086058,0,2
1528087951,1,1
1528089907,0,2
1528091779,0,2
1528093733,0,3
1528097594,0,2
1528099472,0,2
1528101452,0,1
1528103306,0,2
1528105273,0,1
1528107156,1,0
1528109099,1,0
1528110989,0,1
1528112928,3,0
1528114841,0,1
1528118684,1,3
1528120551,0,1
1528122513,0,1
1528126348,1,0
1528128340,0,2
1528135961,0,1
1528137877,0,1
1528139814,1,1
1528141718,0,1
1528143642,0,1
1528153322,1,0
1528155153,0,1
1528157073,2,0
1528159007,0,1
1528160915,2,0
1528164758,0,2
1528166678,1,0
1528170546,1,1
1528174352,2,1
1528176289,2,0
1528188026,1,0
1528191874,1,0
1528193786,1,1
1528195704,1,1
1528197634,1,0
1528199551,0,3
1528201463,4,0
1528205311,0,1
1528207309,1,0
1528213505,3,1
1528215409,2,0
1528217317,1,0
1528219223,2,0
1528221167,3,0
1528223067,2,0
1528225008,1,0
1528226899,0,1
1528229019,4,0
1528230981,1,0
1528232915,2,0
1528234824,2,0
1528236754,2,0
1528238664,2,1
1528242507,3,0
1528244432,0,2
1528246343,5,2
1528248276,3,0
1528250191,2,0
1528252101,4,0
1528254115,1,1
1528256039,1,0
1528257872,2,1
1528259795,5,2
1528261702,1,0
1528263626,2,2
1528267781,3,0
1528269630,2,0
1528271567,2,0
1528273475,1,0
1528275400,2,1
1528277314,2,1
1528279303,1,1
1528281164,1,1
1528283084,0,1
1528286929,1,0
1528288831,0,4
1528290766,3,0
1528294588,2,1
1528296510,1,0
1528298435,1,0
1528300346,2,3
1528302283,2,3
1528306282,3,2
1528308092,2,5
1528311727,4,1
1528313598,1,0
1528320515,9,7
1528324434,2,5
1528326794,1,1
1528331846,4,8
1528335451,10,4
1528337323,1,3
1528339247,2,2
1528341186,0,1
1528343197,1,1
1528345016,2,3
1528346914,3,5
1528348827,2,1
1528350772,0,1
1528352981,0,2
1528354910,2,2
1528356754,5,2
1528358678,2,1
1528360584,1,2
1528362509,2,2
1528364431,1,1
1528366347,2,1
1528368268,5,1
1528370190,1,0
1528372103,2,0
1528374036,1,1
1528375970,0,2
1528377862,5,1
1528379784,0,1
1528381644,2,2
1528383704,2,0
1528385567,3,2
1528387474,1,1
1528389395,0,2
1528391327,2,0
1528393233,1,4
1528395164,1,3
1528397080,2,1
1528398988,3,1
1528400929,3,2
1528402830,2,4
1528404748,0,2
1528406689,1,2
