DateTime,Entries,UniqueIPs
1527991414,39,39
1527991414,39,39
1527993835,39,39
1527993835,39,39
1527996235,41,41
1527996235,41,41
1527998627,42,42
1528005416,46,46
1528007372,49,49
1528011151,51,51
1528013069,53,53
1528015000,54,54
1528016907,55,55
1528018850,55,55
1528022664,52,52
1528024491,53,53
1528028316,54,54
1528032267,57,57
1528034187,58,58
1528036111,59,59
1528039951,58,58
1528041877,60,60
1528043779,59,59
1528045706,57,57
1528047708,56,56
1528049551,55,55
1528051511,56,56
1528053401,53,53
1528055345,54,54
1528057229,51,51
1528059195,49,49
1528063016,48,48
1528064924,46,46
1528066915,40,40
1528068756,41,41
1528070697,39,39
1528072580,38,38
1528078397,40,40
1528080265,39,39
1528082241,38,38
1528084117,37,37
1528086058,35,35
1528087951,35,35
1528089907,33,33
1528091779,31,31
1528093733,28,28
1528097594,26,26
1528099472,24,24
1528101452,23,23
1528103306,21,21
1528105273,20,20
1528107156,21,21
1528109099,22,22
1528110989,21,21
1528112928,24,24
1528114841,23,23
1528118684,21,21
1528120551,20,20
1528122513,19,19
1528126348,20,20
1528128340,18,18
1528135961,17,17
1528137877,16,16
1528139814,16,16
1528141718,15,15
1528143642,14,14
1528153322,15,15
1528155153,14,14
1528157073,16,16
1528159007,15,15
1528160915,17,17
1528164758,15,15
1528166678,16,16
1528170546,16,16
1528174352,17,17
1528176289,19,19
1528188026,20,20
1528191874,21,21
1528193786,21,21
1528195704,21,21
1528197634,22,22
1528199551,19,19
1528201463,23,23
1528205311,22,22
1528207309,23,23
1528213505,25,25
1528215409,27,27
1528217317,28,28
1528219223,30,30
1528221167,33,33
1528223067,35,35
1528225008,36,36
1528226899,35,35
1528229019,39,39
1528230981,40,40
1528232915,42,42
1528234824,44,44
1528236754,46,46
1528238664,47,47
1528242507,50,50
1528244432,48,48
1528246343,51,51
1528248276,54,54
1528250191,56,56
1528252101,60,60
1528254115,60,60
1528256039,61,61
1528257872,62,62
1528259795,65,65
1528261702,66,66
1528263626,66,66
1528267781,69,69
1528269630,71,71
1528271567,73,73
1528273475,74,74
1528275400,75,75
1528277314,76,76
1528279303,76,76
1528281164,76,76
1528283084,75,75
1528286929,76,76
1528288831,72,72
1528290766,75,75
1528294588,76,76
1528296510,77,77
1528298435,78,78
1528300346,77,77
1528302283,76,76
1528306282,77,77
1528308092,74,74
1528311727,77,77
1528313598,78,78
1528320515,80,80
1528324434,77,77
1528326794,77,77
1528331846,73,73
1528335451,79,79
1528337323,77,77
1528339247,77,77
1528341186,76,76
1528343197,76,76
1528345016,75,75
1528346914,73,73
1528348827,74,74
1528350772,73,73
1528352981,71,71
1528354910,71,71
1528356754,74,74
1528358678,75,75
1528360584,74,74
1528362509,74,74
1528364431,74,74
1528366347,75,75
1528368268,79,79
1528370190,80,80
1528372103,82,82
1528374036,82,82
1528375970,80,80
1528377862,84,84
1528379784,83,83
1528381644,83,83
1528383704,85,85
1528385567,86,86
1528387474,86,86
1528389395,84,84
1528391327,86,86
1528393233,83,83
1528395164,81,81
1528397080,82,82
1528398988,84,84
1528400929,85,85
1528402830,83,83
