DateTime,AddedIPs,RemovedIPs
1528160915,5,1
1528162828,2,0
1528164758,3,1
1528166678,1,1
1528168593,2,1
1528170546,0,2
1528172441,1,1
1528174352,0,1
1528178191,0,1
1528180413,3,0
1528182276,1,1
1528184188,2,1
1528188027,2,1
1528189949,1,3
1528191875,0,1
1528195704,3,2
1528201464,1,0
1528203388,1,1
1528205311,1,0
1528207309,1,2
1528209156,1,2
1528211083,1,2
1528213506,1,0
1528215409,0,1
1528219223,0,1
1528221168,1,5
1528223067,2,3
1528226899,1,1
1528229019,1,5
1528230981,2,3
1528232915,2,2
1528234824,2,3
1528236754,3,1
1528238664,1,1
1528240581,2,1
1528242507,0,1
1528244432,2,1
1528246343,0,2
1528248276,3,2
1528250191,1,1
1528252101,2,0
1528254115,1,1
1528257872,3,2
1528259795,4,0
1528261702,1,1
1528265569,1,0
1528267781,2,1
1528269631,2,1
1528271567,1,1
1528273475,0,1
1528275401,1,2
1528277314,1,0
1528279303,2,2
1528281164,0,1
1528283085,1,3
1528285005,1,1
1528286930,0,1
1528288831,0,1
1528290766,3,7
1528292690,1,1
1528294588,1,1
1528296510,0,1
1528298436,0,2
1528302283,0,1
1528304185,3,0
1528306282,1,1
1528308092,2,3
1528311727,2,2
1528313598,0,0
1528320516,1,4
1528324434,0,6
1528326795,1,1
1528331846,3,2
1528335451,2,1
1528337324,0,3
1528339248,2,1
1528341186,2,2
1528343197,4,0
1528345016,2,3
1528346914,4,4
1528348827,1,0
1528350772,1,2
1528352982,1,0
1528354911,2,2
1528356754,1,1
1528358678,1,1
1528362509,0,2
1528364431,0,1
1528366347,0,1
1528370190,1,2
1528372103,1,1
1528374036,1,0
1528375970,2,0
1528377862,1,1
1528379784,1,2
1528383704,1,0
1528385567,2,1
1528391328,0,3
1528393233,1,3
1528395164,0,3
1528397080,0,3
1528398988,0,2
1528402831,4,0
1528404748,4,1
1528406690,3,1
1528408594,3,0
1528411119,4,0
1528413145,1,4
1528415091,3,3
1528417000,0,2
1528418904,3,0
1528420837,1,1
1528422765,2,0
1528426640,2,1
1528428513,0,3
1528430520,1,1
1528432350,1,6
1528434266,1,0
1528436079,0,1
1528438102,0,1
1528440028,0,1
1528441965,0,4
1528443865,0,1
1528447715,1,1
1528451460,3,1
1528455375,0,1
1528457303,0,1
1528459305,0,1
1528463067,1,2
1528465165,0,2
1528467066,1,1
1528471220,2,1
1528475060,0,2
1528476978,0,1
1528478896,2,2
1528480908,0,1
1528482751,1,0
1528484665,3,0
1528486884,3,1
1528488756,0,2
1528490667,1,3
1528492606,1,2
1528494511,1,2
1528496449,0,1
1528498513,1,0
1528500520,0,1
1528502539,1,4
1528504369,2,0
1528506278,0,1
1528508199,2,0
1528510202,2,1
1528512029,2,2
1528513951,2,3
1528515897,4,2
1528519712,1,0
1528521647,1,1
1528525482,1,0
1528527406,2,0
1528531302,2,0
1528533184,0,1
1528535079,0,1
1528537017,1,2
1528538928,1,2
1528540839,2,2
1528544698,4,0
1528546609,2,1
1528548518,2,1
1528552387,3,1
1528554289,4,0
1528556206,2,1
1528558110,5,1
1528563887,1,0
1528565812,0,1
1528567719,1,0
1528569628,2,3
1528571547,2,2
1528573466,1,3
1528575385,2,1
1528577316,2,0
1528579226,0,2
1528581163,1,0
1528583086,1,0
1528586034,4,3
1528587886,1,2
1528589823,1,0
1528593666,0,1
1528595572,1,1
1528597506,1,1
1528599401,5,2
1528601331,2,3
1528603315,1,2
1528605195,1,0
1528607086,1,2
1528609049,2,0
1528610945,1,0
1528612890,1,1
1528618591,0,2
1528620540,1,0
1528622466,2,1
1528624373,1,2
1528626278,0,1
1528628225,2,1
1528630107,1,2
1528632115,1,2
1528633965,2,3
1528635898,1,0
1528637796,1,2
1528640002,1,4
1528641880,0,2
1528643900,1,2
1528645731,2,1
1528647654,1,0
1528649569,1,0
1528651491,1,3
1528653403,1,2
1528655365,2,4
1528657311,3,0
1528659179,3,1
1528661080,2,2
1528663136,2,1
1528666388,2,2
1528668680,1,2
1528670585,2,0
1528672493,2,0
1528674420,2,2
1528676347,2,2
1528678240,2,0
1528680177,1,0
1528682092,3,1
1528684009,2,1
1528685940,3,3
1528687851,1,1
1528689704,1,0
1528693470,2,3
1528695293,1,0
1528697340,0,3
1528699226,2,0
1528701151,1,0
1528704981,2,0
1528707169,0,1
1528714899,2,1
1528716754,0,2
1528718691,0,1
1528720584,1,3
1528722529,5,0
1528724422,0,3
1528726353,1,2
1528730197,2,0
1528732211,1,3
1528736596,3,3
1528738618,0,3
1528740620,3,1
1528742712,3,1
1528744603,2,2
1528746434,2,3
1528748423,0,2
1528750340,2,3
1528752269,2,1
1528754196,3,1
1528756107,8,2
1528758121,1,4
1528760061,4,2
1528761881,0,3
1528763781,2,2
1528765717,2,1
1528767631,1,2
1528769545,2,4
1528771475,1,2
1528773377,2,1
1528775301,3,0
1528777238,2,2
1528779145,1,0
1528781064,0,3
1528784907,0,1
1528786911,1,0
1528788760,0,1
1528790666,1,1
1528792581,0,2
1528794532,1,0
1528798348,2,0
1528800282,2,2
1528802182,1,1
1528804107,1,0
1528806064,1,0
1528807941,3,3
1528809862,1,2
1528811796,1,1
1528813704,2,1
1528815723,2,0
1528817567,1,2
1528819899,2,0
1528821879,1,0
1528823784,3,2
1528825717,1,0
1528827638,0,3
1528829540,3,1
1528831464,2,1
1528833395,2,3
1528837115,1,2
1528838917,2,1
1528840953,0,2
1528842976,2,2
1528844903,1,0
1528846836,0,3
1528848739,3,3
1528850672,3,1
1528852575,1,1
1528854496,0,2
1528856430,2,1
1528858353,3,0
1528860259,1,4
1528862190,3,2
1528866112,1,1
1528869876,0,2
1528873730,1,0
1528877547,3,1
1528879478,0,1
1528883303,1,0
1528885239,2,2
1528887150,0,1
1528889064,0,2
1528892908,1,1
1528894909,4,1
1528896764,1,1
1528898672,0,1
1528900582,0,1
1528902512,2,2
1528904428,0,1
1528906361,1,0
1528910189,0,3
1528912120,0,2
1528915963,3,1
1528918920,1,2
1528920757,0,2
1528922666,3,0
1528924597,1,1
1528926504,2,3
1528928443,3,1
1528931679,1,0
1528933480,1,1
1528935404,0,1
1528937435,1,1
1528939239,0,2
1528941149,1,3
1528943067,1,3
1528946190,2,3
1528948095,1,2
1528950016,0,1
1528953859,1,1
1528955775,1,0
1528957714,0,1
1528959756,0,2
1528961779,1,1
1528963707,0,2
1528965639,1,1
1528967540,0,1
