DateTime,AddedIPs,RemovedIPs
1528341187,6,6
1528343199,6,13
1528345017,5,9
1528346915,8,13
1528348828,7,12
1528350773,5,12
1528352982,14,16
1528354911,8,23
1528356755,12,9
1528358679,12,16
1528360584,11,8
1528362510,4,12
1528364432,11,14
1528366348,2,9
1528368269,3,10
1528370191,5,16
1528372104,4,15
1528374036,6,8
1528375970,4,13
1528377863,5,13
1528379785,6,21
1528381645,10,14
1528383705,1,15
1528385567,7,13
1528387474,4,13
1528389395,2,8
1528391328,5,10
1528393233,5,8
1528395165,4,4
1528397081,5,5
1528398988,5,6
1528400930,4,2
1528402831,7,9
1528404749,14,8
1528406690,16,3
1528408595,16,2
1528411119,12,4
1528413145,4,5
1528415091,27,5
1528417001,33,2
1528418905,5,2
1528420837,12,1
1528422765,14,5
1528424674,13,2
1528426641,18,1
1528428513,11,3
1528430521,7,5
1528432351,8,9
1528434267,9,7
1528436079,9,5
1528438103,11,17
1528440028,20,7
1528441965,12,9
1528443865,16,12
1528445781,16,9
1528447715,14,13
1528449625,11,1
1528451460,7,6
1528453467,18,5
1528455375,3,4
1528457304,18,7
1528459306,33,2
1528461146,12,4
1528463067,2,6
1528465165,14,2
1528467066,7,11
1528469282,6,3
1528471220,10,3
1528473159,20,6
1528475061,28,3
1528476978,19,3
1528478897,10,8
1528480909,18,2
1528482751,19,8
1528484665,8,3
1528486885,7,3
1528488756,9,7
1528490667,3,11
1528492606,4,14
1528494511,5,14
1528496450,3,9
1528498513,6,8
1528500520,8,7
1528502539,13,29
1528504369,13,11
1528506279,13,7
1528508200,22,11
1528510202,17,13
1528512030,16,8
1528513951,13,14
1528515898,16,4
1528517795,8,8
1528519712,14,3
1528521647,11,3
1528523551,13,10
1528525483,22,13
1528527406,20,13
1528529306,24,12
1528531303,1,6
1528533186,13,14
1528535080,15,21
1528537018,8,14
1528538929,9,9
1528540840,9,10
1528542770,7,4
1528544699,13,25
1528546610,11,14
1528548518,9,6
1528550434,7,9
1528552388,4,6
1528554290,4,5
1528556207,4,2
1528558111,4,11
1528560112,8,23
1528561972,16,18
1528563888,15,14
1528565813,20,14
1528567719,14,23
1528569629,16,6
1528571547,11,11
1528573466,7,10
1528575385,4,8
1528577316,9,6
1528579227,7,6
1528581164,2,2
1528583087,3,4
1528586035,6,9
1528587886,9,7
1528589823,5,19
1528591718,4,16
1528593666,9,14
1528595572,4,8
1528597507,5,25
1528599402,2,17
1528601332,5,19
1528603316,5,7
1528605196,5,9
1528607086,2,19
1528609050,6,12
1528610946,13,14
1528612890,10,24
1528614773,5,37
1528616708,4,7
1528618591,4,12
1528620541,4,23
1528622467,11,12
1528624374,11,11
1528626279,10,9
1528628226,18,8
