DateTime,AddedIPs,RemovedIPs
1528951265,9,3
1528951936,4,6
1528952663,5,3
1528953375,6,11
1528954097,8,7
1528954818,8,6
1528955541,1,3
1528956262,7,6
1528957033,11,9
1528957697,7,6
1528958417,6,7
1528959140,7,7
1528959861,6,7
1528960578,7,2
1528961294,15,11
1528962018,6,10
1528962786,2,6
1528963469,2,6
1528964175,7,4
1528964904,6,9
1528965619,6,7
1528966340,7,5
1528967312,4,11
1528968017,6,0
1528968741,8,5
1528969457,6,9
1528970178,9,15
1528971150,22,9
1528971860,4,12
1528972580,8,9
1528973297,3,4
1528974030,8,5
1528974739,8,1
1528975459,4,7
1528976181,10,21
1528976906,7,10
1528977635,8,3
1528978335,8,3
1528979050,7,10
1528979771,8,5
1528980748,7,6
1528981750,6,16
1528982414,11,0
1528983140,5,7
1528983873,1,12
1528984578,4,0
1528985297,2,6
1528986017,7,4
1528986743,6,20
1528987461,8,2
1528988177,9,0
1528988899,1,8
1528989619,9,7
1528990341,7,7
1528991060,5,8
1528991774,6,8
1528992524,9,9
1528993217,11,11
1528993942,6,117
1528994658,6,6
1528995380,5,3
1528996095,4,4
1528996818,5,7
1528997538,8,3
1528998260,4,5
1528998977,4,5
1528999704,4,9
1529000414,5,6
1529001147,8,1
1529001858,7,6
1529002577,5,9
1529003297,6,0
1529004018,9,20
1529004737,8,0
1529005460,7,0
1529006175,8,4
1529006907,2,11
1529007615,3,5
1529008338,9,7
1529009060,6,11
1529009778,6,5
1529010499,5,7
1529011223,2,7
1529012185,8,4
1529012896,7,8
1529013638,2,11
1529014338,6,7
1529015059,13,9
1529015776,3,6
1529017258,13,23
1529017942,5,0
1529018659,5,6
1529019626,6,5
1529020335,7,8
1529021071,6,17
1529021778,3,6
1529022497,12,6
1529023219,8,5
1529023939,8,7
1529024663,7,5
1529025381,10,4
1529026096,6,12
1529026823,7,12
1529027536,13,16
1529028271,10,7
1529028975,9,12
1529029697,6,10
1529030419,7,6
1529031141,5,21
1529031860,6,0
1529032586,5,14
1529033294,5,0
1529034019,5,6
1529034736,4,8
1529035472,6,21
1529036179,8,0
1529036898,2,13
1529037616,7,0
1529038344,2,9
1529039064,4,7
1529039780,6,12
1529040496,6,0
1529041218,4,4
1529041936,9,0
1529042670,5,11
1529043375,1,0
1529044104,7,18
1529044817,5,0
1529045540,7,12
1529046509,11,3
1529047215,1,23
1529047953,8,7
1529048659,4,6
1529049377,3,4
1529050095,8,8
1529050817,5,4
1529051541,10,8
1529052265,7,6
1529052974,9,6
1529053708,10,0
1529054415,7,8
1529055143,2,10
1529055859,4,3
1529056577,4,0
1529057297,8,16
1529058017,10,4
1529058744,6,4
1529059466,4,7
1529060174,7,7
1529060909,3,2
1529061615,12,5
1529062344,7,2
1529063058,6,6
1529063781,3,9
1529064497,4,3
1529066229,14,20
1529066889,7,0
1529067624,6,8
1529068331,4,7
1529069051,3,5
1529069770,6,6
1529070491,3,2
1529071216,5,4
1529071940,6,3
1529072651,1,8
1529073368,9,10
1529074094,9,7
1529074816,8,6
1529075536,4,4
1529076248,10,6
1529076970,5,5
1529077692,5,1
1529078420,5,19
1529079131,10,7
1529079855,3,13
1529080567,12,6
1529081294,4,4
1529082014,3,6
1529082736,3,7
1529083456,2,4
1529084168,7,3
1529084894,11,3
1529085614,10,9
1529086336,10,8
1529087066,8,7
1529087771,6,4
1529088492,9,6
1529089230,3,8
1529089932,6,8
1529090652,5,8
1529091763,10,11
1529092705,7,12
1529093844,8,5
1529094856,12,7
1529095996,11,3
1529096863,4,4
1529097798,6,17
1529098834,10,2
1529099543,5,5
1529100262,3,2
1529100979,3,5
1529101703,2,10
1529102418,6,10
1529103156,5,0
1529104107,4,3
1529104816,2,4
1529105548,3,7
1529106258,4,6
1529106980,3,12
1529107698,6,2
1529108418,4,5
1529109149,8,4
1529109860,7,5
1529110576,8,9
1529111311,9,6
1529112015,11,9
1529112741,3,6
1529113457,16,9
1529114177,13,14
1529114897,7,11
1529115619,8,7
1529116340,9,10
1529117065,9,5
1529117774,5,5
1529118508,4,8
1529119215,10,4
1529119942,6,4
1529120658,7,8
1529121376,6,5
1529122099,9,15
1529122821,10,4
1529123539,0,1
1529124262,5,4
1529124978,4,5
1529125708,3,5
1529126414,9,5
1529127231,4,7
1529127857,6,3
1529128580,10,6
1529129298,3,3
1529130017,9,2
1529130746,3,15
1529131456,2,2
1529132177,4,11
1529132901,7,0
1529133617,5,10
1529134341,7,0
1529135060,4,9
1529135774,6,0
1529136512,2,7
1529137214,9,0
1529137940,1,10
1529138656,7,5
1529139379,11,15
1529140101,5,0
1529140817,5,12
1529141541,7,0
1529142281,3,10
1529142974,9,0
1529143702,7,8
1529144414,8,0
1529145142,5,5
1529145874,4,13
1529146576,4,4
1529147299,7,0
1529148021,6,16
1529148738,6,0
1529149458,1,14
1529150175,1,0
1529150905,5,22
1529151624,8,0
1529152345,5,0
1529153056,2,2
1529153785,8,7
1529154497,6,4
1529155217,8,2
1529155938,6,5
1529156659,11,6
1529157373,9,8
1529158100,9,9
1529158814,4,6
1529159556,3,5
1529160256,8,7
1529160977,6,7
1529161698,5,4
1529162418,6,5
1529163142,5,7
1529163862,3,5
1529164574,6,3
1529165325,6,10
1529166014,3,3
1529166743,4,9
1529167458,2,8
1529168178,8,5
1529168903,7,1
1529169617,8,4
1529170340,4,8
1529171065,4,6
1529171774,8,6
1529172500,0,6
1529173214,4,7
1529173946,0,4
1529174656,9,5
1529175378,10,5
1529176097,4,7
1529176820,3,10
1529177541,5,6
1529178264,5,7
1529178974,4,0
1529179706,6,6
1529180414,3,8
1529181144,6,0
1529181857,6,10
1529182580,10,6
1529183298,11,13
1529184016,3,0
1529184738,3,9
1529185463,7,4
1529186175,4,8
1529186915,4,10
1529187616,7,3
1529188340,5,4
1529189060,6,7
1529189767,4,12
1529190512,5,3
1529191214,2,0
1529191940,3,5
1529192655,2,5
1529193379,3,4
1529194096,4,6
1529194820,2,15
1529195542,6,0
1529196258,6,5
1529196977,6,5
1529197697,2,7
1529198417,8,16
1529199139,10,0
1529200595,16,25
1529201295,6,0
1529202020,10,23
1529202740,8,0
1529203458,8,6
1529204174,7,4
1529204908,7,3
1529205614,6,7
1529206346,7,15
1529207060,8,6
1529207776,1,6
1529208496,6,0
1529209219,3,12
1529209942,6,2
1529210665,0,6
1529211374,5,0
1529212104,4,6
1529212817,1,9
1529213548,3,0
1529214348,4,7
1529214974,2,0
1529215704,3,14
1529216414,2,0
1529217146,7,13
1529217859,4,4
1529218580,5,5
1529219302,9,6
1529220017,7,0
1529220747,3,17
1529221455,5,0
1529222177,5,13
1529222896,6,0
1529223620,11,10
1529224345,3,5
1529225058,7,4
1529225774,5,0
1529226521,4,8
1529227214,6,0
1529227945,7,10
1529228656,4,0
1529229379,5,12
1529230099,8,0
1529230819,6,13
1529231545,5,5
1529232259,5,0
1529232973,7,5
1529233716,6,12
1529234414,6,0
1529235143,6,11
1529235863,4,6
1529236578,9,4
1529237296,5,0
1529238027,3,8
1529238743,7,0
1529239462,7,13
1529240174,8,0
1529240903,9,14
1529241615,6,0
1529242344,3,4
1529243056,3,0
1529243777,10,13
1529244498,3,0
1529245217,11,8
1529245941,8,0
1529246661,8,7
1529247377,7,0
1529248102,7,13
1529248813,4,0
1529249548,29,14
1529250256,42,0
1529250975,11,12
1529251714,12,0
1529252423,9,9
1529253143,10,0
1529253863,3,6
1529254573,3,0
1529255299,4,7
1529256014,3,11
1529256746,12,12
1529257456,8,0
1529258189,2,10
1529258899,8,0
1529259618,18,10
1529260343,4,0
1529261062,4,11
1529261775,9,0
1529262509,7,16
1529263215,2,0
1529263946,6,5
1529264658,5,0
1529265377,7,11
1529266095,10,0
1529266818,10,6
1529267545,4,4
1529268261,8,5
1529268974,10,0
1529269704,6,16
1529270416,10,5
1529271144,4,2
1529271862,8,0
1529272577,6,17
1529273555,7,3
1529274266,9,7
1529274979,7,6
1529275700,3,5
1529276432,2,6
1529277143,6,7
1529277864,9,5
1529278576,5,7
1529279301,5,5
1529280026,6,4
1529280743,5,3
1529281457,2,6
1529282182,5,2
1529282900,6,6
1529283622,1,6
1529284339,7,4
1529285063,7,11
1529285775,9,27
1529286505,11,0
1529287226,16,6
1529287948,8,7
1529288679,6,13
1529289378,6,4
1529290100,9,5
1529290824,6,12
1529291541,1,6
1529292260,5,5
1529292975,7,6
1529293707,11,3
1529294426,6,5
1529295143,6,9
1529295858,7,6
1529296580,4,6
1529297299,4,0
1529298020,4,4
1529298745,3,6
1529299461,9,2
1529300176,11,1
1529300899,8,8
1529301621,8,3
1529302345,6,1
1529303057,3,3
1529303777,5,6
1529304496,12,4
1529305237,8,8
1529305938,4,2
1529306664,1,4
1529307376,5,3
1529308101,2,1
1529308819,6,7
1529309545,7,4
1529310259,4,10
1529310981,13,5
1529311697,8,4
1529312422,5,4
1529313141,3,3
1529313864,6,6
1529314577,4,4
1529315303,4,6
1529316025,5,3
1529316746,9,5
1529317457,3,3
