DateTime,Entries,UniqueIPs
1528946900,25693,26438
1528947618,25698,26443
1528948339,25698,26445
1528949061,25693,26439
1528949781,25693,26439
1528950496,25696,26442
1528951265,25699,26445
1528951936,25697,26443
1528952663,25695,26441
1528953375,25699,26446
1528954097,25696,26442
1528954818,25696,26443
1528955541,25697,26444
1528956262,25697,26444
1528957033,25699,26446
1528957697,25704,26451
1528958417,25695,26442
1528959140,25693,26440
1528959861,25689,26436
1528960578,25688,26435
1528961294,25697,26445
1528962018,25693,26440
1528962786,25690,26437
1528963469,25685,26432
1528964175,25688,26435
1528964904,25690,26438
1528965619,25689,26437
1528966340,25688,26436
1528967312,25687,26435
1528968017,25685,26433
1528968741,25691,26439
1528969457,25688,26437
1528970178,25686,26437
1528971150,25686,26437
1528971860,25680,26435
1528972580,25677,26432
1528973297,25670,26428
1528974030,25674,26432
1528974739,25669,26427
1528975459,25670,26428
1528976181,25669,26427
1528976906,25672,26430
1528977635,25668,26426
1528978335,25670,26428
1528979050,25672,26430
1528979771,25671,26429
1528980748,25664,26422
1528981750,25655,26416
1528982414,25664,26425
1528983140,25665,26426
1528983873,25662,26423
1528984578,25657,26418
1528985297,25649,26410
1528986017,25654,26415
1528986743,25650,26411
1528987461,25653,26414
1528988177,25656,26417
1528988899,25646,26406
1528989619,25646,26408
1528990341,25646,26409
1528991060,25649,26412
1528991774,25651,26404
1528992524,25645,26398
1528993217,25640,26391
1528993942,25646,26397
1528994658,25644,26395
1528995380,25637,26388
1528996095,25634,26385
1528996818,25637,26388
1528997538,25639,26390
1528998260,25632,26383
1528998977,25627,26378
1528999704,25631,26382
1529000414,25625,26376
1529001147,25625,26376
1529001858,25630,26381
1529002577,25626,26377
1529003297,25623,26374
1529004018,25623,26374
1529004737,25629,26380
1529005460,25629,26380
1529006175,25625,26380
1529006907,25615,26370
1529007615,25617,26372
1529008338,25621,26376
1529009060,25621,26376
1529009778,25619,26374
1529010499,25617,26372
1529011223,25611,26366
1529012185,25608,26363
1529012896,25606,26361
1529013638,25608,26363
1529014338,25603,26358
1529015059,25606,26361
1529015776,25607,26362
1529017258,25602,26357
1529017942,25599,26354
1529018659,25601,26356
1529019626,25596,26350
1529020335,25601,26355
1529021071,25600,26354
1529021778,25597,26351
1529022497,25605,26359
1529023219,25601,26355
1529023939,25604,26358
1529024663,25600,26354
1529025381,25608,26362
1529026096,25603,26357
1529026823,25598,26352
1529027536,25598,26352
1529028271,25605,26359
1529028975,25603,26357
1529029697,25598,26352
1529030419,25594,26348
1529031141,25596,26350
1529031860,25596,26350
1529032586,25590,26344
1529033294,25587,26341
1529034019,25591,26345
1529034736,25588,26342
1529035472,25581,26335
1529036179,25582,26336
1529037616,25578,26332
1529038344,25575,26329
1529039064,25578,26332
1529039780,25582,26336
1529040496,25581,26335
1529041218,25580,26334
1529041936,25578,26332
1529042670,25581,26335
1529043375,25578,26332
1529044104,25578,26332
1529044817,25570,26324
1529045540,25574,26328
1529046509,25577,26331
1529047215,25570,26324
1529047953,25565,26319
1529048659,25559,26313
1529050095,25557,26311
1529050817,25560,26314
1529051541,25559,26313
1529052265,25564,26318
1529052974,25556,26312
1529053708,25557,26313
1529054415,25553,26309
1529055143,25555,26311
1529055859,25551,26307
1529056577,25552,26308
1529057297,25542,26297
1529058017,25547,26302
1529058744,25543,26298
1529059466,25538,26293
1529060174,25540,26295
1529060909,25543,26294
1529061615,25544,26298
1529062344,25539,26293
1529063058,25538,26292
1529063781,25540,26294
1529064497,25538,26292
1529066229,25539,26294
1529066889,25537,26292
1529067624,25543,26298
1529068331,25537,26292
1529069051,25532,26287
1529069770,25535,26290
1529070491,25533,26288
1529071216,25534,26289
1529071940,25534,26289
1529072651,25531,26286
1529073368,25531,26286
1529074094,25529,26284
1529074816,25534,26289
1529075536,25533,26288
1529076248,25531,26286
1529076970,25530,26285
1529077692,25528,26283
1529078420,25522,26277
1529079131,25522,26277
1529079855,25511,26266
1529080567,25517,26272
1529081294,25514,26269
1529082014,25513,26268
1529082736,25505,26260
1529083456,25501,26256
1529084168,25499,26254
1529084894,25503,26258
1529085614,25505,26260
1529086336,25506,26261
1529087066,25501,26256
1529087771,25506,26261
1529088492,25508,26263
1529089230,25505,26260
1529089932,25509,26264
1529090652,25508,26263
1529091763,25506,26261
1529092705,25487,26242
1529093844,25477,26233
1529094856,25480,26236
1529095996,25476,26232
1529096863,25473,26229
1529097798,25467,26223
1529098834,25465,26221
1529100262,25463,26219
1529100979,25455,26209
1529101703,25441,26194
1529102418,25446,26199
1529103156,25438,26191
1529104107,25442,26195
1529104816,25438,26191
1529105548,25438,26191
1529106258,25431,26184
1529106980,25428,26181
1529107698,25431,26185
1529108418,25425,26179
1529109149,25422,26176
1529109860,25421,26175
1529110576,25428,26182
1529111311,25428,26182
1529112015,25429,26183
1529112741,25418,26172
1529113457,25422,26176
1529114177,25416,26170
1529114897,25412,26166
1529115619,25409,26163
1529116340,25416,26170
1529117065,25412,26166
1529117774,25410,26164
1529118508,25394,26148
1529119215,25402,26156
1529119942,25396,26150
1529120658,25395,26149
1529121376,25388,26142
1529122099,25395,26149
1529122821,25396,26150
1529123539,25393,26147
1529124262,25392,26146
1529124978,25394,26148
1529125708,25389,26143
1529126414,25389,26143
1529127231,25387,26141
1529127857,25389,26143
1529128580,25392,26146
1529129298,25387,26141
1529130017,25388,26142
1529130746,25390,26144
1529131456,25386,26140
1529132177,25380,26134
1529132901,25377,26131
1529133617,25382,26136
1529134341,25381,26135
1529135060,25379,26133
1529135774,25378,26132
1529136512,25374,26128
1529137214,25370,26124
1529137940,25364,26118
1529138656,25368,26122
1529139379,25375,26129
1529140101,25372,26126
1529140817,25370,26124
1529141541,25369,26123
1529142281,25370,26124
1529142974,25370,26124
1529143702,25372,26123
1529144414,25374,26125
1529145142,25376,26127
1529145874,25372,26123
1529146576,25374,26125
1529147299,25376,26127
1529148021,25375,26126
1529148738,25374,26125
1529149458,25365,26116
1529150175,25360,26111
1529150905,25363,26114
1529151624,25363,26114
1529152345,25361,26112
1529153056,25362,26113
1529153785,25365,26116
1529154497,25369,26120
1529155217,25369,26120
1529155938,25374,26125
1529156659,25377,26128
1529157373,25378,26129
1529158100,25374,26125
1529158814,25376,26127
1529159556,25373,26124
1529160256,25373,26124
1529160977,25378,26129
1529161698,25382,26133
1529162418,25382,26133
1529163142,25380,26131
1529163862,25374,26125
1529164574,25375,26126
1529165325,25371,26122
1529166014,25366,26117
1529166743,25360,26111
1529168178,25361,26112
1529168903,25356,26107
1529169617,25349,26100
1529170340,25351,26102
1529171065,25349,26100
1529171774,25351,26102
1529172500,25349,26096
1529173946,25346,26093
1529174656,25343,26090
1529175378,25338,26085
1529176097,25339,26086
1529176820,25330,26077
1529177541,25331,26078
1529178264,25322,26069
1529178974,25323,26070
1529179706,25321,26068
1529180414,25317,26064
1529181144,25316,26063
1529181857,25314,26061
1529182580,25316,26063
1529183298,25315,26062
1529184016,25313,26060
1529184738,25315,26062
1529185463,25309,26056
1529186175,25306,26053
1529186915,25300,26047
1529187616,25303,26050
1529188340,25303,26050
1529189060,25297,26044
1529189767,25300,26047
1529190512,25304,26051
1529191214,25301,26048
1529191940,25302,26049
1529192655,25300,26047
1529193379,25297,26044
1529194096,25296,26043
1529194820,25296,26043
1529195542,25293,26040
1529196258,25291,26038
1529196977,25290,26037
1529197697,25291,26038
1529198417,25291,26038
1529199139,25283,26030
1529200595,25276,26025
1529201295,25281,26030
1529202020,25280,26029
1529202740,25278,26027
1529203458,25278,26027
1529204174,25275,26024
1529204908,25273,26022
1529205614,25268,26017
1529206346,25273,26022
1529207060,25270,26019
1529207776,25267,26016
1529208496,25260,26009
1529209219,25263,26012
1529209942,25264,26013
1529210665,25260,26009
1529211374,25259,26008
1529212104,25261,26010
1529212817,25257,26006
1529213548,25254,26004
1529214348,25254,26004
1529214974,25252,26002
1529215704,25250,26000
1529216414,25248,25998
1529217146,25248,25998
1529217859,25252,26002
1529218580,25251,26001
1529219302,25251,26001
1529220017,25256,26006
1529220747,25258,26008
1529221455,25258,26008
1529222177,25255,26005
1529222896,25257,26007
1529223620,25265,26015
1529224345,25265,26015
1529225058,25264,26014
1529225774,25256,26006
1529226521,25256,26006
1529227214,25259,26009
1529227945,25257,26007
1529228656,25255,26005
1529229379,25254,26004
1529230099,25253,26003
1529230819,25252,26002
1529231545,25247,25997
1529232259,25249,25999
1529232973,25249,25999
1529233716,25251,26001
