DateTime,AddedIPs,RemovedIPs
1528951265,45,44
1528951936,41,30
1528952663,27,33
1528953375,34,50
1528954097,51,46
1528954818,59,41
1528955541,32,32
1528956262,44,71
1528957033,92,43
1528957697,37,33
1528958417,34,48
1528959140,46,54
1528959861,39,40
1528960578,52,31
1528961294,54,59
1528962018,41,35
1528962786,30,51
1528963469,36,43
1528964175,63,44
1528964904,37,30
1528965619,39,42
1528966340,41,35
1528967312,30,25
1528968017,27,44
1528968741,42,46
1528969457,46,34
1528970178,41,30
1528971150,58,64
1528971860,49,29
1528972580,32,44
1528973297,45,45
1528974030,57,40
1528974739,47,40
1528975459,34,25
1528976181,34,34
1528976906,36,30
1528977635,34,40
1528978335,27,45
1528979050,51,40
1528979771,50,28
1528980748,28,32
1528981750,32,31
1528982414,36,23
1528983140,26,24
1528983873,23,33
1528984578,34,35
1528985297,26,24
1528986017,33,23
1528986743,29,30
1528987461,40,63
1528988177,63,37
1528988899,36,59
1528989619,69,47
1528990341,43,37
1528991060,32,45
1528991774,44,27
1528992524,35,47
1528993217,35,39
1528993942,33,42
1528994658,40,43
1528995380,40,34
1528996095,33,28
1528996818,37,38
1528997538,43,38
1528998260,42,30
1528998977,26,37
1528999704,34,37
1529000414,29,71
1529001147,65,27
1529001858,30,23
1529002577,28,41
1529003297,25,35
1529004018,39,37
1529004737,35,61
1529005460,64,53
1529006175,49,32
1529006907,29,39
1529007615,49,40
1529008338,47,35
1529009060,39,41
1529009778,38,42
1529010499,34,70
1529011223,67,45
1529012185,57,38
1529012896,30,34
1529013638,24,37
1529014338,28,48
1529015059,57,36
1529015776,41,33
1529017258,40,31
1529017942,25,37
1529018659,35,29
1529019626,33,32
1529020335,39,26
1529021071,21,31
1529021778,24,27
1529022497,38,24
1529023219,33,33
1529023939,37,38
1529024663,34,47
1529025381,48,41
1529026096,47,31
1529026823,32,37
1529027536,41,37
1529028271,35,50
1529028975,42,45
1529029697,41,37
1529030419,30,48
1529031141,37,44
1529031860,42,77
1529032586,94,19
1529033294,25,33
1529034019,31,68
1529034736,47,45
1529035472,49,39
1529036179,49,52
1529036898,33,30
1529037616,35,25
1529038344,31,33
1529039064,31,54
1529039780,53,28
1529040496,33,25
1529041218,24,46
1529041936,40,35
1529042670,38,59
1529043375,58,30
1529044104,40,26
1529044817,35,73
1529045540,29,34
1529046509,41,38
1529047215,27,49
1529047953,48,43
1529048659,38,27
1529049377,32,38
1529050095,44,17
1529050817,23,35
1529051541,47,37
1529052265,37,42
1529052974,39,58
1529053708,64,23
1529054415,22,43
1529055143,30,46
1529055859,49,38
1529056577,43,36
1529057297,71,25
1529058017,26,21
1529058744,24,27
1529059466,38,30
1529060174,30,44
1529060909,39,23
1529061615,33,43
1529062344,29,31
1529063058,37,48
1529063781,43,24
1529064497,28,30
1529066229,47,52
1529066889,33,28
1529067624,35,26
1529068331,26,40
1529069051,39,24
1529069770,26,40
1529070491,36,30
1529071216,32,42
1529071940,39,46
1529072651,32,21
1529073368,29,33
1529074094,40,38
1529074816,40,36
1529075536,30,33
1529076248,44,32
1529076970,32,30
1529077692,30,49
1529078420,61,32
1529079131,39,37
1529079855,20,34
1529080567,52,41
1529081294,34,36
1529082014,20,26
1529082736,21,14
1529083456,29,21
1529084168,24,35
1529084894,39,39
1529085614,45,34
1529086336,40,43
1529087066,41,54
1529087771,58,42
1529088492,39,40
1529089230,40,42
1529089932,41,49
1529090652,43,58
1529091763,49,33
1529092705,34,34
1529093844,43,37
1529094856,41,50
1529095996,60,50
1529096863,33,51
1529097798,54,50
1529098834,40,37
1529099543,40,30
1529100262,26,56
1529100979,46,33
1529101703,30,35
1529102418,42,39
1529103156,43,24
1529104107,23,38
1529104816,23,24
1529105548,18,31
1529106258,22,23
1529106980,25,37
1529107698,35,32
1529108418,28,36
1529109149,41,35
1529109860,39,49
1529110576,49,21
1529111311,25,29
1529112015,34,54
1529112741,44,39
1529113457,50,30
1529114177,32,29
1529114897,22,40
1529115619,36,37
1529116340,37,31
1529117065,29,32
1529117774,31,35
1529118508,32,37
1529119215,39,23
1529119942,26,30
1529120658,30,45
1529121376,44,35
1529122099,33,41
1529122821,42,36
1529123539,26,24
1529124262,30,23
1529124978,24,53
1529125708,47,26
1529126414,31,22
1529127231,23,58
1529127857,58,27
1529128580,36,43
1529129298,37,30
1529130017,30,38
1529130746,39,28
1529131456,22,28
1529132177,29,40
1529132901,44,31
1529133617,31,36
1529134341,40,37
1529135060,45,43
1529135774,24,27
1529136512,27,39
1529137214,36,22
1529137940,30,35
1529138656,31,31
1529139379,45,36
1529140101,34,41
1529140817,44,28
1529141541,31,41
1529142281,48,29
1529142974,32,31
1529143702,32,40
1529144414,36,59
1529145142,59,28
1529145874,38,45
1529146576,39,28
1529147299,37,42
1529148021,45,52
1529148738,57,35
1529149458,27,37
1529150175,42,35
1529150905,33,31
1529151624,34,26
1529152345,28,34
1529153056,27,33
1529153785,27,33
1529154497,42,46
1529155217,47,31
1529155938,33,52
1529156659,56,33
1529157373,48,32
1529158100,30,56
1529158814,41,45
1529159556,45,32
1529160256,40,42
1529160977,38,32
1529161698,38,37
1529162418,44,31
1529163142,27,48
1529163862,55,55
1529164574,52,51
1529165325,48,32
1529166014,32,26
1529166743,28,30
1529167458,26,29
1529168178,24,37
1529168903,47,37
1529169617,40,41
1529170340,26,50
1529171065,47,30
1529171774,31,44
1529172500,36,18
1529173214,29,33
1529173946,39,39
1529174656,44,26
1529175378,34,36
1529176097,30,50
1529176820,42,35
1529177541,36,29
1529178264,42,28
1529178974,33,41
1529179706,38,57
1529180414,40,50
1529181144,54,34
1529181857,41,37
1529182580,44,50
1529183298,42,53
1529184016,47,45
1529184738,32,47
1529185463,54,46
1529186175,54,42
1529186915,32,67
1529187616,53,48
1529188340,54,27
1529189060,28,41
1529189767,30,54
1529190512,49,49
1529191214,47,29
1529191940,26,34
1529192655,31,30
1529193379,25,30
1529194096,30,35
1529194820,33,27
1529195542,30,36
1529196258,41,26
1529196977,28,34
1529197697,22,36
1529198417,38,22
1529199139,31,40
1529200595,50,71
1529201295,43,42
1529202020,45,26
1529202740,24,38
1529203458,38,27
1529204174,24,47
1529204908,43,38
1529205614,37,29
1529206346,28,51
1529207060,62,29
1529207776,18,32
1529208496,30,55
1529209219,52,30
1529209942,37,44
1529210665,36,28
1529211374,33,35
1529212104,43,33
1529212817,30,33
1529213548,26,40
1529214348,38,15
1529214974,23,45
1529215704,43,40
1529216414,49,30
1529217146,34,47
1529217859,48,34
1529218580,29,34
1529219302,46,38
1529220017,37,32
1529220747,37,32
1529221455,32,40
1529222177,34,46
1529222896,61,26
1529223620,36,38
1529224345,38,42
1529225058,30,29
1529225774,30,42
1529226521,41,42
1529227214,49,45
1529227945,54,38
1529228656,36,40
1529229379,37,49
1529230099,52,27
1529230819,40,35
1529231545,28,41
1529232259,45,49
1529232973,45,48
1529233716,29,38
1529234414,44,35
1529235143,36,40
1529235863,34,26
1529236578,45,41
1529237296,32,27
1529238027,33,35
1529238743,37,39
1529239462,39,34
1529240174,39,25
1529240903,31,39
1529241615,37,35
1529242344,42,24
1529243056,22,33
1529243777,49,28
1529244498,22,16
1529245217,31,38
1529245941,41,35
1529246661,34,46
1529247377,43,37
1529248102,45,25
1529248813,34,40
1529249548,65,45
1529250256,78,64
1529250975,31,98
1529251714,59,45
1529252423,38,24
1529253143,37,46
1529253863,27,30
1529254573,34,48
1529255299,41,35
1529256014,34,30
1529256746,43,46
1529257456,44,41
1529258189,40,49
1529258899,52,30
1529259618,52,41
1529260343,31,45
1529261062,34,40
1529261775,39,56
1529262509,44,38
1529263215,45,38
1529263946,40,38
1529264658,35,21
1529265377,19,36
1529266095,34,52
1529266818,60,56
1529267545,45,34
1529268261,35,46
1529268974,38,41
1529269704,32,30
1529270416,30,33
1529271144,33,37
1529271862,41,32
1529272577,26,54
1529273555,46,55
1529274266,52,27
1529274979,29,34
1529275700,29,42
1529276432,34,39
1529277143,38,34
1529277864,37,37
1529278576,30,35
1529279301,30,35
1529280026,36,48
1529280743,38,33
1529281457,33,28
1529282182,29,36
1529282900,35,50
1529283622,35,36
1529284339,47,32
1529285063,41,31
1529285775,33,40
1529286505,41,35
1529287226,50,46
1529287948,33,32
1529288679,30,16
1529289378,22,24
1529290100,20,26
