DateTime,Entries,UniqueIPs
1528951265,8105,8105
1528951936,8116,8116
1528952663,8110,8110
1528953375,8094,8094
1528954097,8099,8099
1528954818,8117,8117
1528955541,8117,8117
1528956262,8090,8090
1528957033,8139,8139
1528957697,8143,8143
1528958417,8129,8129
1528959140,8121,8121
1528959861,8120,8120
1528960578,8141,8141
1528961294,8136,8136
1528962018,8142,8142
1528962786,8121,8121
1528963469,8114,8114
1528964175,8133,8133
1528964904,8140,8140
1528965619,8137,8137
1528966340,8143,8143
1528967312,8148,8148
1528968017,8131,8131
1528968741,8127,8127
1528969457,8139,8139
1528970178,8150,8150
1528971150,8144,8144
1528971860,8164,8164
1528972580,8152,8152
1528973297,8152,8152
1528974030,8169,8169
1528974739,8176,8176
1528975459,8185,8185
1528976181,8185,8185
1528976906,8191,8191
1528977635,8185,8185
1528978335,8167,8167
1528979050,8178,8178
1528979771,8200,8200
1528980748,8196,8196
1528981750,8197,8197
1528982414,8210,8210
1528983140,8212,8212
1528983873,8202,8202
1528984578,8201,8201
1528985297,8203,8203
1528986017,8213,8213
1528986743,8212,8212
1528987461,8189,8189
1528988177,8215,8215
1528988899,8192,8192
1528989619,8214,8214
1528990341,8220,8220
1528991060,8207,8207
1528991774,8224,8224
1528992524,8212,8212
1528993217,8208,8208
1528993942,8199,8199
1528994658,8196,8196
1528995380,8202,8202
1528996095,8207,8207
1528996818,8206,8206
1528997538,8211,8211
1528998260,8223,8223
1528998977,8212,8212
1528999704,8209,8209
1529000414,8167,8167
1529001147,8205,8205
1529001858,8212,8212
1529002577,8199,8199
1529003297,8189,8189
1529004018,8191,8191
1529004737,8165,8165
1529005460,8176,8176
1529006175,8193,8193
1529006907,8183,8183
1529007615,8192,8192
1529008338,8204,8204
1529009060,8202,8202
1529009778,8198,8198
1529010499,8162,8162
1529011223,8184,8184
1529012185,8203,8203
1529012896,8199,8199
1529013638,8186,8186
1529014338,8166,8166
1529015059,8187,8187
1529015776,8195,8195
1529017258,8204,8204
1529017942,8192,8192
1529018659,8198,8198
1529019626,8199,8199
1529020335,8212,8212
1529021071,8202,8202
1529021778,8199,8199
1529022497,8213,8213
1529023219,8213,8213
1529023939,8212,8212
1529024663,8199,8199
1529025381,8206,8206
1529026096,8222,8222
1529026823,8217,8217
1529027536,8221,8221
1529028271,8206,8206
1529028975,8203,8203
1529029697,8207,8207
1529030419,8189,8189
1529031141,8182,8182
1529031860,8147,8147
1529032586,8222,8222
1529033294,8214,8214
1529034019,8177,8177
1529034736,8179,8179
1529035472,8189,8189
1529036179,8186,8186
1529036898,8189,8189
1529037616,8199,8199
1529038344,8197,8197
1529039064,8174,8174
1529039780,8199,8199
1529040496,8207,8207
1529041218,8185,8185
1529041936,8190,8190
1529042670,8169,8169
1529043375,8197,8197
1529044104,8211,8211
1529044817,8173,8173
1529045540,8168,8168
1529046509,8171,8171
1529047215,8149,8149
1529047953,8154,8154
1529048659,8165,8165
1529049377,8159,8159
1529050095,8186,8186
1529050817,8174,8174
1529051541,8184,8184
1529052265,8179,8179
1529052974,8160,8160
1529053708,8201,8201
1529054415,8180,8180
1529055143,8164,8164
1529055859,8175,8175
1529056577,8182,8182
1529057297,8228,8228
1529058017,8233,8233
1529058744,8230,8230
1529059466,8238,8238
1529060174,8224,8224
1529060909,8240,8240
1529061615,8230,8230
1529062344,8228,8228
1529063058,8217,8217
1529063781,8236,8236
1529064497,8234,8234
1529066229,8229,8229
1529066889,8234,8234
1529067624,8243,8243
1529068331,8229,8229
1529069051,8244,8244
1529069770,8230,8230
1529070491,8236,8236
1529071216,8226,8226
1529071940,8219,8219
1529072651,8230,8230
1529073368,8226,8226
1529074094,8228,8228
1529074816,8232,8232
1529075536,8229,8229
1529076248,8241,8241
1529076970,8243,8243
1529077692,8224,8224
1529078420,8253,8253
1529079131,8255,8255
1529079855,8241,8241
1529080567,8252,8252
1529081294,8250,8250
1529082014,8244,8244
1529082736,8251,8251
1529083456,8259,8259
1529084168,8248,8248
1529084894,8248,8248
1529085614,8259,8259
1529086336,8256,8256
1529087066,8243,8243
1529087771,8259,8259
1529088492,8258,8258
1529089230,8256,8256
1529089932,8248,8248
1529090652,8233,8233
1529091763,8249,8249
1529092705,8249,8249
1529093844,8255,8255
1529094856,8246,8246
1529095996,8256,8256
1529096863,8238,8238
1529097798,8242,8242
1529098834,8245,8245
1529099543,8255,8255
1529100262,8225,8225
1529100979,8238,8238
1529101703,8233,8233
1529102418,8236,8236
1529103156,8255,8255
1529104107,8240,8240
1529104816,8239,8239
1529105548,8226,8226
1529106258,8225,8225
1529106980,8213,8213
1529107698,8216,8216
1529108418,8208,8208
1529109149,8214,8214
1529109860,8204,8204
1529110576,8232,8232
1529111311,8228,8228
1529112015,8208,8208
1529112741,8213,8213
1529113457,8233,8233
1529114177,8236,8236
1529114897,8218,8218
1529115619,8217,8217
1529116340,8223,8223
1529117065,8220,8220
1529117774,8216,8216
1529118508,8211,8211
1529119215,8227,8227
1529119942,8223,8223
1529120658,8208,8208
1529121376,8217,8217
1529122099,8209,8209
1529122821,8215,8215
1529123539,8217,8217
1529124262,8224,8224
1529124978,8195,8195
1529125708,8216,8216
1529126414,8225,8225
1529127231,8190,8190
1529127857,8221,8221
1529128580,8214,8214
1529129298,8221,8221
1529130017,8213,8213
1529130746,8224,8224
1529131456,8218,8218
1529132177,8207,8207
1529132901,8220,8220
1529133617,8215,8215
1529134341,8218,8218
1529135060,8220,8220
1529135774,8217,8217
1529136512,8205,8205
1529137214,8219,8219
1529137940,8214,8214
1529138656,8214,8214
1529139379,8223,8223
1529140101,8216,8216
1529140817,8232,8232
1529141541,8222,8222
1529142281,8241,8241
1529142974,8242,8242
1529143702,8234,8234
1529144414,8211,8211
1529145142,8242,8242
1529145874,8235,8235
1529146576,8246,8246
1529147299,8241,8241
1529148021,8234,8234
1529148738,8256,8256
1529149458,8246,8246
1529150175,8253,8253
1529150905,8255,8255
1529151624,8263,8263
1529152345,8257,8257
1529153056,8251,8251
1529153785,8245,8245
1529154497,8241,8241
1529155217,8257,8257
1529155938,8238,8238
1529156659,8261,8261
1529157373,8277,8277
1529158100,8251,8251
1529158814,8247,8247
1529159556,8260,8260
1529160256,8258,8258
1529160977,8264,8264
1529161698,8265,8265
1529162418,8278,8278
1529163142,8257,8257
1529163862,8257,8257
1529164574,8258,8258
1529165325,8274,8274
1529166014,8280,8280
1529166743,8278,8278
1529167458,8275,8275
1529168178,8262,8262
1529168903,8272,8272
1529169617,8271,8271
1529170340,8247,8247
1529171065,8264,8264
1529171774,8251,8251
1529172500,8269,8269
1529173214,8265,8265
1529173946,8265,8265
1529174656,8283,8283
1529175378,8281,8281
1529176097,8261,8261
1529176820,8268,8268
1529177541,8275,8275
1529178264,8289,8289
1529178974,8281,8281
1529179706,8262,8262
1529180414,8252,8252
1529181144,8272,8272
1529181857,8276,8276
1529182580,8270,8270
1529183298,8259,8259
1529184016,8261,8261
1529184738,8246,8246
1529185463,8254,8254
1529186175,8266,8266
1529186915,8231,8231
1529187616,8236,8236
1529188340,8263,8263
1529189060,8250,8250
1529189767,8226,8226
1529190512,8226,8226
1529191214,8244,8244
1529191940,8236,8236
1529192655,8237,8237
1529193379,8232,8232
1529194096,8227,8227
1529194820,8233,8233
1529195542,8227,8227
1529196258,8242,8242
1529196977,8236,8236
1529197697,8222,8222
1529198417,8238,8238
1529199139,8229,8229
1529200595,8208,8208
1529201295,8209,8209
1529202020,8228,8228
1529202740,8214,8214
1529203458,8225,8225
1529204174,8202,8202
1529204908,8207,8207
1529205614,8215,8215
1529206346,8192,8192
1529207060,8225,8225
1529207776,8211,8211
1529208496,8186,8186
1529209219,8208,8208
1529209942,8201,8201
1529210665,8209,8209
1529211374,8207,8207
1529212104,8217,8217
1529212817,8214,8214
1529213548,8200,8200
1529214348,8223,8223
1529214974,8201,8201
1529215704,8204,8204
1529216414,8223,8223
1529217146,8210,8210
1529217859,8224,8224
1529218580,8219,8219
1529219302,8227,8227
1529220017,8232,8232
1529220747,8237,8237
1529221455,8229,8229
1529222177,8217,8217
1529222896,8252,8252
1529223620,8250,8250
1529224345,8246,8246
1529225058,8247,8247
1529225774,8235,8235
1529226521,8234,8234
1529227214,8238,8238
1529227945,8254,8254
1529228656,8250,8250
1529229379,8238,8238
1529230099,8263,8263
1529230819,8268,8268
1529231545,8255,8255
1529232259,8251,8251
1529232973,8248,8248
1529233716,8239,8239
1529234414,8248,8248
1529235143,8244,8244
1529235863,8252,8252
1529236578,8256,8256
1529237296,8261,8261
1529238027,8259,8259
1529238743,8257,8257
1529239462,8262,8262
1529240174,8276,8276
1529240903,8268,8268
1529241615,8270,8270
1529242344,8288,8288
1529243056,8277,8277
1529243777,8298,8298
1529244498,8304,8304
1529245217,8297,8297
1529245941,8303,8303
1529246661,8291,8291
1529247377,8297,8297
1529248102,8317,8317
1529248813,8311,8311
1529249548,8331,8331
1529250256,8345,8345
1529250975,8278,8278
1529251714,8292,8292
1529252423,8306,8306
1529253143,8297,8297
1529253863,8294,8294
1529254573,8280,8280
1529255299,8286,8286
1529256014,8290,8290
1529256746,8287,8287
1529257456,8290,8290
1529258189,8281,8281
1529258899,8303,8303
1529259618,8314,8314
1529260343,8300,8300
1529261062,8294,8294
1529261775,8277,8277
1529262509,8283,8283
1529263215,8290,8290
1529263946,8292,8292
1529264658,8306,8306
1529265377,8289,8289
1529266095,8271,8271
1529266818,8275,8275
1529267545,8286,8286
1529268261,8275,8275
1529268974,8272,8272
1529269704,8274,8274
1529270416,8271,8271
1529271144,8267,8267
1529271862,8276,8276
1529272577,8248,8248
1529273555,8239,8239
1529274266,8264,8264
1529274979,8259,8259
1529275700,8246,8246
1529276432,8241,8241
1529277143,8245,8245
1529277864,8245,8245
1529278576,8240,8240
1529279301,8235,8235
1529280026,8223,8223
1529280743,8228,8228
1529281457,8233,8233
1529282182,8226,8226
1529282900,8211,8211
1529283622,8210,8210
1529284339,8225,8225
1529285063,8235,8235
1529285775,8228,8228
1529286505,8234,8234
1529287226,8238,8238
1529287948,8239,8239
1529288679,8253,8253
1529289378,8251,8251
1529290100,8245,8245
1529290824,8249,8249
1529291541,8244,8244
1529292260,8218,8218
1529292975,8232,8232
1529293707,8227,8227
1529294426,8229,8229
1529295143,8222,8222
1529295858,8245,8245
1529296580,8238,8238
1529297299,8235,8235
1529298020,8224,8224
1529298745,8227,8227
1529299461,8234,8234
1529300176,8222,8222
1529300899,8237,8237
1529301621,8221,8221
1529302345,8228,8228
1529303057,8221,8221
1529303777,8215,8215
1529304496,8210,8210
1529305237,8205,8205
1529305938,8205,8205
1529306664,8224,8224
1529307376,8230,8230
1529308101,8227,8227
1529308819,8232,8232
1529309545,8196,8196
1529310259,8218,8218
1529310981,8233,8233
1529311697,8249,8249
1529312422,8237,8237
1529313141,8245,8245
1529313864,8242,8242
1529314577,8250,8250
1529315303,8241,8241
1529316025,8266,8266
1529316746,8246,8246
1529317457,8238,8238
