DateTime,AddedIPs,RemovedIPs
1528615725,4,0
1528616865,3,9
1528618235,0,2
1528619314,1,0
1528620152,1,3
1528620993,1,1
1528622141,3,1
1528622918,1,0
1528623754,0,12
1528625145,0,9
1528626522,4,0
1528627830,9,27
1528629031,3,1
1528630949,2,3
1528632878,0,8
1528634557,4,16
1528636474,1,8
1528638151,2,5
1528639832,0,3
1528640909,2,0
1528642502,1,10
1528643671,2,3
1528645354,2,16
1528646189,1,0
1528647338,4,8
1528648116,3,0
1528648951,0,7
1528650874,0,5
1528652552,2,3
1528654236,3,6
1528656152,7,6
1528658080,2,0
1528659747,4,4
1528660597,1,0
1528661674,0,11
1528663377,7,13
1528666108,7,8
1528666959,2,15
1528667800,2,0
1528668936,2,6
1528670075,3,11
1528671382,2,0
1528672537,3,10
1528673303,2,0
1528674155,6,3
1528674991,13,0
1528676136,15,3
1528677285,11,3
1528678677,10,3
1528679663,9,1
1528681363,26,2
1528684258,26,2
1528685798,12,0
1528686864,6,1
1528688011,6,5
1528689398,8,0
1528690467,3,2
1528692155,12,1
1528694063,11,1
1528695757,10,1
1528696599,2,0
1528697736,1,2
1528698509,1,0
1528700750,1,4
1528702933,2,2
1528704876,0,2
1528706134,1,3
1528707929,8,8
1528708475,1,0
1528710152,3,7
1528711734,2,2
1528713329,6,3
1528714586,1,0
1528715669,3,5
1528716504,2,0
1528718184,3,4
1528719338,0,2
1528720826,1,5
1528722862,1,15
1528724562,3,7
1528725393,1,1
1528726536,0,1
1528727314,1,0
1528728984,0,1
1528730138,2,0
1528731331,3,7
1528733679,3,0
1528735351,2,5
1528736183,1,0
1528737338,0,11
1528738949,3,4
1528739804,1,0
1528740874,1,10
1528742450,2,13
1528744470,5,3
1528745302,3,0
1528746155,0,15
1528747837,3,4
1528749743,2,6
1528751137,1,6
1528752504,2,0
1528753356,0,6
1528755265,1,1
1528756116,1,0
1528756949,0,1
1528758330,3,1
1528759489,0,1
1528761392,5,0
1528762533,0,3
1528764936,2,16
1528766140,3,6
1528767322,1,7
1528768474,2,0
1528769685,4,4
1528770936,2,7
1528772763,4,8
1528774576,1,8
1528775755,0,4
1528776940,3,5
1528778552,7,5
1528780463,1,12
1528782145,0,14
1528782992,0,1
1528784072,2,7
1528784912,2,0
1528785749,0,4
1528786588,2,0
1528787680,4,4
1528788946,3,1
1528790134,3,0
1528792103,2,3
1528793382,3,7
1528794636,3,1
1528795715,2,0
1528797030,0,3
1528798474,0,6
1528799304,1,0
1528800152,1,2
1528800990,3,0
1528802150,1,0
1528803640,2,0
1528805096,2,1
1528806517,2,0
1528807346,2,1
1528809278,2,1
1528811717,2,2
1528812933,1,1
1528813713,1,0
1528815032,1,2
1528815388,1,0
1528816463,1,4
1528817304,2,0
1528818994,4,6
1528820132,2,0
1528821756,4,2
1528823129,2,6
1528824649,1,11
1528825345,1,2
1528827268,10,2
1528828835,2,1
1528830862,1,6
1528832167,0,2
1528833332,1,6
1528835654,1,3
1528837323,2,5
1528838065,0,1
1528839753,0,9
1528841673,0,5
1528843355,5,12
1528844729,2,21
1528845895,2,0
1528846953,0,19
1528848934,2,10
1528850550,2,16
1528851395,3,0
1528852537,2,24
1528853301,2,0
1528854153,1,26
1528856075,1,22
1528857755,0,13
1528858596,1,0
1528859672,1,6
1528860514,1,0
1528863281,1,22
1528865428,2,30
1528866633,1,6
1528867704,1,0
1528869323,1,3
1528870470,0,1
1528871316,1,0
1528872953,1,2
1528874141,4,1
1528875356,0,3
1528876523,1,2
1528877663,0,5
1528879345,2,5
1528880740,3,3
1528882113,1,0
1528883785,0,4
1528884937,1,1
1528886344,5,5
1528887391,1,0
1528888472,0,5
1528890149,1,0
1528892062,4,0
1528893270,1,2
1528894529,3,0
1528895672,0,1
1528898193,1,0
1528899275,1,2
1528900955,2,3
1528902330,4,2
1528903711,2,0
1528905993,1,4
1528908143,2,3
1528909514,5,1
1528910903,2,0
1528912224,1,1
1528913464,1,2
1528914503,1,0
1528916202,2,4
1528918102,4,0
1528919428,1,5
1528920863,1,0
1528922277,4,3
1528923929,2,0
1528926152,1,3
1528928077,2,2
1528929751,1,4
1528931138,2,1
1528932326,2,0
1528934186,1,4
1528935336,0,1
1528936112,1,0
1528936950,0,4
1528938876,1,1
1528940444,3,3
1528942234,3,3
1528943481,3,3
1528944937,3,1
1528946138,5,1
1528946923,4,0
1528947754,1,10
1528949675,2,0
1528952729,2,1
1528954528,2,1
1528955810,2,0
1528956874,1,2
1528958128,3,4
1528959935,2,6
1528960464,1,0
1528961737,2,1
1528962934,1,2
1528964063,1,0
1528965190,1,4
1528967668,4,0
1528969235,1,2
1528970868,5,5
1528972654,1,2
1528974203,1,2
1528974880,1,0
1528976556,1,1
1528977927,2,2
1528979123,3,0
1528980149,3,1
1528982061,1,2
1528983653,0,4
1528984588,1,0
1528985736,4,1
1528987352,0,3
1528988196,1,0
1528989332,0,4
1528990853,1,4
1528992882,4,1
1528993703,1,0
1528995330,1,3
1528996461,0,2
1528997726,5,9
1528998991,3,0
1529000062,1,1
1529001757,8,1
1529002595,1,0
1529003718,1,1
1529005202,7,1
1529007037,5,2
1529008943,0,2
1529010872,4,1
1529012133,1,3
1529014474,4,2
1529015304,2,0
1529016929,6,4
1529018134,4,1
1529019639,2,2
1529020595,0,1
1529021668,2,4
1529023348,1,3
1529025261,2,1
1529028292,2,2
1529029716,3,0
1529030550,5,3
1529032477,4,2
1529033314,4,0
1529034147,3,0
1529035835,5,0
1529037039,3,1
1529038581,4,0
1529039732,4,3
1529041342,4,1
1529042189,1,0
1529043330,4,3
1529044109,4,0
1529044952,3,5
1529045791,1,0
1529046900,1,1
1529047701,4,0
1529048551,1,3
1529050104,5,2
1529051438,5,2
1529052622,5,2
1529053833,1,0
1529055750,1,7
1529057730,4,4
1529058508,1,0
1529059353,1,0
1529060182,3,0
1529061335,1,1
1529062848,1,5
1529065718,10,5
1529067384,1,0
1529068462,1,2
1529070048,1,1
1529072079,4,6
1529073742,2,1
1529075675,5,1
1529076503,6,0
1529077826,4,3
1529079273,6,2
1529080943,4,3
1529082873,9,2
1529084542,2,1
1529086546,1,2
1529088056,3,4
1529092523,2,5
1529093725,2,0
1529094938,3,1
1529096099,3,0
1529097276,2,0
1529098532,1,1
1529100932,3,1
1529102543,1,4
1529103386,2,0
1529104473,3,2
1529106987,2,1
1529108135,4,0
1529108905,3,0
1529110233,2,2
1529111667,4,2
1529113236,3,5
1529115042,4,1
1529116249,1,4
1529117427,3,0
1529118639,1,1
1529120550,3,0
1529122189,1,3
1529124150,4,0
1529126136,1,2
1529128119,1,3
1529129668,3,4
1529130816,1,1
1529132182,6,0
1529133331,4,2
1529134101,3,0
1529134948,0,3
1529136862,3,1
1529138154,5,1
1529139402,3,0
1529140536,1,4
1529141307,1,0
1529142153,0,2
1529142990,5,0
1529144062,2,1
1529145648,2,2
1529146589,1,0
1529147734,6,3
1529149046,1,3
1529150175,7,2
1529151266,0,2
1529152104,1,0
1529153438,8,1
1529154875,4,0
1529156554,1,3
1529158473,4,2
1529160143,5,5
1529160988,3,0
1529162137,0,2
1529162916,1,0
1529163751,0,4
1529165662,2,5
1529167350,1,4
1529169274,3,3
1529170102,1,0
1529171798,6,7
1529172935,2,2
1529174124,3,4
1529176462,3,3
1529177303,1,0
1529178147,0,3
1529180061,1,2
1529180901,2,0
1529182235,3,4
1529183339,3,3
1529185248,5,5
1529187262,8,7
1529188107,3,0
1529188955,2,7
1529189790,3,0
1529190874,2,0
1529192313,4,4
1529193395,3,0
1529194462,2,3
1529196579,2,2
1529197834,0,3
1529199756,8,3
1529201684,0,6
1529203232,4,6
1529204743,2,4
1529205933,3,0
1529206962,2,6
1529208634,1,3
1529209833,3,8
1529211336,2,2
1529212473,4,0
1529213302,1,0
1529214625,2,10
1529216068,4,1
1529217654,1,5
1529219675,5,5
1529221236,4,6
1529223261,2,5
1529224475,1,2
1529226329,3,2
1529227854,1,4
1529230471,3,5
1529232629,1,2
1529233833,2,2
1529234915,1,0
1529236735,3,11
1529238509,1,0
1529239356,2,0
1529241262,9,0
1529243790,4,3
1529244874,2,5
1529246135,0,5
1529247325,5,0
1529248473,1,1
1529250508,1,3
1529251835,6,3
1529253041,2,0
1529254581,3,0
1529255736,2,0
1529257827,4,2
1529259035,2,0
1529260977,0,1
1529262331,0,2
1529263838,1,2
1529265385,2,0
