DateTime,Entries,UniqueIPs
1528615725,8909,8909
1528616865,8903,8903
1528618235,8901,8901
1528619314,8902,8902
1528620152,8900,8900
1528620993,8900,8900
1528622141,8902,8902
1528622918,8903,8903
1528623754,8891,8891
1528625145,8882,8882
1528626522,8886,8886
1528627830,8868,8868
1528629031,8870,8870
1528630949,8869,8869
1528632878,8861,8861
1528634557,8849,8849
1528636474,8842,8842
1528638151,8839,8839
1528639832,8836,8836
1528640909,8838,8838
1528642502,8829,8829
1528643671,8828,8828
1528645354,8814,8814
1528646189,8815,8815
1528647338,8811,8811
1528648116,8814,8814
1528648951,8807,8807
1528650874,8802,8802
1528652552,8801,8801
1528654236,8798,8798
1528656152,8799,8799
1528658080,8801,8801
1528659747,8801,8801
1528660597,8802,8802
1528661674,8791,8791
1528663377,8785,8785
1528666108,8784,8784
1528666959,8771,8771
1528667800,8773,8773
1528668936,8769,8769
1528670075,8761,8761
1528671382,8763,8763
1528672537,8756,8756
1528673303,8758,8758
1528674155,8761,8761
1528674991,8774,8774
1528676136,8786,8786
1528677285,8794,8794
1528678677,8801,8801
1528679663,8809,8809
1528681363,8833,8833
1528684258,8857,8857
1528685798,8869,8869
1528686864,8874,8874
1528688011,8875,8875
1528689398,8883,8883
1528690467,8884,8884
1528692155,8895,8895
1528694063,8905,8905
1528695757,8914,8914
1528696599,8916,8916
1528697736,8915,8915
1528698509,8916,8916
1528700750,8913,8913
1528702933,8913,8913
1528704876,8911,8911
1528706134,8909,8909
1528707929,8909,8909
1528708475,8910,8910
1528710152,8906,8906
1528711734,8906,8906
1528713329,8909,8909
1528714586,8910,8910
1528715669,8908,8908
1528716504,8910,8910
1528718184,8909,8909
1528719338,8907,8907
1528720826,8903,8903
1528722862,8889,8889
1528724562,8885,8885
1528725393,8885,8885
1528726536,8884,8884
1528727314,8885,8885
1528728984,8884,8884
1528730138,8886,8886
1528731331,8882,8882
1528733679,8885,8885
1528735351,8882,8882
1528736183,8883,8883
1528737338,8872,8872
1528738949,8871,8871
1528739804,8872,8872
1528740874,8863,8863
1528742450,8852,8852
1528744470,8854,8854
1528745302,8857,8857
1528746155,8842,8842
1528747837,8841,8841
1528749743,8837,8837
1528751137,8832,8832
1528752504,8834,8834
1528753356,8828,8828
1528755265,8828,8828
1528756116,8829,8829
1528756949,8828,8828
1528758330,8830,8830
1528759489,8829,8829
1528761392,8834,8834
1528762533,8831,8831
1528764936,8817,8817
1528766140,8814,8814
1528767322,8808,8808
1528768474,8810,8810
1528769685,8810,8810
1528770936,8805,8805
1528772763,8801,8801
1528774576,8794,8794
1528775755,8790,8790
1528776940,8788,8788
1528778552,8790,8790
1528780463,8779,8779
1528782145,8765,8765
1528782992,8764,8764
1528784072,8759,8759
1528784912,8761,8761
1528785749,8757,8757
1528786588,8759,8759
1528787680,8759,8759
1528788946,8761,8761
1528790134,8764,8764
1528792103,8763,8763
1528793382,8759,8759
1528794636,8761,8761
1528795715,8763,8763
1528797030,8760,8760
1528798474,8754,8754
1528799304,8755,8755
1528800152,8754,8754
1528800990,8757,8757
1528802150,8758,8758
1528803640,8760,8760
1528805096,8761,8761
1528806517,8763,8763
1528807346,8764,8764
1528809278,8765,8765
1528811717,8765,8765
1528812933,8765,8765
1528813713,8766,8766
1528815032,8765,8765
1528815388,8766,8766
1528816463,8763,8763
1528817304,8765,8765
1528818994,8763,8763
1528820132,8765,8765
1528821756,8767,8767
1528823129,8763,8763
1528824649,8753,8753
1528825345,8752,8752
1528827268,8760,8760
1528828835,8761,8761
1528830862,8756,8756
1528832167,8754,8754
1528833332,8749,8749
1528835654,8747,8747
1528837323,8744,8744
1528838065,8743,8743
1528839753,8734,8734
1528841673,8729,8729
1528843355,8722,8722
1528844729,8703,8703
1528845895,8705,8705
1528846953,8686,8686
1528848934,8678,8678
1528850550,8664,8664
1528851395,8667,8667
1528852537,8645,8645
1528853301,8647,8647
1528854153,8622,8622
1528856075,8601,8601
1528857755,8588,8588
1528858596,8589,8589
1528859672,8584,8584
1528860514,8585,8585
1528863281,8564,8564
1528865428,8536,8536
1528866633,8531,8531
1528867704,8532,8532
1528869323,8530,8530
1528870470,8529,8529
1528871316,8530,8530
1528872953,8529,8529
1528874141,8532,8532
1528875356,8529,8529
1528876523,8528,8528
1528877663,8523,8523
1528879345,8520,8520
1528880740,8520,8520
1528882113,8521,8521
1528883785,8517,8517
1528884937,8517,8517
1528886344,8517,8517
1528887391,8518,8518
1528888472,8513,8513
1528890149,8514,8514
1528892062,8518,8518
1528893270,8517,8517
1528894529,8520,8520
1528895672,8519,8519
1528898193,8520,8520
1528899275,8519,8519
1528900955,8518,8518
1528902330,8520,8520
1528903711,8522,8522
1528905993,8519,8519
1528908143,8518,8518
1528909514,8522,8522
1528910903,8524,8524
1528912224,8524,8524
1528913464,8523,8523
1528914503,8524,8524
1528916202,8522,8522
1528918102,8526,8526
1528919428,8522,8522
1528920863,8523,8523
1528922277,8524,8524
1528923929,8526,8526
1528926152,8524,8524
1528928077,8524,8524
1528929751,8521,8521
1528931138,8522,8522
1528932326,8524,8524
1528934186,8521,8521
1528935336,8520,8520
