DateTime,AddedIPs,RemovedIPs
1528229677,1,1
1528230517,1,0
1528232198,3,0
1528233283,3,0
1528234907,1,0
1528236650,1,0
1528237845,1,0
1528239391,2,0
1528240485,1,1
1528242166,0,4
1528243836,1,2
1528244909,1,0
1528246072,2,0
1528247416,1,1
1528248651,2,2
1528251048,29,0
1528252526,1,0
1528256034,2,1
1528257299,1,0
1528258538,1,0
1528259318,2,0
1528260999,1,0
1528262082,0,2
1528263762,1,1
1528265669,0,2
1528266818,0,2
1528269268,0,1
1528275943,0,1
1528282385,1,0
1528283742,1,0
1528284930,1,3
1528286282,3,0
1528287283,1,0
1528289007,0,2
1528296639,0,1
1528299460,2,7
1528301667,2,2
1528303657,0,5
1528305043,2,1
1528306960,1,0
1528308523,1,1
1528313320,3,2
1528318603,1,6
1528325006,3,1
1528329034,5,5
1528332989,2,0
1528334133,5,0
1528335654,1,1
1528337446,1,0
1528338696,1,0
1528341272,0,2
1528346456,3,2
1528349330,1,0
1528350507,1,1
1528352073,0,1
1528354229,0,1
1528357362,1,1
1528361790,1,0
1528363241,0,1
1528363719,1,0
1528364559,0,2
1528366472,1,0
1528367308,1,0
1528368999,2,1
1528370142,0,1
1528372740,1,0
1528374044,1,0
1528375237,3,0
1528377340,3,0
1528378981,0,1
1528383071,1,0
1528384472,13,1
1528385737,0,12
1528386989,6,0
1528388073,0,1
1528389755,3,0
1528391668,1,1
1528392875,2,2
1528394099,1,0
1528397801,1,0
1528398963,1,0
1528400743,1,2
1528402482,0,2
1528403318,2,0
1528405535,0,3
1528407943,0,1
1528409446,0,3
1528410633,0,1
1528413040,1,1
1528414250,1,1
1528415441,1,0
1528416870,0,3
1528418548,0,2
1528419399,1,0
1528420540,0,29
1528423003,2,1
1528425709,0,1
1528427687,0,1
1528429370,0,3
1528433792,1,1
1528434888,1,0
1528438240,1,0
1528442068,2,0
1528443752,1,0
1528445678,1,0
1528448752,26,0
1528449882,1,0
1528452871,23,0
1528454548,6,1
1528456471,1,3
1528459705,1,1
1528463152,2,0
1528464653,1,0
1528467284,2,0
1528468960,2,1
1528470141,0,1
1528473354,2,3
1528474569,2,1
1528476206,0,2
1528477588,0,1
1528481727,0,1
1528483008,0,2
1528486122,1,1
1528487442,1,0
1528489042,0,1
1528490551,0,2
1528492484,1,0
1528494157,0,1
1528495857,0,3
1528498602,1,1
1528499743,4,2
1528501265,1,1
1528503278,0,1
1528505735,0,1
1528509381,0,1
1528511261,1,1
1528513548,1,0
