DateTime,AddedIPs,RemovedIPs
1528687969,55,101
1528689373,100,0
1528690446,48,88
1528692127,121,95
1528694046,163,119
1528695730,147,252
1528696577,42,0
1528697707,76,77
1528698486,43,0
1528700691,156,247
1528702912,160,97
1528703767,46,1
1528704847,116,153
1528706107,101,145
1528707210,107,33
1528708453,128,60
1528710129,200,145
1528711713,160,60
1528713311,122,73
1528713733,34,0
1528714569,64,1
1528715646,88,84
1528716486,76,1
1528718167,112,118
1528719305,112,94
1528720810,90,97
1528722846,146,138
1528723686,50,0
1528724531,54,156
1528725366,53,0
1528726507,78,73
1528727288,34,0
1528728966,82,129
1528730106,71,85
1528731307,73,106
1528731728,31,15
1528733645,101,54
1528734906,88,74
1528735326,32,40
1528736166,69,1
1528737311,105,78
1528738926,183,147
1528739779,117,0
1528740845,84,211
1528742423,163,156
1528744446,223,100
1528745285,87,1
1528746134,109,140
1528747814,156,111
1528749727,224,243
1528751111,158,102
1528752486,171,0
1528753337,89,133
1528755246,198,85
1528756093,58,0
1528756927,61,119
1528758307,115,74
1528759471,129,0
1528761373,194,98
1528762507,93,142
1528763292,52,0
1528764905,124,155
1528766112,103,79
1528767307,92,98
1528768453,83,0
1528769647,114,169
1528770892,100,111
1528772720,182,92
1528773246,23,0
1528774552,122,122
1528775708,104,37
1528776912,148,69
1528777687,69,0
1528778527,68,89
1528780446,155,90
1528781286,61,0
1528782127,71,168
1528782966,78,0
1528784046,77,117
1528784886,58,0
1528785726,95,91
1528786566,86,0
1528787646,91,121
1528788929,99,90
1528790111,119,34
1528791307,98,77
1528792086,53,1
1528793364,126,150
1528794614,82,99
1528795686,79,0
1528797007,92,140
1528797366,20,0
1528798447,73,74
1528799287,49,0
1528800126,63,127
1528800966,75,0
1528802114,64,76
1528803611,91,101
1528805074,106,101
1528806486,81,0
1528807330,66,122
1528809246,117,61
1528810086,54,0
1528811690,83,114
1528812907,123,123
1528813686,55,0
1528815001,104,184
1528815369,21,0
1528816445,83,66
1528817286,54,0
1528818971,116,173
1528820107,104,80
1528821727,175,96
1528823106,101,120
1528824618,91,116
1528825327,44,55
1528827245,118,144
1528828811,121,102
1528830846,96,134
1528832134,71,107
1528833313,68,43
1528834507,92,51
1528836132,104,127
1528837306,57,108
1528838047,80,0
1528839732,144,78
1528840572,53,0
1528841647,53,61
1528843327,105,119
1528844706,88,91
1528845877,70,0
1528846928,60,149
1528847773,102,0
1528848905,108,83
1528850527,95,179
1528851373,37,0
1528852507,68,216
1528853286,70,0
1528854127,63,134
1528854972,82,0
1528856047,50,124
1528857730,110,143
1528858566,53,0
1528859647,64,55
1528860487,41,0
1528863247,206,238
1528864086,56,0
1528865410,72,183
1528866611,55,80
1528867687,54,0
1528869306,118,101
1528870445,80,124
1528871286,49,0
1528872935,129,127
1528874106,93,97
1528875338,123,161
1528876506,116,53
1528877646,109,124
1528879327,137,244
1528880711,91,115
1528882086,104,0
1528883766,112,210
1528884910,67,85
1528886326,87,166
1528887367,61,0
1528888447,60,140
1528890127,116,119
1528890973,50,0
1528892046,89,107
1528893243,143,114
1528894506,82,42
1528895647,62,88
1528897104,115,105
1528898167,96,36
1528899246,85,69
1528900928,132,145
1528902306,128,67
1528903686,115,1
1528905965,210,215
1528908126,241,227
1528909245,87,149
1528910886,200,1
1528912207,186,147
1528913405,149,190
1528914485,204,0
1528916166,240,253
1528917245,119,123
1528918086,112,0
1528919406,125,184
1528920846,152,86
1528922240,123,131
1528923907,126,170
1528925287,135,1
1528926127,120,94
1528928046,129,126
1528928886,69,0
1528929733,86,201
1528931113,148,136
1528932305,76,0
1528934169,138,148
1528935306,98,97
1528936086,52,0
1528936927,63,169
1528938853,190,87
1528940413,153,168
1528942207,197,137
1528943458,74,133
1528944913,121,72
1528946107,148,106
1528946895,73,0
1528947727,60,191
1528949646,172,89
1528951074,104,131
1528953246,163,132
1528954506,84,114
1528955779,143,106
1528956846,121,153
1528958106,141,145
1528959912,163,172
1528960446,51,0
1528961719,109,148
1528962913,224,45
1528964045,114,121
1528965163,82,122
1528965727,38,48
1528967646,158,72
1528969211,189,116
1528970851,276,148
1528972620,280,111
1528974851,285,125
1528976527,168,107
1528977910,136,125
1528979106,92,1
1528980126,110,140
1528982045,164,69
1528983627,142,194
1528985710,195,100
1528986486,51,0
1528987327,78,118
1528988166,95,0
1528989308,103,129
1528990822,151,220
1528992866,213,97
1528993686,80,0
1528995307,103,153
1528996445,85,65
1528997710,127,146
1528998966,143,42
1529000045,117,62
1529001734,199,88
1529002569,99,0
1529004010,159,143
1529005186,95,143
1529007013,138,111
1529008927,121,236
1529010845,173,85
1529012106,79,98
1529013447,84,46
1529014447,83,63
1529015286,52,0
1529016910,167,144
1529018106,132,107
1529019606,178,138
1529020574,118,0
1529021645,88,104
1529023327,123,136
1529025246,212,186
1529026094,91,0
1529028268,135,246
1529029687,135,0
1529030530,104,142
1529032446,179,119
1529033287,50,0
1529034127,72,118
1529035806,220,61
1529037011,145,81
1529038566,122,0
1529039707,69,144
1529041326,97,112
1529042167,64,0
1529043306,98,148
