DateTime,AddedIPs,RemovedIPs
1528666964,1,11
1528667804,1,0
1528668942,2,4
1528670080,0,7
1528670563,1,0
1528672542,1,12
1528674162,2,15
1528674999,3,0
1528676141,7,2
1528677290,8,13
1528678716,7,9
1528679668,5,2
1528681395,8,14
1528684269,20,21
1528685807,14,2
1528686870,11,2
1528688021,14,11
1528689403,19,0
1528690473,6,8
1528692164,14,8
1528694067,14,12
1528695769,28,10
1528696604,6,0
1528697742,11,7
1528698514,7,0
1528700762,14,20
1528702943,10,13
1528703795,3,0
1528704881,6,5
1528706139,8,5
1528707943,7,5
1528708479,5,0
1528710166,11,8
1528711739,12,6
1528713334,9,1
1528713769,8,0
1528714592,5,0
1528715674,7,5
1528716510,5,0
1528718190,7,8
1528719343,25,3
1528720831,5,10
1528722866,9,9
1528723724,3,0
1528724570,5,12
1528725398,2,0
1528726542,2,8
1528727320,3,0
1528728989,3,9
1528730145,4,3
1528731336,3,8
1528731772,1,2
1528733685,9,9
1528735361,4,9
1528736188,3,0
1528737343,1,7
1528738954,6,2
1528739810,1,0
1528740879,0,9
1528742456,4,4
1528744476,5,3
1528745306,3,0
1528746160,3,5
1528747842,2,1
1528749748,6,3
1528751142,2,2
1528752509,0,1
1528753360,2,9
1528755272,3,0
1528756121,3,0
1528756953,1,5
1528758335,5,10
1528759494,11,0
1528761396,7,4
1528762538,9,8
1528763324,1,0
1528764941,12,8
1528766146,8,6
1528767328,7,8
1528768479,11,0
1528769691,18,9
1528770944,10,5
1528772772,18,7
1528773275,4,0
1528774582,9,9
1528775762,9,1
1528776946,8,5
1528777710,13,0
1528778557,4,3
1528780469,17,5
1528781316,6,1
1528782150,4,12
1528782997,10,0
1528784076,5,10
1528784917,7,0
1528785754,9,8
1528786593,6,0
1528787687,6,3
1528788952,18,5
1528790139,12,2
1528792107,12,3
1528793387,11,6
1528794640,9,8
1528795721,8,0
1528797036,6,13
1528798481,8,5
1528799310,6,0
1528800157,4,6
1528800995,1,0
1528802155,4,6
1528803645,5,5
1528805100,5,2
1528806522,2,0
1528807350,4,7
1528809283,7,2
1528810118,4,0
1528811732,6,5
1528812941,3,1
1528813718,2,1
1528815043,8,4
1528815394,1,0
1528816468,5,3
1528817309,5,0
1528818999,4,5
1528820137,15,4
1528821762,1,2
1528823133,1,2
1528824655,3,3
1528827273,5,2
1528828840,1,2
1528830866,2,4
1528832173,19,6
1528833337,3,1
1528834553,1,1
1528835674,1,5
1528837336,1,0
1528838069,1,0
1528839757,2,6
1528840597,5,0
1528841679,4,3
1528843362,4,4
1528844735,0,3
1528845900,3,1
1528846959,1,13
1528847796,2,0
1528848938,8,8
1528850554,18,4
1528851400,5,0
1528852542,9,3
1528853306,6,0
1528854158,9,13
1528854999,5,0
1528856079,6,11
1528857761,12,17
1528858602,6,0
1528859677,4,9
1528860520,5,0
1528863286,10,23
1528864110,5,0
1528865433,6,9
1528866638,6,8
1528867710,9,0
1528869328,8,11
1528870475,6,13
1528871321,4,0
1528872959,13,8
1528874147,7,10
1528875366,3,10
1528876528,6,2
1528877668,6,13
1528879349,16,17
1528880745,9,8
1528882118,4,1
1528883789,10,14
1528884943,7,6
1528886356,4,9
1528887397,3,0
1528888481,2,12
1528890154,7,19
1528890997,1,0
1528892067,0,4
1528893279,3,7
1528894534,3,3
1528895678,2,6
1528897127,5,2
1528898199,1,2
1528899280,4,1
1528900960,4,13
1528902334,3,2
1528903716,1,0
1528906001,4,13
1528908148,8,11
1528909525,4,5
1528910908,4,0
1528912229,2,5
1528913470,2,5
1528914508,3,0
1528916207,2,12
1528918107,2,2
1528919433,0,5
1528920867,3,5
1528922278,0,4
1528923934,6,6
1528925308,1,0
1528926158,2,4
1528928082,3,2
1528928913,1,1
1528929755,1,9
1528931142,1,6
1528932333,2,0
1528934191,5,10
1528935342,0,10
1528936117,4,0
1528936955,3,15
1528938881,11,13
1528940454,8,20
1528942239,11,16
1528943502,9,11
1528944943,11,3
1528946144,10,9
1528946928,10,0
1528947760,7,23
1528949680,8,6
1528951113,7,11
1528952735,6,15
1528953273,4,0
1528954533,5,13
1528955818,7,6
1528956880,11,7
1528958134,6,14
1528959939,12,18
1528960469,1,0
1528961747,14,13
1528962939,8,4
1528964069,8,10
1528965200,10,12
1528965755,0,3
1528967673,15,7
1528969240,12,15
1528970873,5,10
1528972668,6,8
1528974222,8,9
1528974885,2,0
1528976561,4,7
1528977932,4,9
1528979128,5,0
1528980154,2,12
1528982066,8,5
1528983661,11,3
1528984592,1,0
1528985745,1,7
1528986508,3,0
1528987357,2,11
1528989340,2,6
1528990862,2,19
1528992888,6,1
1528995335,2,1
1528996467,2,3
1528997732,0,2
1528998996,2,2
1529000068,2,3
1529001762,3,3
1529002602,0,1
1529003732,4,34
1529005212,7,4
1529007042,3,3
1529008948,5,3
1529010877,4,3
1529012139,3,6
1529014479,3,5
1529016933,6,7
1529018140,4,2
1529019644,2,10
1529020600,3,0
1529021674,5,10
1529023365,19,10
1529025267,38,14
1529026122,11,0
1529028299,12,24
1529029722,4,0
1529030557,5,14
1529032483,13,7
1529033320,6,0
1529034153,7,14
1529035840,11,6
1529037058,10,17
1529038586,10,0
1529039738,6,9
1529041347,9,6
1529042194,5,0
1529043335,22,15
1529044113,6,0
1529044956,4,11
1529045795,3,0
1529046911,2,8
1529047706,1,0
1529048559,4,15
1529050112,7,10
1529051447,8,12
1529052627,1,8
1529053838,3,4
1529055755,1,10
1529056588,1,1
1529057735,5,4
1529058513,5,0
1529059358,4,10
1529060187,3,0
1529061341,3,5
1529062853,7,5
1529065723,23,4
1529067389,1,3
1529068467,5,5
1529070053,2,6
1529070997,2,0
1529072083,5,4
1529073747,2,3
1529075679,2,2
1529076508,1,0
1529077832,3,9
1529079277,0,5
1529080949,1,6
1529082877,2,2
1529084546,0,3
1529085392,3,0
1529086552,6,2
1529088060,4,6
1529090076,2,3
1529090983,2,3
1529092528,5,0
1529093735,4,2
1529094946,3,1
1529096111,3,3
1529097283,1,2
1529098538,1,3
1529100937,1,4
1529102548,1,2
1529104477,2,6
1529105306,4,0
1529106993,3,6
1529108140,2,8
1529108910,4,0
1529110237,11,16
1529111672,14,8
1529113241,8,11
1529115048,4,10
1529116255,12,11
1529117433,5,5
1529118644,5,9
1529120555,7,10
1529122194,5,10
1529124155,8,5
1529124988,1,0
1529126141,4,8
1529128123,10,17
1529129672,12,6
1529130824,6,15
1529132187,8,6
1529133337,4,9
1529134106,3,0
1529134953,3,18
1529136866,8,13
1529138158,3,12
1529139408,5,0
1529140541,7,10
1529141313,4,1
1529142158,4,4
1529142994,3,0
1529144066,2,4
1529145657,5,6
1529146594,2,0
1529147739,6,3
1529149051,6,8
1529150182,6,4
1529151270,3,3
1529152109,3,0
1529153443,5,18
1529154880,3,3
1529156558,4,8
1529158479,7,5
1529160148,2,6
1529160995,1,0
1529162142,9,4
1529163756,1,6
1529165667,5,9
1529166522,2,0
1529167354,1,4
1529169278,7,0
1529170107,1,1
1529171803,1,4
1529172941,37,2
1529174129,37,11
1529176466,9,3
1529177307,3,0
1529178151,0,7
1529178988,2,0
1529180067,1,4
1529182241,1,6
1529183350,2,2
1529185256,5,2
1529187267,5,5
1529188112,1,0
1529188959,5,3
1529190879,6,6
1529192318,1,6
1529193400,3,10
1529194466,3,15
1529195318,3,0
1529196585,7,32
1529197838,95,10
1529199761,103,10
1529201692,67,10
1529203239,30,10
1529204749,25,15
1529205939,15,1
1529206968,14,14
1529208638,30,7
1529209843,19,12
1529211341,13,3
1529212478,13,10
1529213306,7,0
1529214630,9,28
1529216072,19,8
1529217660,12,5
1529219682,16,9
1529221241,10,11
1529222194,6,1
1529223265,6,4
1529224479,13,3
1529226333,16,3
1529227878,14,9
1529228556,6,0
1529230475,22,6
1529231314,4,1
1529232633,12,13
1529233841,12,33
1529234920,8,0
1529236739,24,7
1529237679,4,0
1529238513,4,1
1529239360,6,5
1529241267,13,5
1529242121,5,0
1529243795,5,2
1529244879,1,3
1529246139,5,4
1529248477,1,2
1529250513,2,5
1529251839,0,3
1529253054,2,1
1529254586,2,0
1529255740,3,3
1529257832,7,4
1529259040,2,2
1529260113,1,0
1529261005,0,3
1529262336,2,9
1529263845,2,3
1529265389,3,1
1529266541,3,6
1529268146,0,3
1529269530,5,0
1529270936,3,0
1529272092,3,3
1529273685,14,4
1529274810,3,8
1529276737,7,7
1529277276,1,0
1529278107,4,0
1529278960,2,7
1529280912,2,10
1529282241,3,14
1529284533,7,7
1529285737,5,10
1529286941,11,1
1529288080,6,5
1529289349,5,9
1529290533,12,0
1529291673,9,7
1529293356,8,5
1529295277,2,1
1529296838,5,7
1529297793,3,1
1529298868,3,13
1529299707,4,0
1529301394,5,7
1529302553,6,6
1529303313,1,0
1529304654,3,9
1529305840,2,6
1529306912,2,0
1529307752,6,12
1529308599,4,0
1529309703,9,10
1529310507,2,0
1529311348,1,9
1529312187,4,2
1529313276,6,5
1529314119,3,0
1529315272,3,5
1529316875,3,7
