DateTime,Entries,UniqueIPs
1528666964,839,839
1528667804,840,840
1528668942,838,838
1528670080,831,831
1528670563,832,832
1528672542,821,821
1528674162,808,808
1528674999,811,811
1528676141,816,816
1528677290,811,811
1528678716,809,809
1528679668,812,812
1528681395,806,806
1528684269,805,805
1528685807,817,817
1528686870,826,826
1528688021,829,829
1528689403,848,848
1528690473,846,846
1528692164,852,852
1528694067,854,854
1528695769,872,872
1528696604,878,878
1528697742,882,882
1528698514,889,889
1528700762,883,883
1528702943,880,880
1528703795,883,883
1528704881,884,884
1528706139,887,887
1528707943,889,889
1528708479,894,894
1528710166,897,897
1528711739,903,903
1528713334,911,911
1528713769,919,919
1528714592,924,924
1528715674,926,926
1528716510,931,931
1528718190,930,930
1528719343,952,952
1528720831,947,947
1528722866,947,947
1528723724,950,950
1528724570,943,943
1528725398,945,945
1528726542,939,939
1528727320,942,942
1528728989,936,936
1528730145,937,937
1528731336,932,932
1528731772,931,931
1528733685,931,931
1528735361,926,926
1528736188,929,929
1528737343,923,923
1528738954,927,927
1528739810,928,928
1528740879,919,919
1528742456,919,919
1528744476,921,921
1528745306,924,924
1528746160,922,922
1528747842,923,923
1528749748,926,926
1528751142,926,926
1528752509,925,925
1528753360,918,918
1528755272,921,921
1528756121,924,924
1528756953,920,920
1528758335,915,915
1528759494,926,926
1528761396,929,929
1528762538,930,930
1528763324,931,931
1528764941,935,935
1528766146,937,937
1528767328,936,936
1528768479,947,947
1528769691,956,956
1528770944,961,961
1528772772,972,972
1528773275,976,976
1528774582,976,976
1528775762,984,984
1528776946,987,987
1528777710,1000,1000
1528778557,1001,1001
1528780469,1013,1013
1528781316,1018,1018
1528782150,1010,1010
1528782997,1020,1020
1528784076,1015,1015
1528784917,1022,1022
1528785754,1023,1023
1528786593,1029,1029
1528787687,1032,1032
1528788952,1045,1045
1528790139,1055,1055
1528792107,1064,1064
1528793387,1069,1069
1528794640,1070,1070
1528795721,1078,1078
1528797036,1071,1071
1528798481,1074,1074
1528799310,1080,1080
1528800157,1078,1078
1528800995,1079,1079
1528802155,1077,1077
1528803645,1077,1077
1528805100,1080,1080
1528806522,1082,1082
1528807350,1079,1079
1528809283,1084,1084
1528810118,1088,1088
1528811732,1089,1089
1528812941,1091,1091
1528813718,1092,1092
1528815043,1096,1096
1528815394,1097,1097
1528816468,1099,1099
1528817309,1104,1104
1528818999,1103,1103
1528820137,1114,1114
1528821762,1113,1113
1528823133,1112,1112
1528824655,1112,1112
1528827273,1115,1115
1528828840,1114,1114
1528830866,1112,1112
1528832173,1125,1125
1528833337,1127,1127
1528834553,1127,1127
1528835674,1123,1123
1528837336,1124,1124
1528838069,1125,1125
1528839757,1121,1121
1528840597,1126,1126
1528841679,1127,1127
1528843362,1127,1127
1528844735,1124,1124
1528845900,1126,1126
1528846959,1114,1114
1528847796,1116,1116
1528848938,1116,1116
1528850554,1130,1130
1528851400,1135,1135
1528852542,1141,1141
1528853306,1147,1147
1528854158,1143,1143
1528854999,1148,1148
1528856079,1143,1143
1528857761,1138,1138
1528858602,1144,1144
1528859677,1139,1139
1528860520,1144,1144
1528863286,1131,1131
1528864110,1136,1136
1528865433,1133,1133
1528866638,1131,1131
1528867710,1140,1140
1528869328,1137,1137
1528870475,1130,1130
1528871321,1134,1134
1528872959,1139,1139
1528874147,1136,1136
1528875366,1129,1129
1528876528,1133,1133
1528877668,1126,1126
1528879349,1125,1125
1528880745,1126,1126
1528882118,1129,1129
1528883789,1125,1125
1528884943,1126,1126
1528886356,1121,1121
1528887397,1124,1124
1528888481,1114,1114
1528890154,1102,1102
1528890997,1103,1103
1528892067,1099,1099
1528893279,1095,1095
1528894534,1095,1095
1528895678,1091,1091
1528897127,1094,1094
1528898199,1093,1093
1528899280,1096,1096
1528900960,1087,1087
1528902334,1088,1088
1528903716,1089,1089
1528906001,1080,1080
1528908148,1077,1077
1528909525,1076,1076
1528910908,1080,1080
1528912229,1077,1077
1528913470,1074,1074
1528914508,1077,1077
1528916207,1067,1067
1528918107,1067,1067
1528919433,1062,1062
1528920867,1060,1060
1528922278,1056,1056
1528923934,1056,1056
1528925308,1057,1057
1528926158,1055,1055
1528928082,1056,1056
1528928913,1056,1056
1528929755,1048,1048
1528931142,1043,1043
1528932333,1045,1045
1528934191,1040,1040
1528935342,1030,1030
1528936117,1034,1034
1528936955,1022,1022
1528938881,1020,1020
1528940454,1008,1008
1528942239,1003,1003
1528943502,1001,1001
1528944943,1009,1009
1528946144,1010,1010
1528946928,1020,1020
1528947760,1004,1004
1528949680,1006,1006
1528951113,1002,1002
1528952735,993,993
1528953273,997,997
1528954533,989,989
