DateTime,Entries,UniqueIPs
1528687969,21952,21952
1528689373,22052,22052
1528690446,22012,22012
1528692127,22038,22038
1528694046,22082,22082
1528695730,21977,21977
1528696577,22019,22019
1528697707,22018,22018
1528698486,22061,22061
1528700691,21970,21970
1528702912,22033,22033
1528703767,22078,22078
1528704847,22041,22041
1528706107,21997,21997
1528707210,22071,22071
1528708453,22139,22139
1528710129,22194,22194
1528711713,22294,22294
1528713311,22343,22343
1528713733,22377,22377
1528714569,22440,22440
1528715646,22444,22444
1528716486,22519,22519
1528718167,22513,22513
1528719305,22531,22531
1528720810,22524,22524
1528722846,22532,22532
1528723686,22582,22582
1528724531,22480,22480
1528725366,22533,22533
1528726507,22538,22538
1528727288,22572,22572
1528728966,22525,22525
1528730106,22511,22511
1528731307,22478,22478
1528731728,22494,22494
1528733645,22541,22541
1528734906,22555,22555
1528735326,22547,22547
1528736166,22615,22615
1528737311,22642,22642
1528738926,22678,22678
1528739779,22795,22795
1528740845,22668,22668
1528742423,22675,22675
1528744446,22798,22798
1528745285,22884,22884
1528746134,22853,22853
1528747814,22898,22898
1528749727,22879,22879
1528751111,22935,22935
1528752486,23106,23106
1528753337,23062,23062
1528755246,23175,23175
1528756093,23233,23233
1528756927,23175,23175
1528758307,23216,23216
1528759471,23345,23345
1528761373,23441,23441
1528762507,23392,23392
1528763292,23444,23444
1528764905,23413,23413
1528766112,23437,23437
1528767307,23431,23431
1528768453,23514,23514
1528769647,23459,23459
1528770892,23448,23448
1528772720,23538,23538
1528773246,23561,23561
1528774552,23561,23561
1528775708,23628,23628
1528776912,23707,23707
1528777687,23776,23776
1528778527,23755,23755
1528780446,23820,23820
1528781286,23881,23881
1528782127,23784,23784
1528782966,23862,23862
1528784046,23822,23822
1528784886,23880,23880
1528785726,23884,23884
1528786566,23970,23970
1528787646,23940,23940
1528788929,23949,23949
1528790111,24034,24034
1528791307,24055,24055
1528792086,24107,24107
1528793364,24083,24083
1528794614,24066,24066
1528795686,24145,24145
1528797007,24097,24097
1528797366,24117,24117
1528798447,24116,24116
1528799287,24165,24165
1528800126,24101,24101
1528800966,24176,24176
1528802114,24164,24164
1528803611,24154,24154
1528805074,24159,24159
1528806486,24240,24240
1528807330,24184,24184
1528809246,24240,24240
1528810086,24294,24294
1528811690,24263,24263
1528812907,24263,24263
1528813686,24318,24318
1528815001,24238,24238
1528815369,24259,24259
1528816445,24276,24276
1528817286,24330,24330
1528818971,24273,24273
1528820107,24297,24297
1528821727,24376,24376
1528823106,24357,24357
1528824618,24332,24332
1528825327,24321,24321
1528827245,24295,24295
1528828811,24314,24314
1528830846,24276,24276
1528832134,24240,24240
1528833313,24265,24265
1528834507,24306,24306
1528836132,24283,24283
1528837306,24232,24232
1528838047,24312,24312
1528839732,24378,24378
1528840572,24431,24431
1528841647,24423,24423
1528843327,24409,24409
1528844706,24406,24406
1528845877,24476,24476
1528846928,24387,24387
1528847773,24489,24489
1528848905,24514,24514
1528850527,24430,24430
1528851373,24467,24467
1528852507,24319,24319
1528853286,24389,24389
1528854127,24318,24318
1528854972,24400,24400
1528856047,24326,24326
1528857730,24293,24293
1528858566,24346,24346
1528859647,24355,24355
1528860487,24396,24396
1528863247,24364,24364
1528864086,24420,24420
1528865410,24309,24309
1528866611,24284,24284
1528867687,24338,24338
1528869306,24355,24355
1528870445,24311,24311
1528871286,24360,24360
1528872935,24362,24362
1528874106,24358,24358
1528875338,24320,24320
1528876506,24383,24383
1528877646,24368,24368
1528879327,24261,24261
1528880711,24237,24237
1528882086,24341,24341
1528883766,24243,24243
1528884910,24225,24225
1528886326,24146,24146
1528887367,24207,24207
1528888447,24127,24127
1528890127,24124,24124
1528890973,24174,24174
