DateTime,AddedIPs,RemovedIPs
1528684264,132,100
1528685805,36,20
1528686869,22,46
1528688027,17,52
1528689402,33,3
1528690471,23,55
1528692160,40,50
1528694066,66,62
1528695765,76,133
1528696603,21,2
1528697741,37,44
1528698513,22,3
1528700764,77,126
1528702941,56,36
1528703794,19,2
1528704879,54,103
1528706138,53,75
1528707941,108,44
1528708478,20,3
1528710158,89,67
1528711737,101,27
1528713333,67,42
1528713766,21,1
1528714591,36,2
1528715673,63,46
1528716508,46,2
1528718189,63,50
1528719341,55,31
1528720830,35,46
1528722865,80,53
1528723723,21,0
1528724566,23,59
1528725396,23,2
1528726541,35,29
1528727319,23,0
1528728987,33,53
1528730143,50,43
1528731334,36,37
1528731766,19,11
1528733684,60,24
1528735358,43,50
1528736186,19,9
1528737342,18,35
1528738953,40,62
1528739809,64,2
1528740877,19,141
1528742454,47,66
1528744475,81,33
1528745305,23,4
1528746159,34,45
1528747841,50,47
1528749747,73,92
1528751141,32,41
1528752508,43,2
1528753359,29,38
1528755270,50,53
1528756120,10,1
1528756952,20,52
1528758334,41,33
1528759493,61,2
1528761395,82,60
1528762537,28,61
1528763323,18,2
1528764939,51,43
1528766145,49,50
1528767327,35,44
1528768478,31,2
1528769690,48,51
1528770941,42,56
1528772771,110,44
1528773274,8,0
1528774581,69,49
1528775760,41,20
1528776944,94,18
1528777709,40,1
1528778555,33,40
1528780467,69,30
1528781315,23,2
1528782149,33,50
1528782996,23,6
1528784075,46,45
1528784916,20,1
1528785753,65,33
1528786592,38,2
1528787685,43,39
1528788951,44,33
1528790138,42,17
1528792106,58,39
1528793385,51,73
1528794639,29,57
1528795718,39,2
1528797034,49,64
1528797392,5,2
1528798480,18,47
1528799309,20,1
1528800155,28,78
1528800994,43,1
1528802154,32,36
1528803643,49,51
1528805099,55,60
1528806521,37,4
1528807349,34,39
1528809282,51,39
1528810117,28,2
1528811729,46,48
1528812939,86,71
1528813717,23,2
1528815046,52,121
1528815392,15,0
1528816466,45,40
1528817308,33,1
1528818998,59,80
1528820136,44,37
1528821761,104,56
1528823132,68,59
1528824654,43,78
1528825350,25,41
1528827272,41,88
1528828839,55,71
1528830865,49,81
1528832171,37,57
1528833336,39,24
1528834551,40,21
1528835669,52,73
1528836156,23,1
1528837332,30,60
1528838068,41,3
1528839756,91,30
1528840596,21,0
1528841677,22,25
1528843359,59,64
1528844733,44,41
1528845898,35,1
1528846957,38,71
1528847795,89,3
1528848937,48,49
1528850553,59,126
1528851399,20,3
1528852541,30,122
1528853304,47,2
1528854157,41,58
1528854997,37,2
1528856078,29,39
1528857759,60,50
1528858600,21,1
1528859676,30,24
1528860519,22,1
1528863285,117,96
1528864108,24,4
1528865431,35,84
1528866636,23,45
1528867709,36,4
1528869327,69,56
1528870474,48,66
1528871320,33,2
1528872958,65,54
1528874145,70,38
1528875360,90,69
1528876527,77,33
1528877667,67,78
1528879349,54,105
1528880744,46,67
1528882117,47,4
1528883788,61,118
1528884942,37,59
1528886353,33,101
1528887395,29,4
1528888475,31,81
1528890153,43,68
1528890996,19,4
1528892066,31,55
1528893277,39,56
1528894533,40,28
1528895677,39,36
1528897126,44,56
1528898198,48,14
1528899279,43,39
1528900959,62,84
1528902333,41,41
1528903715,42,6
1528905999,85,113
1528908147,116,45
1528909523,58,80
1528910907,82,5
1528912228,101,43
1528913468,54,82
1528914507,65,3
1528916205,88,63
1528918106,86,47
1528919432,37,81
1528920866,98,40
1528922274,61,59
1528923932,65,58
1528925306,67,2
1528926156,47,25
1528928081,45,47
1528928912,19,2
1528929754,44,85
1528931141,61,89
1528932331,47,3
1528934190,59,59
1528935340,41,33
1528936115,16,3
1528936954,30,71
1528938880,71,33
1528940452,72,70
1528942237,98,74
1528943494,26,63
1528944941,40,35
1528946143,17,43
1528946926,17,1
1528947759,31,79
1528949679,71,48
1528951107,30,52
1528952734,33,45
1528953271,17,1
1528954532,39,50
1528955816,90,86
1528956878,52,95
1528958132,79,69
1528959938,68,60
1528960468,36,0
1528961745,39,64
1528962938,143,30
1528964067,54,47
1528965198,38,53
1528965754,20,21
1528967672,53,38
1528969239,36,34
1528970871,53,75
1528972665,115,59
1528974213,64,60
1528974884,17,0
1528976560,40,49
1528977931,61,63
1528979127,26,3
1528980153,45,55
1528982065,57,36
1528983660,64,108
1528984591,69,2
1528985743,41,43
1528986507,20,3
1528987355,35,63
1528988200,37,13
1528989335,71,64
1528990861,91,99
1528992887,114,73
1528993707,28,1
1528995334,46,91
1528996465,41,23
1528997730,71,62
1528998995,96,19
1529000066,70,30
1529001761,122,33
1529002600,62,2
1529003730,93,67
1529005206,72,73
1529007041,78,59
1529008947,72,119
1529010875,90,45
1529012138,47,47
1529014478,88,70
1529015309,28,1
1529016932,114,62
1529018139,69,89
1529019643,92,55
1529020598,53,1
1529021672,42,55
1529023351,39,70
1529025265,29,107
1529026121,19,0
1529028297,43,108
1529029721,67,4
1529030555,30,79
1529032481,49,68
1529033318,32,0
1529034151,42,57
1529035839,77,28
1529037047,27,38
1529038585,52,0
1529039737,20,75
1529041346,36,68
1529042193,20,0
1529043334,25,65
1529044112,25,1
1529044955,33,155
1529045794,28,2
1529046908,16,82
1529047705,17,1
1529048554,30,105
1529050111,18,33
1529051445,35,66
1529052626,39,28
1529053836,35,35
1529055754,46,65
1529056587,17,1
1529057734,43,29
1529058512,97,3
1529059357,38,67
1529060186,57,1
1529061339,45,27
1529062852,44,63
1529065721,70,44
1529067388,56,57
1529068466,37,63
1529070052,30,90
1529070995,27,2
1529072082,23,44
1529073746,22,90
1529075678,66,35
1529076507,27,2
1529077830,72,105
1529079276,59,55
1529080948,50,117
1529082876,59,75
1529084545,22,76
1529085391,20,0
1529086551,14,100
1529088059,20,91
1529090074,21,49
1529090982,20,92
1529092527,83,17
1529093738,22,46
1529094943,20,74
1529096109,13,31
1529097282,21,31
1529098537,23,34
1529100936,23,90
1529102547,24,63
1529103390,9,3
1529104476,26,49
1529105305,12,2
1529106991,19,52
1529108139,20,42
1529108909,12,0
1529110236,18,133
1529111670,20,80
1529113240,24,82
1529115047,8,31
1529116254,24,25
1529117432,17,24
1529118643,21,52
1529120554,20,50
1529122193,24,42
1529124154,25,61
1529124987,11,1
1529126139,14,95
1529128122,19,130
1529129671,30,42
1529130823,20,69
1529132186,22,29
1529133340,22,143
1529134105,13,1
1529134952,12,98
1529136865,89,39
1529138157,48,50
1529139406,55,8
1529140540,12,53
1529141312,9,2
1529142156,16,86
1529142993,15,7
1529144065,19,103
1529145655,30,56
1529146593,56,4
1529147737,34,59
1529149050,19,49
1529150181,21,26
1529151269,20,44
1529152107,43,2
1529153442,23,101
1529154879,29,87
1529156557,42,71
1529158477,77,61
1529160147,53,119
1529160994,17,3
1529162140,23,88
1529162920,20,3
1529163755,15,66
1529165665,54,61
1529166521,30,3
1529167353,21,115
1529169277,39,98
1529170106,24,3
1529171802,45,155
1529172940,91,117
