DateTime,Entries,UniqueIPs
1528684264,5595,5595
1528685805,5611,5611
1528686869,5587,5587
1528688027,5552,5552
1528689402,5582,5582
1528690471,5550,5550
1528692160,5540,5540
1528694066,5544,5544
1528695765,5487,5487
1528696603,5506,5506
1528697741,5499,5499
1528698513,5518,5518
1528700764,5469,5469
1528702941,5489,5489
1528703794,5506,5506
1528704879,5457,5457
1528706138,5435,5435
1528707941,5499,5499
1528708478,5516,5516
1528710158,5538,5538
1528711737,5612,5612
1528713333,5637,5637
1528713766,5657,5657
1528714591,5691,5691
1528715673,5708,5708
1528716508,5752,5752
1528718189,5765,5765
1528719341,5789,5789
1528720830,5778,5778
1528722865,5805,5805
1528723723,5826,5826
1528724566,5790,5790
1528725396,5811,5811
1528726541,5817,5817
1528727319,5840,5840
1528728987,5820,5820
1528730143,5827,5827
1528731334,5826,5826
1528731766,5834,5834
1528733684,5870,5870
1528735358,5863,5863
1528736186,5873,5873
1528737342,5856,5856
1528738953,5834,5834
1528739809,5896,5896
1528740877,5774,5774
1528742454,5755,5755
1528744475,5803,5803
1528745305,5822,5822
1528746159,5811,5811
1528747841,5814,5814
1528749747,5795,5795
1528751141,5786,5786
1528752508,5827,5827
1528753359,5818,5818
1528755270,5815,5815
1528756120,5824,5824
1528756952,5792,5792
1528758334,5800,5800
1528759493,5859,5859
1528761395,5881,5881
1528762537,5848,5848
1528763323,5864,5864
1528764939,5872,5872
1528766145,5871,5871
1528767327,5862,5862
1528768478,5891,5891
1528769690,5888,5888
1528770941,5874,5874
1528772771,5940,5940
1528773274,5948,5948
1528774581,5968,5968
1528775760,5989,5989
1528776944,6065,6065
1528777709,6104,6104
1528778555,6097,6097
1528780467,6136,6136
1528781315,6157,6157
1528782149,6140,6140
1528782996,6157,6157
1528784075,6158,6158
1528784916,6177,6177
1528785753,6209,6209
1528786592,6245,6245
1528787685,6249,6249
1528788951,6260,6260
1528790138,6285,6285
1528792106,6304,6304
1528793385,6282,6282
1528794639,6254,6254
1528795718,6291,6291
1528797034,6276,6276
1528797392,6279,6279
1528798480,6250,6250
1528799309,6269,6269
1528800155,6219,6219
1528800994,6261,6261
1528802154,6257,6257
1528803643,6255,6255
1528805099,6250,6250
1528806521,6283,6283
1528807349,6278,6278
1528809282,6290,6290
1528810117,6316,6316
1528811729,6314,6314
1528812939,6329,6329
1528813717,6350,6350
1528815046,6281,6281
1528815392,6296,6296
1528816466,6301,6301
1528817308,6333,6333
1528818998,6312,6312
1528820136,6319,6319
1528821761,6367,6367
1528823132,6376,6376
1528824654,6341,6341
1528825350,6325,6325
1528827272,6278,6278
1528828839,6262,6262
1528830865,6230,6230
1528832171,6210,6210
1528833336,6225,6225
1528834551,6244,6244
1528835669,6223,6223
1528836156,6245,6245
1528837332,6215,6215
1528838068,6253,6253
1528839756,6314,6314
1528840596,6335,6335
1528841677,6332,6332
1528843359,6327,6327
1528844733,6330,6330
1528845898,6364,6364
1528846957,6331,6331
1528847795,6417,6417
1528848937,6416,6416
1528850553,6349,6349
1528851399,6366,6366
1528852541,6274,6274
1528853304,6319,6319
1528854157,6302,6302
1528854997,6337,6337
1528856078,6327,6327
1528857759,6337,6337
1528858600,6357,6357
1528859676,6363,6363
1528860519,6384,6384
1528863285,6405,6405
1528864108,6425,6425
1528865431,6376,6376
1528866636,6354,6354
1528867709,6386,6386
1528869327,6399,6399
1528870474,6381,6381
1528871320,6412,6412
1528872958,6423,6423
1528874145,6455,6455
1528875360,6476,6476
1528876527,6520,6520
1528877667,6509,6509
1528879349,6458,6458
1528880744,6437,6437
1528882117,6480,6480
1528883788,6423,6423
1528884942,6401,6401
1528886353,6333,6333
1528887395,6358,6358
1528888475,6308,6308
1528890153,6283,6283
1528890996,6298,6298
1528892066,6274,6274
1528893277,6257,6257
1528894533,6269,6269
1528895677,6272,6272
1528897126,6260,6260
1528898198,6294,6294
1528899279,6298,6298
1528900959,6276,6276
1528902333,6276,6276
1528903715,6312,6312
1528905999,6284,6284
1528908147,6355,6355
1528909523,6333,6333
1528910907,6410,6410
1528912228,6468,6468
1528913468,6440,6440
1528914507,6502,6502
1528916205,6527,6527
1528918106,6566,6566
1528919432,6522,6522
1528920866,6580,6580
1528922274,6582,6582
1528923932,6589,6589
1528925306,6654,6654
1528926156,6676,6676
1528928081,6674,6674
1528928912,6691,6691
1528929754,6650,6650
1528931141,6622,6622
1528932331,6666,6666
1528934190,6666,6666
1528935340,6674,6674
1528936115,6687,6687
1528936954,6646,6646
1528938880,6684,6684
1528940452,6686,6686
1528942237,6710,6710
1528943494,6673,6673
1528944941,6678,6678
1528946143,6652,6652
1528946926,6668,6668
1528947759,6620,6620
1528949679,6643,6643
1528951107,6621,6621
1528952734,6609,6609
1528953271,6625,6625
1528954532,6614,6614
1528955816,6618,6618
1528956878,6575,6575
1528958132,6585,6585
1528959938,6593,6593
1528960468,6629,6629
1528961745,6604,6604
1528962938,6717,6717
1528964067,6724,6724
1528965198,6709,6709
1528965754,6708,6708
1528967672,6723,6723
1528969239,6725,6725
1528970871,6703,6703
1528972665,6759,6759
1528974213,6763,6763
1528974884,6780,6780
1528976560,6771,6771
1528977931,6769,6769
1528979127,6792,6792
1528980153,6782,6782
1528982065,6803,6803
1528983660,6759,6759
1528984591,6826,6826
1528985743,6824,6824
1528986507,6841,6841
1528987355,6813,6813
1528988200,6837,6837
1528989335,6844,6844
