DateTime,AddedIPs,RemovedIPs
1528684254,175,129
1528685792,54,22
1528686862,33,57
1528687999,21,66
1528689391,55,1
1528690465,32,66
1528692147,63,61
1528694061,99,80
1528695753,90,185
1528696597,27,0
1528697732,48,58
1528698507,30,0
1528700744,116,160
1528702929,94,56
1528703787,33,1
1528704870,82,122
1528706132,82,103
1528707927,133,62
1528708473,28,0
1528710148,126,91
1528711731,134,35
1528713327,89,53
1528713753,23,0
1528714584,46,1
1528715667,69,55
1528716501,53,0
1528718182,85,65
1528719331,75,45
1528720824,63,63
1528722860,96,78
1528723712,39,0
1528724557,31,78
1528725387,37,0
1528726531,46,46
1528727311,27,0
1528728981,49,76
1528730132,55,61
1528731328,39,49
1528731755,24,13
1528733677,74,34
1528735347,71,73
1528736181,33,0
1528737334,25,49
1528738947,53,81
1528739802,72,0
1528740867,33,158
1528742444,76,84
1528744467,110,54
1528745299,40,0
1528746153,52,63
1528747835,75,58
1528749741,101,105
1528751132,38,59
1528752501,75,0
1528753352,41,59
1528755263,70,68
1528756114,25,0
1528756943,22,59
1528758327,65,42
1528759487,84,0
1528761390,110,67
1528762529,46,87
1528763316,35,0
1528764933,76,48
1528766138,59,56
1528767320,51,59
1528768471,57,0
1528769682,69,83
1528770931,56,77
1528772751,140,50
1528773266,10,0
1528774572,87,75
1528775747,59,22
1528776933,117,32
1528777702,47,0
1528778549,50,67
1528780461,103,51
1528781309,39,1
1528782143,48,101
1528782985,51,1
1528784070,62,68
1528784910,48,0
1528785746,78,63
1528786582,58,0
1528787674,69,65
1528788944,57,65
1528790132,65,26
1528792100,105,50
1528793379,83,101
1528794634,61,71
1528795713,52,0
1528797028,72,91
1528797386,14,0
1528798472,47,50
1528799302,35,0
1528800150,37,103
1528800983,48,0
1528802145,48,53
1528803634,70,80
1528805094,80,84
1528806511,63,1
1528807344,47,62
1528809272,77,47
1528810111,37,0
1528811712,57,72
1528812926,105,88
1528813710,32,0
1528815034,63,142
1528815386,14,0
1528816460,61,49
1528817301,40,0
1528818992,83,100
1528820127,50,48
1528821754,128,73
1528823127,78,82
1528824640,64,88
1528825343,34,42
1528827266,57,103
1528828833,68,78
1528830860,66,88
1528832164,42,75
1528833330,44,26
1528834538,46,32
1528835651,60,82
1528836147,23,0
1528837320,46,74
1528838063,48,1
1528839751,99,41
1528840589,31,0
1528841671,25,31
1528843349,70,74
1528844727,59,48
1528845892,51,0
1528846949,44,87
1528847789,93,0
1528848932,52,56
1528850545,73,136
1528851393,17,0
1528852535,50,146
1528853299,52,0
1528854151,47,75
1528854991,36,0
1528856072,36,63
1528857749,76,71
1528858593,29,0
1528859669,43,27
1528860511,27,0
1528863274,164,129
1528864103,36,0
1528865426,51,107
1528866631,36,55
1528867702,40,0
1528869321,83,73
1528870467,61,87
1528871310,38,0
1528872951,105,77
1528874135,78,65
1528875353,99,99
1528876521,96,43
1528877660,85,92
1528879342,79,127
1528880734,64,93
1528882111,65,0
1528883783,84,164
1528884931,47,62
1528886342,52,118
1528887385,37,0
1528888469,46,100
1528890147,86,87
1528890990,38,0
1528892060,76,72
1528893263,126,74
1528894527,68,28
1528895670,50,57
1528897119,95,70
1528898191,79,23
1528899273,74,47
1528900949,114,92
1528902327,99,45
1528903708,77,1
1528905989,147,143
1528908141,196,64
1528909511,102,82
1528910901,135,1
1528912222,128,68
1528913429,101,100
1528914501,127,0
1528916195,150,113
1528918100,169,72
1528919425,79,116
1528920861,132,48
1528922267,77,89
1528923926,100,86
1528925301,107,1
1528926150,80,53
1528928074,85,66
1528928906,52,1
1528929749,64,127
1528931135,104,103
1528932324,58,0
1528934184,89,93
1528935333,85,52
1528936110,41,0
1528936948,42,99
1528938874,132,60
1528940438,121,94
1528942231,150,97
1528943484,45,89
1528944934,87,56
1528946133,72,59
1528946920,36,0
1528947752,46,133
1528949669,134,63
1528951095,77,88
1528952721,84,78
1528953266,39,0
1528954526,71,80
1528955808,123,95
1528956868,89,114
1528958125,110,105
1528959932,117,100
1528960462,43,0
1528961734,81,114
1528962931,178,39
1528964061,90,79
1528965185,61,85
1528965748,34,32
1528967666,83,48
1528969233,67,69
1528970866,73,92
1528972647,137,79
1528974199,87,95
1528974874,20,0
1528976550,67,75
1528977924,77,88
1528979120,39,0
1528980147,58,88
1528982059,77,54
1528983648,83,146
1528984586,78,1
1528985732,60,54
1528986501,24,0
1528987349,61,89
1528988194,82,0
1528989330,83,86
1528990847,95,133
1528992880,131,87
1528993701,42,1
1528995328,58,113
1528996459,45,33
1528997724,101,78
1528998989,114,21
1529000060,92,43
1529001753,143,46
1529002590,72,1
1529003710,102,83
1529005200,89,87
1529007035,103,85
1529008940,88,151
1529010866,111,55
1529012131,55,52
1529014467,107,73
1529015302,39,0
1529016925,133,88
1529018131,105,94
1529019631,147,73
1529020593,106,1
1529021666,53,69
1529023345,74,105
1529025259,140,109
1529026115,72,0
1529028289,99,160
1529029714,121,0
1529030548,78,110
1529032470,144,87
1529033312,37,0
1529034145,49,70
1529035834,160,39
1529037032,117,51
1529038579,78,0
1529039730,43,102
1529041340,54,79
1529042186,50,0
1529043328,64,112
1529044106,57,0
1529044947,73,181
1529045788,66,0
1529046898,24,107
1529047699,52,0
1529048548,55,146
1529050097,56,61
1529051432,58,98
1529052620,64,39
1529053831,65,54
1529055748,110,95
1529056580,37,0
1529057726,69,38
1529058506,114,1
1529059351,50,95
1529060180,75,0
1529061331,56,48
1529062846,71,185
1529065715,124,57
1529067382,66,97
1529068461,52,114
1529070045,51,163
1529070985,46,0
1529072077,37,96
1529073740,41,162
1529075672,98,70
1529076500,34,0
1529077824,86,182
1529079267,77,93
1529080941,63,211
1529082870,75,105
1529084540,45,149
1529085384,39,0
1529086542,27,143
1529088050,41,168
1529090069,42,76
1529090913,37,0
1529092521,91,157
1529093728,46,78
1529094934,35,122
1529096095,32,51
1529097272,51,53
1529098530,37,79
1529100930,75,154
1529102541,45,102
1529103384,16,0
1529104467,43,77
1529105299,20,0
1529106984,38,123
1529108129,31,70
1529108903,17,0
1529110230,25,204
1529111665,58,116
1529113234,47,115
1529115040,34,87
1529116245,40,75
1529117425,45,36
1529118637,53,79
1529120548,41,95
1529122187,61,79
1529124149,90,125
1529124982,29,0
1529126132,28,150
1529128116,43,200
1529129665,65,76
1529130809,39,127
1529132179,37,45
1529133329,44,188
1529134099,36,0
1529134946,32,163
1529136860,135,61
1529138148,64,73
1529139399,77,0
1529140531,49,80
1529141306,27,0
1529142152,37,107
1529142988,31,2
1529144060,29,124
1529145644,59,80
1529146587,68,0
1529147730,57,66
1529149038,66,66
1529150169,61,33
1529151260,27,61
1529152102,56,0
1529153432,39,117
