DateTime,AddedIPs,RemovedIPs
1528239390,2,0
1528240484,0,2
1528241313,1,0
1528243835,1,1
1528246065,0,1
1528247156,0,2
1528248647,2,0
1528249864,1,0
1528252525,1,2
1528256033,2,1
1528257298,2,0
1528258537,1,3
1528260998,1,1
1528262081,1,1
1528263761,1,0
1528264599,1,1
1528266813,1,0
1528269267,0,1
1528270891,1,1
1528272637,0,1
1528274440,0,13
1528275942,1,1
1528276466,1,0
1528278160,1,0
1528282385,1,0
1528283741,0,2
1528287282,0,3
1528289007,1,0
1528290866,0,3
1528292548,0,2
1528294468,1,0
1528295320,1,0
1528298079,1,0
1528299460,1,0
1528305037,1,0
1528306959,1,0
1528308522,0,0
1528313319,2,0
1528318602,3,1
1528325005,2,4
1528329033,4,3
1528332988,2,5
1528334129,0,1
1528337445,0,1
1528338696,0,1
1528341271,1,1
1528342678,1,0
1528344875,0,1
1528346455,0,1
1528350502,1,0
1528352918,1,0
1528354228,1,1
1528355667,1,0
1528357362,1,2
1528361789,0,1
1528364558,1,0
1528367307,1,0
1528370140,2,0
1528371338,0,1
1528372739,1,2
1528377340,0,2
1528381717,0,2
1528383070,1,1
1528384471,1,0
1528385736,1,0
1528386988,0,1
1528388072,0,2
1528391668,1,1
1528392874,2,1
1528394099,1,1
1528395213,1,1
1528396953,1,0
1528397800,2,0
1528398962,1,2
1528400742,0,1
1528402481,0,1
1528403317,1,0
1528405535,3,2
1528406716,0,1
1528407941,0,2
1528409446,1,3
1528410632,1,0
1528413038,0,1
1528414249,0,1
1528415440,0,1
1528416869,2,0
1528418548,1,2
1528419398,1,0
1528420539,1,2
1528423002,1,0
1528424153,1,0
1528427686,1,0
1528428509,1,1
1528429369,22,0
1528430203,0,5
1528431340,0,2
1528433791,2,0
1528434887,2,1
1528436446,1,4
1528438240,0,1
1528440149,0,2
1528442068,1,2
1528443751,0,2
1528447245,0,1
1528448752,0,2
1528450982,0,1
1528452870,0,1
1528454548,0,1
1528458186,1,2
1528459704,1,1
1528463151,1,0
1528464649,0,2
1528468960,0,1
1528471713,1,2
1528474567,1,0
1528476205,0,3
1528477588,1,0
1528483008,1,0
1528484186,0,1
1528486121,1,0
1528487441,1,3
1528489037,1,1
1528489718,0,1
1528490550,0,1
1528492483,1,1
1528494156,1,1
1528498601,0,3
1528499742,0,3
1528501263,0,4
1528503071,2,0
1528504125,1,0
1528505735,1,0
1528506877,0,2
1528511260,2,0
1528512420,0,1
1528513547,0,1
1528515231,2,0
1528519357,1,2
1528520678,1,2
1528524882,0,1
1528526384,1,1
1528530159,1,0
1528531000,1,0
1528534196,0,1
1528535678,1,0
1528537356,0,1
1528539282,3,1
1528540217,0,1
1528541793,0,1
1528542866,1,2
1528548154,3,0
1528549006,1,0
1528550142,2,1
1528551758,2,0
1528553435,1,1
1528556082,1,0
1528558323,0,1
1528560912,1,1
1528562074,0,1
1528564501,0,1
1528565744,0,2
1528567332,1,0
1528569660,4,1
1528573347,1,0
1528577261,0,2
1528579846,1,0
1528581055,2,1
1528583317,1,1
1528584203,1,0
1528586071,1,1
1528587191,0,3
1528588309,2,0
1528589670,0,1
1528591348,1,0
1528593277,1,0
1528596896,1,2
1528598151,1,0
1528599348,1,5
1528600496,1,2
1528602102,1,0
1528603847,0,2
1528605057,0,3
1528612963,1,0
1528616876,1,1
1528620158,0,1
1528622150,0,1
1528625151,1,0
1528627835,0,1
1528630955,1,1
1528636479,1,0
1528639837,2,0
1528642512,0,1
1528643675,1,0
1528645359,0,1
1528648956,0,1
1528658087,0,2
1528659753,1,0
1528663382,0,2
1528666113,2,0
1528666964,1,1
1528667804,0,1
1528668942,1,0
1528672543,0,1
1528674163,0,1
1528676142,1,0
1528677291,1,0
1528678721,3,1
1528679668,1,0
1528681401,1,1
1528684270,0,2
1528685807,1,1
1528686870,0,1
1528688027,1,0
1528689403,1,0
1528692170,2,0
1528694068,2,0
1528695771,0,1
1528697742,1,0
1528700769,1,2
1528706139,1,1
1528707943,1,1
1528710168,0,1
1528713335,0,2
1528714592,1,1
1528715675,0,1
1528716510,1,0
1528718190,0,2
1528719343,0,1
1528720832,1,2
1528722866,0,2
1528724573,1,0
1528731336,0,3
1528733685,1,1
1528735365,1,0
1528736188,1,1
1528737344,2,0
1528738954,1,2
1528740879,1,0
1528742456,1,0
1528744477,0,1
1528745306,1,0
1528746160,0,1
1528749749,0,2
1528751142,1,0
1528753361,1,1
1528755272,2,1
1528756954,0,4
1528758335,0,2
1528759494,1,0
1528761397,1,0
1528762538,2,2
1528763325,1,0
1528764941,3,1
1528766147,1,1
1528769691,0,1
1528770945,1,1
1528773275,1,0
1528774583,0,1
1528775762,2,0
1528776946,1,0
1528780470,1,1
1528782151,0,1
1528782998,1,1
1528785754,1,0
1528792107,1,0
1528794641,0,1
1528797036,0,2
1528800157,0,1
1528800995,1,0
1528805101,1,0
1528806523,0,1
1528811733,0,2
1528815050,1,0
1528815395,1,1
1528816468,1,0
1528818999,1,1
1528820138,1,0
1528821762,1,1
1528823134,0,1
1528827274,2,0
1528828840,28,0
1528830867,0,1
1528832173,4,0
1528833338,1,0
1528834553,1,0
1528835675,0,2
1528837347,1,1
1528839758,2,2
1528840598,1,0
1528844735,0,1
1528848939,0,1
1528850555,0,1
1528851401,1,0
1528852543,0,1
1528856080,1,1
1528863286,0,2
1528875373,0,2
1528876529,1,0
1528877668,1,0
1528879350,1,0
1528886361,1,1
1528887397,1,1
1528890155,1,1
1528893292,0,1
1528902334,1,0
1528903716,4,0
1528906002,1,1
1528908149,2,1
1528909525,0,2
1528912229,0,1
1528913481,27,1
1528914508,0,3
1528916207,0,2
1528918108,1,0
1528919433,0,1
1528920868,0,6
1528922278,0,6
1528923934,0,4
1528925309,0,1
1528928082,0,4
1528931143,2,1
1528932333,1,0
1528934192,1,2
1528935342,0,2
1528936955,2,0
1528938881,0,1
1528940454,1,0
1528942239,1,0
1528943501,0,1
1528944943,3,0
1528946144,1,2
1528946928,0,1
1528949680,1,0
1528955819,1,0
1528962969,1,1
1528964069,1,0
1528970873,1,0
1528972668,1,1
1528974222,0,1
1528976561,1,0
1528977933,1,0
1528982066,1,0
1528990863,1,0
1528992888,2,1
1528996467,1,0
1528997732,0,27
1528998996,0,12
1529001763,0,1
1529003733,2,2
1529008948,1,2
1529010877,0,1
1529012139,0,1
1529016934,0,1
1529018142,0,1
1529019645,0,1
1529020600,1,0
1529021674,0,3
1529023365,0,1
1529025267,1,1
1529028299,0,1
1529030557,1,0
1529034153,1,0
1529037067,0,1
1529042195,1,0
1529048560,0,2
1529051447,1,0
1529055756,0,1
1529057736,0,1
1529058513,1,0
1529059358,1,0
1529060187,0,1
1529062853,1,1
1529065723,0,1
1529068467,1,0
1529073747,0,1
1529075680,0,2
1529077832,1,2
1529079278,2,0
1529080949,1,1
1529082877,2,0
1529084547,0,7
1529085392,1,0
1529086552,0,1
1529088061,0,1
1529090983,3,0
1529092529,1,0
1529093739,0,1
1529094946,1,0
1529100938,0,2
1529102548,0,2
1529105306,1,0
1529106993,0,2
1529108140,1,0
1529110237,2,2
1529111672,0,1
1529113242,2,0
1529115050,1,1
1529117433,3,1
1529118645,2,2
1529122194,0,1
1529124156,0,1
1529126141,0,2
1529130825,1,0
1529132188,0,1
1529133340,0,1
1529138159,1,0
1529139408,1,0
1529140542,1,0
1529142158,0,1
1529142995,1,0
1529144066,2,1
1529145658,19,2
1529146595,2,2
1529147739,0,4
1529149051,0,1
1529150183,3,1
1529151270,1,3
1529152109,0,2
1529153443,3,0
1529154880,2,0
1529156559,0,2
1529158479,2,0
1529162142,3,2
1529162921,0,1
1529163756,0,1
1529166522,0,1
1529169279,1,1
1529170107,2,0
1529171804,1,0
1529174129,0,1
1529176466,2,0
1529178988,1,2
1529180906,0,1
1529185257,1,0
1529188112,0,1
1529190879,0,1
1529192318,2,0
1529194467,0,1
1529195319,1,0
1529197838,3,0
1529201692,2,1
1529203239,1,1
1529204749,0,1
