DateTime,Entries,UniqueIPs
1528239390,130,130
1528240484,128,128
1528241313,129,129
1528243835,129,129
1528246065,128,128
1528247156,126,126
1528248647,128,128
1528249864,129,129
1528252525,128,128
1528256033,129,129
1528257298,131,131
1528258537,129,129
1528260998,129,129
1528262081,129,129
1528263761,130,130
1528264599,130,130
1528266813,131,131
1528269267,130,130
1528270891,130,130
1528272637,129,129
1528274440,116,116
1528275942,116,116
1528276466,117,117
1528278160,118,118
1528282385,119,119
1528283741,117,117
1528287282,114,114
1528289007,115,115
1528290866,112,112
1528292548,110,110
1528294468,111,111
1528295320,112,112
1528298079,113,113
1528299460,114,114
1528305037,115,115
1528306959,116,116
1528308522,116,116
1528313319,118,118
1528318602,120,120
1528325005,118,118
1528329033,119,119
1528332988,116,116
1528334129,115,115
1528337445,114,114
1528338696,113,113
1528341271,113,113
1528342678,114,114
1528344875,113,113
1528346455,112,112
1528350502,113,113
1528352918,114,114
1528354228,114,114
1528355667,115,115
1528357362,114,114
1528361789,113,113
1528364558,114,114
1528367307,115,115
1528370140,117,117
1528371338,116,116
1528372739,115,115
1528377340,113,113
1528381717,111,111
1528383070,111,111
1528384471,112,112
1528385736,113,113
1528386988,112,112
1528388072,110,110
1528391668,110,110
1528392874,111,111
1528394099,111,111
1528395213,111,111
1528396953,112,112
1528397800,114,114
1528398962,113,113
1528400742,112,112
1528402481,111,111
1528403317,112,112
1528405535,113,113
1528406716,112,112
1528407941,110,110
1528409446,108,108
1528410632,109,109
1528413038,108,108
1528414249,107,107
1528415440,106,106
1528416869,108,108
1528418548,107,107
1528419398,108,108
1528420539,107,107
1528423002,108,108
1528424153,109,109
1528427686,110,110
1528428509,110,110
1528429369,132,132
1528430203,127,127
1528431340,125,125
1528433791,127,127
1528434887,128,128
1528436446,125,125
1528438240,124,124
1528440149,122,122
1528442068,121,121
1528443751,119,119
1528447245,118,118
1528448752,116,116
1528450982,115,115
1528452870,114,114
1528454548,113,113
1528458186,112,112
1528459704,112,112
1528463151,113,113
1528464649,111,111
1528468960,110,110
1528471713,109,109
1528474567,110,110
1528476205,107,107
1528477588,108,108
1528483008,109,109
1528484186,108,108
1528486121,109,109
1528487441,107,107
1528489037,107,107
1528489718,106,106
1528490550,105,105
1528492483,105,105
1528494156,105,105
1528498601,102,102
1528499742,99,99
1528501263,95,95
1528503071,97,97
1528504125,98,98
1528505735,99,99
1528506877,97,97
1528511260,99,99
1528512420,98,98
1528513547,97,97
1528515231,99,99
1528519357,98,98
1528520678,97,97
1528524882,96,96
1528526384,96,96
1528530159,97,97
1528531000,98,98
1528534196,97,97
1528535678,98,98
1528537356,97,97
1528539282,99,99
1528540217,98,98
1528541793,97,97
1528542866,96,96
1528548154,99,99
1528549006,100,100
1528550142,101,101
1528551758,103,103
1528553435,103,103
1528556082,104,104
1528558323,103,103
1528560912,103,103
1528562074,102,102
1528564501,101,101
1528565744,99,99
1528567332,100,100
1528569660,103,103
1528573347,104,104
1528577261,102,102
1528579846,103,103
1528581055,104,104
1528583317,104,104
1528584203,105,105
1528586071,105,105
1528587191,102,102
1528588309,104,104
1528589670,103,103
1528591348,104,104
1528593277,105,105
1528596896,104,104
1528598151,105,105
1528599348,101,101
1528600496,100,100
1528602102,101,101
1528603847,99,99
1528605057,96,96
1528612963,97,97
1528616876,97,97
1528620158,96,96
1528622150,95,95
1528625151,96,96
1528627835,95,95
1528630955,95,95
1528636479,96,96
1528639837,98,98
1528642512,97,97
1528643675,98,98
1528645359,97,97
1528648956,96,96
1528658087,94,94
1528659753,95,95
1528663382,93,93
1528666113,95,95
1528666964,95,95
1528667804,94,94
1528668942,95,95
1528672543,94,94
1528674163,93,93
1528676142,94,94
1528677291,95,95
1528678721,97,97
1528679668,98,98
1528681401,98,98
1528684270,96,96
1528685807,96,96
1528686870,95,95
1528688027,96,96
1528689403,97,97
1528692170,99,99
1528694068,101,101
1528695771,100,100
1528697742,101,101
1528700769,100,100
1528706139,100,100
1528707943,100,100
1528710168,99,99
1528713335,97,97
1528714592,97,97
1528715675,96,96
1528716510,97,97
1528718190,95,95
1528719343,94,94
1528720832,93,93
1528722866,91,91
1528724573,92,92
1528731336,89,89
1528733685,89,89
1528735365,90,90
1528736188,90,90
1528737344,92,92
1528738954,91,91
1528740879,92,92
1528742456,93,93
1528744477,92,92
1528745306,93,93
1528746160,92,92
1528749749,90,90
1528751142,91,91
1528753361,91,91
1528755272,92,92
1528756954,88,88
1528758335,86,86
1528759494,87,87
1528761397,88,88
1528762538,88,88
1528763325,89,89
1528764941,91,91
1528766147,91,91
1528769691,90,90
1528770945,90,90
1528773275,91,91
1528774583,90,90
1528775762,92,92
1528776946,93,93
1528780470,93,93
1528782151,92,92
1528782998,92,92
1528785754,93,93
1528792107,94,94
1528794641,93,93
1528797036,91,91
1528800157,90,90
1528800995,91,91
1528805101,92,92
1528806523,91,91
1528811733,89,89
1528815050,90,90
1528815395,90,90
1528816468,91,91
1528818999,91,91
1528820138,92,92
1528821762,92,92
1528823134,91,91
1528827274,93,93
1528828840,121,121
1528830867,120,120
1528832173,124,124
1528833338,125,125
1528834553,126,126
1528835675,124,124
1528837347,124,124
1528839758,124,124
1528840598,125,125
1528844735,124,124
1528848939,123,123
1528850555,122,122
1528851401,123,123
1528852543,122,122
1528856080,122,122
1528863286,120,120
1528875373,118,118
1528876529,119,119
1528877668,120,120
1528879350,121,121
1528886361,121,121
1528887397,121,121
1528890155,121,121
1528893292,120,120
1528902334,121,121
1528903716,125,125
1528906002,125,125
1528908149,126,126
1528909525,124,124
1528912229,123,123
1528913481,149,149
1528914508,146,146
1528916207,144,144
1528918108,145,145
1528919433,144,144
1528920868,138,138
1528922278,132,132
1528923934,128,128
1528925309,127,127
1528928082,123,123
1528931143,124,124
1528932333,125,125
1528934192,124,124
1528935342,122,122
1528936955,124,124
1528938881,123,123
1528940454,124,124
1528942239,125,125
1528943501,124,124
1528944943,127,127
1528946144,126,126
1528946928,125,125
1528949680,126,126
1528955819,127,127
1528962969,127,127
1528964069,128,128
1528970873,129,129
1528972668,129,129
1528974222,128,128
1528976561,129,129
1528977933,130,130
1528982066,131,131
1528990863,132,132
1528992888,133,133
1528996467,134,134
1528997732,107,107
1528998996,95,95
1529001763,94,94
1529003733,94,94
1529008948,93,93
1529010877,92,92
1529012139,91,91
1529016934,90,90
1529018142,89,89
1529019645,88,88
1529020600,89,89
1529021674,86,86
1529023365,85,85
1529025267,85,85
1529028299,84,84
1529030557,85,85
1529034153,86,86
1529037067,85,85
1529042195,86,86
1529048560,84,84
1529051447,85,85
1529055756,84,84
1529057736,83,83
1529058513,84,84
1529059358,85,85
1529060187,84,84
1529062853,84,84
1529065723,83,83
1529068467,84,84
1529073747,83,83
1529075680,81,81
1529077832,80,80
1529079278,82,82
1529080949,82,82
1529082877,84,84
1529084547,77,77
1529085392,78,78
1529086552,77,77
1529088061,76,76
1529090983,79,79
1529092529,80,80
1529093739,79,79
1529094946,80,80
1529100938,78,78
1529102548,76,76
1529105306,77,77
1529106993,75,75
1529108140,76,76
1529110237,76,76
1529111672,75,75
1529113242,77,77
1529115050,77,77
1529117433,79,79
1529118645,79,79
1529122194,78,78
1529124156,77,77
1529126141,75,75
1529130825,76,76
1529132188,75,75
1529133340,74,74
1529138159,75,75
1529139408,76,76
1529140542,77,77
1529142158,76,76
1529142995,77,77
1529144066,78,78
1529145658,95,95
1529146595,95,95
1529147739,91,91
1529149051,90,90
1529150183,92,92
1529151270,90,90
1529152109,88,88
1529153443,91,91
1529154880,93,93
1529156559,91,91
1529158479,93,93
1529162142,94,94
1529162921,93,93
1529163756,92,92
1529166522,91,91
1529169279,91,91
1529170107,93,93
1529171804,94,94
1529174129,93,93
1529176466,95,95
1529178988,94,94
1529180906,93,93
1529185257,94,94
1529188112,93,93
1529190879,92,92
1529192318,94,94
1529194467,93,93
1529195319,94,94
1529197838,97,97
1529201692,98,98
1529203239,98,98
1529204749,97,97
1529211341,99,99
1529214630,100,100
1529216072,99,99
1529217661,100,100
1529221242,101,101
1529222194,125,125
1529223266,126,126
1529224480,125,125
1529227881,126,126
1529230476,127,127
1529233842,128,128
1529234920,127,127
1529236739,129,129
1529238514,130,130
1529239360,129,129
1529241267,128,128
1529243795,127,127
1529244880,126,126
1529246140,129,129
1529248478,128,128
1529250513,126,126
1529254586,128,128
1529257832,129,129
1529259040,128,128
1529260113,127,127
1529261005,125,125
1529263849,128,128
1529265390,127,127
1529266541,128,128
1529268146,129,129
1529269531,128,128
1529272099,129,129
1529276737,130,130
1529278961,130,130
1529279797,129,129
1529280917,128,128
1529282244,127,127
1529284533,126,126
1529286942,125,125
1529288080,124,124
1529293356,125,125
1529295277,125,125
1529296839,126,126
1529297793,127,127
1529301395,127,127
1529302553,127,127
1529303313,126,126
1529304655,127,127
1529305840,129,129
1529307752,131,131
1529308599,133,133
1529309710,134,134
1529311348,133,133
1529312187,134,134
1529313276,133,133
1529315273,132,132
1529316875,129,129
