DateTime,Entries,UniqueIPs
1528687995,4229,4229
1528689386,4248,4248
1528690456,4241,4241
1528692136,4249,4249
1528694056,4257,4257
1528695745,4222,4222
1528696588,4227,4227
1528697720,4233,4233
1528698499,4237,4237
1528700705,4200,4200
1528702924,4229,4229
1528703778,4239,4239
1528704859,4243,4243
1528706124,4219,4219
1528707917,4224,4224
1528708464,4233,4233
1528710141,4255,4255
1528711724,4249,4249
1528713323,4252,4252
1528713744,4256,4256
1528714580,4268,4268
1528715659,4260,4260
1528716497,4273,4273
1528718177,4252,4252
1528719318,4219,4219
1528720820,4223,4223
1528722855,4227,4227
1528723702,4236,4236
1528724547,4189,4189
1528725379,4203,4203
1528726518,4215,4215
1528727306,4219,4219
1528728976,4205,4205
1528730123,4195,4195
1528731319,4183,4183
1528731743,4188,4188
1528733662,4193,4193
1528734917,4204,4204
1528735342,4209,4209
1528736177,4239,4239
1528737324,4305,4305
1528738939,4369,4369
1528739792,4412,4412
1528740857,4428,4428
1528742433,4458,4458
1528744458,4518,4518
1528745295,4557,4557
1528746148,4556,4556
1528747826,4580,4580
1528749737,4567,4567
1528751122,4649,4649
1528752497,4744,4744
1528753347,4737,4737
1528755258,4843,4843
1528756106,4874,4874
1528756939,4862,4862
1528758319,4881,4881
1528759481,4916,4916
1528761385,4959,4959
1528762520,4951,4951
1528763305,4966,4966
1528764922,4913,4913
1528766133,4936,4936
1528767316,4945,4945
1528768466,4958,4958
1528769668,4916,4916
1528770920,4927,4927
1528772738,4922,4922
1528773261,4929,4929
1528774565,4927,4927
1528775731,4949,4949
1528776927,4942,4942
1528777698,4951,4951
1528778538,4944,4944
1528780457,4956,4956
1528781299,4974,4974
1528782138,4954,4954
1528782979,4972,4972
1528784061,4948,4948
1528784898,4951,4951
1528785738,4942,4942
1528786578,4958,4958
1528787663,4922,4922
1528788939,4924,4924
1528790124,4958,4958
1528792096,4962,4962
1528793374,4958,4958
1528794626,4951,4951
1528795701,4967,4967
1528797019,4951,4951
1528797378,4957,4957
1528798464,4964,4964
1528799297,4970,4970
1528800138,4975,4975
1528800979,4995,4995
1528802136,4989,4989
1528803623,4986,4986
1528805088,4989,4989
1528806499,5005,5005
1528807339,4965,4965
1528809262,4984,4984
1528810103,4998,4998
1528811702,4983,4983
1528812920,4964,4964
1528813702,4984,4984
1528815023,4980,4980
1528815381,4984,4984
1528816456,4988,4988
1528817296,4996,4996
1528818983,4967,4967
1528820119,4973,4973
1528821739,4995,4995
1528823118,4985,4985
1528824629,4996,4996
1528825337,4995,4995
1528827259,5002,5002
1528828822,5001,5001
1528830855,4993,4993
1528832155,4979,4979
1528833326,4985,4985
1528834525,5011,5011
1528835641,4991,4991
1528836142,4995,4995
1528837315,4975,4975
1528838058,5007,5007
1528839747,5029,5029
1528840585,5045,5045
1528841662,5045,5045
1528843339,5041,5041
1528844715,5049,5049
1528845887,5063,5063
1528846941,5049,5049
1528847785,5056,5056
1528848922,5095,5095
1528850540,5076,5076
1528851384,5084,5084
1528852523,5051,5051
1528853295,5061,5061
1528854143,5048,5048
1528854984,5089,5089
1528856062,5067,5067
1528857744,5045,5045
1528858581,5064,5064
1528859659,5066,5066
1528860502,5074,5074
1528863265,5042,5042
1528864097,5057,5057
1528865420,5035,5035
1528866623,5036,5036
1528867698,5040,5040
1528869317,5051,5051
1528870459,5042,5042
1528871298,5047,5047
1528872946,5018,5018
1528874123,5002,5002
1528875349,4973,4973
1528876517,4977,4977
1528877656,4979,4979
1528879338,4947,4947
1528880723,4953,4953
1528882100,4987,4987
1528883778,4976,4976
1528884921,4971,4971
1528886336,4963,4963
1528887376,4983,4983
1528888459,4972,4972
1528890139,4983,4983
1528890986,4991,4991
1528892055,4971,4971
1528893259,4952,4952
1528894522,4948,4948
1528895658,4936,4936
1528897114,4918,4918
1528898178,4921,4921
1528899257,4908,4908
1528900938,4884,4884
1528902320,4884,4884
1528903700,4915,4915
1528905982,4926,4926
1528908136,4810,4810
1528910386,4774,4774
1528910896,4785,4785
1528912217,4767,4767
1528913421,4701,4701
1528914496,4777,4777
1528916184,4740,4740
1528918096,4747,4747
1528919420,4734,4734
1528920855,4722,4722
1528922259,4735,4735
1528923918,4681,4681
1528925297,4706,4706
1528926139,4709,4709
1528928065,4699,4699
1528928898,4716,4716
1528929745,4675,4675
1528931127,4689,4689
1528932319,4702,4702
1528934179,4704,4704
1528935318,4688,4688
1528936100,4695,4695
1528936939,4658,4658
1528938865,4689,4689
1528940429,4658,4658
1528942221,4667,4667
1528943472,4655,4655
1528944928,4658,4658
1528946120,4681,4681
1528946911,4706,4706
1528947741,4686,4686
1528949659,4693,4693
1528951084,4680,4680
1528952711,4666,4666
1528953257,4670,4670
1528954521,4656,4656
1528955798,4660,4660
1528956857,4650,4650
1528958121,4653,4653
1528959923,4636,4636
1528960457,4640,4640
1528961729,4634,4634
1528962923,4672,4672
1528964056,4650,4650
1528965177,4640,4640
1528965739,4630,4630
1528967657,4668,4668
1528969222,4749,4749
1528970860,4900,4900
1528972639,5015,5015
1528974187,5124,5124
1528974862,5163,5163
1528976541,5233,5233
1528977919,5261,5261
1528979116,5304,5304
1528980139,5311,5311
1528982054,5379,5379
1528983638,5388,5388
1528984578,5411,5411
1528985724,5398,5398
1528986496,5421,5421
1528987338,5423,5423
1528988182,5434,5434
1528989318,5421,5421
1528990836,5417,5417
1528992876,5473,5473
1528993695,5512,5512
1528995319,5515,5515
1528996455,5525,5525
1528997719,5517,5517
1528998978,5535,5535
1529000055,5540,5540
1529001747,5549,5549
1529002586,5577,5577
1529004022,5583,5583
1529005196,5543,5543
1529007026,5548,5548
1529008936,5497,5497
1529010856,5524,5524
1529012123,5513,5513
1529014457,5535,5535
1529015297,5546,5546
1529016921,5525,5525
1529018121,5536,5536
1529019621,5509,5509
1529020585,5518,5518
1529021661,5532,5532
1529023338,5547,5547
1529025255,5512,5512
1529026107,5520,5520
1529028280,5486,5486
1529029701,5492,5492
1529030542,5489,5489
1529032458,5482,5482
1529033302,5485,5485
1529034138,5464,5464
1529035822,5490,5490
1529037021,5495,5495
1529038575,5524,5524
1529039719,5510,5510
1529041335,5513,5513
1529042178,5519,5519
1529043319,5511,5511
1529044098,5519,5519
1529044937,5510,5510
1529045780,5522,5522
1529046894,5545,5545
1529047695,5556,5556
1529048539,5532,5532
1529050088,5539,5539
1529051420,5519,5519
1529052616,5534,5534
1529053820,5536,5536
1529055737,5560,5560
1529056576,5572,5572
1529057718,5561,5561
1529058498,5613,5613
1529059343,5591,5591
1529060175,5600,5600
1529061323,5598,5598
1529062838,5578,5578
1529065706,5644,5644
1529067378,5651,5651
1529068456,5636,5636
1529070035,5642,5642
1529070977,5648,5648
1529072061,5637,5637
1529073735,5613,5613
1529075662,5617,5617
1529076496,5632,5632
1529077819,5622,5622
1529079257,5647,5647
1529080936,5661,5661
1529082861,5654,5654
1529084536,5637,5637
1529085376,5646,5646
1529086537,5622,5622
1529088040,5588,5588
1529090060,5597,5597
1529090908,5614,5614
1529092517,5586,5586
1529093717,5567,5567
1529094926,5545,5545
1529096086,5532,5532
1529097266,5511,5511
1529098519,5466,5466
1529100920,5454,5454
1529102535,5371,5371
1529103378,5383,5383
1529104457,5275,5275
1529105295,5282,5282
1529106976,5134,5134
1529108119,5133,5133
1529108898,5146,5146
1529110222,5137,5137
1529111657,5138,5138
1529113230,5127,5127
1529115036,5125,5125
1529116235,5074,5074
1529117420,5078,5078
1529118627,5086,5086
1529120539,5073,5073
1529122183,5063,5063
1529124140,5096,5096
1529124977,5101,5101
1529126121,5104,5104
1529128112,5097,5097
1529129657,5096,5096
1529130805,5083,5083
1529132175,5096,5096
1529133321,5071,5071
1529134095,5080,5080
1529134938,5084,5084
1529136856,5063,5063
1529138143,5051,5051
1529139395,5070,5070
1529140520,5013,5013
1529141297,5024,5024
1529142143,5001,5001
1529142980,5030,5030
1529144055,4995,4995
1529145635,4940,4940
1529146578,4971,4971
1529147722,4981,4981
1529149029,4997,4997
1529150164,5034,5034
1529151256,5034,5034
1529152097,5060,5060
1529153423,5025,5025
1529154862,5053,5053
1529156542,5032,5032
1529158463,5054,5054
1529160137,5034,5034
1529160978,5043,5043
1529162123,5016,5016
1529162902,5033,5033
1529163744,4985,4985
1529165656,4964,4964
1529166507,4989,4989
1529167340,4963,4963
1529169256,4994,4994
1529170096,5011,5011
1529171781,4982,4982
1529172920,4978,4978
1529174116,4956,4956
1529176455,4965,4965
1529177296,4983,4983
1529178137,4962,4962
1529178976,4987,4987
1529180055,4988,4988
1529180894,5001,5001
1529182229,4969,4969
1529183332,4965,4965
1529185238,4941,4941
1529187255,4965,4965
1529188097,4979,4979
1529188946,4953,4953
1529189780,4966,4966
1529190858,4993,4993
1529192307,4966,4966
1529193383,4990,4990
1529194455,4999,4999
1529195297,5014,5014
1529196573,5011,5011
1529197827,5022,5022
1529199749,5062,5062
1529201660,5073,5073
1529203223,5085,5085
1529204726,5083,5083
1529205925,5100,5100
1529206953,5060,5060
1529208628,5047,5047
1529209820,5023,5023
1529211322,5051,5051
1529212457,5057,5057
1529213296,5078,5078
1529214619,5062,5062
1529215261,5038,5038
1529216057,5043,5043
1529217635,5005,5005
1529219662,5009,5009
1529221226,5006,5006
1529222180,5024,5024
1529223255,5024,5024
1529224457,5075,5075
1529226317,5205,5205
1529227844,5202,5202
1529228537,5229,5229
1529230462,5247,5247
1529231298,5297,5297
1529232623,5286,5286
1529233817,5264,5264
1529234898,5311,5311
1529236729,5275,5275
1529237664,5295,5295
1529238499,5312,5312
1529239339,5300,5300
1529241255,5302,5302
1529242106,5331,5331
1529243779,5325,5325
1529244858,5308,5308
1529246128,5312,5312
1529247317,5326,5326
1529248456,5290,5290
1529249298,5299,5299
1529250491,5241,5241
1529251825,5248,5248
1529253029,5237,5237
1529254575,5264,5264
1529255721,5268,5268
1529257817,5249,5249
1529259017,5274,5274
1529260942,5312,5312
1529262322,5292,5292
1529263827,5306,5306
1529265378,5313,5313
1529266524,5310,5310
1529267295,5331,5331
1529268135,5316,5316
1529269517,5291,5291
1529270924,5302,5302
1529272075,5291,5291
1529273664,5265,5265
1529274794,5259,5259
1529276722,5307,5307
1529277264,5328,5328
1529278096,5338,5338
1529278941,5343,5343
1529279778,5349,5349
1529280893,5332,5332
1529282220,5316,5316
1529283320,5334,5334
1529284517,5327,5327
1529285720,5334,5334
1529286925,5334,5334
1529288061,5324,5324
1529289320,5312,5312
1529290519,5326,5326
1529291659,5317,5317
1529293341,5269,5269
1529295256,5274,5274
1529296821,5253,5253
1529297775,5256,5256
1529298857,5245,5245
1529299695,5277,5277
1529301378,5277,5277
1529302525,5278,5278
1529303297,5289,5289
