DateTime,Entries,UniqueIPs
1528949732,4897,4897
1528950452,4896,4896
1528951232,4895,4895
1528951891,4893,4893
1528952611,4892,4892
1528953332,4890,4890
1528954051,4888,4888
1528954771,4886,4886
1528955492,4887,4887
1528956212,4888,4888
1528956991,4875,4875
1528957651,4877,4877
1528958372,4877,4877
1528959091,4880,4880
1528959812,4880,4880
1528960532,4878,4878
1528961252,4876,4876
1528961973,4879,4879
1528962752,4873,4873
1528963412,4875,4875
1528964132,4875,4875
1528964851,4873,4873
1528965572,4873,4873
1528966292,4873,4873
1528967252,4876,4876
1528967971,4933,4933
1528968692,4931,4931
1528969412,4927,4927
1528970131,4926,4926
1528971091,4926,4926
1528971811,4921,4921
1528972532,4921,4921
1528973252,4919,4919
1528973972,4918,4918
1528974692,4921,4921
1528975412,4921,4921
1528976131,4919,4919
1528976851,4917,4917
1528978051,4919,4919
1528978772,4918,4918
1528979492,4920,4920
1528980212,4917,4917
1528980933,4916,4916
1528981711,4918,4918
1528982371,4917,4917
1528983091,4919,4919
1528983812,4919,4919
1528984532,4920,4920
1528985251,4923,4923
1528985973,4923,4923
1528986692,4923,4923
1528987411,4922,4922
1528988132,4923,4923
1528988852,4920,4920
1528989571,4922,4922
1528990292,4922,4922
1528991012,4917,4917
1528991732,4918,4918
1528992452,4912,4912
1528993172,4914,4914
1528993892,4911,4911
1528994612,4914,4914
1528995332,4912,4912
1528996052,4910,4910
1528996771,4913,4913
1528997493,4909,4909
1528998211,4908,4908
1528998932,4909,4909
1529000371,4908,4908
1529001091,4909,4909
1529001812,4912,4912
1529002532,4912,4912
1529003251,4913,4913
1529003972,4914,4914
1529004692,4915,4915
1529005411,4916,4916
1529006131,4917,4917
1529006851,4920,4920
1529007572,4920,4920
1529008292,4921,4921
1529009012,4921,4921
1529009731,4917,4917
1529010453,4915,4915
1529011172,4914,4914
1529012132,4916,4916
1529012853,4916,4916
1529013584,4920,4920
1529014292,4921,4921
1529015012,4919,4919
1529015731,4917,4917
1529017231,4912,4912
1529017892,4914,4914
1529018611,4911,4911
1529019572,4898,4898
1529020291,4901,4901
1529021012,4904,4904
1529021731,4905,4905
1529022451,4905,4905
1529023172,4909,4909
1529023891,4922,4922
1529024612,4920,4920
1529025331,4938,4938
1529026053,4949,4949
1529026772,4955,4955
1529027492,4958,4958
1529028212,4965,4965
1529028932,4969,4969
1529029652,4979,4979
1529030372,5000,5000
1529031092,5002,5002
1529031813,5004,5004
1529032532,5006,5006
1529033252,5013,5013
1529033972,5018,5018
1529034692,5030,5030
1529035412,5037,5037
1529036132,5047,5047
1529036852,5056,5056
1529037572,5062,5062
1529038292,5071,5071
1529039012,5078,5078
1529039732,5083,5083
1529040452,5083,5083
1529041171,5084,5084
1529041893,5082,5082
1529042611,5082,5082
1529043331,5077,5077
1529044051,5069,5069
1529044772,5070,5070
1529045492,5067,5067
1529046452,5066,5066
1529047172,5064,5064
1529047892,5061,5061
1529048612,5199,5199
1529049332,5229,5229
1529050051,5235,5235
1529050772,5238,5238
1529051491,5238,5238
1529052211,5241,5241
1529052931,5246,5246
1529053652,5247,5247
1529054373,5253,5253
1529055092,5262,5262
1529055812,5268,5268
1529056531,5271,5271
1529057252,5307,5307
1529057972,5311,5311
1529058692,5340,5340
1529059412,5349,5349
1529060131,5380,5380
1529060852,5386,5386
1529061572,5413,5413
1529062292,5415,5415
1529063013,5418,5418
1529063732,5416,5416
1529064451,5416,5416
1529066612,5457,5457
1529067332,5468,5468
1529068052,5483,5483
1529068773,5493,5493
1529069492,5496,5496
1529070212,5496,5496
1529070932,5499,5499
1529071652,5500,5500
1529072372,5500,5500
1529073091,5519,5519
1529073813,5520,5520
1529074531,5535,5535
1529075253,5536,5536
1529075973,5543,5543
1529076691,5543,5543
1529077412,5543,5543
1529078133,5548,5548
1529078852,5554,5554
1529079572,5557,5557
1529080291,5568,5568
1529081011,5570,5570
1529081732,5573,5573
1529082451,5576,5576
1529083171,5580,5580
1529083892,5577,5577
1529084612,5582,5582
1529085331,5587,5587
1529086052,5589,5589
1529086772,5593,5593
1529087492,5600,5600
1529088212,5599,5599
1529088932,5600,5600
1529089653,5598,5598
1529090372,5599,5599
1529091092,5602,5602
1529092053,5602,5602
1529093011,5603,5603
1529094212,5601,5601
1529095172,5605,5605
1529096372,5608,5608
1529097091,5611,5611
1529098052,5613,5613
1529098772,5613,5613
1529099492,5610,5610
1529100212,5613,5613
1529100932,5611,5611
1529101651,5616,5616
1529102372,5620,5620
1529103091,5624,5624
1529104052,5622,5622
1529104772,5627,5627
1529105492,5624,5624
1529106213,5621,5621
1529106932,5615,5615
1529107652,5608,5608
1529108372,5600,5600
1529109092,5589,5589
1529109813,5578,5578
1529110532,5569,5569
1529111251,5561,5561
1529111973,5535,5535
1529112692,5525,5525
1529113413,5517,5517
1529114135,5510,5510
1529114856,5501,5501
1529115572,5492,5492
1529116293,5480,5480
1529117012,5469,5469
1529117731,5473,5473
1529118452,5463,5463
1529119172,5463,5463
1529119892,5456,5456
1529120612,5458,5458
1529121332,5456,5456
1529122052,5452,5452
1529122772,5443,5443
1529123492,5432,5432
1529124212,5429,5429
1529124932,5421,5421
1529125653,5415,5415
1529126372,5413,5413
1529127092,5421,5421
1529127811,5428,5428
1529128532,5437,5437
1529129251,5444,5444
1529129972,5449,5449
1529130691,5454,5454
1529131412,5455,5455
1529132132,5454,5454
1529132852,5457,5457
1529133572,5463,5463
1529134292,5459,5459
1529135013,5458,5458
1529135733,5459,5459
1529136453,5457,5457
1529137172,5446,5446
1529137891,5450,5450
1529138611,5447,5447
1529139332,5443,5443
1529140052,5442,5442
1529140772,5441,5441
1529141492,5440,5440
1529142213,5437,5437
1529142932,5427,5427
1529143653,5393,5393
1529144371,5386,5386
1529145093,5361,5361
1529145812,5355,5355
1529146533,5320,5320
1529147252,5321,5321
1529147972,5295,5295
1529148692,5288,5288
1529149411,5283,5283
1529150132,5287,5287
1529150851,5292,5292
1529151572,5285,5285
1529152292,5268,5268
1529153012,5260,5260
1529153731,5249,5249
1529154451,5238,5238
1529155173,5226,5226
1529155892,5224,5224
1529156612,5228,5228
1529157332,5221,5221
1529158053,5218,5218
1529158772,5219,5219
1529159492,5200,5200
1529160212,5205,5205
1529160931,5188,5188
1529161652,5187,5187
1529162371,5178,5178
1529163093,5177,5177
1529163811,5174,5174
1529164532,5172,5172
1529165252,5168,5168
1529165972,5166,5166
1529166692,5161,5161
1529167411,5164,5164
1529168132,5211,5211
1529168852,5208,5208
1529169572,5212,5212
1529170293,5206,5206
1529171012,5203,5203
1529171732,5204,5204
1529172452,5203,5203
1529173172,5203,5203
1529173892,5200,5200
1529174611,5200,5200
1529175332,5201,5201
1529176051,5202,5202
1529176772,5200,5200
1529177492,5202,5202
1529178212,5207,5207
1529178931,5208,5208
1529179651,5205,5205
1529180371,5204,5204
1529181092,5202,5202
1529181811,5198,5198
1529182532,5199,5199
1529183252,5198,5198
1529183973,5196,5196
1529184693,5197,5197
1529185412,5197,5197
1529186132,5195,5195
1529186853,5190,5190
1529187571,5190,5190
1529188291,5188,5188
1529189493,5184,5184
1529190451,5189,5189
1529191172,5187,5187
1529191892,5187,5187
1529192611,5186,5186
1529193332,5185,5185
1529194052,5184,5184
1529194772,5185,5185
1529195491,5183,5183
1529196211,5186,5186
1529196933,5186,5186
1529197652,5185,5185
1529198371,5181,5181
1529199092,5180,5180
1529200532,5174,5174
1529201251,5169,5169
1529201972,5169,5169
1529202691,5167,5167
1529203413,5160,5160
1529204131,5157,5157
1529204852,5163,5163
1529205572,5171,5171
1529206293,5170,5170
1529207013,5166,5166
1529207733,5163,5163
1529208452,5164,5164
1529209173,5164,5164
1529209892,5166,5166
1529210612,5164,5164
1529211331,5164,5164
1529212052,5161,5161
1529212771,5162,5162
1529213492,5157,5157
1529214211,5149,5149
1529214933,5145,5145
1529215652,5137,5137
1529216373,5128,5128
1529217093,5124,5124
1529217812,5124,5124
1529218531,5121,5121
1529219251,5120,5120
1529219971,5116,5116
1529220692,5117,5117
1529221412,5117,5117
1529222132,5111,5111
1529222852,5113,5113
1529223572,5115,5115
1529224292,5115,5115
1529225011,5107,5107
1529225732,5107,5107
1529226452,5106,5106
1529227173,5103,5103
1529227893,5103,5103
1529228612,5098,5098
1529229333,5103,5103
1529230053,5104,5104
1529230772,5110,5110
1529231492,5105,5105
1529232212,5098,5098
1529232932,5097,5097
1529233653,5095,5095
1529234373,5105,5105
1529235092,5097,5097
1529235812,5089,5089
1529236532,5083,5083
1529237253,5080,5080
1529237973,5076,5076
1529238693,5070,5070
1529239412,5067,5067
1529240132,5068,5068
1529240853,5064,5064
1529241573,5058,5058
1529242292,5056,5056
1529243013,5049,5049
1529243732,5051,5051
1529244452,5047,5047
1529245172,5049,5049
1529245892,5046,5046
1529246611,5040,5040
1529247332,5034,5034
1529248051,5031,5031
1529248772,5029,5029
1529249491,5032,5032
1529250211,5032,5032
1529250932,5036,5036
1529251652,5036,5036
1529252371,5039,5039
1529253091,5032,5032
1529253812,5033,5033
1529254532,5030,5030
1529255251,5033,5033
1529255973,5028,5028
1529256692,5028,5028
1529257412,5029,5029
1529258131,5030,5030
1529258851,5034,5034
1529259573,5036,5036
1529260292,5034,5034
1529261013,5036,5036
1529261733,5036,5036
1529262451,5038,5038
1529263171,5036,5036
1529263892,5035,5035
1529264612,5033,5033
1529265331,5041,5041
1529266053,5044,5044
1529266771,5045,5045
1529267491,5052,5052
1529268211,5054,5054
1529268931,5059,5059
1529269652,5058,5058
1529270371,5057,5057
1529271091,5059,5059
1529271812,5060,5060
1529272531,5060,5060
1529273493,5061,5061
1529274213,5063,5063
1529274932,5062,5062
1529275653,5065,5065
1529276372,5066,5066
1529277092,5068,5068
1529277812,5068,5068
1529278532,5071,5071
1529279252,5071,5071
1529279972,5073,5073
1529280691,5075,5075
1529281412,5074,5074
1529282131,5071,5071
1529282852,5069,5069
1529283572,5065,5065
1529284292,5068,5068
1529285012,5069,5069
1529285732,5065,5065
1529286452,5070,5070
1529287172,5073,5073
1529287891,5076,5076
1529288612,5079,5079
1529289332,5075,5075
1529290053,5072,5072
1529290772,5067,5067
1529291492,5060,5060
1529292211,5053,5053
1529292940,5056,5056
1529293652,5057,5057
1529294373,5058,5058
1529295092,5059,5059
1529295812,5062,5062
1529296531,5062,5062
1529297252,5062,5062
1529297971,5062,5062
1529298692,5062,5062
1529299412,5067,5067
1529300131,5068,5068
1529300852,5073,5073
1529301572,5083,5083
1529302291,5081,5081
1529303012,5080,5080
1529303733,5077,5077
1529304452,5074,5074
1529305172,5076,5076
1529305892,5076,5076
1529306611,5078,5078
1529307332,5078,5078
1529308052,5079,5079
1529308772,5073,5073
1529309493,5066,5066
1529310212,5063,5063
1529310931,5062,5062
1529311652,5060,5060
1529312372,5062,5062
1529313091,5060,5060
1529313812,5061,5061
1529314532,5062,5062
1529315252,5060,5060
1529315972,5059,5059
1529316692,5062,5062
1529317411,5053,5053
