DateTime,Entries,UniqueIPs
1528123926,3443,3526
1528125857,3456,3539
1528128274,3459,3542
1528130171,3464,3547
1528132093,3457,3539
1528134026,3461,3543
1528135938,3458,3540
1528137854,3460,3542
1528139784,3465,3547
1528141696,3475,3557
1528143612,3476,3558
1528147459,3485,3568
1528149370,3491,3574
1528151302,3492,3575
1528153232,3479,3562
1528155134,3474,3557
1528160896,3443,3526
1528164735,3442,3525
1528166661,3451,3533
1528168576,3463,3545
1528170523,3472,3554
1528172420,3484,3567
1528174335,3482,3564
1528176265,3486,3569
1528178173,3490,3573
1528180094,3505,3588
1528183949,3493,3576
1528185860,3487,3570
1528187774,3488,3571
1528191617,3481,3564
1528193541,3488,3571
1528195468,3501,3586
1528197375,3503,3588
1528199295,3502,3587
1528203139,3494,3579
1528205052,3518,3603
1528206968,3529,3614
1528208903,3545,3630
1528210827,3544,3629
1528213720,3547,3632
1528215619,3557,3642
1528219455,3571,3656
1528221373,3580,3665
1528223295,3596,3681
1528225233,3599,3684
1528227150,3594,3679
1528229311,3591,3675
1528231225,3593,3677
1528233141,3590,3674
1528235551,3588,3672
1528239729,3579,3663
1528241545,3574,3658
1528243456,3569,3653
1528245369,3575,3659
1528247302,3567,3651
1528249212,3567,3651
1528251135,3574,3658
1528254968,3580,3664
1528256898,3582,3667
1528258812,3577,3662
1528264565,3559,3644
1528266488,3579,3664
1528268410,3576,3660
1528270328,3595,3679
1528274165,3584,3668
1528278007,3582,3666
1528279931,3595,3681
1528281860,3608,3697
1528283765,3620,3708
1528285688,3637,3726
1528289541,3624,3713
1528291448,3638,3727
1528293364,3635,3724
1528297217,3622,3712
1528299142,3621,3711
1528302966,3615,3705
1528304886,3613,3703
1528306806,3609,3698
1528309782,3605,3694
1528313467,3614,3703
1528322813,3580,3667
1528325344,3588,3675
1528330119,3579,3666
1528333290,3560,3645
1528335410,3563,3648
1528337294,3558,3643
1528339217,3562,3647
1528341149,3576,3660
1528343148,3588,3672
1528344988,3582,3664
1528346897,3590,3672
1528348809,3588,3671
1528350741,3590,3671
1528352653,3590,3671
1528354572,3594,3675
1528356497,3593,3674
1528358431,3593,3674
1528360336,3601,3682
1528362273,3604,3685
1528364190,3606,3687
1528366096,3606,3687
1528368026,3615,3696
1528369939,3622,3703
1528371854,3627,3707
1528373791,3636,3717
1528375692,3643,3724
1528377618,3647,3728
1528379548,3652,3735
1528383635,3635,3718
1528387459,3631,3714
1528391310,3625,3708
1528393217,3630,3713
1528395136,3638,3721
1528397065,3646,3729
1528400905,3643,3726
1528402811,3650,3733
1528404733,3652,3735
1528406665,3665,3748
1528408574,3670,3754
1528411095,3666,3750
1528412899,3671,3755
1528414820,3674,3758
1528416730,3679,3763
1528418664,3681,3765
1528420566,3689,3773
1528422485,3693,3778
1528428255,3680,3765
1528430266,3669,3754
1528432088,3671,3754
1528434017,3670,3753
1528436046,3682,3765
1528437859,3686,3770
1528439777,3689,3773
1528441698,3685,3769
1528443614,3674,3759
1528445543,3696,3781
1528447453,3711,3796
1528449372,3712,3797
1528451423,3736,3821
1528453457,3751,3837
1528455364,3749,3834
1528457286,3755,3840
1528459233,3753,3838
1528461136,3748,3833
1528463050,3749,3834
1528464965,3747,3832
1528469555,3742,3827
1528473369,3749,3834
1528477237,3754,3838
1528479139,3750,3835
1528481063,3744,3829
1528482980,3744,3829
1528486865,3734,3819
1528488742,3749,3835
1528490652,3747,3832
1528492590,3740,3826
1528494496,3736,3822
1528496420,3731,3816
1528500490,3724,3808
1528502415,3734,3819
1528504341,3737,3822
1528506254,3736,3821
1528508169,3757,3842
1528510104,3760,3843
1528512008,3768,3851
1528513931,3773,3857
1528517769,3768,3852
1528521618,3777,3861
1528523529,3793,3877
1528525451,3790,3874
1528527379,3793,3877
1528533144,3772,3855
1528535058,3775,3858
1528538891,3767,3849
1528542737,3761,3842
1528544652,3772,3853
1528546581,3791,3872
1528550408,3769,3850
1528552342,3761,3842
1528554255,3770,3850
1528558089,3755,3835
1528560015,3768,3849
1528561942,3781,3863
1528563860,3777,3859
1528567699,3771,3853
1528569608,3762,3844
1528571531,3762,3844
1528573451,3772,3854
1528577300,3765,3847
1528579209,3753,3835
1528581143,3759,3841
1528583062,3755,3836
1528586443,3733,3814
1528588334,3747,3829
1528590272,3740,3821
1528592171,3729,3809
1528594092,3722,3801
1528597945,3738,3816
1528599858,3737,3815
1528601804,3734,3812
1528603704,3754,3832
1528605614,3751,3830
1528609458,3729,3808
1528611377,3730,3810
1528615210,3739,3819
1528617133,3747,3828
1528619056,3756,3838
1528620983,3753,3836
1528624827,3753,3836
1528626744,3746,3829
1528628659,3730,3811
1528632505,3702,3783
1528634412,3698,3779
1528636591,3698,3780
1528638530,3704,3786
1528640415,3705,3787
1528644282,3711,3796
1528646170,3721,3806
1528648090,3720,3807
1528650026,3727,3816
1528651946,3719,3808
1528653880,3733,3822
1528655782,3732,3821
1528659624,3708,3798
1528661551,3711,3801
1528663458,3726,3816
1528666860,3713,3803
1528668982,3708,3798
1528672822,3709,3800
1528674739,3704,3795
1528676654,3700,3790
1528678576,3697,3788
1528684351,3662,3754
1528686275,3661,3753
1528690099,3653,3745
1528692015,3645,3737
1528693938,3629,3723
1528695861,3643,3738
1528697775,3634,3730
1528699692,3647,3743
1528703551,3627,3723
1528707370,3629,3723
1528709298,3620,3714
1528711251,3626,3720
1528713138,3642,3736
1528716969,3638,3731
1528718896,3645,3737
1528720809,3647,3740
1528722734,3627,3720
1528724664,3633,3726
1528726582,3643,3736
1528728489,3645,3735
1528730409,3644,3734
1528732741,3626,3716
1528735194,3620,3710
1528737044,3623,3713
1528739199,3627,3717
1528741216,3641,3731
1528743145,3644,3734
1528745047,3648,3738
1528747221,3647,3737
1528751055,3645,3735
1528752967,3640,3729
1528754900,3640,3728
1528757110,3645,3733
