DateTime,AddedIPs,RemovedIPs
1528125857,44,11
1528128274,21,46
1528130171,14,17
1528132093,13,14
1528134026,15,13
1528135938,18,20
1528137854,34,17
1528139784,27,32
1528141696,37,30
1528143612,16,37
1528147459,38,14
1528149370,16,40
1528151302,35,15
1528153232,18,33
1528155134,14,19
1528160896,5,17
1528164735,39,5
1528166661,44,32
1528168576,26,43
1528170523,37,27
1528172420,52,37
1528174335,28,54
1528176265,50,28
1528178173,12,50
1528180094,45,14
1528183949,22,44
1528185860,21,21
1528187774,23,23
1528191617,10,26
1528193541,34,8
1528195468,51,34
1528197375,37,50
1528199295,42,29
1528203139,33,47
1528205052,44,37
1528206968,50,42
1528208903,43,53
1528210827,24,43
1528213720,43,24
1528215619,33,38
1528219455,46,36
1528221373,15,46
1528223295,52,14
1528225233,18,56
1528227150,19,12
1528229311,17,22
1528231225,13,17
1528233141,47,11
1528235551,14,47
1528239729,20,16
1528241545,8,20
1528243456,9,8
1528245369,19,9
1528247302,15,19
1528249212,19,16
1528251135,31,17
1528254968,33,32
1528256898,39,34
1528258812,14,39
1528264565,11,15
1528266488,42,11
1528268410,13,40
1528270328,41,15
1528274165,24,39
1528278007,18,27
1528279931,40,16
1528281860,39,34
1528283765,46,38
1528285688,42,45
1528289541,22,47
1528291448,44,23
1528293364,14,44
1528297217,15,14
1528299142,17,15
1528302966,11,18
1528304886,8,12
1528306806,13,9
1528309782,42,13
1528313467,41,41
1528322813,14,39
1528325344,54,16
1528330119,21,53
1528333290,16,21
1528335410,38,15
1528337294,20,39
1528339217,31,21
1528341149,45,27
1528343148,44,45
1528344988,29,43
1528346897,43,29
1528348809,36,46
1528350741,42,36
1528352653,46,40
1528354572,39,47
1528356497,39,30
1528358431,39,42
1528360336,32,46
1528362273,46,29
1528364190,17,51
1528366096,20,17
1528368026,49,21
1528369939,30,49
1528371854,42,28
1528373791,26,43
1528375692,45,22
1528377618,38,46
1528379548,34,36
1528383635,30,36
1528387459,53,32
1528391310,20,53
1528393217,24,22
1528395136,41,22
1528397065,48,40
1528400905,50,47
1528402811,32,54
1528404733,13,30
1528406665,43,9
1528408574,26,48
1528411095,19,26
1528412899,38,20
1528414820,24,37
1528416730,17,24
1528418664,58,17
1528420566,36,57
1528422485,39,34
1528428255,57,41
1528430266,23,54
1528432088,46,25
1528434017,11,46
1528436046,55,12
1528437859,14,53
1528439777,28,14
1528441698,17,27
1528443614,20,21
1528445543,54,17
1528447453,50,56
1528449372,30,48
1528451423,50,31
1528453457,47,49
1528455364,24,48
1528457286,50,21
1528459233,25,51
1528461136,36,26
1528463050,25,38
1528464965,43,22
1528469555,28,41
1528473369,32,33
