DateTime,Entries,UniqueIPs
1528125857,49,49
1528128274,24,24
1528130171,21,21
1528132093,20,20
1528134026,22,22
1528135938,20,20
1528137854,37,37
1528139784,32,32
1528141696,39,39
1528143612,18,18
1528147459,42,42
1528149370,18,18
1528151302,38,38
1528153232,23,23
1528155134,18,18
1528160896,6,6
1528164735,40,40
1528166661,52,52
1528168576,35,35
1528170523,45,45
1528172420,60,60
1528174335,34,34
1528176265,56,56
1528178173,18,18
1528180094,49,49
1528183949,27,27
1528185860,27,27
1528187774,27,27
1528191617,11,11
1528193541,37,37
1528195468,54,54
1528197375,41,41
1528199295,54,54
1528203139,40,40
1528205052,47,47
1528206968,55,55
1528208903,45,45
1528210827,26,26
1528213720,45,45
1528215619,40,40
1528219455,50,50
1528221373,19,19
1528223295,57,57
1528225233,19,19
1528227150,26,26
1528229311,21,21
1528231225,17,17
1528233141,53,53
1528235551,20,20
1528239729,24,24
1528241545,12,12
1528243456,13,13
1528245369,23,23
1528247302,19,19
1528249212,22,22
1528251135,36,36
1528254968,37,37
1528256898,42,42
1528258812,17,17
1528264565,13,13
1528266488,44,44
1528268410,17,17
1528270328,43,43
1528274165,28,28
1528278007,19,19
1528279931,43,43
1528281860,48,48
1528283765,56,56
1528285688,53,53
1528289541,28,28
1528291448,49,49
1528293364,19,19
1528297217,20,20
1528299142,22,22
1528302966,15,15
1528304886,11,11
1528306806,15,15
1528309782,44,44
1528313467,44,44
1528322813,19,19
1528325344,57,57
1528330119,25,25
1528333290,20,20
1528335410,43,43
1528337294,24,24
1528339217,34,34
1528341149,52,52
1528343148,51,51
1528344988,37,37
1528346897,51,51
1528348809,41,41
1528350741,47,47
1528352653,53,53
1528354572,45,45
1528356497,54,54
1528358431,51,51
1528360336,37,37
1528362273,54,54
1528364190,20,20
1528366096,23,23
1528368026,51,51
1528369939,32,32
1528371854,46,46
1528373791,29,29
1528375692,52,52
1528377618,44,44
1528379548,42,42
1528383635,36,36
1528387459,57,57
1528391310,24,24
1528393217,26,26
1528395136,45,45
1528397065,53,53
1528400905,56,56
1528402811,34,34
1528404733,17,17
1528406665,51,51
1528408574,29,29
1528411095,22,22
1528412899,40,40
1528414820,27,27
1528416730,20,20
1528418664,61,61
1528420566,40,40
1528422485,45,45
1528428255,61,61
1528430266,30,30
1528432088,51,51
1528434017,16,16
1528436046,59,59
1528437859,20,20
1528439777,34,34
1528441698,24,24
1528443614,23,23
1528445543,60,60
1528447453,54,54
1528449372,36,36
1528451423,55,55
1528453457,53,53
1528455364,29,29
1528457286,58,58
1528459233,32,32
1528461136,42,42
1528463050,29,29
1528464965,50,50
1528469555,37,37
1528473369,36,36
1528477237,15,15
1528479139,28,28
1528481063,14,14
1528482980,30,30
1528486865,24,24
1528488742,50,50
1528490652,43,43
1528492590,41,41
1528494496,56,56
1528496420,26,26
1528500490,32,32
1528502415,42,42
1528504341,52,52
1528506254,43,43
1528508169,63,63
1528510104,44,44
1528512008,23,23
1528513931,50,50
1528517769,53,53
1528521618,57,57
1528523529,47,47
1528525451,52,52
1528527379,40,40
1528533144,30,30
1528535058,25,25
1528538891,18,18
1528542737,33,33
1528544652,52,52
1528546581,42,42
1528550408,23,23
1528552342,17,17
1528554255,51,51
1528558089,42,42
1528560015,30,30
1528561942,46,46
1528563860,22,22
1528567699,16,16
1528569608,27,27
1528571531,38,38
1528573451,50,50
1528577300,49,49
1528579209,18,18
1528581143,24,24
1528583062,23,23
1528586443,29,29
1528588334,65,65
1528590272,45,45
1528592171,26,26
1528594092,58,58
1528597945,54,54
1528599858,22,22
1528601804,25,25
1528603704,65,65
1528605614,46,46
1528609458,49,49
1528611377,67,67
1528615210,57,57
1528617133,39,39
1528619056,47,47
1528620983,45,45
1528622892,10,10
1528624827,11,11
1528626744,14,14
1528628659,10,10
1528632505,19,19
1528634412,51,51
1528636591,61,61
1528638530,65,65
1528640415,34,34
1528644282,55,55
1528646170,26,26
1528648090,66,66
1528650026,35,35
1528651946,13,13
1528653880,59,59
1528655782,46,46
1528659624,22,22
1528661551,15,15
1528663458,60,60
1528666860,33,33
1528668982,44,44
1528672822,54,54
1528674739,40,40
1528676654,53,53
