DateTime,Entries,UniqueIPs
1528829790,173092,173092
1528830747,173089,173089
1528831694,173061,173061
1528832686,173034,173034
1528833630,172996,172996
1528834579,172983,172983
1528835552,172958,172958
1528836518,172946,172946
1528837477,172914,172914
1528838421,172897,172897
1528839374,172862,172862
1528840352,172839,172839
1528841295,171082,171082
1528842261,171048,171048
1528843234,170980,170980
1528844174,171007,171007
1528845134,170968,170968
1528846113,170924,170924
1528847063,170934,170934
1528848032,170878,170878
1528849036,170844,170844
1528849958,170794,170794
1528850895,170775,170775
1528851863,170752,170752
1528852831,170762,170762
1528853779,170755,170755
1528854731,170727,170727
1528855719,170729,170729
1528856657,170696,170696
1528857616,170698,170698
1528858585,170676,170676
1528859544,170687,170687
1528860495,170678,170678
1528861483,170679,170679
1528862429,170656,170656
1528863407,170666,170666
1528864355,170597,170597
1528865550,170597,170597
1528866510,170583,170583
1528867462,170558,170558
1528868411,170520,170520
1528869399,170484,170484
1528870335,170473,170473
1528871299,170448,170448
1528872272,170456,170456
1528873231,170459,170459
1528874174,170466,170466
1528875155,170447,170447
1528876094,170422,170422
1528877057,170409,170409
1528878022,170421,170421
1528878973,170393,170393
1528879930,170360,170360
1528880915,170336,170336
1528881857,170315,170315
1528882822,170313,170313
1528883784,170264,170264
1528884743,170255,170255
1528885689,170223,170223
1528886678,170217,170217
1528887624,170159,170159
1528888585,170161,170161
1528889552,170104,170104
1528890495,170087,170087
1528891454,170039,170039
1528892440,169988,169988
1528893371,170017,170017
1528894335,170016,170016
1528895314,169883,169883
1528896261,169910,169910
1528897212,169893,169893
1528898188,169839,169839
1528899138,169880,169880
1528900095,169831,169831
1528901067,169850,169850
1528902043,169809,169809
1528902972,169790,169790
1528903943,169750,169750
1528904908,169725,169725
1528905859,169683,169683
1528906811,169653,169653
1528907791,169602,169602
1528908740,169522,169522
1528909700,169493,169493
1528910674,169512,169512
1528911623,169413,169413
1528912570,169437,169437
1528913552,169395,169395
1528914492,169361,169361
1528915475,169308,169308
1528916413,169291,169291
1528917375,169258,169258
1528919334,169210,169210
1528920253,169159,169159
1528921236,169138,169138
1528922187,169034,169034
1528923147,169056,169056
1528924091,169010,169010
1528925062,169018,169018
1528926014,168963,168963
1528926995,168941,168941
1528927932,167144,167144
1528928897,167097,167097
1528929880,167071,167071
1528932059,167001,167001
1528932970,166975,166975
1528933939,166966,166966
1528934911,166955,166955
1528935864,166918,166918
1528936811,166923,166923
1528937788,166886,166886
1528938740,166906,166906
1528939701,166847,166847
1528940675,166879,166879
1528941650,166834,166834
1528942570,166840,166840
1528943557,166756,166756
1528944492,166746,166746
1528945480,166705,166705
1528946410,166714,166714
1528947379,166660,166660
1528948351,166629,166629
1528949302,166615,166615
1528950255,166631,166631
1528951274,166568,166568
1528952418,166547,166547
1528953382,166537,166537
1528954331,166499,166499
1528955291,166465,166465
1528956270,166491,166491
1528957209,166469,166469
1528958170,166465,166465
1528959148,166429,166429
1528960097,166429,166429
1528961056,166414,166414
1528962025,166383,166383
1528962969,166305,166305
1528963934,166341,166341
1528964911,166378,166378
1528965858,166372,166372
1528966821,166376,166376
1528967772,166344,166344
1528968748,166319,166319
1528969696,166321,166321
1528970667,166316,166316
1528971610,166322,166322
1528972588,166308,166308
1528973532,166313,166313
1528974494,166322,166322
1528975472,166319,166319
1528976412,166339,166339
1528977372,166367,166367
