DateTime,AddedIPs,RemovedIPs
1528829790,42,31
1528830747,50,41
1528831694,40,58
1528832686,37,45
1528833630,50,45
1528834579,66,55
1528835552,47,77
1528836518,35,54
1528837477,39,51
1528838421,40,63
1528839374,38,51
1528840352,31,3
1528841295,44,36
1528842261,45,53
1528843234,66,104
1528844174,48,6
1528845134,53,30
1528846113,45,50
1528847063,65,46
1528848032,59,59
1528849036,65,83
1528849958,65,71
1528850895,46,49
1528851863,82,88
1528852831,65,69
1528853779,59,71
1528854731,67,52
1528855719,62,65
1528856657,59,72
1528857616,68,81
1528858585,46,74
1528859544,77,62
1528860495,50,70
1528861483,31,43
1528862429,56,68
1528863407,44,59
1528864355,44,63
1528865550,41,50
1528866510,37,62
1528867462,44,60
1528868411,41,28
1528869399,48,55
1528870335,48,50
1528871299,38,75
1528872272,65,53
1528873231,71,51
1528874174,42,68
1528875155,53,54
1528876094,37,65
1528877057,42,82
1528878022,42,63
1528878973,56,93
1528879930,40,80
1528880915,65,93
1528881857,61,54
1528882822,48,84
1528883784,57,84
1528884743,35,78
1528885689,54,71
1528886678,49,70
1528887624,40,61
1528888585,40,57
1528889552,43,70
1528890495,39,36
1528891454,35,73
1528892440,35,42
1528893371,46,51
1528894335,57,94
1528895314,58,73
1528896261,46,70
1528897212,31,71
1528898188,49,57
1528899138,55,61
1528900095,50,61
1528901067,30,61
1528902043,35,42
1528902972,25,53
1528903943,52,47
1528904908,38,57
1528905859,39,60
1528906811,32,73
1528907791,38,63
1528908740,37,56
1528909700,35,75
1528910674,45,54
1528911623,30,57
1528912570,37,53
1528913552,32,78
1528914492,54,3
1528915475,42,94
1528916413,49,4
1528917375,36,4
1528919334,91,107
1528920253,52,5
1528921236,34,1
1528922187,35,3
1528923147,33,3
1528924091,43,108
1528925062,48,5
1528926014,32,6
1528926995,51,6
1528927932,46,87
1528928897,52,5
1528929880,52,1
1528932059,66,120
1528932970,65,3
1528933939,73,4
1528934911,55,32
1528935864,63,116
1528936811,58,6
1528937788,49,4
1528938740,72,119
1528939701,31,7
1528940675,102,84
1528941650,51,89
1528942570,44,84
1528943557,48,45
1528944492,34,69
1528945480,76,71
1528946410,38,53
1528947379,60,61
1528948351,37,60
1528949302,56,60
1528950255,50,60
1528951274,45,71
1528952418,58,58
1528953382,40,54
1528954331,59,59
1528955291,49,15
1528956270,37,69
1528957209,37,72
1528958170,77,36
1528959148,41,68
1528960097,55,71
1528961056,49,72
1528962025,69,84
1528962969,85,62
1528963934,59,86
1528964911,59,53
1528965858,58,86
1528966821,64,84
1528967772,20,47
1528968748,54,53
1528969696,46,46
1528970667,63,77
1528971610,47,61
1528972588,40,58
1528973532,45,69
1528974494,50,74
1528975472,54,63
1528976412,54,54
1528977372,39,47
1528978343,57,63
1528979289,40,46
1528980268,42,36
1528981221,54,60
1528982173,48,53
1528983155,58,74
1528984093,44,46
1528985059,40,62
1528986024,34,45
1528986970,29,48
1528987928,25,54
1528988905,35,9
1528990092,56,85
1528991072,34,69
1528992023,46,58
1528992969,53,65
1528993951,51,44
1528994893,37,70
1528995866,58,66
1528996825,56,61
1528997771,46,52
1528998734,26,37
1528999711,34,50
1529000652,52,34
1529001612,44,66
1529002584,63,45
1529003536,37,67
1529004495,49,46
1529005476,48,50
1529006422,61,48
1529007416,41,49
1529008346,48,56
1529009290,37,55
1529010264,45,69
1529011232,55,63
1529012193,57,61
1529013137,36,47
1529014105,68,88
1529015066,62,72
1529017265,115,129
1529018169,57,40
1529019140,54,68
1529020093,44,62
1529021078,49,65
1529022036,67,66
1529022977,40,71
1529023955,55,48
1529024902,58,52
1529025853,66,70
1529026834,46,61
1529027770,46,54
1529028737,62,61
1529029708,66,56
1529030664,45,64
1529031633,43,13
1529032593,47,38
1529033537,48,42
1529034494,42,113
1529035479,52,65
1529036417,30,3
1529037371,51,82
1529038356,49,127
1529039293,37,4
1529040261,56,53
1529041228,42,49
1529042174,58,60
1529043149,36,73
1529044112,63,60
1529045062,53,59
1529046035,51,60
1529046970,58,54
1529047960,64,64
1529048891,49,64
1529049862,46,55
1529050825,53,70
1529051778,45,57
1529052738,37,70
1529053716,57,56
1529054657,52,59
1529055617,55,61
1529056584,76,2
1529057543,49,41
1529058493,58,61
1529059475,50,111
1529060425,49,4
1529061375,51,48
1529062351,60,94
1529063304,51,71
1529064265,60,3
1529066241,82,137
1529067375,53,51
1529068338,60,34
1529069289,54,67
1529070268,26,2
1529071224,57,63
1529072173,35,3
1529073141,36,69
1529074101,25,2
1529075058,48,60
1529076018,34,45
1529076977,46,48
1529077938,48,55
1529078926,45,31
1529079869,59,31
1529080814,31,43
1529081782,67,43
1529082746,37,38
1529083943,68,63
1529084901,27,25
1529085861,38,46
1529086818,26,40
1529087778,50,53
1529088730,56,46
1529089703,34,60
1529090659,64,89
1529091771,53,32
1529092712,50,41
1529093851,54,41
1529094863,54,39
1529096003,36,35
1529097150,60,46
1529098102,38,51
1529099150,61,45
1529100269,42,46
1529101212,70,54
1529102174,60,1
1529103163,63,60
1529104114,69,51
1529105053,96,44
1529106011,82,50
1529106989,112,66
1529107940,90,41
1529108891,75,51
1529109869,76,37
1529110825,99,63
1529111769,78,50
1529112748,71,46
1529113695,68,35
1529114659,64,50
1529115626,52,54
1529116569,47,42
1529117533,49,44
1529118516,66,65
1529119458,69,36
1529120412,53,43
1529121383,50,38
1529122337,61,39
1529123291,42,39
1529124278,58,57
1529125216,53,60
1529126170,62,53
1529127246,63,48
1529128330,57,31
1529129305,53,52
1529130254,61,34
1529131213,55,66
1529132184,78,44
1529133139,45,58
1529134092,52,101
1529135083,41,8
1529136019,56,59
1529136972,51,56
1529137947,46,53
1529138892,45,76
1529139855,48,50
1529140824,35,106
1529141776,43,2
1529142730,33,54
1529143709,60,136
1529144657,46,5
1529145612,46,78
1529146583,54,50
1529147537,49,45
1529148492,40,51
1529149467,50,63
1529150427,49,26
1529151372,31,42
1529152352,56,40
1529153297,36,39
1529154261,43,44
1529155224,50,62
1529156170,37,10
1529157132,57,40
1529158108,42,73
1529159056,51,6
1529160011,42,43
1529160984,51,35
1529161936,47,63
1529162895,53,65
1529163870,39,5
1529164820,54,42
1529165773,37,65
1529166750,43,2
1529167690,45,39
1529168658,60,49
1529169624,62,75
1529170570,52,5
1529171534,42,32
1529172508,60,43
1529173455,56,41
1529174411,49,56
1529175385,60,32
1529176339,36,37
1529177289,43,46
1529178279,38,33
1529179223,50,37
1529180170,36,57
1529181151,55,37
1529182090,47,28
1529183056,50,52
1529184023,54,38
1529184970,53,42
1529185940,48,46
1529186921,36,27
1529187858,48,51
1529189069,50,36
1529190020,46,49
1529190975,37,4
1529191947,50,33
1529192896,31,44
1529193857,46,60
1529194832,50,59
1529196012,55,96
1529196985,70,67
1529197936,53,27
1529198892,53,46
1529200603,72,134
1529201538,75,69
1529202496,48,35
1529203465,39,36
1529204425,43,65
1529205370,68,43
1529206353,63,48
1529207292,48,27
1529208259,44,62
1529209226,35,35
1529210172,47,55
1529211134,36,32
1529212112,48,51
1529213051,43,30
1529214031,40,58
1529214981,54,89
1529215936,34,36
1529216886,30,58
1529217873,31,42
1529218826,36,51
1529219776,40,56
1529220754,45,40
1529221696,48,49
1529222659,51,75
1529223627,37,45
1529224571,52,50
1529225535,43,57
1529226529,34,44
1529227462,27,38
1529228414,49,49
1529229386,47,46
1529230335,47,51
1529231295,62,58
1529232272,31,51
1529233232,44,49
1529234172,34,42
1529235150,16,51
1529236093,44,47
1529237066,35,63
1529238034,27,47
1529238974,37,55
1529239930,69,45
1529240910,127,66
1529241857,101,56
1529242813,78,64
1529243784,63,55
1529244741,46,49
1529245698,51,58
1529246674,40,27
1529247626,45,59
1529248577,39,32
1529249555,46,50
1529250494,34,27
1529251456,39,53
1529252430,51,38
1529253370,31,47
1529254339,40,39
1529255306,39,28
1529256257,38,53
1529257215,32,53
1529258196,52,45
1529259147,26,57
1529260094,44,35
1529261069,30,45
1529262026,48,51
1529262976,31,46
1529263953,60,64
1529264893,28,38
1529265871,40,63
1529266825,30,51
1529267771,40,48
1529268735,29,53
1529269711,47,67
1529270659,33,5
1529271621,44,6
1529272584,57,45
1529273693,41,40
1529274731,41,54
1529275707,32,55
1529276902,36,74
1529277876,37,29
1529278815,30,32
1529279769,53,42
1529280751,36,37
1529281694,43,66
1529282657,33,44
1529283630,49,35
1529284572,26,59
1529285537,35,62
1529286514,27,45
1529287464,41,42
1529288411,39,53
1529289385,32,62
1529290336,24,62
1529291296,41,57
1529292267,62,66
1529293211,39,52
1529294169,46,53
1529295151,46,63
1529296088,41,43
1529297050,60,31
1529298028,60,48
1529298976,37,56
1529299934,43,69
1529300905,35,58
1529301858,38,42
1529302810,48,57
1529303786,38,45
1529304734,45,42
1529305696,37,50
1529306671,51,41
1529307611,60,54
1529308568,59,72
1529309552,34,86
1529310491,42,63
1529311453,44,2
1529312429,50,86
1529313373,38,2
1529314338,50,44
1529315313,16,115
1529316258,6,0
1529317216,51,82
