DateTime,AddedIPs,RemovedIPs
1528829790,425,434
1528830747,423,424
1528831694,409,403
1528832686,419,419
1528833630,428,432
1528834579,410,409
1528835552,439,442
1528836518,422,426
1528837477,404,401
1528838421,380,382
1528839374,400,392
1528840352,415,414
1528841295,402,406
1528842261,387,389
1528843234,410,407
1528844174,428,439
1528845134,436,443
1528846113,380,374
1528847063,433,433
1528848032,425,421
1528849036,394,414
1528849958,413,400
1528850895,380,388
1528851863,429,417
1528852831,434,437
1528853779,438,430
1528854731,428,431
1528855719,446,449
1528856657,412,409
1528857616,424,428
1528858585,389,393
1528859544,417,418
1528860495,444,440
1528861483,454,443
1528862429,417,432
1528863407,391,393
1528864355,381,372
1528865550,392,402
1528866510,415,408
1528867462,396,397
1528868411,415,405
1528869399,431,440
1528870335,441,443
1528871299,452,442
1528872272,471,481
1528873231,441,450
1528874174,445,432
1528875155,456,452
1528876094,450,449
1528877057,394,390
1528878022,407,405
1528878973,405,410
1528879930,376,385
1528880915,465,469
1528881857,455,442
1528882822,465,457
1528883784,481,491
1528884743,473,473
1528885689,429,429
1528886678,434,430
1528887624,436,441
1528888585,414,412
1528889552,395,398
1528890495,403,394
1528891454,383,389
1528892440,400,401
1528893371,390,386
1528894335,447,452
1528895314,486,477
1528896261,426,424
1528897212,411,417
1528898188,387,391
1528899138,376,383
1528900095,383,385
1528901067,402,384
1528902043,414,410
1528902972,377,386
1528903943,456,452
1528904908,448,452
1528905859,403,411
1528906811,363,363
1528907791,375,360
1528908740,396,398
1528909700,394,392
1528910674,437,442
1528911623,425,426
1528912570,401,393
1528913552,413,413
1528914492,447,445
1528915475,435,443
1528916413,397,399
1528917375,401,398
1528919334,473,470
1528920253,430,429
1528921236,386,394
1528922187,425,413
1528923147,384,397
1528924091,374,366
1528925062,446,444
1528926014,440,441
1528926995,387,394
1528927932,389,388
1528928897,460,463
1528929880,479,484
1528932059,447,442
1528932970,429,426
1528933939,465,477
1528934911,474,463
1528935864,425,432
1528936811,457,455
1528937788,438,446
1528938740,472,483
1528939701,444,428
1528940675,489,496
1528941650,464,446
1528942570,381,385
1528943557,464,469
1528944492,469,469
1528945480,483,481
1528946410,481,479
1528947379,392,402
1528948351,385,377
1528949302,412,414
1528950255,448,451
1528951274,444,430
1528952418,430,438
1528953382,397,408
1528954331,431,427
1528955291,433,432
1528956270,408,399
1528957209,390,390
1528958170,458,474
1528959148,462,450
1528960097,417,415
1528961056,384,389
1528962025,464,471
1528962969,471,481
1528963934,488,463
1528964911,455,461
1528965858,473,471
1528966821,435,443
1528967772,418,409
1528968748,430,428
1528969696,407,402
1528970667,411,413
1528971610,397,399
1528972588,412,411
1528973532,416,419
1528974494,423,428
1528975472,471,463
1528976412,481,478
1528977372,398,401
1528978343,411,418
1528979289,420,410
1528980268,417,420
1528981221,434,443
1528982173,445,444
1528983155,468,465
1528984093,470,469
1528985059,386,381
1528986024,380,378
1528986970,393,392
1528987928,396,394
1528988905,387,385
1528990092,398,416
1528991072,428,421
1528992023,409,403
1528992969,423,420
1528993951,391,401
1528994893,399,396
1528995866,429,422
1528996825,394,399
1528997771,407,401
1528998734,398,404
1528999711,414,407
1529000652,395,407
1529001612,379,370
1529002584,393,407
1529003536,360,351
1529004495,362,374
1529005476,343,340
1529006422,407,405
1529007416,399,390
1529008346,405,406
1529009290,414,414
1529010264,404,400
1529011232,375,386
1529012193,384,379
1529013137,384,377
1529014105,387,387
1529015066,446,456
1529017265,532,530
1529018169,448,441
1529019140,406,414
1529020093,397,392
1529021078,425,418
1529022036,423,429
1529022977,412,412
1529023955,388,403
1529024902,388,377
1529025853,356,358
1529026834,366,359
1529027770,450,461
1529028737,471,467
1529029708,389,387
1529030664,384,378
1529031633,396,399
1529032593,361,363
1529033537,383,379
1529034494,371,375
1529035479,402,399
1529036417,375,375
1529037371,381,383
1529038356,398,399
1529039293,413,404
1529040261,444,463
1529041228,450,440
1529042174,393,400
1529043149,367,362
1529044112,409,405
1529045062,396,399
1529046035,445,454
1529046970,453,435
1529047960,415,429
1529048891,419,411
1529049862,417,422
1529050825,411,415
1529051778,453,445
1529052738,399,409
1529053716,397,401
1529054657,404,394
1529055617,394,398
1529056584,465,463
1529057543,461,461
1529058493,437,433
1529059475,410,424
1529060425,453,438
1529061375,460,460
1529062351,398,403
1529063304,409,410
1529064265,427,429
1529066241,415,409
1529067375,394,401
1529068338,416,419
1529069289,426,416
1529070268,439,439
1529071224,415,419
1529072173,384,379
1529073141,409,411
1529074101,376,377
1529075058,401,389
1529076018,382,386
1529076977,392,391
1529077938,437,447
1529078926,450,441
1529079869,396,402
1529080814,402,397
1529081782,413,422
1529082746,382,383
1529083943,419,413
1529084901,416,417
1529085861,411,407
1529086818,394,396
1529087778,403,392
1529088730,433,447
1529089703,423,420
1529090659,395,392
1529091771,414,415
1529092712,408,408
1529093851,405,413
1529094863,415,404
1529096003,415,416
1529097150,423,429
1529098102,378,380
1529099150,414,409
1529100269,402,399
1529101212,410,414
1529102174,412,409
1529103163,440,440
1529104114,454,467
1529105053,450,453
1529106011,456,441
1529106989,490,496
1529107940,481,487
1529108891,418,419
1529109869,440,436
1529110825,433,434
1529111769,404,404
1529112748,409,406
1529113695,407,408
1529114659,401,404
1529115626,382,374
1529116569,385,383
1529117533,368,373
1529118516,398,394
1529119458,445,462
1529120412,442,434
1529121383,397,394
1529122337,425,421
1529123291,389,399
1529124278,400,394
1529125216,386,390
1529126170,402,404
1529127246,398,392
1529128330,378,382
1529129305,399,387
1529130254,435,448
1529131213,443,435
1529132184,470,473
1529133139,465,470
1529134092,402,395
1529135083,437,438
1529136019,469,469
1529136972,403,412
1529137947,414,400
1529138892,389,403
1529139855,389,383
1529140824,380,382
1529141776,383,380
1529142730,366,369
1529143709,380,379
1529144657,442,444
1529145612,468,459
1529146583,450,456
1529147537,454,457
1529148492,391,381
1529149467,376,386
1529150427,376,371
1529151372,377,379
1529152352,380,377
1529153297,360,365
1529154261,379,379
1529155224,386,386
1529156170,371,368
1529157132,452,441
1529158108,426,434
1529159056,382,380
1529160011,393,391
1529160984,457,458
1529161936,448,451
1529162895,373,374
1529163870,403,408
1529164820,433,430
1529165773,421,419
1529166750,378,381
1529167690,365,364
1529168658,389,383
1529169624,388,388
1529170570,384,386
1529171534,351,352
1529172508,380,384
1529173455,453,445
1529174411,448,446
1529175385,424,429
1529176339,419,418
1529177289,377,375
1529178279,403,413
1529179223,424,414
1529180170,375,375
1529181151,394,389
1529182090,382,397
1529183056,366,355
1529184023,354,355
1529184970,387,380
1529185940,382,396
1529186921,396,379
1529187858,371,381
1529189069,403,394
1529190020,404,405
1529190975,373,387
1529191947,375,368
1529192896,353,355
1529193857,372,363
1529194832,400,406
1529196012,404,409
1529196985,466,466
1529197936,440,458
1529198892,440,426
1529200603,457,459
1529201538,407,411
1529202496,414,423
1529203465,428,417
1529204425,443,445
1529205370,479,467
1529206353,467,473
1529207292,452,455
1529208259,405,407
1529209226,406,395
1529210172,384,384
1529211134,384,385
1529212112,407,404
1529213051,411,423
1529214031,428,421
1529214981,456,463
1529215936,451,450
1529216886,354,344
1529217873,396,403
1529218826,396,393
1529219776,394,396
1529220754,419,418
1529221696,423,429
1529222659,411,394
1529223627,403,417
1529224571,422,419
1529225535,364,354
1529226529,355,357
1529227462,372,378
1529228414,403,405
1529229386,408,403
1529230335,399,401
1529231295,392,393
1529232272,466,449
1529233232,359,359
1529234172,355,355
1529235150,346,346
1529236093,327,327
1529237066,352,353
1529238034,364,364
1529238974,449,459
1529239930,449,449
1529240910,517,524
1529241857,492,489
1529242813,468,472
1529243784,473,475
1529244741,384,383
1529245698,376,368
1529246674,390,392
1529247626,380,387
1529248577,390,378
1529249555,396,398
1529250494,362,368
1529251456,385,374
1529252430,376,382
1529253370,374,366
1529254339,366,372
1529255306,380,377
1529256257,424,423
1529257215,436,439
1529258196,427,429
1529259147,416,415
1529260094,357,361
1529261069,364,359
1529262026,374,381
1529262976,380,374
1529263953,399,398
1529264893,404,400
1529265871,398,397
1529266825,372,376
1529267771,373,371
1529268735,337,345
1529269711,359,354
1529270659,375,375
1529271621,431,428
1529272584,412,414
1529273693,391,397
1529274731,402,401
1529275707,376,377
1529276902,329,319
1529277876,403,412
1529278815,398,392
1529279769,442,448
1529280751,446,449
1529281694,334,330
1529282657,339,341
1529283630,406,404
1529284572,394,392
1529285537,345,342
1529286514,335,338
1529287464,396,391
1529288411,396,402
1529289385,385,380
1529290336,338,348
1529291296,368,359
1529292267,453,461
1529293211,462,457
1529294169,386,384
1529295151,383,401
1529296088,432,421
1529297050,459,454
1529298028,409,415
1529298976,424,422
1529299934,381,390
1529300905,384,380
1529301858,372,373
1529302810,343,338
1529303786,370,368
1529304734,367,366
1529305696,364,356
1529306671,431,445
1529307611,465,461
1529308568,449,447
1529309552,385,391
1529310491,459,453
1529311453,470,478
1529312429,448,453
1529313373,458,449
1529314338,455,448
1529315313,135,141
1529316258,163,162
1529317216,435,426
