DateTime,Entries,UniqueIPs
1528828815,13008,13045
1528829789,13008,13044
1528830746,13016,13052
1528831687,12999,13035
1528832676,12998,13034
1528833629,12994,13030
1528834578,12997,13033
1528835551,12997,13033
1528836515,12988,13024
1528837475,12992,13028
1528838420,12978,13014
1528839373,12970,13007
1528840351,12979,13016
1528841294,12987,13024
1528842260,12985,13022
1528843232,12972,13009
1528844173,12982,13019
1528845132,12989,13026
1528846112,12984,13021
1528847058,13006,13043
1528848030,13003,13040
1528849029,13000,13037
1528849957,13007,13044
1528850894,13018,13055
1528851862,13004,13040
1528852830,13001,13036
1528853777,12987,13022
1528854730,12998,13034
1528855717,13001,13038
1528856650,12984,13021
1528857615,12984,13021
1528858583,12971,13007
1528859543,12994,13030
1528860491,12981,13017
1528861474,12982,13018
1528862427,12974,13010
1528863406,12971,13007
1528864354,12979,13015
1528865544,12971,13007
1528866509,12971,13007
1528867460,12958,12994
1528868410,12970,13006
1528869398,12958,12994
1528870333,12957,12993
1528871298,12942,12978
1528872267,12956,12992
1528873230,12971,13008
1528874173,12942,12979
1528875154,12941,12978
1528876093,12938,12975
1528877056,12918,12955
1528878021,12917,12954
1528878971,12902,12939
1528879928,12902,12939
1528880914,12895,12932
1528881852,12897,12935
1528882821,12878,12915
1528883783,12869,12906
1528884742,12869,12906
1528885688,12847,12884
1528886670,12845,12882
1528887617,12837,12874
1528888584,12843,12880
1528889550,12830,12867
1528890494,12824,12861
1528891453,12801,12838
1528892439,12799,12836
1528893369,12802,12839
1528894334,12772,12807
1528895313,12775,12811
1528896256,12769,12804
1528897210,12773,12808
1528898187,12759,12794
1528899136,12769,12804
1528900093,12769,12804
1528901066,12765,12801
1528902042,12759,12796
1528902971,12745,12782
1528903941,12746,12783
1528904905,12726,12763
1528905858,12723,12760
1528906809,12714,12751
1528907790,12716,12752
1528908734,12721,12757
1528909699,12717,12753
1528910669,12719,12755
1528911621,12705,12741
1528912569,12709,12745
1528913551,12676,12712
1528914490,12690,12726
1528915468,12639,12675
1528916412,12657,12693
1528917373,12681,12717
1528919332,12669,12705
1528920252,12692,12728
1528921235,12705,12741
1528922186,12724,12760
1528923146,12740,12776
1528924089,12668,12704
1528925057,12690,12726
1528926012,12711,12747
1528926994,12742,12778
1528927930,12690,12726
1528928894,12699,12735
1528929869,12728,12764
1528932057,12672,12708
1528932969,12715,12752
1528933938,12753,12790
1528934909,12751,12788
1528935858,12653,12690
1528936810,12701,12738
1528937787,12730,12767
1528938739,12687,12726
1528939698,12695,12734
1528940665,12705,12744
1528941649,12669,12708
1528942568,12659,12698
1528943555,12656,12695
1528944490,12645,12684
1528945479,12644,12683
1528946408,12656,12695
1528947378,12667,12706
1528948345,12651,12690
1528949301,12651,12690
1528950254,12652,12690
1528951273,12653,12691
1528952409,12676,12714
1528953381,12669,12707
1528954329,12675,12713
1528955290,12677,12715
1528956268,12662,12700
1528957208,12650,12688
1528958169,12688,12728
1528959147,12689,12729
1528960096,12693,12734
1528961053,12678,12719
1528962024,12665,12706
1528962967,12706,12747
1528963932,12689,12730
1528964910,12683,12724
1528965851,12692,12733
1528966820,12688,12729
1528967771,12680,12721
1528968747,12692,12733
1528969695,12696,12737
1528970662,12698,12739
1528971609,12700,12741
1528972586,12692,12733
1528973531,12702,12743
1528974493,12703,12744
1528975466,12702,12743
1528976411,12702,12743
1528977370,12712,12753
1528978341,12728,12768
1528979288,12728,12767
1528980266,12739,12778
1528981220,12737,12776
1528982172,12734,12773
1528983154,12737,12776
1528984092,12746,12785
1528985058,12747,12786
1528986023,12746,12785
1528986966,12748,12787
1528987927,12732,12771
1528988904,12743,12782
1528990091,12750,12789
1528991065,12746,12785
1528992022,12755,12794
1528992968,12740,12779
1528993949,12742,12781
1528994892,12738,12777
1528995858,12730,12768
1528996824,12724,12762
1528997769,12721,12759
1528998731,12715,12753
1528999710,12714,12752
1529000651,12726,12764
1529001611,12717,12755
1529002583,12740,12778
1529003535,12727,12765
1529004489,12728,12766
1529005466,12740,12778
1529006414,12759,12797
1529007412,12750,12788
1529008344,12754,12792
1529009288,12741,12779
1529010263,12734,12772
1529011231,12733,12772
1529012191,12741,12780
1529013136,12735,12774
1529014104,12745,12784
1529015065,12744,12782
1529017264,12780,12819
1529018168,12784,12823
1529019138,12801,12840
1529020091,12799,12838
1529021077,12792,12831
1529022034,12795,12834
1529022974,12778,12816
1529023945,12793,12831
1529024901,12789,12827
1529025852,12809,12848
1529026833,12813,12851
1529027769,12791,12829
1529028736,12814,12852
1529029703,12825,12862
1529030658,12832,12869
1529031620,12827,12864
1529032592,12844,12881
1529033536,12857,12894
1529034493,12813,12849
1529035478,12810,12846
1529036416,12829,12865
1529037369,12846,12882
1529038349,12847,12883
1529039292,12866,12902
1529040256,12867,12903
1529041226,12871,12907
1529042172,12860,12897
1529043148,12873,12910
1529044111,12885,12922
1529045053,12896,12933
1529046033,12884,12921
1529046969,12890,12927
1529047959,12912,12950
1529048890,12910,12948
1529049861,12900,12938
1529050824,12901,12939
1529051777,12906,12945
1529052732,12903,12942
1529053714,12909,12948
1529054656,12920,12959
1529055616,12935,12974
1529056583,12964,13003
1529057542,12976,13015
1529058488,12971,13011
1529059473,12958,12998
1529060424,12977,13017
1529061374,12984,13024
1529062350,12992,13032
1529063303,12996,13036
1529064263,13014,13054
1529066240,13023,13063
1529067374,13031,13071
1529068337,13039,13079
1529069288,13035,13075
1529070267,13049,13089
1529071223,13049,13089
1529072172,13057,13097
1529073140,13047,13086
1529074100,13056,13095
1529075057,13062,13101
1529076017,13052,13090
1529076976,13054,13092
1529077929,13045,13083
1529078925,13056,13094
1529079862,13068,13106
1529080813,13066,13104
1529081780,13074,13112
1529082745,13074,13112
1529083942,13085,13123
1529084899,13083,13121
1529085859,13079,13117
1529086817,13076,13114
1529087777,13080,13118
1529088729,13073,13111
1529089702,13064,13102
1529090657,13048,13086
1529091769,13062,13100
