DateTime,AddedIPs,RemovedIPs
1528823065,22,22
1528824026,16,16
1528824973,27,27
1528825946,14,14
1528826919,36,36
1528827852,20,20
1528828815,13,13
1528829789,27,27
1528830746,19,19
1528831687,18,18
1528832676,10,10
1528833629,27,27
1528834578,25,25
1528835551,22,22
1528836515,12,12
1528837475,24,24
1528838420,13,13
1528839373,11,11
1528840351,9,9
1528841294,27,27
1528842260,24,24
1528843232,32,32
1528844173,10,10
1528845132,27,27
1528846112,19,19
1528847058,41,41
1528848030,36,36
1528849029,35,35
1528849957,42,42
1528850894,29,29
1528851862,43,43
1528852830,41,41
1528853777,34,34
1528854730,33,33
1528855717,44,44
1528856650,19,19
1528857615,30,30
1528858583,19,19
1528859543,47,47
1528860491,15,15
1528861474,15,15
1528862427,31,31
1528863406,26,26
1528864354,19,19
1528865544,14,14
1528866509,23,23
1528867460,9,9
1528868410,21,21
1528869398,10,10
1528870333,24,24
1528871298,10,10
1528872267,36,36
1528873230,45,45
1528874173,12,12
1528875154,14,14
1528876093,18,18
1528877056,24,24
1528878021,12,12
1528878971,18,18
1528879928,19,19
1528880914,25,25
1528881852,15,15
1528882821,20,20
1528883783,26,26
1528884742,17,17
1528885688,14,14
1528886670,19,19
1528887617,17,17
1528888584,18,18
1528889550,15,15
1528890494,9,9
1528891453,15,15
1528892439,11,11
1528893369,22,22
1528894334,11,11
1528895313,38,38
1528896256,20,20
1528897210,13,13
1528898187,18,18
1528899136,29,29
1528900093,27,27
1528901066,10,10
1528902042,17,17
1528902971,6,6
1528903941,20,20
1528904905,7,7
1528905858,18,18
1528906809,13,13
1528907790,21,21
1528908734,11,11
1528909699,13,13
1528910669,13,13
1528911621,12,12
1528912569,17,17
1528913551,11,11
1528914490,14,14
1528915468,19,19
1528916412,18,18
1528917373,24,24
1528919332,70,70
1528920252,23,23
1528921235,13,13
1528922186,19,19
1528923146,16,16
1528924089,19,19
1528925057,22,22
1528926012,21,21
1528926994,31,31
1528927930,14,14
1528928894,9,9
1528929869,29,29
1528932057,54,54
1528932969,44,44
1528933938,38,38
1528934909,42,42
1528935858,24,24
1528936810,48,48
1528937787,29,29
1528938739,47,47
1528939698,8,8
1528940665,60,60
1528941649,20,20
1528942568,23,23
1528943555,11,11
1528944490,16,16
1528945479,30,30
1528946408,22,22
1528947378,34,34
1528948345,15,15
1528949301,30,30
1528950254,23,23
1528951273,16,16
1528952409,41,41
1528953381,14,14
1528954329,29,29
1528955290,21,21
1528956268,18,18
1528957208,16,16
1528958169,40,40
1528959147,17,17
1528960096,28,28
1528961053,14,14
1528962024,13,13
1528962967,41,41
1528963932,22,22
1528964910,15,15
1528965851,35,35
1528966820,29,29
1528967771,4,4
1528968747,31,31
1528969695,18,18
1528970662,30,30
1528971609,14,14
1528972586,17,17
1528973531,16,16
1528974493,27,27
1528975466,15,15
1528976411,25,25
1528977370,20,20
1528978341,32,32
1528979288,11,11
1528980266,16,16
1528981220,21,21
1528982172,21,21
1528983154,20,20
1528984092,17,17
1528985058,24,24
1528986023,15,15
1528986966,14,14
1528987927,5,5
1528988904,20,20
1528990091,16,16
1528991065,12,12
1528992022,21,21
1528992968,21,21
1528993949,24,24
1528994892,12,12
1528995858,21,21
1528996824,17,17
1528997769,19,19
1528998731,8,8
1528999710,19,19
1529000651,22,22
1529001611,9,9
1529002583,43,43
1529003535,12,12
1529004489,16,16
1529005466,23,23
1529006414,30,30
1529007412,14,14
1529008344,19,19
1529009288,15,15
1529010263,20,20
1529011231,20,20
1529012191,30,30
1529013136,12,12
1529014104,40,40
1529015065,19,19
1529017264,78,78
1529018168,22,22
1529019138,35,35
1529020091,22,22
1529021077,29,29
1529022034,36,36
1529022974,21,21
1529023945,29,29
1529024901,38,38
1529025852,37,37
1529026833,30,30
1529027769,8,8
1529028736,41,41
1529029703,34,34
1529030658,23,23
1529031620,16,16
1529032592,17,17
1529033536,30,30
1529034493,12,12
1529035478,26,26
1529036416,19,19
1529037369,30,30
1529038349,18,18
1529039292,19,19
1529040256,18,18
1529041226,23,23
1529042172,25,25
1529043148,13,13
1529044111,26,26
1529045053,22,22
1529046033,21,21
1529046969,24,24
1529047959,28,28
1529048890,10,10
1529049861,23,23
1529050824,21,21
1529051777,21,21
1529052732,15,15
1529053714,28,28
1529054656,24,24
1529055616,28,28
1529056583,29,29
1529057542,24,24
1529058488,15,15
1529059473,19,19
1529060424,19,19
1529061374,19,19
1529062350,24,24
1529063303,15,15
1529064263,18,18
1529066240,38,38
1529067374,23,23
1529068337,21,21
1529069288,19,19
1529070267,14,14
1529071223,20,20
1529072172,8,8
1529073140,15,15
1529074100,9,9
1529075057,17,17
1529076017,12,12
1529076976,22,22
1529077929,7,7
1529078925,22,22
1529079862,24,24
1529080813,11,11
1529081780,22,22
1529082745,12,12
1529083942,30,30
1529084899,4,4
1529085859,14,14
1529086817,10,10
1529087777,18,18
1529088729,15,15
1529089702,13,13
1529090657,18,18
1529091769,26,26
1529092711,17,17
1529093850,21,21
1529094862,22,22
1529096002,6,6
1529097149,28,28
1529098100,7,7
1529099149,29,29
1529100268,23,23
1529101209,15,15
1529102169,29,29
1529103162,16,16
1529104113,40,40
1529105051,52,52
1529106010,54,54
1529106987,44,44
1529107939,42,42
1529108890,27,27
1529109868,38,38
1529110824,44,44
1529111768,32,32
1529112747,40,40
1529113691,31,31
1529114658,37,37
1529115625,18,18
1529116568,34,34
1529117529,11,11
1529118515,28,28
1529119453,30,30
1529120411,19,19
1529121382,19,19
1529122336,36,36
1529123289,22,22
1529124273,30,30
1529125215,12,12
1529126168,38,38
1529127239,28,28
1529128327,20,20
1529129304,24,24
1529130253,17,17
1529131212,25,25
1529132183,19,19
1529133136,24,24
1529134088,15,15
1529135066,9,9
1529136018,27,27
1529136971,21,21
1529137946,24,24
1529138891,15,15
1529139854,13,13
1529140823,12,12
1529141773,23,23
1529142729,8,8
1529143708,30,30
1529144655,12,12
1529145611,24,24
1529146582,16,16
1529147536,13,13
1529148491,3,3
1529149465,15,15
1529150426,20,20
1529151371,11,11
1529152351,15,15
1529153292,7,7
1529154260,18,18
1529155223,15,15
1529156168,13,13
