DateTime,AddedIPs,RemovedIPs
1528829790,14,28
1528830747,41,41
1528831694,25,41
1528832686,39,42
1528833630,37,30
1528834579,60,47
1528835552,43,62
1528836518,34,45
1528837477,24,42
1528838421,28,50
1528839374,34,44
1528840352,30,0
1528841295,20,30
1528842261,28,44
1528843234,43,77
1528844174,58,0
1528845134,37,27
1528846113,44,36
1528847063,32,40
1528848032,31,41
1528849036,58,61
1528849958,40,54
1528850895,34,54
1528851863,55,60
1528852831,45,41
1528853779,38,40
1528854731,57,45
1528855719,28,48
1528856657,62,59
1528857616,52,66
1528858585,55,65
1528859544,50,52
1528860495,55,54
1528861483,31,41
1528862429,46,56
1528863407,35,45
1528864355,39,64
1528865550,41,49
1528866510,31,53
1528867462,44,63
1528868411,25,30
1528869399,47,52
1528870335,44,33
1528871299,39,58
1528872272,45,46
1528873231,56,41
1528874174,45,61
1528875155,50,59
1528876094,28,72
1528877057,24,65
1528878022,39,67
1528878973,47,79
1528879930,34,77
1528880915,56,85
1528881857,55,57
1528882822,36,70
1528883784,44,65
1528884743,32,72
1528885689,53,50
1528886678,36,63
1528887624,42,50
1528888585,35,49
1528889552,37,57
1528890495,41,28
1528891454,29,57
1528892440,43,33
1528893371,33,46
1528894335,59,66
1528895314,28,54
1528896261,34,53
1528897212,22,70
1528898188,41,48
1528899138,49,58
1528900095,34,54
1528901067,20,62
1528902043,23,29
1528902972,24,41
1528903943,47,34
1528904908,33,49
1528905859,28,60
1528906811,27,68
1528907791,13,57
1528908740,18,67
1528909700,21,73
1528910674,40,56
1528911623,29,41
1528912570,27,47
1528913552,26,51
1528914492,48,0
1528915475,35,54
1528916413,43,0
1528917375,26,0
1528919334,31,64
1528920253,38,0
1528921236,34,0
1528922187,20,0
1528923147,30,0
1528924091,22,54
1528925062,36,0
1528926014,20,0
1528926995,32,0
1528927932,38,47
1528928897,61,0
1528929880,36,0
1528932059,22,55
1528932970,34,0
1528933939,60,0
1528934911,27,0
1528935864,66,39
1528936811,33,0
1528937788,57,0
1528938740,53,70
1528939701,44,0
1528940675,64,63
1528941650,41,57
1528942570,39,65
1528943557,60,42
1528944492,30,61
1528945480,62,57
1528946410,32,51
1528947379,39,53
1528948351,36,45
1528949302,34,51
1528950255,55,44
1528951274,28,70
1528952418,26,51
1528953382,48,41
1528954331,43,57
1528955291,53,0
1528956270,31,58
1528957209,30,62
1528958170,63,49
1528959148,41,62
1528960097,41,68
1528961056,46,67
1528962025,81,87
1528962969,73,67
1528963934,40,71
1528964911,59,47
1528965858,40,77
1528966821,52,70
1528967772,35,39
1528968748,32,45
1528969696,38,37
1528970667,38,71
1528971610,36,65
1528972588,24,44
1528973532,42,71
1528974494,34,60
1528975472,50,59
1528976412,30,41
1528977372,29,42
1528978343,35,62
1528979289,35,46
1528980268,32,37
1528981221,51,47
1528982173,44,42
1528983155,62,73
1528984093,42,41
1528985059,19,53
1528986024,22,45
1528986970,16,47
1528987928,29,43
1528988905,20,0
1528990092,40,92
1528991072,30,68
1528992023,33,55
1528992969,37,51
1528993951,40,36
1528994893,30,65
1528995866,41,54
1528996825,43,50
1528997771,27,40
1528998734,26,28
1528999711,22,32
1529000652,46,31
1529001612,37,57
1529002584,45,33
1529003536,29,60
1529004495,38,46
1529005476,32,52
1529006422,46,51
1529007416,30,33
1529008346,36,50
1529009290,31,38
1529010264,24,49
1529011232,44,59
1529012193,40,51
1529013137,21,49
1529014105,30,83
1529015066,52,65
1529017265,47,117
1529018169,42,36
1529019140,31,56
1529020093,32,56
1529021078,21,41
1529022036,41,51
1529022977,22,48
1529023955,52,42
1529024902,33,32
1529025853,48,66
1529026834,23,48
1529027770,56,40
1529028737,34,52
1529029708,40,48
1529030664,38,54
1529031633,34,0
1529032593,37,50
1529033537,22,37
1529034494,38,95
1529035479,31,54
1529036417,29,0
1529037371,25,83
1529038356,50,121
1529039293,25,0
1529040261,53,48
1529041228,32,42
1529042174,54,47
1529043149,29,85
1529044112,51,55
1529045062,47,56
1529046035,45,50
1529046970,39,58
1529047960,49,69
1529048891,39,73
1529049862,31,43
1529050825,52,73
1529051778,36,59
1529052738,35,67
1529053716,43,50
1529054657,36,61
1529055617,34,61
1529056584,69,0
1529057543,33,38
1529058493,53,59
1529059475,50,101
1529060425,50,0
1529061375,46,40
1529062351,31,114
1529063304,53,65
1529064265,61,0
1529066241,46,141
1529067375,46,48
1529068338,52,30
1529069289,42,58
1529070268,22,0
1529071224,42,66
1529072173,41,0
1529073141,23,63
1529074101,26,0
1529075058,29,62
1529076018,28,35
1529076977,33,35
1529077938,56,49
1529078926,23,33
1529079869,43,25
1529080814,27,34
1529081782,63,34
1529082746,33,36
1529083943,40,60
1529084901,36,25
1529085861,25,43
1529086818,24,36
1529087778,31,48
1529088730,54,41
1529089703,21,49
1529090659,43,89
1529091771,32,35
1529092712,41,32
1529093851,39,41
1529094863,34,43
1529096003,35,31
1529097150,38,48
1529098102,45,38
1529099150,37,47
1529100269,26,41
1529101212,61,44
1529102174,40,0
1529103163,49,55
1529104114,52,37
1529105053,60,38
1529106011,33,42
1529106989,87,42
1529107940,69,29
1529108891,64,40
1529109869,58,22
1529110825,80,38
1529111769,63,48
1529112748,54,38
1529113695,55,35
1529114659,57,31
1529115626,45,53
1529116569,23,35
1529117533,62,29
1529118516,52,45
1529119458,70,28
1529120412,45,29
1529121383,48,34
1529122337,48,32
1529123291,41,36
1529124278,50,54
1529125216,56,56
1529126170,43,39
1529127246,50,39
1529128330,60,32
1529129305,39,44
1529130254,65,28
1529131213,47,50
1529132184,81,42
1529133139,37,52
1529134092,47,98
1529135083,54,0
1529136019,41,63
1529136972,50,60
1529137947,35,52
1529138892,44,73
1529139855,49,44
1529140824,26,73
1529141776,29,0
1529142730,36,53
1529143709,31,106
1529144657,61,0
1529145612,32,50
1529146583,60,36
1529147537,49,33
1529148492,44,42
1529149467,46,46
1529150427,39,32
1529151372,26,42
1529152352,44,43
1529153297,33,42
1529154261,32,38
1529155224,41,64
1529156170,40,0
1529157132,51,32
1529158108,35,67
1529159056,46,0
1529160011,39,29
1529160984,49,30
1529161936,41,47
1529162895,38,64
1529163870,43,0
1529164820,51,32
1529165773,38,60
1529166750,40,0
1529167690,46,36
1529168658,45,39
1529169624,50,67
1529170570,40,0
1529171534,39,32
1529172508,49,36
1529173455,60,35
1529174411,37,57
1529175385,44,31
1529176339,35,32
1529177289,43,38
1529178279,31,30
1529179223,34,37
1529180170,36,55
1529181151,36,37
1529182090,44,36
1529183056,36,50
1529184023,49,38
1529184970,29,48
1529185940,44,50
1529186921,24,35
1529187858,32,57
1529189069,32,24
1529190020,28,25
1529190975,43,0
1529191947,34,24
1529192896,33,31
1529193857,25,46
1529194832,41,24
1529196012,36,47
1529196985,36,42
1529197936,55,34
1529198892,70,29
1529200603,49,108
1529201538,49,44
1529202496,50,38
1529203465,41,30
1529204425,62,55
1529205370,42,34
1529206353,57,29
1529207292,45,28
1529208259,39,39
1529209226,42,28
1529210172,34,43
1529211134,37,26
1529212112,25,47
1529213051,46,30
1529214031,46,39
1529214981,60,69
1529215936,26,36
1529216886,20,50
1529217873,33,43
1529218826,26,39
1529219776,25,56
1529220754,42,33
1529221696,48,47
1529222659,36,64
1529223627,34,42
1529224571,36,44
1529225535,32,40
1529226529,26,38
1529227462,34,27
1529228414,37,45
1529229386,45,37
1529230335,46,52
1529231295,53,49
1529232272,35,41
1529233232,54,37
1529234172,39,33
1529235150,18,41
1529236093,52,39
1529237066,42,45
1529238034,31,39
1529238974,41,49
1529239930,33,32
1529240910,74,57
1529241857,92,47
1529242813,77,59
1529243784,53,48
1529244741,43,39
1529245698,42,53
1529246674,37,25
1529247626,45,49
1529248577,34,32
1529249555,37,45
1529250494,34,28
1529251456,16,51
1529252430,51,29
1529253370,21,45
1529254339,34,28
1529255306,26,27
1529256257,44,29
1529257215,27,48
1529258196,46,32
1529259147,21,56
1529260094,36,33
1529261069,27,36
1529262026,39,41
1529262976,30,32
1529263953,50,51
1529264893,23,33
1529265871,25,64
1529266825,26,47
1529267771,28,46
1529268735,36,27
1529269711,36,46
1529270659,35,0
1529271621,29,0
1529272584,41,30
1529273693,37,33
1529274731,31,30
1529275707,34,28
1529276902,21,66
1529277876,32,24
1529278815,15,31
1529279769,59,28
1529280751,28,25
1529281694,33,61
1529282657,35,26
1529283630,36,26
1529284572,37,45
1529285537,18,54
1529286514,23,33
1529287464,23,34
1529288411,34,35
1529289385,23,36
1529290336,27,39
1529291296,30,41
1529292267,73,42
1529293211,30,44
1529294169,41,29
1529295151,46,36
1529296088,53,38
1529297050,43,27
1529298028,56,35
1529298976,29,44
1529299934,38,58
1529300905,35,37
1529301858,33,26
1529302810,40,48
1529303786,24,36
1529304734,37,38
1529305696,17,37
1529306671,46,46
1529307611,49,61
1529308568,43,64
1529309552,26,74
1529310491,40,48
1529311453,37,0
1529312429,59,81
1529313373,32,0
1529314338,50,36
1529315313,8,117
1529316258,7,0
1529317216,54,69
