DateTime,AddedIPs,RemovedIPs
1528829790,411,411
1528830747,418,418
1528831694,397,397
1528832686,419,419
1528833630,418,418
1528834579,404,404
1528835552,433,433
1528836518,428,428
1528837477,391,391
1528838421,378,378
1528839374,396,396
1528840352,414,414
1528841295,388,388
1528842261,376,376
1528843234,391,391
1528844174,440,440
1528845134,435,435
1528846113,384,384
1528847063,412,412
1528848032,409,409
1528849036,396,396
1528849958,393,393
1528850895,381,381
1528851863,407,407
1528852831,420,420
1528853779,421,421
1528854731,419,419
1528855719,424,424
1528856657,415,415
1528857616,418,418
1528858585,399,399
1528859544,397,397
1528860495,453,453
1528861483,454,454
1528862429,419,419
1528863407,395,395
1528864355,378,378
1528865550,409,409
1528866510,419,419
1528867462,410,410
1528868411,406,406
1528869399,446,446
1528870335,441,441
1528871299,460,460
1528872272,462,462
1528873231,435,435
1528874174,456,456
1528875155,461,461
1528876094,452,452
1528877057,383,383
1528878022,407,407
1528878973,406,406
1528879930,381,381
1528880915,470,470
1528881857,459,459
1528882822,457,457
1528883784,474,474
1528884743,476,476
1528885689,432,432
1528886678,433,433
1528887624,437,437
1528888585,414,414
1528889552,400,400
1528890495,404,404
1528891454,389,389
1528892440,405,405
1528893371,382,382
1528894335,456,456
1528895314,467,467
1528896261,418,418
1528897212,410,410
1528898188,388,388
1528899138,374,374
1528900095,383,383
1528901067,400,400
1528902043,402,402
1528902972,387,387
1528903943,446,446
1528904908,457,457
1528905859,404,404
1528906811,368,368
1528907791,361,361
1528908740,395,395
1528909700,387,387
1528910674,438,438
1528911623,429,429
1528912570,389,389
1528913552,410,410
1528914492,438,438
1528915475,430,430
1528916413,394,394
1528917375,390,390
1528919334,418,418
1528920253,417,417
1528921236,389,389
1528922187,408,408
1528923147,382,382
1528924091,361,361
1528925062,430,430
1528926014,427,427
1528926995,371,371
1528927932,388,388
1528928897,467,467
1528929880,473,473
1528932059,410,410
1528932970,398,398
1528933939,449,449
1528934911,447,447
1528935864,424,424
1528936811,431,431
1528937788,438,438
1528938740,462,462
1528939701,458,458
1528940675,462,462
1528941650,454,454
1528942570,375,375
1528943557,475,475
1528944492,474,474
1528945480,471,471
1528946410,477,477
1528947379,382,382
1528948351,387,387
1528949302,402,402
1528950255,452,452
1528951274,436,436
1528952418,404,404
1528953382,410,410
1528954331,430,430
1528955291,436,436
1528956270,406,406
1528957209,388,388
1528958170,451,451
1528959148,465,465
1528960097,408,408
1528961056,391,391
1528962025,480,480
1528962969,473,473
1528963934,478,478
1528964911,460,460
1528965858,465,465
1528966821,433,433
1528967772,429,429
1528968748,412,412
1528969696,399,399
1528970667,394,394
1528971610,396,396
1528972588,404,404
1528973532,415,415
1528974494,416,416
1528975472,469,469
1528976412,467,467
1528977372,391,391
1528978343,397,397
1528979289,419,419
1528980268,415,415
1528981221,435,435
1528982173,443,443
1528983155,464,464
1528984093,469,469
1528985059,374,374
1528986024,377,377
1528986970,387,387
1528987928,399,399
1528988905,372,372
1528990092,405,405
1528991072,432,432
1528992023,397,397
1528992969,409,409
1528993951,384,384
1528994893,399,399
1528995866,414,414
1528996825,388,388
1528997771,392,392
1528998734,402,402
1528999711,401,401
1529000652,390,390
1529001612,376,376
1529002584,373,373
1529003536,357,357
1529004495,363,363
1529005476,335,335
1529006422,396,396
1529007416,394,394
1529008346,393,393
1529009290,408,408
1529010264,389,389
1529011232,372,372
1529012193,366,366
1529013137,379,379
1529014105,355,355
1529015066,444,444
1529017265,472,472
1529018169,436,436
1529019140,388,388
1529020093,387,387
1529021078,401,401
1529022036,399,399
1529022977,401,401
1529023955,384,384
1529024902,365,365
1529025853,337,337
1529026834,345,345
1529027770,460,460
1529028737,448,448
1529029708,370,370
1529030664,371,371
1529031633,392,392
1529032593,358,358
1529033537,362,362
1529034494,372,372
1529035479,386,386
1529036417,369,369
1529037371,363,363
1529038356,394,394
1529039293,398,398
1529040261,450,450
1529041228,442,442
1529042174,389,389
1529043149,367,367
1529044112,395,395
1529045062,391,391
1529046035,449,449
1529046970,432,432
1529047960,406,406
1529048891,420,420
1529049862,410,410
1529050825,410,410
1529051778,445,445
1529052738,405,405
1529053716,393,393
1529054657,391,391
1529055617,384,384
1529056584,455,455
1529057543,455,455
1529058493,437,437
1529059475,420,420
1529060425,445,445
1529061375,454,454
1529062351,388,388
1529063304,410,410
1529064265,428,428
1529066241,391,391
1529067375,390,390
1529068338,416,416
1529069289,422,422
1529070268,440,440
1529071224,415,415
1529072173,390,390
1529073141,411,411
1529074101,379,379
1529075058,388,388
1529076018,380,380
1529076977,380,380
1529077938,449,449
1529078926,439,439
1529079869,386,386
1529080814,402,402
1529081782,411,411
1529082746,388,388
1529083943,402,402
1529084901,426,426
1529085861,408,408
1529086818,396,396
1529087778,387,387
1529088730,433,433
1529089703,418,418
1529090659,388,388
1529091771,401,401
1529092712,400,400
1529093851,404,404
1529094863,398,398
1529096003,420,420
1529097150,412,412
1529098102,386,386
1529099150,395,395
1529100269,387,387
1529101212,409,409
1529102174,398,398
1529103163,435,435
1529104114,443,443
1529105053,422,422
1529106011,411,411
1529106989,465,465
1529107940,461,461
1529108891,413,413
1529109869,419,419
1529110825,409,409
1529111769,393,393
1529112748,388,388
1529113695,394,394
1529114659,387,387
1529115626,377,377
1529116569,365,365
1529117533,373,373
1529118516,381,381
1529119458,445,445
1529120412,446,446
1529121383,392,392
1529122337,403,403
1529123291,391,391
1529124278,389,389
1529125216,394,394
1529126170,388,388
1529127246,387,387
1529128330,380,380
1529129305,384,384
1529130254,444,444
1529131213,433,433
1529132184,469,469
1529133139,468,468
1529134092,401,401
1529135083,447,447
1529136019,459,459
1529136972,403,403
1529137947,403,403
1529138892,397,397
1529139855,392,392
1529140824,387,387
1529141776,370,370
1529142730,372,372
1529143709,359,359
1529144657,455,455
1529145612,461,461
1529146583,454,454
1529147537,465,465
1529148492,396,396
1529149467,382,382
1529150427,372,372
1529151372,383,383
1529152352,378,378
1529153297,367,367
1529154261,374,374
1529155224,388,388
1529156170,371,371
1529157132,443,443
1529158108,425,425
1529159056,379,379
1529160011,389,389
1529160984,454,454
1529161936,448,448
1529162895,361,361
1529163870,404,404
1529164820,433,433
1529165773,422,422
1529166750,372,372
1529167690,369,369
1529168658,377,377
1529169624,386,386
1529170570,371,371
1529171534,357,357
1529172508,375,375
1529173455,450,450
1529174411,454,454
1529175385,419,419
1529176339,428,428
1529177289,375,375
1529178279,408,408
1529179223,416,416
1529180170,384,384
1529181151,382,382
1529182090,397,397
1529183056,361,361
1529184023,360,360
1529184970,370,370
1529185940,394,394
1529186921,385,385
1529187858,367,367
1529189069,382,382
1529190020,387,387
1529190975,384,384
1529191947,365,365
1529192896,353,353
1529193857,353,353
1529194832,392,392
1529196012,391,391
1529196985,436,436
1529197936,443,443
1529198892,453,453
1529200603,439,439
1529201538,382,382
1529202496,429,429
1529203465,433,433
1529204425,468,468
1529205370,457,457
1529206353,470,470
1529207292,458,458
