DateTime,AddedIPs,RemovedIPs
1528960850,11,21
1528961056,75,91
1528962025,133,106
1528962302,166,0
1528962783,13,6
1528962969,140,85
1528963934,89,61
1528964911,116,90
1528965858,95,88
1528965902,78,0
1528966821,113,107
1528967772,59,119
1528968529,5,21
1528968748,88,111
1528969696,224,70
1528970475,5,3
1528970667,105,131
1528971610,88,84
1528972332,8,7
1528972588,81,95
1528973102,151,0
1528973532,88,91
1528974296,3,16
1528974494,115,101
1528975472,123,63
1528976412,106,70
1528976702,152,0
1528977372,88,72
1528978108,2,20
1528978343,102,76
1528979289,82,93
1528980013,10,6
1528980268,87,59
1528980302,91,0
1528981221,107,114
1528982173,92,85
1528983155,130,83
1528983870,9,14
1528984093,147,78
1528985059,71,99
1528985786,7,6
1528986024,72,90
1528986970,62,78
1528987693,57,6
1528987928,62,85
1528988905,62,81
1528989616,8,9
1528990092,84,72
1528991072,63,92
1528991542,54,1
1528992023,88,84
1528992969,77,64
1528993457,16,2
1528993951,80,65
1528994893,145,50
1528995866,84,78
1528996825,93,70
1528997297,10,4
1528997771,77,87
1528998302,100,0
1528998734,61,73
1528999221,9,4
1528999711,78,79
1529000652,87,58
1529001144,1,8
1529001612,84,111
1529001902,107,0
1529002584,94,78
1529003058,3,0
1529003536,60,90
1529004495,73,114
1529004972,4,2
1529005476,68,0
1529005502,48,0
1529006422,99,83
1529007416,72,68
1529008346,89,87
1529008812,3,12
1529009290,219,68
1529010264,70,62
1529010735,16,1
1529011232,81,67
1529012193,95,83
1529012656,10,5
1529012701,73,2
1529013137,61,68
1529014105,88,73
1529015066,114,72
1529017265,245,240
1529018169,81,0
1529019140,76,92
1529020093,74,72
1529021078,141,2461
1529022036,101,68
1529022977,84,135
1529023955,94,73
1529024402,99,0
1529024902,86,125
1529025853,86,78
1529026834,68,167
1529027770,127,131
1529028002,64,0
1529028737,93,99
1529029708,95,65
1529030664,95,131
1529031633,79,84
1529032593,149,119
1529033537,73,96
1529034494,79,76
1529035479,180,103
1529036417,92,94
1529037371,74,118
1529038356,86,126
1529038802,78,0
1529039293,59,94
1529040261,123,102
1529041228,82,129
1529042174,92,122
1529042402,128,0
1529043149,74,97
1529044112,107,144
1529045062,93,127
1529046035,98,110
1529046970,192,77
1529047960,118,90
1529048891,79,152
1529049862,174,150
1529050825,107,81
1529051778,88,123
1529052738,60,98
1529053202,114,0
1529053716,92,111
1529054657,96,100
1529055617,91,95
1529056584,140,102
1529056802,95,0
1529057543,88,92
1529058493,96,86
1529059475,88,92
1529060425,111,93
1529061375,157,86
1529062351,71,146
1529063304,113,73
1529064265,172,83
1529066241,115,161
1529067375,81,90
1529067602,62,0
1529068110,4,12
1529068338,100,113
1529069289,102,83
1529070009,8,0
1529070268,73,162
1529071224,83,103
1529071936,72,10
1529072173,78,59
1529073141,53,68
1529073859,6,5
1529074101,65,56
1529075058,135,74
1529076018,74,73
1529076977,70,96
1529077938,100,72
1529078402,76,0
1529078926,69,79
1529079617,7,15
1529079869,97,73
1529080814,69,78
1529081529,2,16
1529081782,93,89
1529082002,57,0
1529082746,61,85
1529083451,4,0
1529083943,85,93
1529084901,76,67
1529085378,3,12
1529085861,147,71
1529086818,61,74
1529087300,3,10
1529087778,79,80
1529088730,104,115
1529089227,3,2
1529089703,138,67
1529090659,91,44
1529091771,79,77
1529092712,88,70
1529092802,67,0
1529093851,96,156
1529094863,91,82
1529096003,87,82
1529097150,167,72
1529097795,6,15
1529098102,76,91
1529099150,97,70
1529099766,4,8
1529100269,158,88
1529101212,110,61
1529101700,9,2
1529102174,94,169
1529103163,105,0
1529103625,4,0
1529104114,162,114
1529105053,125,97
1529106011,112,63
1529106989,166,74
1529107202,55,2470
1529107940,131,88
1529108891,106,93
1529109371,9,7
1529109869,126,82
1529110825,136,90
1529111308,80,13
1529111769,112,77
1529112748,105,75
1529113213,14,0
1529113695,98,57
1529114659,169,128
1529115626,74,85
1529116569,88,66
1529117062,7,16
1529117533,101,71
1529118002,65,0
1529118516,101,82
1529118978,7,0
1529119458,123,66
1529120412,75,53
1529120890,3,2
1529121383,107,80
1529121602,59,0
1529122337,105,68
1529123291,74,102
1529124278,89,66
1529124751,5,24
1529125216,82,100
1529126170,163,63
1529126651,7,0
1529127246,103,133
1529128330,88,79
1529128577,6,5
1529128802,73,0
1529129305,86,81
1529130254,99,97
1529130743,9,3
1529131213,82,89
1529132184,137,82
1529132402,67,0
1529133139,83,97
1529134092,80,92
1529134580,7,18
1529135083,95,89
1529136019,93,112
1529136509,71,7
1529136972,74,95
1529137947,83,127
1529138414,6,0
1529138892,77,109
1529139855,145,109
1529140340,1,6
1529140824,63,77
1529141776,101,100
1529142278,2,1
1529142730,91,91
1529143202,76,0
1529143709,81,131
1529144171,3,0
1529144657,101,101
1529145612,71,102
1529146093,11,5
1529146583,119,79
1529146802,73,0
1529147537,86,127
1529148492,74,106
1529149467,79,70
1529149936,8,10
1529150427,87,115
1529151372,114,101
1529151853,5,0
1529152352,87,0
1529153297,66,76
1529153782,4,0
1529154261,122,94
1529155224,77,110
1529155691,13,4
1529156170,72,95
1529157132,100,74
1529157619,12,9
1529158108,105,60
1529159056,100,82
1529160011,86,71
1529160984,94,90
1529161202,47,0
1529161936,76,71
1529162895,83,86
1529163370,6,12
1529163870,93,61
1529164820,111,103
1529165322,40,0
1529165773,71,85
1529166750,73,82
1529167232,1,9
1529167690,75,73
1529168658,140,100
1529169135,7,1
1529169624,91,84
1529170570,94,82
1529171062,9,5
1529171534,72,81
1529172002,47,0
1529172508,90,88
1529172983,4,4
1529173455,116,86
1529174411,65,85
1529174892,7,5
1529175385,107,120
1529175602,64,0
1529176339,63,82
1529177289,83,86
1529178279,75,97
1529179223,78,94
1529180170,103,0
1529180651,3,4
1529181151,105,81
1529182090,69,88
1529182576,8,7
1529183056,124,101
1529184023,69,77
1529184490,15,4
1529184970,78,101
1529185940,79,92
1529186667,45,3
1529186921,73,91
1529187858,75,87
1529189069,90,75
1529190020,84,117
1529190975,127,98
1529191947,87,107
1529192896,77,88
1529193857,126,2281
1529194832,85,85
1529196012,76,107
1529196726,16,10
1529196985,116,110
1529197202,403,0
1529197936,92,90
1529198649,12,5
1529198892,103,94
1529200603,113,197
1529200802,302,0
1529201538,111,68
1529202496,99,85
1529203465,86,63
1529204425,112,96
1529205370,282,72
1529206353,138,120
1529207292,83,56
1529208259,186,99
1529209226,76,83
1529210172,104,79
1529211134,88,70
1529211602,93,0
1529212112,105,70
1529213051,89,72
1529214031,93,91
1529214981,109,82
1529215202,82,0
1529215936,78,83
1529216886,61,90
1529217873,79,80
1529218826,70,128
1529219776,138,79
1529220754,96,75
1529221696,87,124
1529222659,153,78
1529223627,103,93
1529224571,84,71
1529225535,88,74
1529226002,61,0
1529226529,65,78
1529227462,76,59
1529228414,85,73
1529229386,97,106
1529229602,45,0
1529230335,84,64
1529231295,100,107
1529232272,72,52
1529233232,91,126
1529234172,148,71
1529235150,43,88
1529236093,74,88
1529237066,161,89
1529238034,57,62
1529238974,77,71
1529239930,122,84
1529240402,93,0
1529240910,182,69
1529241857,173,73
1529242813,179,95
1529243784,102,105
1529244002,62,0
1529244741,112,74
1529245698,72,81
1529246674,74,70
1529247626,78,101
1529248577,146,79
1529249555,72,85
1529250494,79,82
1529251456,128,104
1529252430,87,83
1529253370,53,77
1529254339,63,92
1529254802,67,0
1529255306,66,76
1529256257,93,82
1529257215,63,64
1529258196,108,106
1529258402,58,0
1529259147,57,77
1529260094,92,101
1529261069,50,69
1529262026,100,115
1529262976,125,69
1529263953,105,83
1529264893,58,83
1529265871,219,60
1529266825,61,76
1529267771,90,90
1529268735,67,73
1529269202,58,0
1529269711,85,61
1529270659,79,80
1529271621,97,90
1529272584,90,90
1529272802,48,0
1529273693,78,84
1529274731,77,89
1529275481,9,9
1529275707,62,72
1529276902,108,57
1529277377,12,0
1529277876,79,71
1529278815,73,73
1529279769,116,77
1529280002,49,1534
1529280751,69,74
1529281214,13,7
1529281694,77,101
1529282657,78,96
1529283129,10,11
1529283630,91,111
1529284572,143,71
1529285060,3,11
1529285537,61,130
1529286514,58,0
1529286971,2,0
1529287464,142,112
1529288411,80,87
1529288887,9,4
1529289385,59,94
1529290336,66,55
1529290821,3,7
1529291296,147,132
1529292267,121,80
1529292736,4,0
1529293211,75,131
1529294169,93,69
1529294651,58,10
1529295151,80,92
1529296088,102,100
1529296577,13,13
1529297050,102,69
1529298028,116,115
1529298976,148,72
1529299934,76,81
1529300905,72,95
1529301858,126,129
1529302810,80,76
1529303786,69,76
1529304250,11,31
1529304734,77,62
1529305202,75,0
1529305696,49,67
1529306169,9,8
1529306671,121,62
1529307611,114,84
1529308098,8,18
1529308568,110,92
1529308802,83,0
1529309552,69,83
1529310034,2,7
1529310491,112,108
1529311453,99,79
1529311929,9,0
1529312429,100,72
1529313373,198,52
1529313861,0,19
1529314338,121,102
1529315313,9,88
1529315771,4,0
1529316258,134,106
1529317216,98,83
1529317688,3,2
