DateTime,Entries,UniqueIPs
1528828816,307911,342538
1528829790,307884,342507
1528830747,307879,342496
1528831694,307856,342463
1528832686,307827,342430
1528833630,307793,342396
1528834579,307779,342379
1528835552,307751,342339
1528836518,307739,342327
1528837477,307714,342296
1528838421,307695,342274
1528839374,307667,342238
1528840352,307644,342213
1528841295,305999,340518
1528842261,305985,340505
1528843234,305924,340449
1528844174,305948,340476
1528845134,305916,340441
1528846113,305873,340393
1528847063,305883,340401
1528848032,305834,340351
1528849036,305818,340325
1528849958,305778,340284
1528850895,305761,340265
1528851863,305745,340248
1528852831,305759,340261
1528853779,305754,340234
1528854731,305730,340216
1528855719,305736,340224
1528856657,305706,340190
1528857616,305711,340193
1528858585,305693,340170
1528859544,305707,340181
1528860495,305700,340165
1528861483,305697,340158
1528862429,305678,340134
1528863407,305837,340449
1528864355,305780,340385
1528865550,305781,340387
1528866510,305771,340377
1528867462,305747,340337
1528868411,305709,340296
1528869399,305678,340262
1528870335,305673,340257
1528871299,305653,340228
1528872272,305664,340241
1528873231,305671,340246
1528874174,305682,340255
1528875155,305661,340227
1528876094,305646,340213
1528877057,305632,340198
1528878022,305645,340211
1528878973,305621,340183
1528879930,305591,340145
1528880915,305572,340122
1528881857,305552,340101
1528882822,305552,340096
1528883784,305516,340053
1528884743,305504,340042
1528885689,305480,340003
1528886678,305474,339993
1528887624,305422,339937
1528888585,305431,339943
1528889552,305381,339864
1528890495,305363,339842
1528891454,305321,339796
1528892440,304886,339309
1528893371,304916,339343
1528894335,304922,339340
1528895314,304802,339207
1528896261,304827,339234
1528897212,304809,339213
1528898188,304764,339161
1528899138,304804,339203
1528900095,304769,339143
1528901067,304786,339162
1528902043,304750,339115
1528902972,304730,339091
1528903943,304689,339043
1528904908,304673,339023
1528905859,304635,338978
1528906811,304606,338946
1528907791,304560,338895
1528908740,304484,338816
1528909700,304457,338774
1528910674,304475,338792
1528911623,304432,338732
1528912570,304457,338759
1528913552,304433,338724
1528914492,304405,338683
1528915475,304362,338633
1528916413,304356,338625
1528917375,304327,338593
