DateTime,AddedIPs,RemovedIPs
1528943524,68,148
1528944122,4,0
1528944722,6,0
1528945442,0,3
1528947121,2,0
1528947362,91,0
1528947722,2,1
1528948323,20,0
1528948922,7,0
1528948997,0,2
1528950122,11,0
1528951203,61,7
1528951321,5,0
1528952596,3,3
1528953123,2,159
1528955043,95,0
1528955522,3,0
1528956122,1,1
1528956721,0,1
1528957321,3,0
1528957921,3,0
1528958882,65,123
1528959722,2,0
1528960802,70,0
1528960922,8,0
1528961521,2,0
1528962122,3,0
1528962722,3,0
1528963322,5,0
1528963336,0,1
1528964643,91,55
1528965181,2,0
1528965721,1,0
1528966935,14,2
1528968122,8,1
1528968485,0,60
1528968721,10,0
1528969321,3,0
1528970418,64,0
1528970596,3,1
1528971122,1,0
1528971363,0,49
1528972323,63,0
1528974242,61,15
1528975921,1,0
1528976522,1,0
1528977122,15,46
1528977721,3,0
1528977796,0,3
1528979042,4,56
1528980003,75,0
1528980121,4,0
1528981396,3,1
1528982521,2,0
1528982882,0,61
1528984996,11,2
1528985763,64,0
1528986723,1,53
1528987322,1,0
1528987922,2,0
1528988596,8,2
1528989122,2,0
1528989602,52,0
1528989722,18,0
1528990321,4,0
1528990562,64,51
1528990922,1,0
1528991522,7,66
1528992122,4,0
1528992196,0,2
1528993322,6,0
1528993922,5,0
1528994522,3,0
1528995363,79,0
1528995795,2,0
1528998123,7,0
1528998722,1,0
1528999212,56,67
1528999321,16,0
1528999338,1,0
1529000163,118,27
1529000521,1,0
1529001122,55,110
1529001721,1,0
1529003522,3,0
1529004002,0,74
1529004122,1,0
1529005322,13,0
1529005922,1,0
1529006522,6,0
1529006882,82,0
1529008803,50,15
1529008922,15,0
1529009763,0,106
1529010121,6,0
1529011321,12,1
1529011981,1,0
1529012643,87,0
1529013796,22,2
1529014922,3,0
1529017228,68,177
1529017338,7,2
1529017922,1,0
1529018521,3,0
1529019122,91,0
1529019721,2,0
1529020996,6,1
1529022122,6,0
1529022962,35,8
1529024522,1,0
1529024884,58,139
1529025722,1,0
1529026922,14,0
1529027522,25,0
1529029322,6,0
1529030643,67,59
1529031722,3,0
1529031800,0,2
1529032562,0,72
1529032922,15,3
1529034122,2,0
1529034482,72,0
1529034722,1,0
1529035396,3,1
1529035923,16,0
1529036522,1,0
1529037122,1,0
1529037722,5,0
1529038323,61,168
1529038922,1,0
1529038997,0,1
1529040242,92,0
1529041322,4,0
1529042535,6,1
1529043123,8,0
1529043721,5,0
1529044083,52,56
1529044381,16,0
1529044922,13,0
1529046018,0,56
1529046195,3,1
1529047322,2,0
1529047922,87,0
1529048522,6,0
1529049797,7,2
1529050322,4,0
1529050922,2,0
1529051763,54,13
1529052122,10,0
1529053683,0,100
1529053922,12,0
1529054521,12,0
1529055602,59,0
1529055721,2,0
1529056997,3,0
1529058122,7,0
1529059442,65,15
1529059922,5,0
1529060596,0,2
1529061364,15,44
1529062921,1,0
1529063282,70,13
1529063521,1,0
1529064140,0,1
1529066171,44,84
1529066522,1,0
1529068082,58,17
1529068322,1,0
1529068922,3,0
1529069521,3,0
1529070121,12,0
1529071322,6,0
1529071396,0,1
1529071923,0,96
1529072521,10,0
1529073844,70,0
1529074922,6,0
1529074996,0,2
1529075763,0,57
1529076122,10,0
