DateTime,Entries,UniqueIPs
1528244190,6740,641462999
1528244645,6740,641462999
1528248485,6742,641463003
1528251902,6731,641462992
1528254941,6719,641462980
1528258526,6705,641462966
1528262402,6713,641462973
1528264502,6714,641462973
1528266301,6710,641462970
1528268167,6711,641462971
1528270087,6708,641462968
1528272933,6705,641462966
1528276528,6701,641462962
1528280585,6692,641462952
1528283732,6687,641462948
1528285445,6688,641462949
1528286702,6689,641462950
1528287366,6690,641462951
1528287808,6693,641462952
1528290005,6693,641447848
1528291205,6723,641447881
1528294507,6734,641447891
1528298149,6735,641447892
1528299913,6733,641447890
1528302002,6733,641447891
1528302735,6734,641447892
1528305310,6734,641447892
1528309725,6708,641447868
1528313416,6709,641447867
1528318772,6715,641447874
1528322751,6714,641447874
1528325298,6721,641447881
1528330062,6725,641447885
1528333254,6737,641447897
1528335370,6741,641447900
1528337714,6743,641447902
1528341333,6715,641447874
1528343045,6716,641447875
1528344964,6681,641447837
1528348804,6678,641447835
1528350902,6678,641447835
1528352644,6677,641447837
1528356130,6697,641447858
1528357533,6697,641447858
1528359331,6697,641447858
1528359601,6701,641447862
1528362919,6705,641447863
1528364714,6704,641447862
1528366502,6703,641447861
1528366802,6699,641447859
1528369212,6700,641447860
1528370117,6692,641447852
1528374188,6700,641447859
1528376404,6682,641415603
1528377607,6692,641415613
1528381444,6692,641415613
1528384960,6693,641415613
1528387802,6691,641415613
1528388103,6687,641415610
1528388867,6689,641415610
1528391719,6686,641415608
1528395716,6699,641415621
1528399397,6700,641415623
1528402805,6701,641415624
1528403402,6701,641415624
1528406119,6700,641415623
1528409712,6684,641415606
1528413324,6699,641415620
1528417349,6723,641415643
1528419001,6723,641415643
1528420528,6716,641415636
1528424105,6715,641415636
1528428171,6669,641415587
1528431607,6677,641415596
1528435444,6674,641415594
1528437366,6674,641415594
1528438551,6674,641415593
1528441444,6675,641415594
1528443012,6674,641415592
1528445702,6699,641415623
1528446212,6699,641415623
1528449901,6711,641415633
1528453205,6704,641415628
1528456511,6705,641415629
1528456529,6702,641415626
1528460137,6687,641415610
1528462820,6680,641400250
1528463730,6679,641400249
1528463776,6662,641400228
1528467902,6666,641400231
1528471444,6670,641400235
1528474529,6692,641400258
1528478144,6697,641400265
1528478634,6698,641400265
1528482964,6709,641400276
1528485602,6718,641400286
1528488943,6717,641400286
1528492568,6716,641400030
1528492802,6713,641400028
1528496150,6713,641400028
1528496405,6710,641400025
1528500002,6711,641400026
1528500399,6713,641400026
1528503354,6713,641400026
1528503602,6730,641400045
1528507202,6733,641400048
1528510802,6735,641400050
1528514407,6720,641400034
1528518247,6720,641400033
1528521602,6719,641400035
1528525202,6719,641400035
1528528489,6713,641400029
1528532401,6713,641400029
1528535530,6713,641400029
1528536002,6718,641400031
1528539602,6722,641400036
1528541288,6723,641400037
1528543206,6716,641400032
1528547066,6721,641400036
1528548970,6727,641400042
1528549202,6716,641384938
1528550402,6716,641384937
1528551011,6715,641384936
1528553702,6714,641384935
1528557312,6715,641384936
1528558802,6716,641385192
1528559115,6715,641385191
1528560940,6714,641385190
1528561201,6711,641385187
1528562406,6712,641385188
1528564540,6713,641385189
1528564802,6715,641385190
1528566315,6716,641385191
1528568408,6722,641384942
1528572249,6726,641384946
1528573511,6727,641384947
1528575602,6726,641384947
1528578924,6726,641384949
1528582661,6725,641384948
1528588502,6716,641384939
1528590902,6721,641384945
1528594202,6734,641384957
1528597201,6734,641384957
1528600538,6712,641384940
1528604106,6711,641384936
1528607702,6712,641384935
1528611602,6710,641384935
1528615203,6710,641384934
1528619047,6711,641384934
1528622115,6706,641384931
1528625741,6709,641384934
1528629315,6711,641384935
1528631188,6710,641384934
1528632485,6711,641384935
1528632902,6711,641384934
1528635302,6712,641379558
1528636569,6711,641379557
1528636802,6709,641379555
1528640404,6705,641379551
1528643701,6697,641379542
1528647386,6690,641379536
1528651925,6697,641379546
1528654552,6707,641379554
1528658112,6709,641379556
1528662002,6708,641379555
1528664702,6708,641379810
1528666808,6711,641379813
1528669202,6712,641379814
1528672805,6713,641379814
1528676645,6723,641379827
1528680488,6728,641379832
1528683311,6730,641379832
1528687502,6702,641379803
