DateTime,AddedIPs,RemovedIPs
1528780105,29,30
1528780557,154,90
1528781286,59,0
1528782014,29,52
1528782127,71,159
1528782966,76,0
1528783937,17,44
1528784886,133,115
1528785862,147,134
1528786566,85,0
1528787766,42,51
1528787909,90,118
1528789691,133,114
1528790434,119,34
1528791307,97,71
1528791615,35,52
1528792086,52,1
1528793526,39,66
1528794047,124,148
1528795450,111,150
1528797007,167,137
1528797374,37,44
1528797628,20,0
1528799288,123,1628
1528799428,48,0
1528800126,63,127
1528801224,778,1
1528802114,64,75
1528803138,36,30
1528803611,91,98
1528805051,28,46
1528805074,102,101
1528806969,101,38
1528807330,65,121
1528808899,32,46
1528809246,114,60
1528810086,52,0
1528810808,46,40
1528811690,79,114
1528812735,28,21
1528812907,121,120
1528813686,55,0
1528815396,133,214
1528815635,20,0
1528817297,100,93
1528817354,54,0
1528819230,159,223
1528820119,104,79
1528821148,39,17
1528821727,174,94
1528823064,44,28
1528823106,99,118
1528824176,255,765
1528824971,19,23
1528825327,134,170
1528825506,0,254
1528826911,30,31
1528827245,112,143
1528828812,22,18
1528829105,119,354
1528830741,35,18
1528831279,95,133
1528832668,23,16
1528833313,137,150
1528834577,30,13
1528835694,91,48
1528836507,141,141
1528837306,57,106
1528838419,116,40
1528839732,142,78
1528840344,20,42
1528840572,53,0
1528841647,52,60
1528842259,35,32
1528843327,105,118
1528844173,307,36
1528844706,88,91
1528845403,252,0
1528846104,675,0
1528846218,68,0
1528846928,60,140
1528848030,156,81
1528849949,122,118
1528850527,94,177
1528851373,37,0
1528851861,17,46
1528852507,66,214
1528853416,69,0
1528853774,27,41
1528854127,63,128
1528854972,81,0
1528855710,32,21
1528857615,66,156
1528857730,110,143
1528858566,52,0
1528859542,14,26
1528860415,64,55
1528860487,41,0
1528861466,23,29
1528863406,221,255
1528864086,56,0
1528865540,19,21
1528866172,71,180
1528866923,0,252
1528867459,73,101
1528869391,64,23
1528869650,374,100
1528871298,112,151
1528871440,49,0
1528873230,203,158
1528875145,124,110
1528875338,122,161
1528877054,12,14
1528877731,115,52
1528878970,142,135
1528879327,136,243
1528880906,28,42
1528881347,90,112
1528882819,135,42
1528883766,111,206
1528884738,32,1217
1528884910,66,85
1528886662,27,44
1528886731,87,165
1528888582,761,140
1528890493,152,133
1528890973,50,0
1528892136,88,106
1528892430,40,18
1528893243,143,111
1528894333,26,27
1528894506,80,41
1528895706,62,87
1528896254,23,18
1528897104,113,105
1528898179,19,17
1528899246,179,105
1528900092,31,15
1528900928,130,145
1528902034,51,22
1528902306,127,67
1528903941,29,13
1528904704,115,1
