DateTime,AddedIPs,RemovedIPs
1528797122,5,2
1528797721,3,0
1528798922,1,0
1528800122,4,0
1528800721,1,0
1528801322,6,0
1528802522,4,1
1528804922,1,0
1528805521,14,0
1528806122,6,0
1528806722,2,0
1528807322,2,0
1528808521,14,0
1528809721,5,0
1528810922,5,0
1528811521,2,0
1528812722,10,0
1528813321,1,0
1528815123,4,0
1528815721,6,0
1528816922,2,0
1528817522,1,0
1528818122,11,0
1528819321,8,0
1528819922,3,0
1528820522,1,0
1528821722,4,0
1528822322,1,0
1528822922,2,0
1528824121,3,0
1528825322,2,0
1528827721,2,3
1528828322,16,2
1528828922,1,0
1528830121,3,0
1528830722,7,0
1528831322,1,0
1528832522,6,0
1528833722,3,0
1528834921,3,1
1528835522,3,0
1528836122,2,1
1528836721,1,0
1528837321,2,0
1528838522,0,1
1528839721,1,2
1528840922,6,0
1528842122,4,2
1528843321,2,1
1528843922,5,0
1528844522,8,1
1528845722,7,0
1528846921,3,0
1528848122,2,0
1528849922,5,0
1528850522,1,0
1528851722,4,0
1528852921,2,1
1528853522,1,0
1528854122,4,0
1528855322,1,0
1528855922,1,0
1528856522,2,0
1528858922,11,2
1528859521,1,0
1528860122,3,1
1528860722,1,0
1528861323,0,1
1528862521,2,1
1528863721,1,0
1528864323,12,1
1528864922,6,1
1528865522,12,0
1528866121,2,0
1528867322,6,0
1528868521,7,1
1528869723,1,5
1528870322,11,0
1528870921,5,0
1528871522,1,0
1528872122,12,1
1528873321,11,0
1528874522,14,0
1528875722,6,0
1528876922,6,1
1528877522,8,5
1528878122,15,0
1528878722,2,1
1528879413,6,0
1528879921,1,0
1528880522,4,1
1528881122,17,0
1528881722,4,0
1528882923,0,2
1528883521,3,3
1528884121,4,0
1528885321,3,0
1528887721,1,0
1528888922,6,0
1528890122,2,0
1528891322,2,0
1528891922,1,0
1528892889,253,54
1528893721,9,0
1528894922,13,0
1528895521,0,1
1528896121,22,0
1528897321,2,0
1528898521,1,0
1528899722,4,0
1528900322,3,0
1528900923,1,0
1528901521,2,0
1528902121,4,0
1528903322,1,0
1528904522,2,0
1528905122,6,0
1528905721,6,0
1528906322,11,0
1528906921,12,0
1528908122,6,0
1528908722,4,0
1528909321,3,1
1528910522,1,0
1528911721,1,0
1528912922,1,0
1528914122,2,0
1528914721,4,0
1528914781,1,0
1528915322,2,0
1528916522,17,0
1528917122,25,0
1528918921,2,0
1528919522,1,0
1528920121,1,0
1528921322,4,0
1528922521,9,0
1528923722,2,0
1528924321,9,0
1528924921,6,0
1528925522,2,0
1528926122,1,0
1528929122,2,0
1528931522,1,0
1528932122,4,0
1528933322,4,0
1528934522,3,0
1528936922,6,0
1528938121,12,0
1528938722,3,0
1528939322,2,0
1528940522,5,0
1528944122,4,0
1528944722,6,0
1528947121,2,0
1528947722,2,1
1528948323,20,0
1528948922,7,0
1528950122,11,0
1528951321,5,0
1528952522,3,0
1528953121,2,0
1528954922,2,0
1528955522,3,0
1528956122,1,1
1528957321,3,0
1528957921,3,0
1528959722,2,0
1528960922,8,0
1528961521,2,0
1528962122,3,0
1528962722,3,0
1528963322,5,0
1528964521,11,0
1528965181,2,0
1528965721,1,0
1528966922,14,0
1528968122,8,1
1528968721,10,0
1528969321,3,0
1528970522,3,0
1528971122,1,0
1528974122,2,0
1528975921,1,0
1528976522,1,0
1528977721,3,0
1528978921,4,0
1528980121,4,0
1528981321,3,0
1528982521,2,0
1528984922,10,0
1528985522,4,0
1528986722,1,0
1528987322,1,0
1528987922,2,0
1528988521,6,0
1528989122,2,0
1528989722,18,0
1528990321,4,0
1528990922,1,0
1528991522,7,0
1528992122,4,0
1528993322,6,0
1528993922,5,0
1528994522,3,0
1528995721,1,0
1528998123,7,0
1528998722,1,0
1528999321,16,0
1528999922,6,0
1529000521,1,0
1529001721,1,0
1529003522,3,0
1529004122,1,0
1529005322,13,0
1529005922,1,0
1529006522,6,0
1529008922,15,0
1529010121,6,0
1529011321,12,1
1529011981,1,0
1529012522,14,0
1529013721,22,0
1529014922,3,0
1529016722,6,0
1529017322,7,0
1529017922,1,0
1529018521,3,0
1529019122,1,0
1529019721,2,0
1529020922,6,0
1529022122,6,0
1529024522,1,0
1529025722,1,0
1529026922,14,0
1529027522,25,0
1529029322,6,0
1529030522,1,0
1529031722,3,0
1529032922,15,3
1529034122,2,0
1529034722,1,0
1529035322,3,0
1529035923,16,0
1529036522,1,0
1529037122,1,0
1529037722,5,0
1529038922,1,0
1529040122,5,0
1529041322,4,0
1529042522,6,0
1529043123,8,0
1529043721,5,0
1529044381,16,0
1529044922,13,0
1529046121,3,0
1529047322,2,0
1529047922,10,0
1529048522,6,0
1529049721,7,0
1529050322,4,0
1529050922,2,0
1529052122,10,0
1529053922,12,0
1529054521,12,0
1529055721,2,0
1529056922,3,0
1529058122,7,0
1529059322,2,0
1529059922,5,0
1529062921,1,0
1529063521,1,0
1529065981,4,0
1529066522,1,0
1529068322,1,0
1529068922,3,0
1529069521,3,0
1529070121,12,0
1529071322,6,0
1529072521,10,0
1529073722,4,0
1529074922,6,0
1529076122,10,0
1529077323,7,0
1529078522,10,0
1529079722,4,0
1529080322,8,0
1529080922,3,0
1529082122,14,0
1529083323,1,0
1529084521,14,0
1529085722,3,0
1529086922,2,0
1529087522,1,0
1529088122,2,0
1529089322,7,0
1529090522,8,0
1529091722,2,0
1529092922,7,0
1529094121,4,1
1529094722,2,0
1529095322,1,0
1529095922,2,0
1529097122,9,0
1529097722,12,0
1529098381,1,0
1529098922,2,0
1529100121,2,0
1529102521,8,0
1529104322,3,0
1529104922,18,0
1529105522,8,0
1529106122,8,0
1529107922,3,0
1529108521,2,0
1529109721,7,0
1529110922,1,0
1529111522,4,0
1529112123,27,0
1529112721,4,0
1529113322,11,0
1529113922,19,0
1529115122,7,0
1529116922,4,0
1529118122,6,0
1529118722,2,0
1529119321,5,0
1529120523,2,0
1529121721,6,0
1529122922,4,0
1529124121,6,0
1529124721,5,0
1529125322,29,0
1529126522,2,0
1529127722,3,0
1529128921,3,0
1529130122,3,0
1529131322,4,0
1529132523,13,1
1529133722,1,0
1529134921,2,0
1529137322,39,0
1529138521,1,0
1529139722,8,0
1529140322,7,0
1529140922,11,0
1529141522,4,0
1529142122,1,1
1529144522,1,0
1529145721,1,0
1529146922,2,0
1529149322,3,0
1529150523,5,0
1529151121,1,0
1529151722,1,0
1529152322,2,0
1529152922,3,0
1529154122,3,0
1529156522,3,0
1529157721,4,0
1529158322,8,0
1529158921,2,0
1529160122,4,0
1529161922,3,0
1529162522,28,0
1529163121,4,0
1529163722,11,0
1529164322,1,0
1529164921,1,0
1529165522,2,0
1529166122,8,0
1529167321,1,1
1529168521,2,0
1529170922,5,0
1529171522,3,0
1529172122,14,0
1529172722,1,1
1529173321,1,0
1529174521,2,0
1529175721,4,0
1529176922,1,0
1529177581,1,0
1529178121,1,0
1529180522,4,0
1529181723,1,0
1529182922,3,0
1529183522,3,0
1529184121,3,0
1529186522,3,0
1529187122,8,0
1529189522,2,1
1529190121,16,0
1529191322,6,0
1529191922,6,0
1529192521,3,0
1529193722,1,0
1529194924,1,0
1529196122,5,0
1529197321,2,0
1529197922,2,0
1529198521,19,0
1529200322,2,0
1529200922,10,0
1529202122,8,0
1529203322,1,0
1529204522,2,0
1529205722,1,0
1529206322,3,0
1529206922,1,0
1529208121,1,0
1529208722,1,0
1529209322,2,0
1529210522,2,0
1529211122,5,0
1529211722,6,0
1529212321,1,0
1529212921,1,0
1529214122,3,0
1529215322,2,0
1529216522,1,0
1529217721,3,0
1529218322,6,0
1529218922,5,0
1529219521,4,0
1529220722,4,0
1529221321,2,0
1529222522,3,0
1529223122,4,0
1529224321,3,0
1529226122,3,0
1529226722,5,0
1529227322,3,0
1529228522,6,0
1529229721,1,0
1529230321,2,0
1529233322,8,0
1529234521,7,0
1529235121,5,0
1529235722,2,0
1529238123,3,0
1529239321,4,0
1529240521,4,0
1529241122,5,0
1529242922,2,0
1529245322,5,0
1529246522,3,0
1529247722,7,0
1529248321,5,0
1529248921,4,0
1529249522,1,0
1529250122,12,0
1529252522,4,0
1529253122,2,0
1529253722,2,0
1529254922,4,0
1529255522,1,0
1529256722,2,0
1529257322,9,0
1529259722,1,0
1529260235,1,0
1529260922,2,0
1529262722,1,0
1529265121,1,0
1529265721,3,0
1529266322,3,0
1529266922,20,0
1529269322,8,0
1529269922,1,0
1529271722,1,0
1529273522,4,0
1529274122,1,0
1529275322,1,0
1529275922,1,0
1529277722,1,0
1529278322,1,0
1529280122,4,0
1529283723,2,0
1529284922,11,0
1529286722,6,0
1529288524,6,0
1529289722,16,0
1529290921,1,0
1529293322,4,0
1529293923,1,0
1529294521,5,0
1529298122,3,0
1529299322,4,0
1529300521,6,0
1529301721,28,0
1529304122,2,0
1529306522,9,0
1529307122,4,0
1529307721,2,0
1529308922,4,0
1529311322,3,0
1529312521,9,0
1529313122,1,0
1529313722,1,0
1529316122,5,0
1529317322,6,0
