DateTime,AddedIPs,RemovedIPs
1528864201,197,183
1528865101,242,175
1528866001,233,160
1528866901,141,122
1528867802,202,177
1528868701,191,181
1528869601,223,168
1528870502,179,225
1528871402,215,173
1528872302,269,149
1528873202,228,166
1528874102,219,166
1528875002,265,126
1528875902,206,119
1528876802,216,118
1528877702,187,131
1528878601,276,126
1528879501,288,142
1528880402,174,138
1528881302,220,139
1528882201,258,101
1528883102,263,244
1528884001,141,133
1528884902,140,225
1528885803,345,159
1528886702,218,115
1528887602,161,161
1528888501,176,150
1528889402,144,152
1528890302,288,152
1528891202,195,140
1528892102,176,191
1528893002,386,139
1528893902,1109,201
1528894802,198,221
1528895702,155,158
1528896602,435,163
1528897502,431,188
1528898402,4233,175
1528899302,572,200
1528900202,626,191
1528901102,534,203
1528902002,507,142
1528902903,492,146
1528903802,386,204
1528904702,431,128
1528905602,477,150
1528906502,558,113
1528907402,328,172
1528908303,419,296
1528909203,328,183
1528910103,369,222
1528911003,321,155
1528911903,430,181
1528912803,277,198
1528913703,328,188
1528914603,273,173
1528915502,305,241
1528916402,268,466
1528917303,284,197
1528919103,517,476
1528920003,284,271
1528920902,179,1373
1528921802,188,412
1528922703,265,301
1528923602,269,365
1528924503,418,240
1528925403,340,261
1528926303,267,283
1528927203,341,284
1528928102,234,311
1528929003,220,224
1528929903,294,232
1528931702,415,429
1528932602,158,270
1528933502,137,203
1528934402,218,478
1528935303,495,217
1528936202,445,233
1528937103,357,386
1528938002,375,881
1528938902,405,213
1528939802,353,177
1528940702,418,268
1528941602,162,291
1528942502,103,1922
1528943401,67,881
1528944302,120,577
1528945202,758,522
1528946102,232,453
1528947002,188,497
1528947902,313,402
1528948801,200,390
1528949702,328,313
1528950602,188,479
1528951502,150,296
1528952402,85,440
1528953302,260,331
1528954201,372,303
1528955102,641,267
1528956001,825,228
1528956902,416,246
1528957801,228,393
1528958702,245,363
1528959601,222,331
1528960502,78,266
1528961402,458,323
1528962302,341,278
1528963202,273,310
1528964102,323,284
1528965002,179,706
1528965902,57,235
1528966802,75,237
1528967702,69,961
1528968602,79,538
1528969502,49,480
1528970402,213,524
1528971301,68,520
1528972202,69,521
1528973101,43,396
1528974002,69,355
1528974902,61,260
1528975801,70,397
1528976702,70,496
1528977602,69,342
1528978501,65,292
1528979401,83,717
1528980301,89,498
1528981201,75,586
1528982102,72,566
1528983002,203,399
1528983901,78,718
1528984801,85,689
1528985701,58,475
1528986602,82,373
1528987501,71,389
1528988401,65,55
1528989301,81,70
1528990201,67,71
1528991101,79,80
1528992001,82,50
1528992901,97,217
1528993801,97,68
1528994702,84,70
1528995601,92,43
1528996502,104,70
1528997402,83,66
1528998301,119,72
1528999201,74,483
1529000101,84,854
1529001001,84,65
1529001902,76,85
1529002801,51,88
1529003701,70,78
1529004601,65,75
1529005501,52,213
1529006402,119,78
1529007301,71,89
1529008201,53,57
1529009101,59,82
1529010001,50,65
1529010901,60,64
1529011801,3642,70
1529012702,3600,66
1529013601,397,75
1529014501,327,77
1529015401,237,89
1529017201,476,177
1529018102,215,84
1529019001,265,102
1529019901,190,70
1529020801,218,119
1529021702,176,72
1529022602,230,86
1529023501,275,80
1529024402,247,75
1529025301,184,52
1529026201,231,70
1529027102,318,60
1529028002,127,56
1529028901,242,118
1529029801,155,68
1529030702,211,56
1529031602,249,64
1529032502,245,53
1529033402,248,61
1529034301,208,54
1529035201,177,52
1529036102,205,41
1529037002,221,98
1529037901,231,35
1529038802,241,45
1529039702,197,44
1529040602,205,47
1529041502,194,62
1529042402,203,45
1529043302,230,52
1529044201,269,69
1529045102,153,122
1529046002,181,51
1529046902,171,64
1529047802,210,49
1529048702,154,73
1529049602,203,57
1529050502,317,33
1529051402,237,37
1529052302,210,39
1529053202,213,36
1529054103,213,37
1529055002,232,37
1529055902,179,3580
1529056802,310,3524
1529057701,355,367
1529058602,324,271
1529059501,359,261
1529060402,293,226
1529061302,328,268
1529062202,1591,216
1529063103,1909,240
1529064003,552,199
1529065803,883,355
1529066703,230,175
1529067603,201,264
1529068502,147,237
1529069403,558,184
1529070302,943,212
1529071203,436,302
1529072103,66,148
1529073003,59,384
1529073902,89,199
1529074802,189,232
1529075702,61,281
1529076603,61,255
1529077502,71,266
1529078402,397,216
1529079303,184,251
1529080203,130,316
1529081103,66,275
1529082002,46,298
1529082902,51,270
1529083803,68,239
1529084702,196,792
1529085602,182,1093
1529086503,204,370
1529087403,194,472
1529088302,167,246
1529089202,178,173
1529090102,173,170
1529091003,1477,183
1529091903,586,280
1529092803,280,502
1529093703,303,371
1529094603,217,199
1529095503,134,211
1529096403,116,241
1529097302,434,328
1529098202,216,216
1529099103,151,222
1529100002,210,239
1529100902,209,289
1529101802,196,248
1529102702,147,257
1529103603,181,279
1529104502,244,251
1529105402,238,272
1529106302,208,709
1529107201,244,793
1529108101,269,380
1529109002,344,461
1529109902,144,227
1529110802,320,228
1529111702,336,208
1529112602,297,145
1529113501,274,799
1529114401,275,655
1529115302,245,311
1529116202,196,171
1529117101,396,112
1529118002,354,81
1529118902,229,40
1529119802,250,180
1529120702,279,75
1529121601,182,75
1529122502,234,390
1529123402,367,171
1529124302,268,109
1529125201,252,35
1529126102,222,69
1529127001,140,130
1529127902,435,97
1529128802,337,207
1529129702,227,155
1529130602,350,156
1529131501,287,237
1529132402,327,154
1529133301,219,207
1529134202,303,206
1529135103,378,605
1529136002,279,282
1529136902,308,233
1529137802,333,239
1529138702,271,169
1529139602,178,225
1529140502,397,151
1529141402,316,267
1529142302,271,177
1529143202,263,138
1529144101,224,199
1529145002,366,237
1529145902,251,284
1529146802,367,189
1529147702,269,155
1529148601,281,162
1529149501,304,158
1529150402,266,310
1529151302,278,376
1529152201,330,278
1529153102,155,316
1529154001,417,138
1529154901,368,242
1529155802,279,222
1529156702,288,275
1529157602,303,450
1529158502,120,503
1529159401,134,301
1529160302,810,181
1529161202,288,254
1529162102,296,296
1529163002,313,327
1529163902,308,310
1529164802,211,276
1529165702,324,192
1529166601,387,233
1529167502,444,322
1529168402,367,204
1529169302,330,237
1529170202,270,211
1529171102,155,238
1529172002,315,349
1529172902,214,257
1529173803,373,201
1529174702,230,366
1529175603,208,288
1529176502,480,401
1529177402,317,331
1529178302,245,277
1529179202,250,262
1529180102,360,217
1529181002,224,272
1529181903,485,326
1529182802,733,518
1529183702,639,285
1529184602,823,270
1529185502,658,262
1529186402,745,242
1529187303,611,273
1529188203,560,254
1529189103,538,422
1529190003,528,326
1529190902,459,405
1529191802,461,338
1529192703,510,215
1529193603,587,216
1529194503,492,346
1529195403,439,415
1529196302,677,324
1529197203,464,186
1529198102,507,231
1529199003,433,494
1529199903,469,314
1529200803,583,338
1529201703,527,406
1529202603,582,243
1529203503,530,99
1529204403,503,379
1529205303,522,175
1529206203,458,275
1529207103,516,399
1529208004,621,347
1529208903,535,223
1529209803,568,259
1529210704,471,265
1529211603,582,412
1529212503,402,324
1529213403,553,256
1529214304,571,249
1529215203,478,165
1529216103,607,270
1529217003,567,484
1529217904,660,953
1529218803,497,759
1529219703,567,751
1529220604,563,840
1529221504,444,878
1529222403,358,618
1529223304,798,1059
1529224203,624,1035
1529225104,452,898
1529226004,690,896
1529226904,495,673
1529227804,468,876
1529228704,372,573
1529229603,354,418
1529230503,679,721
1529231404,579,631
1529232304,478,494
1529233204,485,330
1529234103,466,362
1529235004,424,424
1529235903,395,442
1529236804,435,584
1529237704,920,951
1529238604,652,628
1529239503,637,711
1529240404,772,684
1529241304,619,490
1529242204,587,555
1529243103,441,495
1529244004,621,598
1529244904,503,923
1529245803,400,1951
1529246705,460,2266
1529247604,348,1949
1529248505,449,1609
1529249404,207,1505
1529250304,391,1396
1529251204,240,171
1529252104,281,168
1529253005,166,138
1529253905,116,107
1529254804,129,125
1529255705,243,196
1529256605,356,251
1529257504,309,169
1529258404,314,197
1529259305,465,408
1529260204,309,337
1529261104,262,278
1529262004,157,197
1529262904,127,140
1529263804,98,121
1529264704,130,114
1529265605,86,98
1529266504,137,159
1529267404,103,337
1529268305,270,298
1529269204,166,192
1529270104,160,110
1529271003,158,157
1529271904,163,160
1529272803,129,190
1529273703,150,198
1529274604,171,202
1529275504,130,301
1529276404,136,280
1529277303,145,254
1529278203,163,384
1529279104,180,324
1529280004,316,448
1529280903,621,573
1529281803,609,611
1529282703,543,581
1529283603,521,545
1529284503,578,455
1529285404,639,465
1529286303,534,320
1529287203,543,320
1529288104,560,380
1529289003,563,242
1529289903,555,279
1529290803,618,401
1529291703,500,367
1529292603,530,418
1529293502,523,192
1529294403,542,217
1529295303,482,81
1529296202,466,141
1529297102,429,119
1529298003,561,74
1529298903,462,94
1529299802,421,111
1529300702,477,156
1529301603,502,164
1529302503,458,277
1529303402,426,304
1529304303,478,321
1529305203,441,265
1529306102,404,138
1529307003,436,125
1529307904,530,147
1529308803,462,116
1529309703,479,88
1529310603,444,140
1529311503,324,144
1529312403,416,279
1529313304,476,151
1529314203,429,159
1529315103,300,178
1529316003,323,155
1529316903,358,140
