DateTime,Entries,UniqueIPs
1528864201,6926,6926
1528865101,6993,6993
1528866001,7066,7066
1528866901,7085,7085
1528867802,7110,7110
1528868701,7120,7120
1528869601,7175,7175
1528870502,7129,7129
1528871402,7171,7171
1528872302,7291,7291
1528873202,7353,7353
1528874102,7406,7406
1528875002,7545,7545
1528875902,7632,7632
1528876802,7730,7730
1528877702,7786,7786
1528878601,7936,7936
1528879501,8082,8082
1528880402,8118,8118
1528881302,8199,8199
1528882201,8356,8356
1528883102,8375,8375
1528884001,8383,8383
1528884902,8298,8298
1528885803,8484,8484
1528886702,8587,8587
1528887602,8587,8587
1528888501,8613,8613
1528889402,8605,8605
1528890302,8741,8741
1528891202,8796,8796
1528892102,8781,8781
1528893002,9028,9028
1528893902,9936,9936
1528894802,9913,9913
1528895702,9910,9910
1528896602,10182,10182
1528897502,10425,10425
1528898402,14483,14483
1528899302,14855,14855
1528900202,15290,15290
1528901102,15621,15621
1528902002,15986,15986
1528902903,16332,16332
1528903802,16514,16514
1528904702,16817,16817
1528905602,17144,17144
1528906502,17589,17589
1528907402,17745,17745
1528908303,17868,17868
1528909203,18013,18013
1528910103,18160,18160
1528911003,18326,18326
1528911903,18575,18575
1528912803,18654,18654
1528913703,18794,18794
1528914603,18894,18894
1528915502,18958,18958
1528916402,18760,18760
1528917303,18847,18847
1528919103,18888,18888
1528920003,18901,18901
1528920902,17707,17707
1528921802,17483,17483
1528922703,17447,17447
1528923602,17351,17351
1528924503,17529,17529
1528925403,17608,17608
1528926303,17592,17592
1528927203,17649,17649
1528928102,17572,17572
1528929003,17568,17568
1528929903,17630,17630
1528931702,17616,17616
1528932602,17504,17504
1528933502,17438,17438
1528934402,17178,17178
1528935303,17456,17456
1528936202,17668,17668
1528937103,17639,17639
1528938002,17133,17133
1528938902,17325,17325
1528939802,17501,17501
1528940702,17651,17651
1528941602,17522,17522
1528942502,15703,15703
1528943401,14889,14889
1528944302,14432,14432
1528945202,14668,14668
1528946102,14447,14447
1528947002,14138,14138
1528947902,14049,14049
1528948801,13859,13859
1528949702,13874,13874
1528950602,13583,13583
1528951502,13437,13437
1528952402,13082,13082
1528953302,13011,13011
1528954201,13080,13080
1528955102,13454,13454
1528956001,14051,14051
1528956902,14221,14221
1528957801,14056,14056
1528958702,13938,13938
1528959601,13829,13829
1528960502,13641,13641
1528961402,13776,13776
1528962302,13839,13839
1528963202,13802,13802
1528964102,13841,13841
1528965002,13314,13314
1528965902,13136,13136
1528966802,12974,12974
1528967702,12082,12082
1528968602,11623,11623
1528969502,11192,11192
1528970402,10881,10881
1528971301,10429,10429
1528972202,9977,9977
1528973101,9624,9624
1528974002,9338,9338
1528974902,9139,9139
1528975801,8812,8812
1528976702,8386,8386
1528977602,8113,8113
1528978501,7886,7886
1528979401,7252,7252
1528980301,6843,6843
1528981201,6332,6332
1528982102,5838,5838
1528983002,5642,5642
1528983901,5002,5002
1528984801,4398,4398
1528985701,3981,3981
1528986602,3690,3690
1528987501,3372,3372
1528988401,3382,3382
1528989301,3393,3393
1528990201,3389,3389
1528991101,3388,3388
1528992001,3420,3420
1528992901,3300,3300
1528993801,3329,3329
1528994702,3343,3343
1528995601,3392,3392
1528996502,3426,3426
1528997402,3443,3443
1528998301,3490,3490
1528999201,3081,3081
1529000101,2311,2311
1529001001,2330,2330
1529001902,2321,2321
1529002801,2284,2284
1529003701,2276,2276
1529004601,2266,2266
1529005501,2105,2105
1529006402,2146,2146
1529007301,2128,2128
1529008201,2124,2124
1529009101,2101,2101
1529010001,2086,2086
1529010901,2082,2082
1529011801,5654,5654
1529012702,9188,9188
1529013601,9510,9510
1529014501,9760,9760
1529015401,9908,9908
1529017201,10207,10207
1529018102,10338,10338
1529019001,10501,10501
1529019901,10621,10621
1529020801,10720,10720
1529021702,10824,10824
1529022602,10968,10968
1529023501,11163,11163
1529024402,11335,11335
1529025301,11467,11467
1529026201,11628,11628
1529027102,11886,11886
1529028002,11957,11957
1529028901,12081,12081
1529029801,12168,12168
1529030702,12323,12323
1529031602,12508,12508
1529032502,12700,12700
1529033402,12887,12887
1529034301,13041,13041
1529035201,13166,13166
1529036102,13330,13330
1529037002,13453,13453
1529037901,13649,13649
1529038802,13845,13845
1529039702,13998,13998
1529040602,14156,14156
1529041502,14288,14288
1529042402,14446,14446
1529043302,14624,14624
1529044201,14824,14824
1529045102,14855,14855
1529046002,14985,14985
1529046902,15092,15092
1529047802,15253,15253
1529048702,15334,15334
1529049602,15480,15480
1529050502,15764,15764
1529051402,15964,15964
1529052302,16135,16135
1529053202,16312,16312
1529054103,16488,16488
1529055002,16683,16683
1529055902,13282,13282
1529056802,10068,10068
1529057701,10056,10056
1529058602,10109,10109
1529059501,10207,10207
1529060402,10274,10274
1529061302,10334,10334
1529062202,11709,11709
1529063103,13378,13378
1529064003,13731,13731
1529065803,14259,14259
1529066703,14314,14314
1529067603,14251,14251
1529068502,14161,14161
1529069403,14535,14535
1529070302,15266,15266
1529071203,15400,15400
1529072103,15318,15318
1529073003,14993,14993
1529073902,14883,14883
1529074802,14840,14840
1529075702,14620,14620
