DateTime,AddedIPs,RemovedIPs
1526284235,10,9
1526289635,1,10
1526294436,4,9
1526300435,1,7
1526305238,1,16
1526311235,1,0
1526316038,4,5
1526321436,4,6
1526327436,2,9
1526332235,4,14
1526338237,3,0
1526343634,3,9
1526348436,5,0
1526354440,7,7
1526359840,6,5
1526365238,4,2
1526370635,6,4
1526376036,2,1
1526381435,0,20
1526387435,0,33
1526392235,1,0
1526397637,3,10
1526402457,1,3
1526408435,3,6
1526413835,5,18
1526419239,4,8
1526424035,2,7
1526429435,3,0
1526435437,0,10
1526441438,2,0
1526446835,2,0
1526451635,2,2
1526457036,0,1
1526462435,7,0
1526468435,7,5
1526473835,3,7
1526478635,1,11
1526484040,4,2
1526488834,7,11
1526494235,19,5
1526499635,8,4
1526505035,7,5
1526510435,2,0
1526515835,3,4
1526521234,1,15
1526527235,2,13
1526532035,1,7
1526538035,1,4
1526542835,1,5
1526548235,3,11
1526554235,2,8
1526559035,2,9
1526564436,5,11
1526570435,1,5
1526575245,3,4
1526580635,3,3
1526586036,2,2
1526591436,5,2
1526595034,2,2
1526600436,10,2
1526604636,5,2
1526610040,3,7
1526615439,4,2
1526620838,9,7
1526626237,4,8
1526631637,0,7
1526636435,6,3
1526642436,5,8
1526647836,3,5
1526652635,6,8
1526658635,2,6
1526664036,3,7
1526668836,1,8
1526674235,3,13
1526679636,2,6
1526685035,2,9
1526690436,4,6
1526696435,2,2
1526701835,4,4
1526706634,1,3
1526712636,0,7
1526718035,2,3
1526723435,4,5
1526728235,2,3
1526734236,7,1
1526739035,5,5
1526745035,2,2
1526749835,31,5
1526755835,51,4
1526760635,10,4
1526765437,11,4
1526769635,4,4
1526775036,7,6
1526780437,4,0
1526785835,5,3
1526791235,3,14
1526796635,1,0
1526802634,1,5
1526808035,1,9
1526812836,3,9
1526818235,2,0
1526823635,0,5
1526829035,4,14
1526834435,3,0
1526839835,3,5
1526843433,7,3
1526848235,2,0
1526852435,3,3
1526857837,1,0
1526863235,6,7
1526868635,5,4
1526874036,2,4
1526879435,6,7
1526884835,3,5
1526890837,12,4
1526896236,3,5
1526901635,5,8
1526907036,5,6
1526913035,6,2
1526917835,3,8
1526922636,8,3
1526928635,2,2
1526933435,4,3
1526938836,0,8
1526944835,1,6
1526950236,0,7
1526956235,1,12
1526961035,1,5
1526966437,0,14
1526971235,3,6
1526977236,4,5
1526982637,3,4
1526988037,2,5
1526993436,6,8
1526998835,5,6
1527003636,4,6
1527009036,4,5
1527014436,3,9
1527018033,4,0
1527023436,2,4
1527027034,4,5
1527031836,2,4
1527035433,3,0
1527039635,1,11
1527043835,7,0
1527048636,3,4
1527054635,2,6
1527059454,4,8
1527064836,4,13
1527068433,1,0
1527073835,3,11
1527079236,2,7
1527082834,1,0
1527088235,3,8
1527093637,3,5
1527097233,0,8
1527100835,1,0
1527106236,7,8
1527111638,5,2
1527115234,3,0
1527120636,3,2
1527124232,1,2
1527130235,1,3
1527135038,2,3
1527139835,1,3
1527144036,10,8
1527147634,2,0
1527153636,4,6
1527158435,1,10
1527163836,5,0
1527169836,3,7
1527175235,5,9
1527180036,10,0
1527183034,5,7
1527186636,12,0
1527193834,3,14
1527197437,2,0
1527201034,1,16
1527208233,0,3
1527212436,2,4
1527216636,0,10
1527221436,1,6
1527227435,2,9
1527232235,2,5
1527238236,0,9
1527243036,3,4
1527248437,2,1
1527253836,5,1
1527259836,1,5
1527267634,2,3
1527271837,2,4
1527277236,5,6
1527280835,2,0
1527283836,4,3
1527288036,0,8
1527291033,2,0
1527295236,4,4
1527298832,0,9
1527304835,4,4
1527309638,2,1
1527315635,2,4
1527319836,10,7
1527324035,1,0
1527327633,3,5
1527971434,419,535
1527975037,0,2
1527979236,4,6
1527984636,2,4
1527988234,2,6
1527993636,2,8
1527998436,2,5
1528002033,4,0
1528006236,3,11
1528011037,5,5
1528015235,0,8
1528020037,3,0
1528023634,4,6
1528027836,2,4
1528033236,3,5
1528041637,2,4
1528045234,4,3
1528052434,3,7
1528059635,2,13
1528063235,1,0
1528067436,1,6
1528072236,3,4
1528083034,2,4
1528086635,0,6
1528090234,0,4
1528093836,3,0
1528098037,3,8
1528108835,4,16
1528112434,2,0
1528117836,2,7
1528123236,3,8
1528126234,3,6
1528129836,5,0
1528133434,5,7
1528137639,7,3
1528143036,6,6
1528146634,2,6
1528150236,0,4
1528155637,3,10
1528161037,5,7
1528166437,2,2
1528171835,2,4
1528177837,5,3
1528182636,1,12
1528188036,2,10
1528192836,5,6
1528197037,5,12
1528200634,1,0
1528206036,4,6
1528211437,1,6
1528216837,1,3
1528222237,2,0
1528227037,1,7
1528230634,6,3
1528234236,3,0
1528238437,5,11
1528242034,3,0
1528246836,2,9
1528250433,2,0
1528254635,1,6
1528260037,6,4
1528265436,7,4
1528270836,4,8
1528275638,6,6
1528279836,2,9
1528285237,5,3
1528290036,1,0
1528294237,2,9
1528299636,4,3
1528304437,4,6
1528308034,3,0
1528312237,4,3
1528315234,1,11
1528318837,1,0
1528323036,3,14
1528327836,5,13
1528332036,3,0
1528337436,5,14
1528342836,2,6
1528348236,3,3
1528353036,0,4
1528357236,2,3
1528363236,3,0
1528367440,3,15
1528371637,2,0
1528377036,2,7
1528382438,1,3
1528385435,2,0
1528389036,5,4
1528396234,8,2
1528403434,10,9
1528411234,7,9
1528414837,3,0
1528418434,5,9
1528422037,5,0
1528425635,2,7
1528431036,3,15
1528436438,2,4
1528441836,1,9
1528447238,4,4
1528452636,2,12
1528458636,3,0
1528462837,4,6
1528467036,2,10
1528470634,1,0
1528474237,4,8
1528477235,3,2
1528481436,10,9
1528486837,29,6
1528491637,4,7
1528495234,3,0
1528498837,1,0
1528502435,2,10
1528506637,1,6
1528512036,4,2
1528517436,2,0
1528522836,5,8
1528528236,6,11
1528533638,2,5
1528539636,7,2
1528545036,3,7
1528549837,7,7
1528555837,2,7
1528561237,2,4
1528566037,3,6
1528569634,3,0
1528575037,1,9
1528579837,6,3
1528587033,1,3
1528591236,3,15
1528597237,0,6
1528602036,2,6
1528606836,1,14
1528614634,8,2
1528617636,1,0
1528621837,1,5
1528627237,3,5
1528632637,3,0
1528638036,3,6
1528642837,0,5
1528649437,4,4
1528654238,1,2
1528659037,1,5
1528663237,5,2
1528666834,5,0
1528672236,7,4
1528677636,4,3
1528683037,4,4
1528689036,7,1
1528694437,5,9
1528699236,3,5
1528704638,4,1
1528709436,1,7
1528713036,1,0
1528716636,2,0
1528720837,2,14
1528724433,1,0
1528729236,2,24
1528732235,2,0
1528739433,4,15
1528743636,1,10
1528747234,1,0
1528750837,0,1
1528754434,2,3
1528762235,7,4
1528767037,5,13
1528770633,2,0
1528774236,3,5
1528777234,1,0
1528784434,4,7
1528789236,4,4
1528794037,4,3
1528798237,3,5
1528803037,1,12
1528806634,5,0
1528810237,3,0
1528813835,2,6
1528816836,7,0
1528820434,6,2
1528825237,3,6
1528828834,1,0
1528831836,6,8
1528836037,3,13
1528840837,5,0
1528844435,2,0
1528848037,1,12
1528856437,1,12
1528860636,3,14
1528867836,0,4
1528875036,1,10
1528878634,3,15
1528885837,2,14
1528889437,1,6
1528893034,0,7
1528896036,1,0
1528900237,1,8
1528903834,3,0
1528907437,1,3
1528914635,5,13
1528917637,1,7
1528921236,2,0
1528925436,3,4
1528929035,4,0
1528932636,4,12
1528936234,6,6
1528940437,4,11
1528944036,4,0
1528949437,2,7
1528954236,9,4
1528957834,4,0
1528962037,2,5
1528966837,3,0
1528969834,3,7
1528974037,3,4
1528984834,1,14
1528991435,0,12
1528995639,5,13
1528999234,1,0
1529002836,3,9
1529006435,1,0
1529010037,0,9
1529014237,3,1
1529019635,2,1
1529024437,2,4
1529028636,3,3
1529032234,4,0
1529037037,5,7
1529040635,2,0
1529044236,2,3
1529047834,4,0
1529051437,1,7
1529055034,0,6
1529061633,3,7
1529065236,3,3
1529068834,2,0
1529073038,5,9
1529076634,3,0
1529079636,3,1
1529083838,3,3
1529087435,10,0
1529091037,14,4
1529094635,3,2
1529101834,9,20
1529105437,1,3
1529108434,1,7
1529112642,3,16
1529119835,4,7
1529123438,1,0
1529130635,5,11
1529134837,1,15
1529139637,2,12
1529143234,2,0
1529146836,2,4
1529150434,1,0
1529154037,2,4
1529157636,2,3
1529164834,1,15
1529168437,8,11
1529172035,31,0
1529176236,12,5
1529181637,7,4
1529186437,7,7
1529193636,4,2
1529197234,5,0
1529201438,4,5
1529206236,5,0
1529209834,6,2
1529213436,2,0
1529217034,6,9
1529220636,2,4
1529224234,12,3
1529227836,3,0
1529230835,2,4
1529234437,3,4
1529238034,2,0
1529242237,0,14
1529245834,3,0
1529249436,2,0
1529252435,11,5
1529256637,3,3
1529260235,2,0
1529263236,0,7
1529266836,4,4
1529270437,2,0
1529274035,1,10
1529277637,2,0
1529281836,0,11
1529285434,1,0
1529289036,5,0
1529292033,1,8
1529295636,1,3
1529299836,7,4
1529303434,1,0
1529306437,2,6
1529310034,4,0
1529313636,1,5
