DateTime,AddedIPs,RemovedIPs
1526944833,1,5
1526950233,1,3
1526956233,3,0
1526961033,4,1
1526966435,1,3
1526971232,4,5
1526977233,2,0
1526982633,1,2
1526988034,1,2
1526993434,5,2
1526998833,3,3
1527003633,5,1
1527009034,4,1
1527014433,1,5
1527018030,2,0
1527023433,3,5
1527027031,1,0
1527031834,4,7
1527035431,1,4
1527039633,2,5
1527048633,4,3
1527054633,2,0
1527059452,1,7
1527064833,3,1
1527068430,2,0
1527073833,1,1
1527079233,0,4
1527082831,2,0
1527088233,0,1
1527093635,0,1
1527097231,2,0
1527100833,1,2
1527106234,6,1
1527111634,2,3
1527115231,0,1
1527120633,1,5
1527124230,3,0
1527130233,0,2
1527135034,2,9
1527139833,3,4
1527144033,2,3
1527147632,2,0
1527153634,4,6
1527158432,3,1
1527163834,1,1
1527169833,2,2
1527175233,2,3
1527180033,1,0
1527183032,2,4
1527186634,3,0
1527193831,5,3
1527197434,4,2
1527204633,3,0
1527208230,2,3
1527212433,2,7
1527216634,1,3
1527221433,0,2
1527227433,3,4
1527232233,5,2
1527238233,4,5
1527243033,1,2
1527248435,1,1
1527253834,2,2
1527259833,4,3
1527267632,2,3
1527271834,2,2
1527277234,1,3
1527280833,1,0
1527283833,1,2
1527288033,1,0
1527291031,3,0
1527295233,0,7
1527298830,3,1
1527304833,3,2
1527309635,2,1
1527315632,2,1
1527319833,5,4
1527324033,0,0
1527327631,5,0
1527333033,5,2
1527338434,0,4
1527344433,0,3
1527349233,5,6
1527353433,1,7
1527357633,7,1
1527361833,5,0
1527366633,0,0
1527370232,6,0
1527373834,0,0
1527377431,6,0
1527381033,4,2
1527385235,3,3
1527388831,0,6
1527394233,1,2
1527399634,5,6
1527405035,1,1
1527410433,3,2
1527415834,3,1
1527421234,5,0
1527426633,1,1
1527437434,1,2
1527442234,3,5
1527451834,3,4
1527456634,4,3
1527460834,2,4
1527466233,1,0
1527471633,0,4
1527477034,2,2
1527482434,0,3
1527487833,1,3
1527493233,4,5
1527499233,3,4
1527504033,3,2
1527510033,3,4
1527514234,1,0
1527518434,2,3
1527523833,3,0
1527528634,1,3
1527532834,1,0
1527538234,3,8
1527541832,2,0
1527547234,6,3
1527552634,2,0
1527558633,3,2
1527563433,2,5
1527569434,3,0
1527574833,5,5
1527580234,3,2
1527585634,1,3
1527590434,4,2
1527594031,4,0
1527600033,1,1
1527604834,3,0
1527613232,1,4
1527618034,3,5
1527622834,2,7
1527628234,1,0
1527633635,2,2
1527637231,3,0
1527642633,3,4
1527648637,2,6
1527654033,3,0
1527658834,3,8
1527664234,3,0
1527669634,2,0
1527675034,4,5
1527681035,1,3
1527686433,3,3
1527691234,2,2
1527696634,1,1
1527702034,3,1
1527707435,1,1
1527711032,1,6
1527716434,1,3
1527721834,2,0
1527727235,2,3
1527730832,2,0
1527736234,2,7
1527741634,2,6
1527747634,2,4
1527753034,1,0
1527757834,2,2
1527763234,5,4
1527768633,4,2
1527774035,2,6
1527779434,2,2
1527784236,0,2
1527788435,0,3
1527792635,3,2
1527797435,0,2
1527802838,4,0
1527808234,3,0
1527811832,1,4
1527817236,2,5
1527823236,2,3
1527828634,5,3
1527833434,4,2
1527838234,2,4
1527842436,5,6
1527847834,3,2
1527853834,2,1
1527858633,4,3
1527864034,2,2
1527869434,0,3
1527874235,4,6
1527879035,2,0
1527883234,2,3
1527886832,4,0
1527891034,2,3
1527894632,1,0
1527900035,2,2
1527905433,3,4
1527911433,3,2
1527916834,2,4
1527921633,3,0
1527926434,1,1
1527930031,1,1
1527934234,5,0
1527937832,3,3
1527943234,5,1
1527946832,1,1
1527952234,3,4
1527957634,2,0
1527963033,4,8
1527967834,0,2
1527971432,1,0
1527975034,0,3
1527979234,0,1
1527984634,4,4
1527988232,5,0
1527993634,0,5
1527998434,0,0
1528002031,3,7
1528006234,2,5
1528011034,1,0
1528015233,3,5
1528020035,0,3
1528023632,2,0
1528027834,3,2
1528033233,1,2
1528036832,4,0
1528041634,2,6
1528045232,2,0
1528048834,6,2
1528052432,4,2
1528059633,2,2
1528063233,1,3
1528067434,4,1
1528072233,1,1
1528075832,1,0
1528083032,2,7
1528086633,1,0
1528090232,2,2
1528093834,1,0
1528098034,3,5
1528104634,2,0
1528108833,3,7
1528112431,1,0
1528117834,3,3
1528123234,2,4
1528126232,1,0
1528129834,3,1
1528133432,3,0
1528137636,1,4
1528143034,2,5
1528146632,3,0
1528150234,3,0
1528155635,2,1
1528161034,6,5
1528166435,0,3
1528171833,2,1
1528177834,2,2
1528182634,5,4
1528188034,5,2
1528192834,1,4
1528197035,0,3
1528200632,2,0
1528206034,2,1
1528211434,1,1
1528216835,1,2
1528222234,3,2
1528227035,2,2
1528230632,5,0
1528234234,2,6
1528238434,4,5
1528242031,1,0
1528246834,6,2
1528250431,1,0
1528254633,2,5
1528260035,3,0
1528265434,2,5
1528270834,3,0
