DateTime,AddedIPs,RemovedIPs
1528836721,2,0
1528837321,3,4
1528838522,4,0
1528839721,0,11
1528840922,8,3
1528842122,13,1
1528843321,2,22
1528843922,14,0
1528844522,22,2
1528845122,4,0
1528845722,10,0
1528846921,2,0
1528848122,4,3
1528849321,2,1
1528849922,9,0
1528850522,7,3
1528851722,6,43
1528852921,2,0
1528854122,5,4
1528855322,3,0
1528855922,1,11
1528856522,5,0
1528857722,3,5
1528858922,4,37
1528860122,4,0
1528861323,2,16
1528862521,6,4
1528863721,6,8
1528864323,16,0
1528864922,7,9
1528865522,18,0
1528866121,5,0
1528867322,9,29
1528868521,11,0
1528869723,3,10
1528870921,3,0
1528872122,18,5
1528873321,16,4
1528874522,17,7
1528875722,6,0
1528876922,0,6
1528877522,7,3
1528878122,15,6
1528878722,8,0
1528879413,8,0
1528879921,3,0
1528880522,8,4
1528881122,32,0
1528881722,11,1
1528882923,2,0
1528883521,7,6
1528884121,3,4
1528885321,1,0
1528885922,1,1
1528886522,3,2
1528887721,6,14
1528888922,8,16
1528890122,9,0
1528891322,4,14
1528891922,1,23
1528892522,3,10
1528893721,8,25
1528894922,17,0
1528895521,0,1
1528896121,29,1
1528897321,2,0
1528898521,3,5
1528899722,1,0
1528900923,2,1
1528902121,5,3
1528903322,2,12
1528904522,5,0
1528905122,11,7
1528905721,10,0
1528906322,12,3
1528906921,7,3
1528908122,7,6
1528908722,8,1
1528909321,4,0
1528910522,0,2
1528911721,4,1
1528912922,1,2
1528914122,3,0
1528914721,9,1
1528915322,2,16
1528916522,23,4
1528917122,29,0
1528918921,3,37
1528919522,4,0
1528920121,2,0
1528921322,3,0
1528922521,5,17
1528923722,3,10
1528924321,9,1
1528924921,8,2
1528925522,1,0
1528926122,3,0
1528927322,0,18
1528929722,0,33
1528931522,2,59
1528932122,9,1
1528933322,6,0
1528934522,3,19
1528935722,2,18
1528936922,1,18
1528938121,11,0
1528939322,4,20
1528940522,9,0
1528941722,0,4
1528942921,2,5
1528944122,5,4
1528944722,8,0
1528945322,2,0
1528946523,3,0
1528947121,6,0
1528947722,7,0
1528948323,25,5
1528948922,4,3
1528950122,11,5
1528951321,8,4
1528952522,7,10
1528953121,3,0
1528953721,1,0
1528954922,3,10
1528955522,5,0
1528956122,2,0
1528957321,5,0
1528957921,8,1
1528958522,1,0
1528959722,8,9
1528960922,10,3
1528961521,5,0
1528962122,3,0
1528962722,3,1
1528963322,12,7
1528963922,1,5
1528964521,17,0
1528965121,3,2
1528965721,5,4
1528966922,10,15
1528968122,0,30
1528968721,14,3
1528969321,3,0
1528970522,1,7
1528972922,0,9
1528974122,1,5
1528975921,4,9
1528976522,2,10
1528977721,6,0
1528980121,7,35
1528981321,3,8
1528982521,0,2
1528983721,1,12
1528984922,4,0
1528985522,3,2
1528986122,0,7
1528987322,0,8
1528988521,10,0
1528989122,3,6
1528989722,23,1
1528990321,13,0
1528990922,1,9
1528992122,4,3
1528993322,2,29
1528993922,5,0
1528995721,6,14
1528996321,1,0
1528996922,0,3
1528998123,5,4
1528998722,1,0
1528999321,22,0
1528999922,8,11
1529000521,4,0
1529001721,2,25
1529002921,1,12
1529003522,4,13
1529004122,2,0
1529005322,17,0
1529005922,4,4
1529006522,1,5
1529007721,0,3
1529008922,16,2
1529009521,0,7
1529010121,10,6
1529011321,19,22
1529011921,2,4
