DateTime,Entries,UniqueIPs
1528815123,4456,4611
1528815721,4459,4614
1528816922,4463,4618
1528818122,4474,4631
1528819321,4433,4589
1528819922,4436,4592
1528820522,4436,4592
1528821722,4440,4596
1528822322,4441,4597
1528822922,4429,4585
1528824121,4430,4587
1528826522,4385,4541
1528827721,4388,4544
1528828322,4401,4562
1528830121,4402,4564
1528830722,4404,4567
1528831322,4405,4568
1528832522,4410,4573
1528833722,4393,4556
1528834921,4391,4552
1528835522,4393,4555
1528836122,4389,4551
1528836721,4361,4523
1528837321,4358,4521
1528838522,4359,4522
1528839721,4357,4520
1528840922,4355,4518
1528842122,4350,4514
1528843321,4310,4474
1528843922,4317,4481
1528844522,4326,4490
1528845122,4308,4470
1528845722,4316,4478
1528846921,4306,4468
1528848122,4277,4438
1528849321,4278,4439
1528849922,4280,4441
1528850522,4281,4442
1528851722,4270,4431
1528852921,4266,4426
1528854122,4267,4427
1528855322,4268,4428
1528855922,4254,4414
1528856522,4258,4418
1528857722,4240,4399
1528858922,4174,4333
1528860122,4177,4336
1528861323,4164,4323
1528862521,4163,4322
1528863721,4149,4307
1528864323,4158,4320
1528864922,4155,4317
1528865522,4158,4321
1528866121,4160,4323
1528867322,4157,4319
1528868521,4165,4327
1528869723,4163,4324
1528870921,4159,4320
1528872122,4164,4324
1528873321,4149,4308
1528874522,4116,4274
1528875722,4121,4279
1528876922,4102,4259
1528877522,4101,4258
1528878122,4111,4271
1528878722,4113,4273
1528879413,4113,4275
1528879921,4115,4277
1528880522,4119,4282
1528881122,4131,4300
1528881722,4133,4302
1528883521,4101,4273
1528884121,4102,4274
1528885321,4093,4265
1528885922,4094,4266
1528886522,4077,4248
1528887721,4080,4251
1528888922,4071,4242
1528890122,4071,4242
1528891322,4072,4244
1528891922,4054,4225
1528892522,4050,4221
1528893721,4047,4218
1528894922,4054,4226
1528895521,4045,4216
1528896121,4048,4224
1528897321,4049,4225
1528898521,4044,4220
1528899722,4016,4192
1528900923,3986,4162
1528902121,3983,4160
1528903322,3982,4159
1528904522,3981,4157
1528905122,3986,4162
1528905721,3971,4147
1528906322,3980,4159
1528906921,3986,4165
1528908122,3980,4158
1528908722,3984,4162
1528909321,3986,4164
1528910522,3958,4136
1528911721,3958,4136
1528912922,3931,4107
1528914122,3925,4101
1528914721,3921,4094
1528915322,3922,4095
1528916522,3938,4114
1528917122,3963,4140
1528918921,3957,4133
1528919522,3959,4135
1528920121,3960,4136
1528921322,3963,4139
1528922521,3968,4144
1528923722,3969,4143
1528924321,3977,4151
1528924921,3983,4157
1528926122,3985,4159
1528928522,3982,4156
1528931522,3970,4143
1528932122,3976,4149
1528933322,3979,4154
1528934522,3981,4156
1528935722,3980,4155
1528936922,3981,4156
1528938121,3991,4166
1528939322,3994,4169
1528940522,4000,4175
1528941722,3993,4168
1528942921,3979,4154
1528944122,3978,4153
1528944722,3984,4159
1528945322,3941,4113
1528946523,3943,4115
1528947121,3937,4110
1528947722,3939,4112
1528948323,3951,4125
1528948922,3953,4127
1528950122,3963,4137
1528951321,3966,4140
1528952522,3968,4144
1528953121,3971,4147
1528953721,3972,4148
1528954922,3940,4112
1528955522,3942,4115
1528956122,3944,4117
1528957321,3939,4114
1528957921,3937,4113
1528958522,3937,4114
1528959722,3904,4082
1528960922,3910,4088
1528961521,3905,4083
1528962122,3874,4054
1528962722,3875,4057
1528963322,3883,4065
1528963922,3881,4063
1528964521,3893,4075
1528965121,3887,4069
1528965721,3888,4070
1528966922,3894,4077
1528968122,3891,4074
1528968721,3903,4086
1528969321,3906,4089
1528970522,3906,4089
1528971722,3897,4080
1528972922,3889,4072
1528974122,3889,4073
1528975921,3890,4074
1528976522,3891,4075
1528977721,3894,4078
1528978921,3893,4077
1528980121,3890,4072
1528981321,3892,4074
1528983721,3888,4070
1528984922,3883,4064
1528985522,3885,4066
1528987322,3882,4062
1528988521,3887,4068
1528989122,3875,4054
1528989722,3895,4074
1528990321,3900,4079
1528990922,3901,4079
1528992122,3903,4081
1528993322,3905,4083
1528993922,3910,4088
1528995721,3911,4089
1528996321,3902,4080
1528998123,3905,4083
1528998722,3905,4084
1528999321,3921,4101
1528999922,3924,4106
1529000521,3911,4093
1529001721,3912,4094
1529002921,3907,4089
1529003522,3911,4093
1529004122,3912,4094
1529005322,3922,4104
1529005922,3924,4106
1529006522,3925,4107
1529007721,3919,4100
1529008922,3934,4116
1529010121,3941,4123
1529011321,3953,4137
1529011921,3941,4124
1529012522,3954,4139
1529013721,3967,4152
1529014922,3965,4150
1529016722,3959,4144
1529017322,3965,4150
1529018521,3967,4153
1529019122,3968,4154
1529019721,3970,4156
1529020922,3971,4157
1529022122,3974,4160
1529023322,3970,4156
1529024522,3971,4157
1529025722,3964,4150
1529026922,3971,4157
1529027522,4000,4186
1529028122,3994,4180
1529029322,3998,4186
1529030522,3996,4184
1529031122,3977,4165
1529031722,3979,4167
1529032922,3986,4174
1529034122,3982,4170
1529035322,3981,4169
1529035923,3999,4187
1529036522,3997,4185
1529037722,3986,4174
1529038922,3981,4169
1529040122,3985,4174
1529041322,3970,4159
1529042522,3972,4161
1529043123,3978,4167
1529043721,3984,4173
1529044322,3994,4183
1529044922,4006,4198
1529046121,3999,4192
1529047322,4001,4194
1529047922,4003,4199
1529048522,4010,4206
1529050322,4014,4211
1529050922,4012,4209
1529052122,4013,4216
1529053321,4009,4212
1529053922,4021,4225
1529054521,4033,4238
1529056922,4030,4234
1529058122,4034,4238
1529059322,4030,4233
1529060522,4021,4224
1529062921,4022,4225
1529063521,4005,4208
1529064121,3995,4197
1529065922,4000,4202
1529066522,4001,4203
1529067721,3997,4199
1529068922,3978,4180
1529069521,3981,4183
1529070121,3993,4195
1529071322,3996,4198
1529072521,4007,4209
1529073722,4012,4214
1529074922,3996,4197
1529076122,4007,4208
1529077323,4006,4207
1529078522,4007,4208
1529079722,4001,4202
1529080322,4004,4206
1529080922,4007,4209
1529082122,4014,4215
1529082722,4011,4210
1529083323,4012,4211
1529084521,4017,4216
1529085722,4020,4219
1529086922,4008,4207
1529088122,4010,4209
1529089322,4019,4217
1529090522,4021,4219
1529091722,4024,4222
1529092922,4020,4218
1529094121,4023,4221
1529094722,3999,4196
1529095322,3997,4194
1529095922,3997,4194
1529097122,4007,4204
1529097722,4013,4209
1529098322,4014,4210
1529098922,4016,4212
1529100121,4017,4213
1529101321,4012,4208
1529102521,4022,4219
1529103721,4020,4217
1529104322,4023,4220
1529104922,4026,4223
1529106122,4013,4210
1529107922,4015,4212
1529108521,4018,4215
1529109721,4026,4223
1529110922,4025,4222
1529111522,4028,4225
1529112123,4017,4214
1529112721,4017,4214
1529113322,4022,4219
1529113922,4041,4238
1529114522,4040,4237
1529115122,4048,4245
1529115721,4048,4245
1529116322,4049,4246
1529116922,4039,4236
1529118122,4031,4228
1529118722,4025,4222
1529119321,4030,4227
1529120523,4032,4230
1529121721,4037,4236
1529122922,4042,4241
1529124121,4030,4229
1529124721,4035,4234
1529125322,4071,4271
1529126522,4074,4274
1529127722,4076,4276
1529128921,4059,4259
1529130122,4055,4255
1529131322,4049,4249
1529132523,4062,4262
1529133722,4052,4252
1529134921,4051,4251
1529137322,4091,4292
1529138521,4092,4293
1529139722,4097,4298
1529140322,4106,4307
1529140922,4117,4319
1529141522,4121,4323
1529143322,4120,4322
1529144522,4120,4322
1529145721,4120,4323
1529146922,4117,4320
1529149322,4120,4323
1529150523,4121,4324
1529151121,4121,4324
1529151722,4122,4325
1529152322,4126,4329
1529152922,4125,4328
1529154122,4126,4329
1529156522,4124,4327
1529157721,4109,4311
1529158322,4114,4314
1529158921,4116,4317
1529160122,4118,4320
1529161321,4117,4319
1529161922,4093,4295
1529162522,4118,4320
1529163121,4120,4322
1529163722,4124,4327
1529164921,4127,4330
